,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36H,37C,38O,39O,40H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4187777447000953,2.9194333933858507,3.265417138499556,3.920696022673477,2.670746854414306,3.5864006780401754,4.592238967288314,3.633619759883605,3.032638898751657,4.789529422435897,5.27136355974502,5.974782526474251,5.864921996683795,6.814191583280709,6.576780200036809,7.476251745156761,7.738923364139573,6.6132866501475585,6.184615844438559,8.29413872084951,9.096675746541882,7.526258208527025,7.818758254016109,8.319929042899709,9.13911143371685,4.73320082073289,4.000675591873721,5.989867620263991,6.165579432584119
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8281519690624852,2.4577984857318254,2.3835888634181557,2.446183473640807,4.810738781890958,5.3719285229860665,5.172138719802064,4.885510327817886,6.043758107919566,6.17954561094179,7.4937710569037215,7.6139036127197155,8.152216880977528,8.167835755859342,8.803702727892476,8.82680021426403,8.474852088390191,8.23684344725376,9.649022016778957,10.274636589772319,9.351757930362854,9.77505018309708,9.90684807134825,10.703544260294628,5.768551228476181,5.101783965760568,6.7486190966571975,6.789134442892314
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0937855674664638,1.0936993842871208,1.095228193662281,5.769742461707136,6.427375482979196,6.2499900773848855,5.851419818206995,7.355361112896895,7.571234385468359,8.693330774980573,8.713018541751453,9.479590495265775,9.202824081766469,9.903328193159265,10.078772426607104,9.264266097677007,8.933912430577454,10.598525361298561,11.26274815593992,10.005019372185576,10.252512089064188,10.648894248370068,11.34791358850508,7.243466104555197,6.5193965856173435,8.344655551472178,8.42066453839146
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7759267628673527,1.790032336779693,5.602112320291407,6.172914749921211,6.28877738287429,5.996218756351904,7.481080115708667,7.6194356822139095,8.787555611937336,8.875534218331634,9.62452884800972,9.122331229410118,9.741057223595748,9.966486753706866,9.11582080392136,8.853891637944988,10.307853250583092,10.930668450377086,9.720115298048855,9.92791581896741,10.300282254927456,10.918922987725042,7.584990113689845,6.991044013832043,8.715836161298084,8.904026586858409
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778169232766228,6.767637633016425,7.355709261103785,7.244126163963752,6.8541463368914,8.279559646645614,8.455939893063196,9.659434153972555,9.689412472610373,10.400358049503076,10.2197791193557,10.89154624458622,11.013881101894532,10.328052424596299,10.003455078760336,11.606692747134284,12.240574914932138,11.08084104659442,11.341686696634836,11.698702798043223,12.396487689895151,8.06398652411409,7.305036147834886,9.09320105575461,9.094895257778886
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.935388408518839,6.759463339896406,6.248445747383153,5.695173961884114,7.409041216311012,7.77529001995095,8.639775809796525,8.523811006479573,9.469219618607191,9.174774240352551,10.005621505442408,10.261792405783833,9.119851612242268,8.669532481338367,10.713084198884706,11.457912494680208,9.89137607560647,10.05790232302551,10.662561496032575,11.37439878800084,7.263251704697564,6.435054015786836,8.433749080169237,8.481171162115121
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2266759945923504,1.3711736097315772,2.059757324305021,2.462921522233723,2.4889750553027556,3.54647143185621,4.009257545553038,4.413645176584354,3.624871907619835,4.14749595749164,4.419752805761104,3.95069114960161,4.0899352336421115,4.8662007548718815,5.569480541940983,4.701646839028776,5.314167082800549,5.115515770972894,5.9549075983028485,3.5096213586120304,3.8161325590209985,4.584984935773996,5.2895526286028085
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2820606804989905,3.1625394346472944,2.8088002016955724,2.3248930644876706,3.845808296053656,4.572582374435069,4.529852114048364,3.7281061459181304,3.8167368527845476,3.9120932677550155,4.286174504703279,4.7043361491369025,4.437375805326305,4.938911362910425,4.850112797531756,5.590664008111706,4.919698875028119,5.695841440886597,3.9543415946317024,4.510893376468409,4.7584654888295255,5.545346599788966
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012459410883663,1.4481602244588123,2.0515430700688206,2.5062564393990954,2.7802231098849615,3.417597552359173,3.022619142263658,3.8950414530363617,4.166245402138128,3.440263768926884,3.380243222832188,4.878392763782053,5.713722081290144,4.525286095109108,5.171546227745615,5.147394927025083,6.120071706602078,2.4207193509150087,2.7301239946754037,3.6127116254982004,4.291068536217774
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103608511313527,2.9250376873159265,2.98344174711867,2.8835880616046183,3.908031154077802,3.65445939535945,4.714412406676552,5.046675694275171,3.8390840773503774,3.482838593083295,5.68636980070462,6.586366785159312,4.985616580854303,5.483273823189079,5.804869143185764,6.7682683971122835,2.5644884032398556,2.430561826601461,3.8896139762466935,4.39360202102078
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942556907997476,1.5588318174174123,2.17224800358177,2.160457908414115,2.562071867918184,3.2991552921330736,3.282906561651769,3.494200690678806,3.6258703179536647,4.550878402641051,5.309666484001222,4.696789840854479,5.532257937580509,5.133125875406899,6.183704509271145,1.524173138192499,2.431487807798254,2.3829444983377823,3.217012637702128
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176051763632495,3.069949415621991,2.4914240848195863,2.8012504625085026,3.0520205301476557,2.7797420842618625,3.9190104754382653,4.303582747754521,4.263557909572089,4.8415902147586705,4.925034469515275,5.855512077216598,5.0693813928680855,6.069723727303133,2.1488546067833934,3.164484666255384,2.5984798810940712,3.5044432648374357
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976478993877645,1.0960129108416692,1.5131956769736765,2.5329288002418147,2.7325315223438733,2.5349061785402704,2.7337976524002756,3.8192150585489313,4.684254640180184,3.822471512256353,4.688654577039738,4.327621243368377,5.414594176710304,2.5244294566714447,3.427236032718039,2.9730952658724425,3.8174064868916755
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763960320672962,2.150753474294366,3.4095020861793923,3.754135393188155,2.6415442460214034,2.405436187859717,4.567131339735243,5.517967394285555,4.027028487582888,4.708187151443425,4.816636513826793,5.88336389360533,2.730132849838916,3.3164298151661034,3.326719186768286,3.984239914407698
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1574412292644594,2.736529257332848,2.5822946378462275,3.3461664081024654,3.6418134875399306,4.0919532850368645,4.802913673616222,4.524903193791305,5.450551010865167,4.825713848935915,5.892327155846361,2.7085273881821843,3.7576385778019272,2.619886294183311,3.4581636519111476
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.401938962083314,2.157439942662324,1.4006463581082584,2.154562422888134,2.432093713684862,3.4130372192501914,2.433140111763372,3.4142576608513444,2.8144791440312553,3.9014507406133405,3.887538080863412,4.760426453356304,4.358687127115007,5.260534012470751
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088170976287902,2.40889418049157,3.3960541649609506,1.3948286354278652,2.152228646981827,2.786889975982764,3.874164403900658,2.4195135353819457,3.405088038624678,4.649817907499411,5.67758214913981,4.8654460369511785,5.827697511741291
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3970103950349086,4.297639894205606,2.1517278031598117,2.4721332539547602,3.8750457740802062,4.962326303624489,3.4028192496110323,4.300084060890559,4.45824438164607,5.59623253586251,4.4098136279821345,5.3721849644921456
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08795851629761,2.785797686279042,3.872749255144951,1.3968362091464317,2.1547277767651916,2.419292075420828,3.4056615772858163,4.788806123306513,5.428481356648632,5.477763459678344,6.312887024771244
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8737385311222607,4.960691626643508,2.154497938823201,2.4766072351196113,3.4030901871706223,4.301762190630019,4.7133647622985375,5.136687466911507,5.543822817239293,6.273298210248791
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086970360347639,2.4141227346506655,3.401906700870515,1.3972372508963138,2.1588375142921534,5.974510519910981,6.950426956757811,6.250179379192534,7.215777088447593
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4012033226610305,4.303308163890315,2.158222289161893,2.4890141672789974,6.694745083067416,7.733232526040871,6.8358750378849535,7.8071372571967155
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873045861955761,1.3959300936562642,2.158134629928657,6.085790478095482,6.750378669459595,6.740841890439616,7.615884710077771
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1576233879359514,2.489073036437065,6.871453389560769,7.4111550041257654,7.621652232485205,8.45729361673504
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869743547367565,6.593098221616296,7.419274360681741,7.072620931357615,8.01067041496439
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.659507948177962,8.473754132868487,8.139148743121895,9.083430213244764
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2131211870504626,1.3496119654069187,1.8783579438401992
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254757456306188,2.2932223730232364
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768756984917623
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
