 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,O39,H40
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09278003912544386,0.010700107491751876,0.0006406293935277141,0.0004465343083290829,0.004915662677426047,0.0007587457239808248,0.00025958889201582735,0.0003824926562872033,0.0009965569852905531,7.344606980930202e-05,1.0421049220443734e-05,8.575630878526752e-06,1.6993247013985524e-06,2.2402594546111487e-06,1.1335782679200435e-06,9.8671017800811e-08,2.289455269810503e-08,6.583489584599533e-07,5.69814051498696e-08,3.491846256586939e-08,1.0255780669155001e-09,3.5506921403083425e-08,1.4045615781554943e-09,1.2456685238859677e-08,5.215878839948118e-10,4.849737599221804e-05,8.854033748229018e-05,8.43139420281247e-06,1.1568592988009385e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.867089107705276,0.09571391133017049,0.09214769300052272,0.09324807729169315,0.002674715115810508,0.000789894877733531,0.0016694354197417938,0.0012847394543654689,0.00022872457092802667,4.8436113555538896e-06,6.574903776007668e-05,2.719756357127956e-06,1.4102975112062488e-05,8.855543434577173e-06,1.6133802021728316e-06,1.9391833583348728e-08,4.004234822996278e-06,5.056782234058588e-07,1.9400631186689e-06,1.3589290803750487e-09,1.673274444682904e-06,3.318563424059562e-08,3.3197011113650365e-07,2.080479566402005e-09,0.0001542994444713175,0.00028507084302239333,3.1666590704929054e-05,7.178114698747073e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9738878430034923,1.6914221263449596,1.8302661755948526,0.0009769519775347513,0.00017707891121231806,0.00047562573646860173,0.00020189570972384274,5.230683967427652e-05,1.6321317728440476e-06,1.7589327292233392e-05,4.737453658254509e-07,2.4831119221913056e-06,3.348035777422931e-06,3.9789990891048177e-07,5.182342110998661e-09,1.7496013817314138e-06,2.1006169848014622e-07,4.5338261697724924e-07,7.880274210947391e-10,5.027163489657038e-07,6.673244956623137e-09,9.295751210447456e-08,1.4933809744377413e-09,5.87339215608329e-05,8.854298808205763e-05,1.2280404803236e-05,3.1997532754513003e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02526443002205081,0.02423862822311218,0.00029995826169382234,0.00010662314224618719,7.322933845332891e-05,2.406393978526822e-06,1.572051018738918e-05,1.0749161245549033e-06,9.269363858699364e-07,8.020186936796847e-08,2.256713653725484e-07,1.3077914218229125e-07,5.370083555611416e-08,2.6690261112349845e-09,8.120731775917989e-08,9.229394803966784e-09,7.273765811888211e-09,2.476283622598885e-10,2.8808342156239064e-08,2.4281103794265846e-09,1.5402159547761585e-08,2.810249810636378e-10,5.006289064413139e-06,1.7397150587905585e-06,1.4657732047007599e-06,4.109693099163536e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025416119929772885,0.0001582453485018398,2.7450331675060724e-05,8.246019088309353e-05,4.5681406647402056e-05,7.939225409314687e-06,2.816118691573166e-07,3.18640121943492e-06,4.644619799876182e-08,4.686693635402861e-07,7.290411194738056e-07,1.047019138056271e-07,1.16262222071839e-09,4.439039227310815e-07,4.9379412558892e-08,9.301932846206284e-08,2.2417512290928698e-10,1.1366375018972974e-07,1.200264110323701e-09,1.9844259346868398e-08,3.1773650377431295e-10,1.1004124293112483e-05,1.4774590807342669e-05,2.2428611013980415e-06,7.187137582853609e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.90572484793617e-06,3.470003531846899e-06,1.647236768254068e-05,1.7471044071681874e-05,2.114167547029311e-06,1.3737435589078473e-07,8.047775426067716e-07,4.422293664596566e-08,1.625504815194745e-07,9.354447150222711e-08,9.288374513971576e-09,1.8717805083667827e-10,3.312273899602758e-08,3.623438660227407e-09,1.5604323611029258e-08,2.8679725261326894e-11,1.0683173901071541e-08,1.6266210600690556e-10,3.274754023507853e-09,6.345568515087052e-11,1.598780011047296e-06,3.479671867090417e-06,5.019326141386671e-07,9.49774319192187e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.482706354213412,3.573112091335653,0.1372742199227005,0.2758734171984102,0.028800974436459237,0.03426799259284824,0.0007996482143706185,0.003899430671237436,0.005141029059735763,0.0017537082687505146,5.3079219837437464e-05,0.0035137230887120063,0.0002612238638979303,0.0003433941742288227,4.92371146232351e-06,0.00036069328966933933,6.83229367015592e-06,0.000426751252855212,3.4062148361879707e-06,0.031075190539253866,0.005337621116073138,0.005808394077810836,0.0013043013744264975
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5363949980648336,0.026273900636626935,0.07056996221059444,0.058807010371278334,0.010218831274386414,0.0011005395840658627,0.001521548803935402,0.002008750166174064,0.002993749427712203,0.00014847846954113564,0.0015082494308601146,0.00019690869618849138,0.0005410761461366459,2.0737018384675565e-06,0.00032723662628386663,1.479793089509407e-06,0.00014960752314216452,1.7087736016163646e-06,0.011242574195309801,0.0036103971165080823,0.001707835890306389,0.00036232196887497903
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7207810232549097,2.901792626670281,0.09989154743830275,0.17836271569093048,0.0069516421273894125,0.025801855521955908,0.018590831867382307,0.0031287061403498795,0.00015769347266503253,0.010944471384267379,0.0018538276311432789,0.0012776444616790228,4.295011333255161e-06,0.001766397482662968,2.4504555653503957e-05,0.0009862051347426792,1.072556122916346e-05,0.19827351152228692,0.04597674802386505,0.028692625315896184,0.005068855496664804
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984461225760832,0.03047442235100939,0.004739621377289449,0.0018541908027591703,9.622926019003941e-05,0.00030542846967596127,0.000209793407503156,5.86059240428316e-05,0.00025486775579475207,0.00020020089003525143,0.00010112169056075704,3.9782526601861434e-06,5.113468559481138e-05,5.273703276298392e-07,3.164284885914803e-05,3.156284709815438e-06,0.02030302669939399,0.045142392519980756,0.0032370432195421017,0.00011164559047682765
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6420305558555777,2.484907077225712,0.08544191248884325,0.09215567589246176,0.16995454913210595,0.033834073984886914,0.0013598293961494257,0.03675836553603709,0.0007453584325842755,0.0038576283200841277,0.0001122105073294577,0.004788220964813461,0.00022999839670734268,0.012890368148320258,4.58770702540523e-05,2.7192655737585194,0.282008552058803,0.21832091846351742,0.05417760815935779
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08132936532789392,0.030662899003571553,0.004689029264844713,0.008738349757745123,0.004189709242775841,0.001913125217146039,0.0008086567904751485,0.00026050015206191546,0.0005513680512445607,2.833827965842417e-05,0.00041793999086991995,1.6094158932888902e-05,0.00035727979712929514,1.5008088038781509e-05,0.10958352307903518,0.02836107403113497,0.010473666655580027,0.0006573497943538342
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7117800305626636,2.0209546005187335,2.7993960875362167,0.2346494191892113,0.013716708406741551,0.24327208868750344,0.015532775610521687,0.03604130212839518,0.0026893270979437833,0.034506234628785534,0.0026504369217443813,0.02131148200633018,0.0005270932712178045,0.19307079735968402,0.04318783701536788,0.03140922910151668,0.0019662509222767577
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024732989102870917,0.09565356177358231,0.024368036782212554,0.0008046688449907524,0.018530846954383673,0.008102427308296134,0.002814613035946989,0.0007670094676968109,0.00163930176991256,6.369020780683243e-05,0.0015915283435297134,4.7071765941097965e-05,0.010891341726271486,0.0019435964302503272,0.000844056116827141,0.00016340958918115156
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09340687127022385,0.016237108134139033,0.003635532200017,0.027692328013331435,0.0004897820847407086,0.0017358319003719647,4.389454284359218e-05,0.0027583155192398845,0.0005021551493835652,0.004993831257090742,1.9358077242292993e-05,0.009384010151964217,0.0016424407588960799,0.013700376804747005,0.00029805647547020975
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6332386472158342,0.1252588675951296,3.8158484145786233,0.1266457288546572,0.3286619811937057,0.02619771368462298,0.3328593214744563,0.026416111085257876,0.3025718836454174,0.004070297175316817,0.028707555307147165,0.007372458538414686,0.005183465349344565,0.00039339913207459
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0660572337591856,0.3258696522872102,0.028376733163509194,3.7978642250553456,0.1302262217624841,0.3157551079928286,0.003565861145859772,0.3353104189977569,0.02724442842142416,0.005100740183694802,0.00208482754286779,0.0006536739558777455,0.00017127369544778226
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028489656494490534,0.0015465749775736004,0.12882455110792312,0.008327612822155661,0.00384292722711832,0.000522415442214319,0.02719266359729766,0.0012112115898255116,0.00030335175724283125,0.00017851691953019166,5.278904116057248e-05,1.7723241594325145e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8440352637299045,0.3124432945337432,0.003610177611023113,3.772037628291034,0.13093327088669415,0.32888459903035155,0.02744552722220961,0.00654287787925506,0.0020321640953303854,0.00127922392155988,0.0002325163701049071
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003909455200963752,0.0005174395927389774,0.1261371278127983,0.008190713472066902,0.026892674875477196,0.0012413410367941857,0.00018295238654175705,7.15385075458208e-05,4.43163560062132e-05,1.169321592664474e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8494757962968593,0.3323012890983633,0.027507306374568996,3.8944702955515362,0.12845156752068698,0.0009642931385434317,0.0003805737396503778,0.00014553501250680334,2.807292747331047e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027166121173499924,0.001351870469429306,0.12886928371628792,0.008019421331065812,7.768618101433589e-05,2.599442362261062e-05,1.106545649309787e-05,9.476941988939558e-07
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070230727353526,3.7413517737324913,0.127290251317556,0.0011683883191546396,0.00033020602778488506,0.0002468237018648789,3.255525170897666e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12657109905208164,0.008042469631928117,0.0001037908180454572,3.514546190164225e-05,3.245886025848854e-05,4.01874789668355e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0514218479582333,0.0019396230085591548,0.0008685668599764246,0.00020396796385836746,0.00011321755734305938
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0693056964772296e-05,3.889775446741517e-06,1.8472663508850573e-06,1.5356053983950346e-08
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8402116180003105,3.5380083210602167,0.17144841549609513
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5190318856126228,0.06413854712830425
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.774705323673361
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
