 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,S26,H27,C28,O29,O30,H31
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10723408668496659,0.02130836974482697,0.022630899354598277,0.0014121565829956495,0.0013152580996076413,0.000512504073477249,0.00019449938489923824,0.0001487490514699985,2.0178158228301157e-05,1.9904988287855474e-05,2.8443233408559365e-06,1.1663117486571117e-05,2.2931006848914137e-06,6.720967171691683e-07,1.3496225974574116e-06,1.2531706539142817e-07,3.0213110433496837e-06,2.7412422871631037e-06,8.210420862075907e-07,2.0947930789994018e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0867739423671035,3.4392691038637806,0.13105799211765712,0.14239142175975228,0.004363745929972324,0.0013923933395514065,0.0008608794368535344,7.130350430040178e-05,9.86996984172761e-05,1.581788593774114e-05,2.3001022112334457e-05,3.6333026045554107e-06,4.921677682512282e-06,4.66965257232832e-06,2.174283861178239e-06,1.3900070648054097e-05,3.96181295914122e-06,3.50151929717768e-06,9.230828411643799e-07
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5360580785496541,0.03614928181407395,0.03252179070755812,0.001847518119322128,0.000836012311764403,0.00024986817500240177,4.743305491661243e-05,3.120835421831225e-05,6.955512073414383e-06,1.4065765876231096e-05,1.128358448898581e-06,8.471338262538985e-06,3.4339944732023064e-06,2.2849570464611446e-06,5.4243572317203e-06,2.0995044043431443e-06,1.4121801717725813e-06,7.067771964353042e-07
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.885211043517232,1.8423611204993149,0.001170238465361545,0.0001547530697042082,0.00018467050856574296,5.8183025295477364e-05,3.396031779033526e-05,1.5016064811579355e-06,4.979436967603168e-06,5.570257398668232e-07,5.333664181428333e-07,7.413997353059032e-07,1.6348331310922504e-07,8.096897174236783e-06,1.237305878018513e-06,2.5478438268888848e-06,7.203888979789852e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034456439421928664,0.0001538319396603427,2.0109281870683837e-05,5.312672122725903e-05,1.2691365622874429e-06,8.128125430162392e-06,5.545758043901117e-07,1.3025481797601657e-06,3.8493567000585927e-08,1.1867721583236346e-07,2.2239627461839717e-07,7.363859499953662e-08,1.9031685173365176e-06,8.490807934524724e-08,5.914928118411211e-07,2.1363769686644218e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001000815989050663,1.1793781409474846e-05,2.2826988382407265e-05,1.8793065414968169e-06,6.460158114007797e-06,2.545947259680048e-07,8.438454963677344e-07,3.3310580693779457e-07,3.1540240863492386e-08,1.516834312598192e-07,7.973009896744543e-08,7.835020060520392e-07,6.909356309314774e-08,2.536237400097008e-07,7.229389442642287e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.852168606911271,3.571125607747468,0.1377691512355368,0.2696693826784765,0.024706486261711236,0.030318815608715882,0.0026465914771680588,0.0060095895335408045,0.0048638854725807645,0.0013887070053399952,0.028643633720823902,0.006891683593990339,0.005574753520684594,0.0011760988269743367
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53696403949003,0.02661610185009966,0.0681410688145425,0.02990786662743039,0.021683937400386766,0.0008372922655718318,0.021592434297947105,0.0033557228358522193,0.000796051423487043,0.008096218203601652,0.004134380763058193,0.0012501717628049525,0.000235982364387044
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834604512788324,2.6971223680077263,0.09511576100701447,0.17810063963619355,0.025791508202590574,0.006684310700792229,0.03176341544299968,0.012050210252221527,0.1926768672358202,0.059593611260486706,0.026978395309345607,0.005197414446888371
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09583395803238026,0.015893152213727113,0.010391352432781553,0.0006010993670202414,0.00016792574659341142,0.0019739090536871062,0.0003358037742522413,0.03628476541458203,0.08198810398419087,0.005829933556317002,0.00019169419323739056
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773789058537819,2.5703362571922144,0.09395592789723772,0.09651805284641735,0.18937794531911228,0.005057112531954067,2.787019464837692,0.27915078559188367,0.2200370144286648,0.05373403934195542
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08664555205520508,0.004722734817449226,0.005305232414437144,0.04200249435816439,0.00035576861780928226,0.11308128134910178,0.031129711158609852,0.010030823821762347,0.0004257557141100765
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7728666553763195,2.138611826950773,2.581871841759381,0.05304215447760474,0.17391449623132663,0.04367637738771045,0.03179800581809607,0.0022293864758486936
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02807644425504341,0.0862578848392147,0.025696946061066983,0.007028290062912834,0.0011294489302189348,0.013908034824215654,0.00035292549368759474
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0886792212166494,0.005009633431545479,0.026395468775124886,0.004536604717275905,0.003946232697893626,0.000300192113564135
S26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7402473935023386,0.04381645021208823,0.008488913286489125,0.00871067597084002,0.0005877359395914938
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006169739658903328,2.5339890171061086e-05,0.0008536785557278215,6.479249247126617e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203945772300274,3.3178725487387006,0.16741333820516258
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5103379521796282,0.06274000416474279
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.840277563241599
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
