,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26S,27H,28C,29O,30O,31H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2230567156948626,1.3762438122724379,2.056944443998265,2.0182682996692516,4.504318624057875,5.279517290347397,5.214266647442853,4.935472825401576,6.622986360356653,6.853292669362662,7.568175594272451,8.568966496244373,7.385296190930354,7.960697551648789,6.85248606038119,7.240430114580786,6.823583961586124,8.551060580147913,8.988600622708647
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279265643254369,3.140557258629709,2.472348070915505,4.760716919576468,5.611732350548428,5.358823847007593,5.017931013160142,6.808900396910959,7.206776535329285,7.586153692960026,8.639567731642149,7.4085552726755415,7.706740503255682,6.495140180431063,7.42031237632029,6.971670240303479,8.755891909571302,9.18258195926502
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0119855634346584,1.0132321511603706,5.326285857341074,5.875106167168284,6.225973885492004,6.076563828867658,7.579178966205386,7.6558832233809175,8.52290328305794,9.49338836609493,8.229924150519743,9.075181439422835,7.983704089144104,8.295096780235184,7.958902076989885,9.564786864899244,10.045778047596501
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7050127130420163,5.240673228587519,5.651338110369674,6.214919906215567,6.160789418347324,7.476195641617218,7.408620113655054,8.483755615527677,9.393837455287928,8.166010433318057,9.232011651141462,8.230499049493833,8.224536672026094,7.965119815060782,9.436666403215074,9.942832142034733
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.806840611733541,6.267893550417637,6.785932993753074,6.697071341269065,8.15447120418345,8.25653687153118,8.96439863904451,9.962043055734402,8.580976248923653,9.447633476226455,8.2921623473826,8.970545029207104,8.686906232228814,10.243143912846186,10.767582892624786
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2293193725781313,1.3656333135995455,2.0745224496523145,2.4568058157745853,2.615846999316125,3.2465515053104994,4.1796349746069055,3.0033495991361923,4.231312977555076,3.559629176086517,3.660623760823298,3.971321288014777,4.767186835895918,5.50854469120983
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271502821454527,3.17303202713645,2.7880772234751134,2.569096680679865,3.2638063801459403,4.0438387147728205,2.6985881239660423,4.570062609647034,4.07965404477109,4.20859154378054,4.785824639039637,5.078541718334516,5.933690628752489
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0140638407430052,1.4511684211787477,2.0843935536094658,2.502237047700562,3.4256744283445126,2.7357487432261345,3.318299078089285,2.8510320193054204,2.4020060123832185,2.6813401524048883,3.6049698802654575,4.276708541650507
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0983049639756968,2.837498912444371,3.2030428430677493,4.087869958246779,3.613738863532076,3.6132578433280944,3.0617347052874537,2.416960005397058,2.208670590047215,3.7513404043037677,4.221796212015853
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0998331040256057,1.5433969568455088,2.166867919911804,2.152224465983788,2.8533433564694213,3.0222913547587145,1.5237463667469926,2.4272441276572336,2.3771590150644304,3.213050044080837
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1316708318284463,2.431944771461625,2.434063563762285,3.780422193330448,3.9978159073600725,2.138577333124691,3.092667790342274,2.6499204814788224,3.5331533379008966
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929077933283329,1.0917402759404775,1.8377272349202676,2.3988318120526535,2.549994186355001,3.5426525569546214,2.892634823882642,3.7785102017928014
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7723909645267009,2.3743118582577862,3.3040373637326956,2.794625429178872,3.9333364809514832,2.5977842085944007,3.4923811740809136
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.442026493823266,2.642187564989456,3.4741503363168724,4.423615620079329,3.8831032923695603,4.80676217435703
26S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3503856655806126,3.2633234459695637,3.8626816352730744,3.6543078510277893,4.250753246079523
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.667959008430356,4.015960696901451,4.44764288562083,5.044657066777348
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2120085511022565,1.3461213717749478,1.8764341541311906
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2556836591855265,2.2993742430406368
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765085636612535
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
