,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17O,18O,19C,20O,21O,22H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980612612746525,1.5547362871342885,2.163429771374328,2.175458320094735,2.6236593408041955,3.5745703161176827,2.998078626781562,1.5209120244991186,2.455708985526125,2.383029401253208,3.2008004713076663
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1806284885910054,3.065924175257851,2.4547739632030745,2.9440956703581214,3.644182874744489,3.4348530459580258,2.118166090107819,3.230606058347473,2.429964498470297,3.3680556018099046
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994607743184077,1.0929230896380655,1.577307644341336,2.4049644414353755,2.413348019617217,2.513778231411759,3.293401404828352,3.151870256467385,3.921066155828467
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7790652942624072,2.1829257246459175,3.0574265826426097,2.727163315523616,2.6714046682420296,3.0602308544122807,3.5099298331336737,4.074306745344315
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1954884040253533,2.498637354874187,3.307596750976413,2.780593445353217,3.6908190005684482,2.9320655157299873,3.6918388580786323
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2391999307939296,1.2807877450801075,3.942124667387192,4.69536410042625,4.595379837481512,5.434361045624742
17O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2687280351423453,4.8250200879302065,5.685828632251041,5.213445901513137,6.074526796338881
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.367924527530263,4.927243300723044,5.278242959956916,6.083235099835994
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2119662547449905,1.3667524100638448,1.8684306768214578
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.248130438803185,2.2425796687796073
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9753918156708931
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
