 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,O17,O18,C19,O20,O21,H22
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9898957592890878,2.7751841124748267,0.0854224931072407,0.09294396201918986,0.15067339088355203,0.03944996566748135,0.0351605326112617,2.682530031694352,0.26153059768964787,0.21508446731189745,0.05485025935857313
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07921184403223047,0.033909691097537165,0.005700688444391977,0.0055955049409277535,0.0020870111764926813,0.0008730752797992958,0.11633065179534863,0.02537100801706782,0.014931250380848193,0.0011200819079730806
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9655834190419055,1.907041838043259,2.5009731187473827,0.3050631119657615,0.2732335269496703,0.21288011602422782,0.04621898097473945,0.025216618407086486,0.0018569840522084657
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025030734434523083,0.08258623403082765,0.02674093311491299,0.012871183701029798,0.015132254657673094,0.004868968596118628,0.0013497035140130897,9.684533026432796e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0782764817552073,0.021027978092797217,0.020357562186407496,0.007073238338098253,0.0010347637380531127,0.004714676842326626,9.078119287098119e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5632409509463,4.342757626734198,0.03403870975560014,0.009169984444688861,0.00526248514158803,0.000622161504533203
O17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762313338803262,0.013440027111692288,0.004764971683320705,0.001900574564588857,0.00015878257661217088
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006428405137239579,0.0015259960565244673,0.0012530418465026838,0.00012300037560264432
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.217425066026642,3.3354112790147763,0.16778697750691962
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142010077897485,0.08247985703407512
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7549729849984088
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
