,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21H,22C,23O,24O,25C,26O,27O,28H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279581348608537,3.1654704404929195,2.8562589821249715,2.9194127631927445,4.3469431306368564,4.618877018803634,4.7268464573085165,5.392258859379159,6.362090765613094,5.456251096365406,5.707359927351893,5.10457211034012,6.803455956498142,2.9925491662749697,3.348668466876155,3.6083184110912976,4.1080815748987405
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0104807092631358,1.4615950691422956,2.1086114394185245,2.4449902572775337,2.551341057047019,2.7268015066973357,3.8251911394517033,4.597802723523814,4.206625449921043,4.426475185849034,3.9352289239250355,5.644014146355513,2.431471466991798,2.8468477070705336,3.547337438769424,4.235631562585089
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12092004943716,2.8528366138987136,2.484692518004529,2.3320519461455262,2.527279368990922,3.9960802348951123,4.566002893647758,4.536340944108271,4.707696623408314,4.245976188302776,5.938261393396818,3.1392134980390995,3.3624474262359154,4.344521578372718,5.000704624335114
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0927593955773978,1.5446899277340749,2.1227486496906165,2.1625498870618514,2.5829213077867768,3.509441283723269,2.818908010159644,3.2373955522503137,3.023392348568142,4.383126822441434,1.524306413973238,2.4419584142245196,2.3900645186113483,3.210771907962255
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137024867593166,2.467391088214435,3.0423023721961813,2.704194655316457,3.747305640883204,2.9649708691939796,2.7881114343712183,2.3338948237264803,3.905275106520403,2.1704551833562364,3.287454943381596,2.475978853521202,3.428047329293097
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097001609259471,1.1025711384328454,1.5316793345368953,2.1559331264111563,2.1883562888667427,2.6084451138213898,2.755930024676464,3.7183001342673663,2.522426250476415,3.2107030642943717,3.2741983351651807,4.018889598221563
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7896497130776472,2.12984252508939,2.5336079585949673,3.0585551985980874,2.712514405045076,2.5177930922137493,3.8832380387732837,3.4305611411972934,4.112543296279446,4.202633033254522,5.015031158188229
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2002937258401465,2.447359486341972,2.6256959831766933,3.5651929908127094,3.839083908123149,4.558380687840726,2.6911304560402316,2.9533689102960343,3.6566573817519346,4.200431029246122
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990397992506482,1.0983433347496536,1.58171194165646,2.4111285431122553,2.387301209016548,3.182499782902096,4.024252597703584,3.3472630305291258,4.060462186430441
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7520068078786115,2.183699573579287,3.1233581923995724,2.644154879354978,4.068644657907199,4.729781442530028,4.306360459753039,4.912818406552306
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1952360248166007,3.128645645423565,2.6678286735334384,2.866343230263345,3.668591705256128,2.7169374680069898,3.273879012538527
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2626285056124273,1.2496879075694378,4.088672387388933,5.149896590592403,3.9587967460132467,4.801614123911202
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277782165133226,4.187046972876998,5.297884199580019,4.204349141195274,5.148642966094354
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.017403972145333,6.062370812655244,4.640253330950323,5.37439643142937
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2154363439535614,1.3527945008272726,1.8651811597688743
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247538082753359,2.256700832397677
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9758612715386953
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
