 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,C22,O23,O24,C25,O26,O27,H28
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5460097409863865,0.028267965944163476,0.0557758408714301,0.012855375166828109,0.00842300038360741,0.000974918259072588,0.000534837584061032,0.0010462601627305168,8.421341121689352e-05,0.0001240470913294045,0.00025846540897767056,0.00037576271847672427,0.0001266396695873001,0.04388705513300041,0.0085754820568745,0.004237361846449933,0.00037943186220301683
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778122330140913,2.5432440134431933,0.09403206710517453,0.18720465992244284,0.01686298623232807,0.006804613027186823,0.031811422736109846,0.0038369076604711783,0.0008546119360122173,0.0025817668651910153,0.003852507572545849,0.001081976668454214,0.19102515937781323,0.03283601215340182,0.028231360053417975,0.004730525485722614
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09513851811485541,0.013481611504915447,0.031412825505029884,0.00919165867502758,0.004865566797450427,0.0032473228382969843,7.951071504952445e-05,0.0010891759061717465,0.000515394904595512,0.0004562880771515898,0.00042424716984401645,0.011048673401001352,0.0007401839800648125,0.0023335928063992206,0.0010689784513355782
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.036776771954008,2.5787281162432056,0.0959834690251502,0.08163859694174058,0.16258258977462045,0.028918015969679578,0.009848234824261448,0.017194279918454847,0.05312616650700219,0.006413793128011561,2.5062851514368747,0.2595301353048643,0.21680807196409468,0.055265561170354416
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08425356752398905,0.004670600692359361,0.03311802377432782,0.008957624021523669,0.0017422039316008497,0.0002169609681346163,0.015873846592523444,0.07832838664235142,0.006776579274014538,0.10482149238781213,0.021817537051553093,0.012199270323511535,0.0010810982274847003
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9289667637225385,2.102712326699852,2.438560562379817,0.09852731940493564,0.08544387597864467,0.14607046778360316,0.06801388653644558,0.046742725396462736,0.19627178837195258,0.042441223662742986,0.024672834908967614,0.0022762132576049643
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02300635429974962,0.0864982466835924,0.0030774771201496076,0.035240905866399386,0.016736738222459024,0.03505906619350041,0.003759439025256772,0.029808806585950087,0.0061570504656214275,0.003090983117502333,0.001212659030511709
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07998179378853143,0.006052475942805113,0.002100204888845658,0.026133480895842887,0.007693839304683481,0.005760656925886121,0.013961723368328016,0.00692343716926791,0.0014762267114398764,5.321331474950064e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8056462969924867,2.041116015853382,2.592090896787841,0.2957366900960413,0.31808048899344094,0.016084156640957442,0.0030630501314030806,0.011182159351557114,0.0007211318019900714
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023919308019814123,0.07885756069090366,0.023209966973942953,0.016978720532208946,0.001784680087822954,0.000648611035756419,0.0005251409098114834,0.00011964710325540473
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07421663211605223,0.021464697076299055,0.015814618639982347,0.007817413476415735,0.0005041666722058746,0.01564257312277073,0.0006371642500513364
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.716430702938626,4.133933552776564,0.0022559267688098683,0.0006046334443401413,0.0006006488374901697,3.518956939885243e-05
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5927969294375788,0.008287560033763991,0.002091176775885273,0.0006323366853930451,9.522962457153561e-05
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000756727854872144,0.0002316098044254089,0.00017559465997142587,4.362600779372894e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203593247563457,3.404041974266804,0.1747726107303602
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195036082720622,0.078172488616149
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5302855775159445
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
