 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,O23,H24,C25,H26,H27,H28,C29,O30,O31,H32
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08088631990104522,0.025542712423587632,0.011912612912178155,0.004547993392102434,0.0005921864100064678,0.013073519885698603,0.004741971912562093,0.0013306849469214566,0.0006829512566410845,0.00031284524446806294,3.882775493146973e-05,0.0035288348190127827,0.0013843317654833598,6.781345144957207e-05,1.1630303428766808e-05,1.6401903977891763e-05,3.544135064981191e-06,0.0056289205071531345,0.0335967180525345,0.0022047392155738477,0.00011373464536745814
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.726171982575541,3.818031391230568,0.0037469295833743865,0.0012593362740764835,0.0190963179688049,0.04708876039581111,0.0024944064863587356,0.0003323784477147207,0.0019479502345800814,0.000329367195077479,0.015247454576021502,0.034933934309490544,0.002246978128984334,0.00011854874245820213,0.003006175445818826,4.272649660319594e-05,0.0003248224389988952,0.0009167723392886906,0.00014031360663380177,3.278098380132821e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5424366227896947,0.0015905527061455538,0.0005737381209586917,0.008380425730203908,0.012490602605431333,0.0008929868421041487,0.00011700970130124055,0.0009636435003095301,0.00013283669617791816,0.00770252368951381,0.015970229851704598,0.0008534271817281502,4.780579432561716e-05,0.001136072538980959,1.364122740032947e-05,0.00023465108759976316,0.0006043035172704839,9.466130815551088e-05,5.418673388379869e-05
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015278204012711086,0.0043415896090852335,0.14970546072654312,0.3501842908288404,0.012281273291018538,0.0017964111605877076,0.00991067033577031,0.0018939605363023082,0.10727903944577111,0.33150575399207727,0.011249682535326586,0.000506370380315424,0.02426132972817019,0.00021407402252926477,0.0007005921407007704,0.000182696595582843,0.0003438719976894475,0.0001758176093762387
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8743163168552766,3.671613247068626,0.13782709067305499,0.2799408531202207,0.019262492941379383,0.02979947546165329,0.0039578200405399055,0.0033932813299660247,0.0007015438735717971,0.0034563626472328968,6.229653990130757e-05,0.0011071966324311955,0.0004578860533255291,0.047922439787405735,0.015865189803822607,0.007700490330159515,0.000933005334612047
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539248230874175,0.020438374577886775,0.06604870330906196,0.017218062309423132,0.007122803575891623,0.0006174527547476716,0.0019943873541488355,0.0005660278570235322,0.0024625486451129996,1.4967547235178458e-05,0.000934031610152597,0.0005986801515367457,0.03552596725162055,0.00867590111515694,0.0036036961063239115,0.0007224953540696522
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6970977770829452,2.959698341456238,0.10154804673798012,0.1741465124494176,0.02192951993131853,0.021585991834216167,0.0060350558731171455,0.02662560590607367,0.0005972187074210211,0.009848568257349255,0.0031112026201203236,0.19761709547756331,0.02539956054046061,0.0293839229195397,0.005032928534364545
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976823829115604,0.015037114849834055,0.016744772833547805,0.001747266509527945,0.011335557425993681,0.01735222844933393,0.005260778978515734,0.0001159736966709346,0.006996655102631255,0.00023665123211547012,0.005713566597683073,0.0003221453842565669,0.0014357563855293964,0.0005358731583300358
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9537113385418905,2.618697845308013,0.09183937777444462,0.2134526715283927,0.007490261371864482,0.16227016109520156,0.008048788125828432,0.006914316745521232,0.029224403361681528,2.607142414879758,0.25636416686448316,0.21867665916580692,0.054656731597499175
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08658841680127338,0.003963631770482756,0.025227838771136435,0.00014871110816794264,0.00735241655687302,0.0033310346072887853,5.026314446165969e-05,0.0006594597635067867,0.11419920550754847,0.02794509186304306,0.013306026428202111,0.0008646038984159166
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1211681762839047,3.0932407659695422,0.10866395000643503,2.6961033652143036,0.09021301661142322,0.08665876881459589,0.09278232749390902,0.2025202728624458,0.04111840731320346,0.02791682780209187,0.0019323396800261516
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10528784404852043,0.028877209789614167,0.08568092098217006,0.002897839575097594,0.031944656426763585,0.00651913921270264,0.011353142358575985,0.0014191814942493552,0.01329248022860996,0.00023626084724370777
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6708128055526639,0.2156074579330574,0.03310668823035301,0.008058272194875538,0.009637804415119744,0.04107336315466803,0.006625052788662995,0.0038542498649352386,0.00026015505689347407
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013138830794738876,0.0005342902423965956,0.0044207161396627725,0.0002891360495813622,0.0007723487986637245,0.0004734201860947529,0.00030753526350268956,2.3069782736806488e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039154201587107,2.1223358991752157,2.0044482197467497,0.03234511917529484,0.007585715272821203,0.004417029589854279,0.0005029000872825984
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025374724432313478,0.023461977108331533,0.0009164091345577052,0.0004726917923660867,0.000108223239515981,9.127738102909788e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02518502445650528,0.0009607216623626069,0.00010168444874258942,0.000318187369276024,9.667626438525367e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004429828854696893,0.0015992987154055394,0.00033825530838604845,7.646504202396542e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.680483722939786,3.364573060108213,0.1721966050131366
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4970321963852598,0.07852827654257122
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6917482913960606
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
