,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23O,24H,25C,26H,27H,28H,29C,30O,31O,32H
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56593931502203,4.762047669353957,2.7168359660429036,1.6738670561226874,3.5655858917269962,4.460954599046061,3.3279698928105574,4.378455886090835,2.7642040425813574,1.7832855089414383,3.4108622456842914,4.283911587043482,2.6529250693377646,3.90431567050138,4.376657989300862,4.398633250566132,5.577798348668171,6.1301071526743325
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2361450218992938,1.3529697184260885,2.0558797826981716,2.4552751488214124,2.789780018427289,3.7539104322898997,4.569823958281383,4.20778761720071,3.866245202911505,4.241752716761995,4.383450939807481,3.9082090053377745,5.291196511217596,3.037288056984123,3.1567247728470704,4.188999342560166,4.741351917475583
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.288347254688969,3.1894477691585466,2.8449417041763665,2.833308795681293,4.360706952033928,4.964109353207438,4.987674233804097,4.831097414630123,4.965940447101758,4.911714213132203,4.825543978398498,6.038506587891965,3.0832072676231523,3.242879956438924,3.975715761185843,4.45108413496411
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.045643297405658,1.4399425663045882,2.0963446459788897,2.4538790987217336,3.3672834488950323,2.9404183669159436,2.6554328437001598,2.971939316955251,3.2887298921095667,2.717684952937167,3.987021015333934,2.467918033289309,2.8727488247540145,3.6332623653252476,4.3182301845755475
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1253920501804076,2.941439269543133,2.5194238945421485,3.578661399071936,2.5942963343789254,1.992034273955441,2.8528665709065946,3.4459676393134138,2.32571732469326,3.7286204319215326,3.102378854553076,3.3307345120109377,4.320534371895199,4.960551783951165
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0981072278409985,1.564896809320719,2.1469760923183823,2.462830291679104,2.704589675560384,2.566695825774466,2.788899328677756,2.8748183164976067,3.505840766090852,1.5282667237648009,2.4633801259121486,2.380992232482851,3.2028300306331468
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1825182039770294,2.4497823002511403,3.384499231623576,3.692787360253183,2.7962459374687048,2.571243896663794,3.242511879470553,3.7630203051863815,2.1215189438044244,3.20199272296219,2.4688559909317336,3.393758742256483
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978590602112221,1.4091404343907694,1.9697139752908432,1.535919868851869,2.1939883570404684,2.1764845459480737,2.156666822506203,2.514606161825587,3.3750877058184567,3.0395275886973425,3.8378516234525417
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010743679187478,2.84930011536862,2.1584693444323504,2.5365569319351406,3.071282654864092,2.457586475886986,2.6691963337787956,3.655947140820584,2.668878083508147,3.4521534763315946
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962355933042828,2.4420437294797726,3.393022792993205,2.7128195179589865,2.6943874808124613,2.906015760312825,3.316873380431738,3.6363502428533683,4.182247875203773
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6069837021049596,3.614113107233866,2.4519144033513354,2.961277894059332,3.31503001310435,3.534966218377774,4.295284040228969,4.835288069038832
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098031425159993,1.094277399107751,1.0960333215107623,3.890874798882321,4.765995617684759,4.3820199660767685,5.260909246753412
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7843032504086072,1.7824402241536206,4.180876139831604,5.197609843173779,4.480388851686856,5.430759007891543
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7712301692593606,4.272294820269233,4.968491713090308,5.025970584932023,5.871326468412458
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.662657535355604,5.5096442769276095,5.01963936083017,5.848960509315968
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2078440818565048,1.3680682837655573,1.8703714127267375
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2488144436711233,2.2477093320546118
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754150204042819
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
