 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,C23,H24,H25,H26,C27,H28,H29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09025199096474679,0.01984235106410903,0.0256257993324005,0.0019063962929593004,0.0006072321091568078,0.00024596083454087037,0.00045867625101880805,7.213353782065113e-05,3.2701957066727516e-06,4.185579742355117e-06,4.505510679209124e-06,9.782948195979912e-07,2.1837118779899356e-08,4.123981489634332e-08,1.1901094909561039e-07,2.352351968770705e-06,1.8190953099406215e-07,1.9311190557758096e-07,1.903532649283335e-07,4.828463373329761e-05,3.8207580025706456e-05,0.0002565067905563323,0.00015361635365418458
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81375361803451,4.108927084842834,0.0035215687291149655,0.0017674878917826181,0.024184072673920892,0.03716726577693452,0.0021593475656284944,0.0003993679136076178,0.0004105145224416462,0.00029811732541373814,5.561932348518983e-05,9.175164417785098e-06,4.908256858726645e-06,1.8255199312866566e-05,7.9019117938256e-05,3.4644975586139992e-06,1.383155036527306e-05,1.9047591085064042e-05,0.003872240502291069,0.0017545409394519318,0.0285276305197861,0.062435202640909404
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549945934444258,0.0014911645254811062,0.0007490987998288387,0.009531722105031004,0.010292658953428346,0.0005797488652019428,0.00014483784452512527,0.00010425923581744434,0.00017050612786673192,1.4234191936274287e-05,1.1167672346878987e-06,6.09424234965239e-07,4.688214335413221e-06,1.9672689156938206e-05,1.4226176430209847e-06,7.733028725587232e-06,2.1127088069006206e-06,0.0006990100944780919,0.00039373269504020675,0.006548983178185433,0.012828342944750104
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01579528003089295,0.004653055984401619,0.1404798315917085,0.31788616230391886,0.0094316375332259,0.002168721135305862,0.0009161611259854568,0.001203210059362747,0.00017499240488687284,2.4767467399433585e-05,1.268392915376726e-05,7.408882530857142e-05,0.0002164848562894589,2.3756657317797192e-05,4.995184179823475e-05,3.844807096320402e-05,0.016564806278268757,0.005997572890914085,0.17267091507697524,0.47993879323176825
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666099031729991,3.661978797075386,0.1394466333251878,0.27464551553431865,0.024650975051792035,0.03809414010611023,0.0008457786444497906,0.006186246445510191,0.0011310332417222568,0.0001354238762212301,0.00010032754260702603,0.0075389191594289195,0.00029507959836383435,0.0004213847863625553,0.0053447824960262125,0.032556887505121535,0.0081369640295271,0.0030883310820369325,0.0005794161728005509
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5469055945407357,0.02037280901096994,0.06270966043874499,0.04549165204188721,0.010841328880110843,0.0009980207209182579,0.0019030588982370394,0.00028160333174676033,3.0956720479702327e-05,0.00014372615209901074,0.00207181952118643,5.943858796642054e-05,0.0005790178719508043,0.0011546477553096013,0.010351398711487533,0.0027938450605142703,0.001511627460451491,0.0005718159398129252
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6414288268016899,2.77937516916706,0.09814201416193269,0.18549134370482592,0.007036628541595924,0.029621808267188313,0.0034539983695245358,0.0005716777734010581,0.0008132712060839875,0.03514680702076396,0.002418662113013559,0.0005536619244284058,0.024431252112408375,0.17771489214518216,0.04109113257876619,0.02044979012316242,0.008979591229773987
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09396586426830555,0.025522026092465788,0.005258955559155676,0.0025466736620136654,0.0004789622296156315,5.018015744306936e-05,1.9632817760406596e-05,0.00035819570243855736,0.0005950027831694849,1.5620114175218802e-05,7.928755440667068e-05,0.00046721686788253614,0.005522443360430174,0.000632736988419702,0.004629569433028391,0.01208116470404863
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.900516794719283,2.7386452654516287,0.08137889910374496,0.15492877512001446,0.02937350527704452,0.00647023383782197,0.008712466473389524,0.16022255224997617,0.029707747430178122,0.008791979230930336,0.008085531597355589,2.6510035353521166,0.3068746128980271,0.21563616994978504,0.013113014423001945
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07958467539877123,0.032840514716506064,0.007115580917339992,0.00033207463418549743,8.651343532806166e-05,0.0036125615210891304,0.009409724020134957,0.0005735454346764701,0.004232933438254927,0.00016150230247746755,0.10184023623961758,0.02042946045298699,0.01835813347431925,0.0006378655315282256
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93779885998318,2.6924901866970665,0.08862661613635958,0.08568784605425761,0.08224319489366061,2.7808502578572654,0.08426489054547837,0.08131681722408235,0.0860718084064176,0.17413945147865242,0.04358198470551458,0.02192998975224468,0.0006709349185509694
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08192117441844737,0.004157652348943275,0.004644923579175675,0.035400695053064535,0.08187746843402466,0.004462554670843666,0.0352782733636503,0.004529938093600361,0.008345679273573214,0.0012290395986619407,0.0054307661071628655,0.0005678017034387306
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167253412442352,2.02240833274268,1.9792671133012565,0.17883853631416904,0.010455953691372866,0.009761769642887108,0.03144690939467676,0.029184072985032644,0.029316291444417095,0.003990918774260749,0.00013783355408047981
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024441624145941754,0.02208893826764924,0.011507371922032439,0.005237125942229692,0.00019541169365977495,0.0007967370493842107,0.002612617686748475,0.0030943732793435874,0.0008168135790074249,6.405953248300733e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024645670616234572,0.03238047609824113,0.0006722063364577036,0.0006132234693523309,0.0028373701201354073,0.019161644662655464,0.02042979076384921,0.0006408301143687734,1.958175531768802e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009114378834601755,0.0001613687480370718,0.004563571604970784,0.0005444909051548485,0.0012924278174513137,0.0021525123600318885,0.0003583920481526892,3.086948849762017e-05
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1724580382032013,2.020703384950828,1.911287192026997,0.03105241774341816,0.0065489185055672555,0.005209738482423704,0.000133907003827205
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022219809488309927,0.023576669079890422,0.004260105513135937,0.001306099723965115,0.0008446203567267219,2.2148176390901497e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02412598756334572,0.0008641506002888821,0.00011765090898041564,0.0003641027869989433,8.122652186282053e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015007745141424333,0.00036250766133893997,0.00012292276970504723,2.6318285002435715e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.782235047138982,3.702369482889395,0.13519228804042027
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5397130208975668,0.025444482098014864
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4501643706726117
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
