,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23C,24H,25H,26H,27C,28H,29H,30H,31C,32O,33O,34H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1394232367823673,2.5044353220188085,3.2498125952511483,4.525250587902196,5.519683668785918,4.640306890775203,3.9589549959794446,5.879199224213276,6.500277771371422,6.8097212412444295,6.4463041699613,8.169747781364842,8.8722840195864,8.20397856252989,8.68648062030085,7.231439621746035,8.012584144196673,7.792748527839347,6.489370011918729,5.9986701463595615,7.051652884925837,5.329692475744808,4.454426158766309
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2330919738048667,1.301405084466534,3.7585999503684393,4.842503166898091,3.29895568831038,2.4736260307645126,4.233449740324417,5.0342919923730385,5.103678317074536,4.6558726541635815,6.327685981623025,7.0422468496337824,6.2262936450216415,6.936443440247036,5.852067140292898,6.610056721696127,6.505174920314148,5.344984161429388,4.096127061020182,5.185808018256255,3.2639630019513737,2.352059180144447
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2621678753812993,4.607044356069235,5.546857776633689,4.193072920622259,3.493165419096272,4.9162654916802495,5.653906859775806,5.907254000797566,5.485396691972933,6.966659756409572,7.743720578728284,6.695628016733667,7.54672902324301,6.82711769080276,7.607692803488355,7.4312494728594105,6.423394299302166,4.416925932884577,5.338461129144029,3.4307732169082628,2.74776813308057
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5358063872530656,4.6740528660559,2.6631995494061163,1.694431602148471,3.4191338255336614,4.378241009201562,4.007096676478389,3.4286956095463346,5.230073306284581,5.857213116949697,5.165662915868815,5.943634275063434,4.814181304689478,5.479947704252023,5.58070402628506,4.397626412991253,3.392301861564643,4.573571946168766,2.5888602575622524,1.558579812777776
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2353078830811797,1.354172013798307,2.0500914023620203,2.476777876067812,2.531102035914446,3.5918430526551175,3.9800903240627066,4.893471020822428,5.70956885789162,5.316758703419032,4.9853609053482115,3.650547841847656,4.700031120508709,3.736247536918017,3.1207571163195804,3.5275340753670714,4.387495577481853,4.013164777072413,3.6562195090713185
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2951643031323754,3.183639381310901,2.8724153406078843,2.415742426977939,4.039057908184201,4.686323085805859,5.101929435249726,5.970493530119783,5.570551403233684,4.922373855946728,3.9868678768934678,5.067091063708757,3.7201899016019166,3.6474686427404728,3.9084409670248412,4.474457727471394,4.673256689667638,4.542378578396723
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0358373954199687,1.4555396895779371,2.060648557056348,2.4766928206288865,2.700767337841458,3.848081217178248,4.645274317818317,4.189943840600954,4.170397343854094,2.9220412447145647,3.918708140033394,3.31450638652675,2.5662582756018324,2.5285678767568447,3.5733628570850104,2.93302092095923,2.565010322797419
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1349628094824356,2.9819273067476155,2.858134038051244,2.6618945177530735,4.272907484290875,4.969778761607234,4.4970602230215055,4.804586294071459,3.408585144922498,4.249620190951276,4.037885103390992,2.938106523888714,2.812057763416512,3.9983915868057296,2.7348352137627576,2.0375502222424373
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924757015943862,1.5615683276456558,2.1551548961447433,2.577005614750798,3.5259779602641395,2.8485339560276146,2.836973345654107,2.5481480881115077,3.5090353397783303,2.822804422450849,2.7793783605572604,1.5511335853602564,2.3913236394973785,2.4891525015806937,2.632063926690957
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180318941131933,3.059860742157153,2.8318907418003394,3.8259319699719216,3.2086324680551437,2.65257166980734,2.7897992125343887,3.8053789012105432,2.6198398851834357,3.118153913420213,2.1264144822033115,2.4900359225541524,3.3043422765196406,3.5825664799491506
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1007787714330945,1.537127793298243,2.174314074654412,2.19804411034757,2.18220455788414,1.536044261101723,2.1803436350907686,2.181083097567514,2.1869260845136513,2.5465983710222395,3.221705271352416,3.2743706458348125,3.3625040138187154
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152401762193973,2.501641752731996,2.50677557327329,3.0733589719341117,2.150722095782114,2.495821957006372,3.0723122147052955,2.501297500598917,2.7831549734159213,3.6503334224053585,3.0511134869076675,2.942536644232841
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982102524751953,1.092766541057147,1.0977044375852862,2.5208513365092307,2.751659091660933,2.786995633892343,3.484057570124593,2.9706976334594026,3.091163196345412,3.8390570265562505,4.264252889407989
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7778626626297163,1.7757648278829077,2.728430314606048,2.500123831996584,3.0890812768322014,3.737476240695558,3.982504288263385,4.136450299508072,4.695335019322909,5.029146095396432
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7629624745577395,3.4890219207853983,3.7533946289606446,3.807815186818449,4.348051342910525,2.629931256664006,2.5464376621974987,3.356116800827193,3.97162237719514
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.801548802884702,3.139550682595131,2.619210204204246,3.810913723517268,3.3201224609985527,3.1572081901590563,4.425552313299731,4.935438526956803
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980095360950317,1.0983663443333231,1.0939448963132046,3.9113699849998436,4.564364153561981,4.659933012978968,4.563278773894409
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7750667399758362,1.7766005274884753,4.719851596904478,5.322362327762132,5.375564352419865,5.273889850438087
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772141206407148,4.226048906643391,4.6683138344402595,5.193585765762287,5.219862262942622
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23341721849376,5.075199787918133,4.810347001018979,4.492003730275001
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2218803863916166,1.3239641333398804,2.028687613206854
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2206697877468047,3.1296428526720383
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0320424070564664
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
