 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,O33,H34,C35,O36,O37,H38
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08990452982086383,0.0051058581304510575,0.03257967164583331,0.010108795261697057,0.009448920781879089,0.0007984857286236213,0.0008594096327249057,0.0007438047808674408,0.00010719541852521886,0.00018677110630960225,4.556716008075057e-06,1.776368704220488e-05,0.003163009732699562,0.00032763965547288887,0.0004956871479329106,8.89428193180386e-05,0.00011496876367411701,1.5765988563565259e-06,2.249691182276692e-05,6.496839264347187e-06,5.679548593651162e-07,9.944579133502884e-07,5.493154642266518e-08,4.556161137792003e-05,0.00019074591182399736,1.4069183771558968e-05,2.9596636126338893e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.797414538360101,2.106154075389909,2.6779546895649498,0.08747247730215502,0.2674423780116294,0.04094936252433663,0.02423371854528844,0.002074610499846141,0.04605849358946307,0.0016139805409807195,0.004233651086605006,0.0057654962635486084,0.0018295245523344689,0.0011144821212833445,1.75322700636249e-05,0.00020128983086539765,1.8813590452415596e-05,1.1757458175082336e-05,2.9185836263323495e-06,1.2345487609977113e-06,2.053850718469752e-06,5.906415353473804e-07,6.977977425887127e-05,4.708050968307842e-05,1.9515181015034022e-05,6.062997639610934e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02267304605485143,0.09655535188040887,0.005477580702281548,0.0253919650852632,0.009898443513175148,0.005478970001435712,0.00011520693671718263,0.006831588074744266,0.00032842186003900764,0.0006314480493441188,8.334835312795441e-05,7.613267129014112e-05,4.5045532815257694e-05,4.001353415272746e-07,4.937043706743083e-06,4.302124603228208e-07,4.660206842643788e-07,3.1212326945251334e-08,4.879747672603685e-08,5.59346460260457e-08,6.9882968301016035e-09,2.7557587529702943e-06,1.4097151304071076e-06,6.005660199148721e-07,2.1862787247250992e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09797044732285487,0.02077804783319115,0.018930537610625908,0.015896551629367206,0.008283003845522385,0.0003409863141750069,0.003863474329406258,0.00019553235566482918,7.892966290512504e-05,0.00010222713950125417,2.3898452484960586e-05,2.5925019126238347e-05,1.8670977270929257e-06,4.4631174158649145e-06,4.2555343870986917e-07,3.9357378533999565e-07,8.738021639587146e-08,5.1032331249700746e-08,3.029836637136185e-08,2.2057726756230522e-09,4.494501007812346e-06,1.3984802631705762e-05,1.6501282334990819e-06,4.2900704233517217e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.922412403767404,3.738426873457038,0.3895331106194461,0.008741670737931528,0.028389783054772355,0.38406353366087015,0.01165883879764995,0.029121199324287472,0.001678148361346804,0.0005661990955317109,0.00037636710115697414,6.151042919566585e-06,6.971123737109508e-05,6.6415093613603204e-06,4.353811507346039e-06,1.0709595839042407e-06,6.016722144952524e-07,6.674391716532391e-07,1.6095433874596665e-07,2.8514895037440313e-05,1.1264063041929728e-05,9.218475037348073e-06,2.595858589304889e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16391111068609598,0.029293362765483777,0.00143772350751048,0.0018819767140716426,0.013459248750961494,0.007045782967163738,0.0008379759639063344,6.834847985726089e-05,2.4643827636006144e-05,1.3932905560842812e-05,6.397626231002818e-07,2.1691061276030155e-06,3.745276524469432e-07,1.7858404854909082e-07,1.3820533162345328e-08,4.653504426244126e-08,3.100038303838204e-08,5.891266363633463e-09,3.694830395972737e-06,1.2687568544778038e-05,1.7817580262313726e-06,2.6719655177309676e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8158504876685515,0.15207337663253717,0.1530056674533714,3.6613998486067656,0.1513948737766425,0.1509418584960487,0.00037400650829638726,0.00014100862837734818,7.773289523221871e-05,1.3435380308290945e-06,1.5231578035762583e-05,1.5053766710959593e-06,9.417209416162642e-07,3.2428714336063535e-07,1.429473639458223e-07,1.4196298284141484e-07,4.206732628908583e-08,6.062224806813177e-06,2.1953810100394655e-06,1.932356464173779e-06,5.54984582401552e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8528741623956786,1.6750589175778203,0.37010904891628543,0.030190172339822796,0.011886081843926921,3.2500373042643194e-05,1.7864948172283124e-05,5.842425246566085e-06,2.1214807477409892e-07,1.1820493846792512e-06,1.145386664402892e-07,1.32031533428556e-07,4.394130370677374e-08,7.90951126816708e-09,2.611847844946613e-08,3.947115412294977e-09,4.952157568738347e-07,9.57720838495879e-07,1.6030093290264613e-07,3.470542286887479e-08
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03774024119043884,0.02897236433993644,0.0027478927499651196,0.0008058372169088557,1.1570579380282275e-05,1.084992200939272e-05,1.5193270717084317e-06,1.4830959793599163e-08,3.64220564597062e-07,8.640867266151986e-08,2.762387707466729e-08,8.744159840645693e-09,9.93119586567559e-10,1.3317321467809506e-08,4.938041753277389e-09,1.287469504340777e-07,9.162190317546504e-08,3.885332366948546e-08,9.425275004915079e-09
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012430690653770227,0.0008331886445445136,0.0054111876595814845,3.9676149121703475e-07,3.6121038815561946e-07,2.8936260720868745e-08,1.521507630997121e-08,9.331179273708301e-09,2.97801716619972e-09,1.5936116870562955e-09,1.5129697494842276e-10,5.381370904444793e-10,5.070744935053995e-10,7.3411943191104e-11,2.6570628697264453e-08,1.0912853920519439e-07,1.3949244204169986e-08,1.924372883266301e-09
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981416703733852,1.9104875481602812,0.00010175566150066873,3.890667433444073e-05,2.3197131319235842e-05,2.5932394187577756e-07,4.698375642764319e-06,3.8298993898511213e-07,3.4158512723925227e-07,1.0134399486272372e-07,3.689624827885041e-08,5.0677739601989735e-08,1.1441215863605692e-08,1.652171967542193e-06,1.5729589152024825e-07,5.283238056486006e-07,1.5058463442851888e-07
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03700900079751346,3.4925447087719164e-06,1.4140549702279515e-06,7.984293048934887e-07,1.1964645940665264e-08,1.6037099692667312e-07,1.8874303231442013e-08,8.125179640217084e-09,3.057012643026269e-09,1.6727588203480082e-09,2.2828351431414262e-09,5.230242905440718e-10,8.048020605500028e-08,1.1971328028881345e-07,2.846630309250031e-08,6.786981643358558e-09
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898153691962236e-05,6.27226056337804e-06,4.40380088195802e-06,5.616852494227942e-08,9.063725660007904e-07,8.023477682250757e-08,3.900367129272553e-08,1.4555557426021437e-08,8.852909072487591e-09,6.725912049532212e-09,2.0599386640896e-09,3.59511184599981e-07,4.415030974147527e-08,1.049687398113619e-07,3.598944009475247e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9686944918066,3.54540854551573,0.13830036975932425,0.2720086330939926,0.02030559927671094,0.03332060738651507,0.004053373300135554,0.0008692844356881224,0.005311931464804659,0.0004149886344577691,0.0401247950196352,0.01385667855676015,0.007748779278985263,0.0013540191576866256
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362251965257003,0.02632042758916653,0.068052375923456,0.03660766806576132,0.00803241610978854,0.0008601691796782385,0.0005383229311857196,0.0031664941494029125,0.0007240105691009857,0.01309478117755003,0.0029297563522811543,0.002600432146612333,0.0007754300337612374
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8912133138980436,2.583760853754178,0.09793047610007044,0.18598444810780634,0.025630506638464445,0.009570445148453954,0.036423494904969725,0.002087073112135296,0.1988027743806947,0.036183328032929535,0.029438635606381644,0.0052340565800653716
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999607911517594,0.03131396231280159,0.012528589950695723,0.0023477983168502803,0.0004199901292682995,0.04712275391677989,0.0011802465442298793,0.0062302108388658795,0.006414101732487687,0.0008418834967597322,0.00015381469391684277
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.959494596158921,2.7028648950119187,0.10057965276537706,0.09739661245138409,0.19887432703840166,0.03272097711479094,2.642592567309776,0.2739264102665129,0.21684070531279703,0.054220432825641596
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09773452701491703,0.0032346457857854727,0.004506486911050045,0.02532771130051914,0.0019613213848688194,0.10359616487940793,0.029733853263999133,0.010206961589670605,0.0002817979140261606
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.708286810863808,2.008344953473758,3.0465842947470794,0.11151879672681764,0.18385873408727682,0.039076033755469655,0.03201535534808496,0.002296471435753622
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025951102087883315,0.10728446894108323,0.00703873428496582,0.009634588354271889,0.0014446723348152668,0.01660126999841971,0.00037941225068127693
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1067534668180179,0.007540576615588268,0.03003689386366526,0.004519434803810007,0.003930842395540202,0.0002795053210649101
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7095045566234348,0.034810577195644093,0.005489019203170048,0.0048684062395501215,0.0003859127275575025
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020176405849856582,0.00016099697997939977,0.0002190258151710811,5.474646436076647e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.177635870393179,3.2213001419762506,0.16517288725092416
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133987800224593,0.06240988176159823
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729939527915196
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
