 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,H25,H26,C27,O28,O29,C30,O31,O32,H33
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08359155668764151,0.017945935116916,0.021869951215913064,0.0010510495971178813,0.0002093106286757962,0.00029943271480448175,1.1805922277563496e-05,6.0098114061046815e-05,3.132023620011637e-06,1.003195105497845e-05,4.4824103540008764e-07,1.236496287582156e-07,3.6257223774427416e-06,2.7924953904800986e-08,8.495580683387516e-08,1.07741686905527e-06,6.276310320352252e-07,1.6321094564730743e-07,1.3189318391670923e-05,4.38751579801e-06,2.105897654702815e-06,3.980578509032995e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30112835180762,4.712973098523866,0.0018050711716155188,0.0012659161236210081,0.0005324601718004196,0.00023214800627702203,0.00011699359543163035,5.620440958198358e-06,1.1526047812737694e-05,5.394282718285126e-07,3.776907420149911e-07,2.758029903376924e-06,1.0933369054555442e-07,1.119938304317003e-07,8.632657590434967e-07,3.43691979320937e-07,3.3734472310031904e-07,3.28880660273867e-05,3.5457225388002556e-06,5.413656965880254e-06,1.666780524600675e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952808929668265,0.0019649222482375772,0.0004447990305870009,0.0019486154839757353,0.0016129716076126455,0.0003141527485752138,1.3917282790654184e-05,2.3779452094724318e-05,1.026399525927424e-06,1.1886908155567255e-06,2.986669647112028e-06,7.898648590742852e-08,3.872802589732771e-07,6.192553323874916e-07,1.6952061474700963e-07,6.224702905621715e-07,7.410879779870538e-05,8.720077701702966e-06,2.0212714323508685e-05,8.140180647098205e-06
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012896230505057005,0.00045935040809808036,0.00026972030749064513,0.00014775305155068086,5.928439367018645e-05,2.2948697435687393e-06,1.4004737474315743e-05,2.19029871129095e-07,7.808214164128913e-08,2.5875561445593e-06,6.243448535947493e-08,1.7121305817546784e-07,9.208574041907891e-07,4.0809728947543977e-07,1.1554568515870223e-07,2.070400563231045e-05,2.8903396365048684e-06,2.165222584393778e-06,6.679344961568745e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.960487464415883,3.5453538374881832,0.13807045994408773,0.2689619411012431,0.019989445179285914,0.029856732286269838,0.001015872333840262,0.0008834644900377331,0.005838986479278274,0.0002949466072328377,0.00026419923757425856,0.0011585295423971465,0.0006560159718102809,0.00013790777345112915,0.04874423260073346,0.008906668795458969,0.005986051199612763,0.0006491749797337132
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5465304354218554,0.024817512929141583,0.06962296507982663,0.021469392259467868,0.009851302184277932,0.0007762751654780686,0.0007741151039193372,0.0011536352561235391,0.0001816672512795492,0.00014173194558142477,0.00014443221802823425,6.282634810192422e-05,0.00011142832905396138,0.04811462177171588,0.008124086222240853,0.005234747369375764,0.0004793190870480135
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.821724702249559,2.903234611717559,0.09956731198987923,0.18141395867767415,0.010641394740442234,0.007993871810304753,0.03095113391826007,0.0006196376989413555,0.0011370917119670754,0.005098207849272285,0.002725630216964925,0.0012352478826089808,0.19962745582831115,0.029722003853428103,0.02749695530656847,0.004722373218193798
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09450450035780444,0.016842900217671097,0.01984595434262082,0.0025263418922498726,0.0050900033907474995,0.0017732826305496552,0.0002485669083358566,0.0007357060368320401,0.00011231307872205942,0.00010450708950848764,0.00015792956240645584,0.007508527602523074,0.0007458379362311751,0.001903256698918554,0.0008285303902473284
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7169237691953414,2.5184672342479866,0.09582317830316844,0.0894543002811814,0.16628557364588248,0.003977728290460503,0.012428889785786046,0.031184253174541543,0.010523578071824413,0.011465193122362244,2.6535269797157293,0.26117950045179134,0.2117617443786038,0.05645765737871855
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08062073683644067,0.004918287507611252,0.0357012649910049,0.008953112634177085,8.615713568982386e-05,0.005908954926486576,0.0006618050243796247,0.00039201497729102197,0.0006040842198398177,0.10811466582676976,0.023448928459484986,0.015569887832288742,0.0012181725187838666
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875936516263895,1.7363819264361728,2.8780781637277157,0.0827362559649647,0.08189522272681682,0.15127381875052517,0.04531349418871329,0.08055586520792435,0.2055898584471188,0.040346541674999986,0.023755449991361963,0.002536055270756954
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023482824617939047,0.08305731138484118,0.03537757161195909,0.002918742630774185,0.016369836816274796,0.003467676314457435,0.03941041588602523,0.03211109174691651,0.0063900167796066,0.002914844139997097,0.001315683602160389
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07807255645208167,0.007052928430282934,0.0343069159160454,0.004248798341451199,0.0011709089161751063,0.005357812611506141,0.01070914211316687,0.005149367438029628,0.001381837522731466,3.8673939400935e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8480558618557164,1.726028004574077,2.307998712465856,0.31073944606152126,0.2945245871613181,0.022301345806260114,0.004308689219867878,0.012306051553099662,0.0009994441969590762
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022150781602353398,0.0763003389128345,0.01651564968182795,0.023454892334209942,0.009331798425845195,0.0003581464937039147,0.006033199597687666,0.0005098876274498565
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0791005020070652,0.016646064705164054,0.02314340957002048,0.0013030019064828036,0.0003514996221765099,0.002230944694921355,9.405324265721049e-05
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.742957783646624,4.655489652459088,0.0032997797546799046,0.0005950314380686883,0.0018475048535691596,0.0002809481078410725
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602298329911926,0.0012056911345668386,0.00021569676151139694,0.0002776625951220746,6.465076091810573e-05
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004829375483944354,0.0010791065458624488,0.0017213417496613342,0.00017274159309532688
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.223179263045042,3.310329538636082,0.17565029379550434
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503441055080341,0.08333081409005261
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7031343430551438
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
