,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27C,28O,29O,30C,31O,32O,33H
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160875819095304,2.920595489815988,2.605645450941202,2.604018679293401,2.5286718159982113,4.12618748842164,4.595108878399618,4.567098675163926,5.102863496170982,6.2869829205312895,4.856555910196213,3.1454489160552295,3.3596551184386136,4.363385305962618,4.999158129410252
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957734954003102,1.5470740355301797,2.162981222564554,2.1601771013118527,2.6007281882124587,2.952846394697126,2.7656815336970957,4.008374662005142,4.981499253166296,4.296713018289285,1.5277235673482177,2.449695558587032,2.4005732202460774,3.212959183539912
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1772060947413077,2.5293526899003447,3.0691774001016494,2.8281625903000975,3.2988738343187753,2.548614038549968,4.2363167169547,5.097579629716404,4.629406137637668,2.1229894058595247,3.2498293585870996,2.4132424678532796,3.3627320003987777
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953374435438663,1.0985479166533934,1.5321947896738244,2.186872285999585,2.1708243984699034,2.616613892778477,3.7263534886254943,2.7798987140112144,2.523015371567298,3.214738288431785,3.2834541746071375,4.01689157746817
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75259401492836,2.1432304476325608,3.0643856795062145,2.5789233605355646,2.7299005086024626,3.9376898022554583,2.4919751935333867,3.4629503101728463,4.175770808287413,4.202726303647734,5.011764814475533
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1696934098952108,2.4868859414683624,3.0754314161913694,2.9410520435441714,4.053399397664199,2.910003872983622,2.7587861709261805,3.0261208780282898,3.7595674053751367,4.304809938263918
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985813827837523,1.1014019320328745,1.5821902950030888,2.3888099567266203,2.414216094659317,3.087086157826523,3.8740288029708925,3.278083060977489,3.9369560727751414
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7491948548146292,2.1876594603172346,2.608394902473708,3.1671175253383086,2.8643396823455842,3.472302695234253,2.8967857005676314,3.321882288332948
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1810863726615484,2.6839067933392045,3.080052042614418,3.3070969522153106,4.316191222287475,3.1375761440047154,3.905128263913086
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2561530960672178,1.2577158075199912,4.610811307275868,5.262881299245195,4.833787408304517,5.427567223307664
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277227000566551,5.366132119607084,6.019570562221269,5.325985386879794,5.814057080274857
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.148880135359076,5.713915270169721,5.629530135278178,6.273423297719779
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133783221925873,1.3608965777351794,1.8617833688970091
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.245686733222232,2.2377988413791745
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755784141512932
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
