 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,S23,H24,C25,O26,O27,H28
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9513247045100521,1.9448019869928377,0.0025520579734577553,0.001004382956693306,0.004072145997625759,0.007558019381848524,0.00046874250894557434,0.00010246121490120608,3.6471645829247445e-05,2.73838086994882e-06,5.6631907853210706e-06,1.5093323895674915e-05,1.070304128436561e-06,9.419243267377864e-05,5.926897792465913e-05,1.3260420307331655e-05,2.3064901748526268e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03741173549555987,0.0003953405787099351,0.00015971990099916678,0.0005022334480661028,0.00024247378149855336,6.27556111589822e-05,1.8019006085223666e-05,7.873780023315291e-06,7.260401080344536e-08,4.0716342275537443e-07,4.484424758643968e-06,1.565131608760595e-07,1.0671500753400842e-05,4.6647553361145455e-06,1.8015059795040145e-06,5.008712060661225e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035788852727103304,0.0001621022895743618,0.00021589571289903908,7.344436126710541e-05,2.8252101470949142e-05,7.507621192059943e-06,4.304043414782299e-06,1.6441163164238048e-07,2.232327223072872e-07,1.975970278733641e-06,6.983199196675116e-08,5.518559278883117e-06,1.742669398230312e-06,8.828236457425476e-07,2.466571649151206e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9526106632626155,3.434665670677767,0.13886718327654268,0.2693797985824915,0.025604456786291863,0.03666258591547117,0.0033058710701283633,0.0006052251889259175,0.008721493561425597,4.226779828275795e-05,0.03141580070728428,0.00753216436997553,0.004766648010929075,0.001272894117810508
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454439391549692,0.02230480008034952,0.07258433063148821,0.04594928124109088,0.01447836418821731,0.0026398677864351017,0.0006338320472759618,0.0039915365494199925,1.3489667881838585e-05,0.011527732891797038,0.004024061703913201,0.0015806322629687702,0.0004040755421097497
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7481298820050724,2.8666657780361495,0.09971178554208793,0.2028920778859391,0.007880932767234783,0.007124293886488942,0.05170511005447292,0.0004126001089326259,0.2041012136419936,0.04317189825919113,0.026538486597281086,0.004299504548338939
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09361194839208176,0.0241556393850042,0.0038795451975298656,7.280298423406606e-05,0.0011911242838442693,0.0008958538819707762,0.00014063379112050356,0.0175931042283749,0.01788329796960686,0.0023521043863213853,4.608044468046302e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0206306995358503,2.7189842052275406,0.0915553614581015,0.08764542880665749,0.19890841104728502,0.0049676806723157885,2.6976976918823663,0.2736578857421473,0.2178608822381151,0.055422155447646504
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08228863002356868,0.004820471993926212,0.03168853371460112,0.01151592507051269,0.0024949182056659414,0.10003875709742616,0.01788358434820181,0.015536594085222455,0.0017542577589513275
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0098837960007154,2.0894041540045416,2.834831490018713,0.050545749935451356,0.18179481415275467,0.039256037869925306,0.02718053923439792,0.0038170172497015153
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02617613019855458,0.09232570863097722,0.005098564046891907,0.027554966639077527,0.005323554286745469,0.002936421930530453,0.001272234574364317
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08563284624723078,0.025452840691159606,0.013005810768337067,0.013249904869047646,0.0018497460307594915,4.681713455778613e-05
S23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1338643094380956,0.040687726822737844,0.00823751900382598,0.008874407029210753,0.0009460592181648186
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006245927137880081,0.0007671183804340842,9.045149413977605e-05,7.415139394284509e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.299550436576602,3.386645223264824,0.1717727382963593
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5315872084184844,0.0667607296049646
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7272890778602505
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
