,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30C,31H,32C,33H,34C,35H,36C,37H,38C,39H,40C,41O,42O,43H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397246250296868,4.301519025675389,2.1512801069336653,2.471444199975028,3.8749154091288998,4.961519243071972,3.404227745955347,4.301151156195975,4.326090644245326,5.378793770580342,4.519533439591055,3.949698471428691,5.899729255364576,6.536240055655032,6.297371049622362,6.077948660733879,5.885664615887478,7.802996678294213,8.69380853040721,8.431230023534956,8.508668986679995,8.087514799289771,10.061161731745958,10.79742087502634,9.902998365228882,10.532513754484516,10.610074620147422,11.69520275978795,6.516375571518684,6.166646007580624,7.78694164431021,8.241763960145214
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087473562767075,2.7857687956792554,3.8729670013606436,1.3986888020027206,2.152917871538542,2.4204957978365216,3.407212944308697,3.995030784491735,5.189276266332201,3.3733313737840716,2.46031150527174,4.420565124972256,5.201211289561596,5.277203085145703,5.655615285642547,4.846005144224805,6.569459992719701,7.634149461361153,7.6491363068230385,6.970381232902047,6.420753259555067,8.85435702287924,9.705427364624324,8.289999031374958,8.771506219835628,9.148811482751503,10.179428624535733,4.231954183811454,3.5057854218571176,5.407073719662872,5.557489691454343
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8731948397202753,4.960405254289456,2.151788194863027,2.4672609736399855,3.4007330330677963,4.298757581113823,3.931743993080473,5.022170437796294,3.2560297896166017,2.508262838947853,4.125011581397995,4.7945178920851586,5.220752621241398,5.709230897666314,4.948127285600325,6.394748418015109,7.385986422064064,7.4088164917963635,6.794984935119303,6.320520092231356,8.549590311382769,9.368935921553918,8.04589190860362,8.53646116483783,8.846535924199857,9.846904785943629,3.708408451763882,3.0289180399343025,4.7276671672486,4.814385129371296
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872340443712516,2.412916823352588,3.401891012918386,1.3985972724658189,2.1602480130621777,5.311620053691417,6.505288989471607,4.925132608702571,4.035745344721486,6.071614766410743,6.954639331694414,6.3401652484707185,6.427440142673826,5.630860883136398,7.730434959704471,8.870362921449395,8.871270187266072,8.092381079503397,7.427633801736338,10.139692029175013,11.023012929191912,9.467110707235117,9.898587857452245,10.410442524095645,11.462967462504956,6.271867782338962,5.567710473433534,7.592634043035448,7.832668458616008
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4000038886673525,4.303939841386869,2.1592098426179054,2.4901355388027433,6.098744332955828,7.247118999524327,5.78847374159026,4.950533715809533,6.918959101431086,7.805363642311363,7.020397444945717,7.014930586869774,6.2603642806559385,8.398326322981433,9.536038891594105,9.531483129019664,8.740778861314832,8.058111350882468,10.800618566246763,11.682250925434003,10.105675341782476,10.514528288441236,11.060990673387959,12.107675342915812,7.208219959030991,6.52413525324976,8.544230515708486,8.804376569300755
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866439182154906,1.3943354142493567,2.1573013867030326,5.1388031688267946,6.3453241270127885,4.3318399746007765,3.3287895766088176,5.187167638672054,6.1091689084274705,5.767623316884768,6.23696528374925,5.101923406989084,6.969320458653946,8.180417612095352,8.345571656080086,7.12748912778275,6.396127145970307,9.33105704670676,10.265808378968181,8.423597544587736,8.75547709380384,9.442649891539094,10.445148895042502,4.821845213769739,3.850857098776316,6.01612828136423,6.022378025818059
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1576934218109356,2.491295367062887,5.819998581427395,6.98043154239123,4.859734462896481,3.8923177884990676,5.4766871174767315,6.410012373863518,6.065314662646149,6.690495193563737,5.380707158094751,7.100510040375233,8.352445028717579,8.631936130382165,7.074972367123191,6.274645888395717,9.399846727785503,10.36752658823987,8.285514788224058,8.50595771118621,9.373838003550764,10.324658007869568,4.813251791538642,3.694582959314989,5.883899709284557,5.716297412676487
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869247706851417,5.70840744188688,6.929628041240607,5.024624484267768,4.029072712841436,5.967635303777182,6.930507640062588,6.283483886057981,6.6038425083761725,5.493177133980822,7.544277282142031,8.784935799005746,8.933368110643684,7.699742791983751,6.921616966586874,9.966506065917349,10.91359481765562,9.024643453858337,9.3385629633747,10.077131867725466,11.092265367808936,5.830949619891783,4.920424505815956,7.10212526254471,7.178873812937576
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.703850198158109,7.913456806865756,5.93539947124134,4.937643092812668,6.7520010148733505,7.763241706854193,6.924390998881469,7.29623477239592,6.033769588550332,8.086377454129302,9.389320645388418,9.629534990432674,8.07956551971558,7.206407670202925,10.504697208469656,11.492933616460055,9.352080784149354,9.553887346429851,10.491908996339403,11.471320172595483,6.512173092597078,5.517085692434244,7.753274530343891,7.745252183540114
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2293519096897634,1.3649526628963107,2.076827277811338,2.4616574187862836,2.5355748874263884,3.380499766682542,3.1293920135615947,3.775951899406698,4.704117664905173,5.153836812719409,4.665842664007611,5.819706117110832,5.899180021416542,6.513381680404508,7.0647104589895156,7.0546983282321625,7.936659736124708,7.355355541042632,8.408235327733566,3.6093743921204564,4.110494472888903,4.502350799693802,5.284287462882608
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271534383830264,3.1783793705164873,2.78893206195045,2.377329369745113,3.604987499600776,3.176694200984853,4.283728564205357,4.686827191363342,4.791189660772396,4.0910481353645505,5.958096382484334,6.2533107453638195,6.099854780556604,6.482493379679344,7.056627469627317,8.028048526171458,7.120347073082585,8.126734242308801,4.083615340297988,4.850168354269082,4.68574875119807,5.572698343858965
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0138192826921024,1.4538740167018145,2.064861330780419,2.4864414724187722,2.650387598772868,2.707885059989075,3.849196362184469,4.5960092800898105,4.392893195243763,4.768562909127682,4.709574822493799,5.923889297572802,6.639017178951961,6.0609245262579305,6.855329188088542,6.554562895611711,7.621266694934996,2.412716183701399,2.806753098612872,3.513982776855669,4.217714104916267
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1211261004884827,2.9500785837809977,2.9513840055784875,3.250335644909977,2.789501846703591,4.339188240098378,5.2894516529992535,5.223950513851239,5.0323655990345575,4.749679707398289,6.582330695624861,7.3834498382966,6.379229024800767,7.057895940078731,7.053500770212036,8.120785871574217,2.580579162064274,2.5021372068199503,3.852710214038341,4.37262094471557
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0910498896378706,1.5589898425473483,2.1357451883147216,2.165139240397776,2.5834819327433407,3.316816935415169,3.290378370310786,3.5242015377572087,3.6547890688322515,4.573930802758782,5.331000805719381,4.728770934279555,5.56619520877376,5.162420440266722,6.214280399867997,1.522350815930527,2.4230765464277346,2.3870241304214166,3.2186562161898977
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1773317747203733,2.4674538519356877,3.0640398531245965,2.824692082910403,3.076882595862482,2.7972118845002463,3.9481919854574636,4.3289707367144805,4.293488464364458,4.871080756592359,4.9582850548367,5.889585519861793,5.10308089854085,6.104954778201704,2.155150470455692,3.2572260345297077,2.46513513279272,3.420586978062047
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960080052814762,1.096595406064615,1.5132433696807028,2.5321822278109862,2.728897851928952,2.5365081518894574,2.7361390976476896,3.8187351718610514,4.684003068931839,3.8232532404346613,4.689856207893095,4.3276977356259705,5.414731388744176,2.531419455926812,3.2083005132225644,3.2833956393642443,4.035754692485307
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7675500752212256,2.156074425749086,2.7292773661228096,2.5666524629847935,3.3494523040044486,3.648275085052103,4.086557035026768,4.795874258697318,4.526314966511654,5.453590464231482,4.823784020763548,5.890297586022532,3.4435870715114523,4.137443547409034,4.18333387536608,5.012251245425398
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156552807215234,3.413340523768045,3.7515139914382667,2.6524776763712223,2.417608364056385,4.57328017992129,5.523232496023914,4.037904577211446,4.720223905067652,4.82565247546661,5.892739733712658,2.7572073720380113,3.0083593169546905,3.744696860478025,4.31426659743781
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402637368857477,2.1568469714016953,1.4013288482054251,2.1554003737831895,2.432353749562634,3.413735193917685,2.4331665419182484,3.414337996589988,2.8145274944768297,3.9015578564841515,3.078087588972247,3.875446420795834,3.2687508682424484,3.942577258819215
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882932712531508,2.410486942767366,3.397810213224776,1.3950893999689233,2.152725320277228,2.787753752724434,3.8750114808849254,2.4200955680365777,3.4056781139553114,3.9800529598635994,4.977431008804276,3.8309278173685644,4.591682253965547
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397753743700482,4.2980967762909605,2.153880767027697,2.4755163819687205,3.8760271076493362,4.963276674183778,3.404598289381085,4.302294483666041,4.260055192337393,5.340490608218916,4.178424994206297,5.056161811369761
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0883245011211957,2.786652248326424,3.8737891678718763,1.3966999811635565,2.1543971638141786,2.4195697944774848,3.4058144607562983,3.471649314601936,3.9736065529639286,3.55212273157445,3.9127698778261477
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8749596828180324,4.962091831720156,2.1551552590531995,2.477078901868836,3.4039317308359904,4.302472899762608,3.375578184701198,3.5356870491184087,3.7135879537834104,3.9079076359190537
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087158852457213,2.414442034540432,3.402123537378886,1.3974225356580674,2.1590687060225253,4.965321969349531,5.92701175387642,4.532391065749947,5.132629219637364
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401473685818985,4.303345356194833,2.158260973477657,2.4889067173972648,5.811566597395235,6.846871750659743,5.2777569951441725,5.906089294494758
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872900035210233,1.3959959235623132,2.1581373943945725,4.5696017117638235,5.11400843032809,4.301334449941299,4.536802027989466
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1575685500406467,2.4888383035287753,5.200831793791399,5.556886854876447,4.9214766141957655,4.961806592899068
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870352655492594,5.217017876940736,5.988644063987687,4.742166423392442,5.110956781100886
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.191142728369262,6.940965891882687,5.595760335499168,5.871813845390324
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2142842430290999,1.3462729025739486,1.876190847023088
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254069751690432,2.2937554445445767
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772890347628459
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
