 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,C30,H31,C32,H33,C34,H35,C36,H37,C38,H39,C40,O41,O42,H43
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027952445131780745,0.0016135179821126222,0.12971269280263864,0.008405204010614842,0.0038502407514409143,0.0005095597574675814,0.02692412756520257,0.001219126216238875,0.00035682166028427886,0.00027682989828381466,0.00012592457049698247,8.375204816024606e-05,1.55431085033797e-05,2.860813550942254e-06,9.487296150245683e-06,5.135717060511524e-07,6.420574050203243e-08,2.1922078214942076e-06,5.149097916934409e-07,3.1435428260451204e-08,7.238971531098315e-07,2.996052161918783e-08,8.925744798826685e-08,7.720736494576386e-09,1.465589622995367e-07,2.471516391544526e-08,2.852730067726128e-07,2.60444132926807e-09,6.5947371508112695e-06,1.0477414155607434e-05,1.0299092854104686e-06,1.1690863499502768e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8602585464870194,0.30504024436215676,0.0035349545558120976,3.916676302588594,0.13155152590538588,0.33501832193018494,0.02747865269612948,0.003202231306818265,0.0013525233754993898,0.020206820452340513,0.05600413179581831,0.002218578369888563,0.00035169590287120744,0.00031277370268079085,5.420388254129271e-06,2.443620984859951e-05,4.916223727136071e-05,1.5901271722587595e-05,1.7205471982695286e-06,1.2658895951062066e-05,1.2535536719759932e-06,4.293087449036559e-06,9.161830161197315e-08,4.176545157802414e-06,3.1526065225051525e-07,4.014415498382329e-06,2.547637856231688e-08,0.00200126447481469,0.008124089316862315,0.0006166203932952002,3.378672273302019e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038417705096345234,0.0005100977662806372,0.12678282914006833,0.00828536022934534,0.02634595821466279,0.0011922935984598482,0.0003212053040317908,0.00022467030464312643,0.002851392248230389,0.004109492216680666,0.0002917625132432544,2.285378103139557e-05,0.0001624849540433626,7.849806895610101e-07,4.350581845002921e-06,2.1680039461013934e-05,4.010683616995081e-06,2.1583316334172764e-07,4.383913269623285e-06,9.0206173775087e-07,1.5033961501265125e-06,2.429574852413907e-08,1.5774723243211497e-06,1.3683325827962278e-07,7.240619541715176e-07,3.075567445165461e-08,0.001740270989153636,0.006720957094812352,0.0005924514988753238,8.039109965052305e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8752532993933928,0.32988489181195935,0.027413355784990046,3.6408159762692254,0.12548354184742339,0.0008145719560312403,0.0005493407588343102,0.0025436656000232816,0.004070484928131224,0.000285413475941132,6.68284699291144e-05,2.7245764281161322e-05,8.058647570363675e-07,5.813912878682714e-06,6.26420715046927e-06,2.29187426392663e-06,8.422039838862361e-07,2.906095539628728e-06,1.8522910472107412e-07,1.0013939359676538e-06,1.8233818455115625e-08,8.821383978979691e-07,5.415330384117567e-08,9.466704233435097e-07,1.399974580706953e-09,0.00019923903990895497,0.0004313783770256707,6.351372397711552e-05,1.061033493887642e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02705704575467127,0.0013763012649263828,0.12253311960474478,0.007969882862243649,7.889886135092894e-06,2.502711937801827e-06,3.644057769092157e-06,1.3724956820171386e-05,1.3868901636016062e-06,3.403611037455789e-08,8.687832941944862e-08,1.7697487031398396e-08,1.2999235021737832e-09,3.8412953706767894e-08,1.1484456940991095e-08,1.0807643668897526e-10,1.2591132914074876e-08,2.5066497766346174e-09,1.6667105473544552e-09,9.105605158765684e-11,1.6647587752771642e-09,2.169615598290875e-10,7.723782946555957e-09,1.4366285938649526e-11,8.687178374433557e-07,9.518961113785807e-07,5.024883953375081e-08,1.0864928956522135e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8459383136164946,3.728076123685316,0.12670565931988786,0.000728694984768824,0.00048679051497242665,0.004771871886161724,0.006074256765509212,0.000517138073178186,0.00012140022693163388,6.699676145893729e-05,1.3112045259555671e-06,1.117255298133113e-05,1.261382193107341e-05,3.706878329567953e-06,7.411153426506445e-07,5.2533887373584776e-06,4.307333001385416e-07,1.2780750187207923e-06,3.946888504913204e-08,1.5611389260483666e-06,1.1280703771099354e-07,1.6557911229203581e-06,2.054859171707335e-09,0.0005598741393861295,0.0019262153699478868,0.00015586582982579644,2.0577218170059197e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541262184926705,0.00805805634835921,7.0330011348040955e-06,4.960506150064603e-06,1.3580581434746719e-05,5.455154966504949e-05,4.5443722156424116e-06,8.392371340093518e-07,4.415450636230389e-07,2.156158340760328e-08,3.240481327715372e-08,6.153592724267298e-08,1.6150664583491903e-08,2.7536863900223807e-09,5.019284454732542e-08,4.775673412282799e-09,4.193860370094171e-09,5.24824628200804e-12,8.445939281287451e-09,4.879043835614993e-10,1.1885528561350611e-08,2.661237896717239e-10,4.930312034368001e-05,0.00035321657102715953,1.471523483298487e-05,7.175136211845512e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110668241761884,0.0008340688576797262,0.0004092898584688448,0.0023608855957735903,0.003081933476015264,0.00041617587709813497,6.91512338049094e-05,2.8441400306472575e-05,7.571022024865925e-07,1.3206330603532379e-05,6.185969236821576e-06,2.387804535153304e-06,3.719416321601443e-07,2.0132553560647803e-06,7.112766353678524e-08,7.308320120608114e-07,1.0262683813877516e-08,6.066162057116742e-07,4.891699423303919e-08,6.568196236622637e-07,3.865480824316592e-09,0.00010429123415311992,0.00025446469737740174,3.083300254259902e-05,5.209710550513336e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3523653611180464e-05,2.4405411679362388e-06,1.2862223301657316e-05,3.2587465463862486e-06,1.905689996695159e-06,8.991013777936985e-08,1.2018991446538507e-06,1.0149261342462523e-07,1.766837320893444e-08,2.3523945547054836e-07,4.4177312696902504e-08,1.879362221401948e-09,9.338507178657807e-08,9.415586088579175e-09,8.687417119013219e-09,6.616294179195847e-10,1.6303052463584322e-08,2.054580727772759e-09,2.354489980760377e-08,1.7415668907005966e-10,3.229709783614254e-06,4.973248322825974e-06,5.536890210766643e-07,5.589083884594004e-08
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98466190825151,3.353026705288273,0.13320917449491476,0.2685654052214458,0.024641255997089218,0.03595641272441624,0.00338083157375757,0.0006740256761412766,0.005092585797183968,0.0011761165416731,8.598751788824188e-05,0.001395756010944077,4.4299793100499585e-05,0.0002152691691190145,1.961459078225758e-05,0.00023981588441795987,2.972010961177496e-05,0.0004961106472105292,1.8694485692805074e-06,0.031375029943184585,0.006212842864015439,0.005566824740885629,0.0014536098651063423
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5461362167794845,0.0245097166379169,0.07298334217982586,0.04829738498839886,0.014015919247494471,0.0031264665517743984,0.0007152051091322553,0.00239446277215756,0.0006858308446058697,0.0003487821704759586,0.0005835210662773344,3.918420765980368e-05,0.00011009386834177903,1.151225777717979e-05,9.470146798039314e-05,1.2704529751772498e-05,0.000283769733189998,8.740676253893298e-07,0.010636434940904133,0.003715638660305276,0.0014885340616137,0.0004164719298682673
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8240356421346295,2.863406039710452,0.09819836922754999,0.19520172104403016,0.00884826747570866,0.008599348148782493,0.031708679592937064,0.005095389651432983,0.00034377820350106614,0.0052866879339703715,0.00017103088773651187,0.0008960471120481872,6.140295452050637e-05,0.0011439924907174909,0.00010108677764752994,0.0017382336386770614,4.203737833163856e-06,0.20054155043049224,0.042875493868679795,0.027852295875940083,0.005103218292003664
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09791305716625431,0.02754446527656662,0.004254612634358557,8.453339439462582e-05,0.002126123819719661,0.0004775131804510835,0.0003159132571673995,6.701628363980916e-05,8.577564341039068e-05,7.143943891785298e-06,7.745500457378984e-05,8.256017279606453e-06,2.740391020505939e-05,2.284639185390347e-06,2.435945994316846e-05,4.6534350683913317e-07,0.018145127612764766,0.03226889174187986,0.0026981854130494476,9.156005564148195e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.055067050682816,2.64835071894195,0.09382796888187706,0.08439764283016671,0.16816938141848292,0.035222531874864654,0.0011861224062146292,0.03598463615916653,0.0005661554120695023,0.004092308773333858,0.00010434255344282661,0.004853583913926457,0.0002136775109737865,0.013366500152048655,3.808357632295589e-05,2.711570684023473,0.2723502412489193,0.22360041837500422,0.05498886701531902
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07962618500901353,0.006085287464605793,0.031171399638836528,0.00678219563945337,0.0043258392810345825,0.001703841330443323,0.0005663385578298374,0.0001610661688875581,0.000548865234321072,1.7900773380041812e-05,0.00045896769207665056,7.092139595599178e-06,0.00035820120860596827,1.3679795931809124e-05,0.10527765097306019,0.021242085812650413,0.013838210232519965,0.0015769607841471522
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9345162531021258,2.105737437452091,2.7847868160123266,0.23481041220584958,0.013788755490164784,0.24285179755182362,0.015216330280279022,0.03608216023876876,0.002642887830569096,0.03539088747039082,0.0026507588203026344,0.022100305988247776,0.0005164885249937523,0.18942476638591893,0.03963609821825882,0.025717487616133697,0.0025393150707070378
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02467669298538655,0.09404657695710594,0.017128196711087895,0.0037058586460800846,0.02892644052513693,0.0005263272927182872,0.001830827149744363,4.4849422620396595e-05,0.0030861614306342267,0.0005377573729674623,0.005259943325612859,1.97815920255362e-05,0.027875747607802426,0.005954844683197624,0.002705125216176163,0.0010227913733709126
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09759867938827282,0.02446513273020634,0.0007716396104902046,0.018108168502854682,0.007489914259731112,0.0027693061662498186,0.0007646406872530154,0.0015746227827861947,6.347207983803393e-05,0.0016911664410590443,4.143727119876317e-05,0.010463535890661957,0.00518173392664345,0.0010931541247797272,3.721630631803308e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7552590563426733,0.12486192467956436,3.552680890023034,0.12394717026803037,0.3324037882903852,0.026426862218155156,0.3302393202785396,0.026047405238778243,0.3012428215442903,0.003976136682573239,0.017941470160914103,0.004088797645205408,0.009095329352259512,0.0006949164025943366
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7909225237073108,0.32824260329427674,0.02859638635700046,3.8447906351260954,0.12726641741723732,0.31743985706663885,0.0035368910161552858,0.33247850015624114,0.026925570149415323,0.0030065075332794122,0.000925072665418164,0.0018081122213831624,0.00027538332816134936
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02813679199300012,0.001527428441153278,0.12662357067598584,0.008280455339872095,0.00381006128462813,0.0005208357913464301,0.02679994939917618,0.001224458020881114,0.00012801359867786744,9.65971165557411e-05,1.1467986413382647e-05,8.998992648834303e-07
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.024897491327482,0.31163342456937143,0.003557159311273206,3.8208739957436304,0.1286067782594139,0.3334121247558638,0.02720050002067853,0.008218433984395118,0.001412411816492376,0.0046437176369362315,0.001138374425093791
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038339660889439298,0.000522233372809433,0.12410046749800241,0.008193240238760557,0.0269275749060085,0.001233986411851129,0.0013597274519376867,0.0010894014846033473,0.00016739353967998305,3.899357157211014e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027772640485514,0.33545909705254373,0.027298658626363603,3.624832275721436,0.1245022558234824,0.0013877681904669592,0.0003791919916811687,0.0003674185496162774,9.533896000646358e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02737148605227646,0.0013519548962406258,0.1241396922200626,0.008017431837441968,3.4581725849580636e-06,3.521767596992298e-06,1.664002375889595e-06,7.495131670864907e-07
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.801475239778343,3.8730845713935587,0.12587960200193393,0.0008829963125772944,0.0003396436639493683,0.0006961677756604778,0.00018287821250928538
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125259174603225,0.00804549163762891,3.273285703686568e-05,6.010659496569204e-06,4.17333072899595e-06,8.268171800551727e-07
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0354885541011596,0.001366295645367832,0.0001780427453639405,0.0005956005168388789,0.00020602988142248702
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.881463737207767e-05,8.483457913932568e-06,8.982987755867811e-07,1.345901947669148e-07
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2058142411489845,3.6001221568974726,0.17658344706255757
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520492326475055,0.06628761091616386
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7107070512385738
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
