 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,N22,C23,H24,C25,H26,N27,H28,C29,O30,O31,H32
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004744579365334692,0.0016164081318283605,0.031648066737464356,0.0601859294035102,0.004143750731383469,0.000722271040528355,0.0010028088060716478,0.00014231998829949966,0.00010467590528984161,0.013450337464049264,0.002384714760170853,0.058849182309801906,0.07162954393739807,0.003501368319932849,3.575184659321273e-05,0.010060544401238353,0.008062923910199249,0.00043109676438461697,4.628624532447556e-05,0.00015117989797529957,4.8058462840616656e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.676361802952187,3.262757998378739,0.1363846927629081,0.2683974029681271,0.01974883956061313,0.031015697071186232,0.0037357387183982738,0.0004675914493843525,0.0059043352399137106,0.000951441744708903,0.004180976552508653,0.00043536639511243536,0.001116475565358821,8.505305567174659e-06,0.0006838058415820081,8.233560360315639e-05,0.04238169491300586,0.013307071854564673,0.007978720364856529,0.0011979119258497262
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5190865039061876,0.021731047252099178,0.06851349148929198,0.03215284273132235,0.007243166639579038,0.0008418309774315125,0.0003503849182362462,0.003221859777373215,0.0006172330682767679,0.0026487890518519797,0.000293782257231312,0.0005523097668967691,5.913502095333811e-06,0.0003752551996496073,6.555873098468279e-05,0.017724709368749647,0.003524369879044878,0.0028005826348967006,0.0007747381391056685
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7995292637396847,2.8307495178821553,0.10233465185535406,0.16658625312119324,0.0220840702211742,0.005448505821261218,0.04264741369699292,0.0041272236539555696,0.033812486343963055,0.003437280972984569,0.00662641554931119,2.15379328303289e-05,0.004109844062272258,6.356845482025086e-05,0.1974999897053992,0.029772228822508934,0.029902941185522003,0.005190064464056787
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10110207948049521,0.022328648716227972,0.013820055122740094,0.0017546039055467144,0.00040386191447239206,0.03810857954486979,0.002285064947269322,0.07429350298949133,0.010242218797388514,0.005148392909346877,4.732993787781581e-05,0.003056765076739132,8.293227892508526e-05,0.005168176164348948,0.0010553340023311542,0.0011408423032891468,0.00035605212173295264
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06258094006514,2.453996640169925,0.08592472620280778,0.08732507854295113,0.17667674567979402,0.024883328931435134,0.05911083886621393,0.0003914959246671401,0.008473982372857986,0.00013715003071435028,0.012361230524585515,0.0006284734920019019,2.380048802507245,0.2621957533619758,0.21187602057781577,0.05416999972234604
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08050003045007037,0.0027097690424608967,0.0072976975786718246,0.021811025737330514,0.002940183561062071,0.004170551981895865,6.540457000214772e-05,0.0005106347704834091,1.9975261768445662e-05,0.0016589699767577404,0.00011746490309505475,0.11548419923810793,0.0323013081207465,0.011121216468102268,0.0004107518876881322
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.989436082948574,1.6703124778624803,2.84505782765591,0.19449261511307936,0.24900070916031763,0.004535740462837223,0.04989750027078796,0.002599057857917586,0.044785556859498574,0.00196899397675665,0.18086989972845627,0.04112353377707818,0.0322614048313339,0.0024124908472227258
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025988021080070478,0.09911868855196482,0.012696673268787873,0.029665302574795493,0.00023652560514952903,0.004213567239042648,0.00012754640240109083,0.004511242453320241,0.00022592554135791865,0.011867664147954038,0.001913272277383582,0.019508396077516976,0.00040213811974965097
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175402080348905,0.02379575110593546,0.011826980128112563,0.001289493457917068,0.0033973544449756865,0.0008997396533123592,0.0024637553960824565,0.0002306765570896374,0.02620479828954858,0.004420837640869757,0.003284686704341566,0.0003259404967708157
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334326831241731,3.9138206323149096,0.11860880937559815,0.5487656334464763,0.03796515280365598,0.47264191765872754,0.02828793508604388,0.017177540100132754,0.0026169882526839716,0.0029117149109753326,0.0003926153339491867
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42164500874284644,0.025571146752231155,3.991093581495464,0.11013187796032553,0.5094446304728153,0.02807383127826446,0.025509517749503025,0.005369730552637758,0.0020484712736705823,0.0005171831513088865
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8694079976130216,0.5955962240914657,0.03129201297424644,3.461449230332124,0.11704960755103189,0.005334632768361824,0.0012804071990314275,0.0009441227515740724,9.078215140523316e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030737831628597334,0.000763215429361086,0.09650931160308196,0.006557377492374616,0.00012025090801759397,1.0452640803015889e-05,2.496854911782087e-05,2.9341234180080278e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0476126340916494,3.460029427922272,0.1155642363671685,0.004281305103289723,0.0023807180573939407,0.0005503878183345245,5.396102425148097e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09834256095820826,0.003633866505144301,4.6347620778819376e-05,1.0480328340944922e-05,6.699113527908196e-06,6.04554985406125e-07
N27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5460581442651262,0.0025057489898634155,0.0004495415810692738,0.00022653955102379386,3.878404283530479e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015094486027489307,2.696367158150359e-05,1.5067336871399384e-05,2.6058164421804975e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3139072638579945,3.266623177271514,0.16222702974537118
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009146507832397,0.07752721913263116
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.477350494226891
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
