 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,O30,H31,C32,H33,H34,H35,C36,O37,O38,H39
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08838407395615866,0.006903937166228502,0.0021594697183007217,0.02111098067986439,0.00011436854859092627,0.00014545761694595427,7.784846974545623e-05,1.4678196640360852e-06,4.126996023745555e-05,5.0566377887140135e-06,1.410777668575669e-05,1.5463194518172685e-06,1.5124361311125156e-06,1.5614580850531468e-07,1.0720168258870899e-05,7.651839885269851e-06,1.096571432102067e-06,2.4777320990487794e-06,0.0005706717064062339,0.0011683663318801107,9.066124599654835e-05,5.208995364602842e-06
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678431913542488,1.7153783436856347,1.497866897899634,0.020096206797133753,0.08935956579992285,0.006879683699865274,0.00019754912123792767,0.0024604806740226304,0.0008372635412819962,0.0005186011511211092,1.6396424373898988e-05,5.7387881195497537e-05,3.5384455187026376e-06,0.00018923575319516883,6.744024581473163e-05,9.077728135964414e-06,2.989907150108273e-05,0.021197930936503045,0.08313161925160517,0.003847481839811137,0.00032351745270919885
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03294031984169865,0.033540157815984406,0.0009558896235208891,0.001855742429682783,0.00039562591172292993,1.5535547777112413e-06,6.531630552486511e-05,6.0107131267139735e-05,2.2774685366488967e-05,2.945169851553686e-06,2.316279921976694e-06,1.4560971517418864e-07,6.643303401387968e-06,4.030338829341673e-06,1.8799395484769832e-07,1.1820753393898542e-06,0.0006809624736497932,0.0018423800352606046,0.00019187867593017938,4.847406047892022e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034067929049383716,0.03166287234745335,0.2495161168140868,0.008439820535476428,0.00019926505513878645,0.0005296280406990039,0.00024329588484905962,9.367612394106661e-05,1.340332338450878e-06,1.078233033113829e-05,6.093769322479403e-07,4.9406771446713904e-05,1.6022835569451388e-06,8.775744497535598e-06,2.297991292654622e-05,0.0009666648974099301,0.0023789531075341097,8.599894234406769e-05,2.0760231884686675e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008203657386672836,0.0048234715923599625,0.0006687401307149399,7.027881112287027e-05,0.006387282201062328,0.0005957432042320576,0.000605837867707737,2.2459727344159575e-05,7.578999157209498e-05,2.1690199270008037e-06,0.00015283879321792426,3.972264228546685e-05,2.5040698719003274e-06,5.394317788898206e-06,0.03757588750545149,0.24072754439614896,0.002814357657973665,0.0013189552102601532
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2776634803426195,3.5112507420800165,0.1396681072099275,0.27193524322204543,0.028476290005777782,0.02772126595175972,0.0008031009832807356,0.007454124091340414,0.00047656894590175636,0.003608723888849308,0.00019959126527502313,0.0003944598319607362,0.0012532627453534229,0.03886696902874098,0.012003958501977288,0.004583649695264341,0.0003025405945653592
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5138947148807167,0.02756840773108138,0.055292007152860825,0.01188607297723654,0.00734076729033406,0.0007730705226602907,0.0012769728871864366,0.00011676897669266051,0.0022252214121379482,0.00024736598700858536,0.00045376634635863056,0.0009723777749832685,0.07387062751510867,0.020162860909726035,0.005919748131657916,0.00022427504699229495
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6298859554486997,2.810629691488688,0.10124414693419603,0.16916370815135917,0.007570457861050595,0.03647349500139104,0.0013813049321890203,0.02395421705116492,0.0007352608813243622,0.002759618478635928,0.011527371272159859,0.17302428238056805,0.02493742418461492,0.027598220953263558,0.004580658434283014
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09824034921428026,0.004498340451443372,0.021632466861012944,0.0075042464958627875,0.005050825033619866,0.00014441588114055826,0.010134879171355804,0.00012611197765610704,0.001067913851686919,0.008693204094207818,0.019662572911952614,0.0009502672042656091,0.0035159101661608183,0.0015428698336232838
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7161220229439977,2.6887828127684936,0.0955169155416351,0.23161831991124912,0.010075574902308926,0.1503292657121414,0.008358459866682377,0.0329194177451706,0.004461529104423434,2.622309743542403,0.257827826651635,0.24006842361640163,0.0536621964830466
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08572723588304432,0.0070340427443071896,0.008643435826131807,0.005147414096200231,0.02511545017613015,0.00048514932238719055,0.0008398059627632293,0.0008502081007524254,0.11481096470646768,0.023100775720491074,0.01840406206203271,0.0017074413526765309
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9776118946033836,3.0118885464304923,0.1184993894477413,2.584799008358984,0.09148876452373389,0.10552423073975259,0.09847019847013572,0.18700646015873254,0.03600578840168914,0.026570809489135566,0.0022192055769288954
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10602549749338563,0.00838248587976631,0.08325224772642881,0.03613634999153792,0.005283003125905239,0.0037409399150225564,0.02814564748269288,0.00479815567407238,0.0029202879217181676,0.0012769313653830938
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5842695183861613,0.20999505873469682,0.009327903758140188,0.010612895052146354,0.02935563639008243,0.03613926650634683,0.00410597057268329,0.01551737289135012,0.0017935477433381752
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03638307996243506,0.0011717311454559898,0.0007152299047681332,0.0036256582221030342,0.0014887675358227215,0.00043415678723546236,0.005546765540312748,6.7932112136182e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0174397107296604,2.0310297407200637,2.026717518413652,0.021336073002330674,0.012889494040482188,0.00305688854309992,0.00014321640768910626
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026183242869583623,0.025796733978459052,0.010464462776729855,0.013675557986662312,0.0010072374846390453,9.978279428946024e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02581680000596598,0.0023567758280842455,0.0008105126205888435,0.0007950490929385934,2.0391178904732854e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005790025383882735,0.00025782698936338555,0.0001780522455083755,3.7942106194677194e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823705245291426,3.7428200475309232,0.1729418064203434
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097304603979407,0.05607091794686603
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6986498012864093
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
