 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,C17,H18,C19,H20,C21,H22,C23,H24,C25,H26,C27,O28,O29,H30
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9544886175445777,2.653587697028686,0.0821539949793384,0.09130530910297052,0.16743356196565487,0.037240847386421166,0.0007705557086525872,0.033976849199435055,0.001157203150527586,0.004601730986359881,0.00021967069783168647,0.00394279750773141,0.00012061644839778118,0.013153183842844834,4.3451643108260996e-05,2.669326940789731,0.275806069717823,0.21841824497581,0.053496403552790506
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07887088861278924,0.030810188103701286,0.004410545723609216,0.008894533159542917,0.0007356251384255108,0.0002712780317513097,0.0038386781028901806,0.0014832630455452467,0.0004069105543560436,1.4611071875503256e-05,0.0005041218438206485,3.0337417462611427e-05,0.00034448624414018525,1.2010717754806777e-05,0.11073217195601615,0.02693037360312822,0.010576397220750988,0.0008252355421081159
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0171345189942236,1.8949109650022216,2.729650978356676,0.24379579367902515,0.015395325252050895,0.2380425682173769,0.014125642343665756,0.03451982004834786,0.002750649385185877,0.036195731024598554,0.0027246294066074483,0.021173869680682064,0.0005280329267207673,0.19349271989122618,0.04290729661006222,0.030561424444197363,0.0018382303882553686
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024626390673425202,0.09726837344262562,0.01831021972451241,0.007601776078236089,0.02466223912920018,0.000779652782894491,0.001613967394102911,6.16424503045998e-05,0.002811644625110077,0.000743927049376536,0.0018771685057756837,4.361586283585517e-05,0.011106985976478523,0.0023404723952016315,0.0009228468194593109,0.00014059957052992011
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09387423740821199,0.027195780687772952,0.0005196452634199655,0.016926932450276322,0.0041659760723795625,0.002771420157371196,0.0005317541166616202,0.0017601720203870297,4.722604340168246e-05,0.004574333891558702,2.2364002500774305e-05,0.010169497443099695,0.0018379147395762852,0.01283004449381675,0.000239500607557952
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6780320034030436,0.12619388568156342,3.8303588926912746,0.1270888919824733,0.3274445231234976,0.026153498262316832,0.33213217566585607,0.02647729582751257,0.30219439951764804,0.004089938914962898,0.029183634244689033,0.007603018323882063,0.005045060731759504,0.00041374477678157717
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0721680174866597,0.33076445188601955,0.028452826124654385,3.757389276311422,0.12768029387334967,0.31340727225456233,0.003566689696338443,0.3324992629207505,0.02729844589453667,0.006796023367021176,0.0019774430542090216,0.0012838266816096594,0.0002307603402645908
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028588468422205526,0.00154167548552131,0.12653616357293096,0.008199717788235583,0.00386061449445374,0.0005177355058960664,0.027159825876935217,0.0012394005025730959,0.0001870690270353581,7.526911390653979e-05,4.464602828457842e-05,1.5043600596342799e-06
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9214191046077655,0.31585679687635715,0.0035951730131909,3.7807929347324998,0.1301930315353601,0.3298829273823436,0.02709465019277313,0.005331567319193764,0.002095789999653111,0.0006792423135397185,0.0001761437394126597
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038807376700293883,0.000523416718129166,0.12533647553131821,0.00831233392650077,0.027000424350337227,0.0012165491130180506,0.0002819747914499793,0.00015956874999933923,5.178433315067288e-05,1.6664889970208208e-06
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.926183281491126,0.3373731668178687,0.027421909825427804,3.9493455408946385,0.12892462696485896,0.0011373347566824288,0.00031149628282693687,0.00023549942163816895,2.99342221802279e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02743631680026737,0.0013513417752795132,0.12852551328444517,0.008043276040142988,0.00010474779788438582,3.571481145736577e-05,3.113401593757281e-05,2.182646496873275e-07
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0757688797313443,3.754163554503225,0.1274703989241044,0.0009894480128470329,0.00038647918723648533,0.00014342243617557204,2.891105302993413e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12802458249395898,0.008019034245955181,8.468386310811482e-05,2.980292855081501e-05,1.1535423845021597e-05,1.2441726418011e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9537966584849689,0.002035217271752321,0.0008580622549798217,0.00022326834569404153,0.00011371917941072063
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0486067771209306e-05,3.5502057872394133e-06,1.8480634642603633e-06,4.849783241667183e-09
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.174153325178932,3.34694798970611,0.17118148152606005
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5165544900965231,0.06717499878065436
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7037789995823238
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
