,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17C,18H,19C,20H,21C,22H,23C,24H,25C,26H,27C,28O,29O,30H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939474339097734,1.5603418013625894,2.1701768807839246,2.1617308665045964,2.5666181169441753,3.4781878899869945,3.5923055788009286,3.327348985657505,3.3277364851829483,4.687159339641133,5.513781951262338,4.574191520550257,5.341831026246077,5.140256988777449,6.1910776954454345,1.5233689288961525,2.429708845664712,2.383834262835136,3.2168633209516053
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177241275543296,3.0684930426027512,2.496289748505614,2.802274646626361,3.8947636190231187,4.262189704538265,3.0867051617301775,2.845874745237249,4.906099501762023,5.825676774686507,4.289471482143527,4.881302937788138,5.0714755972731025,6.0718559633915365,2.1524585931510125,3.1876789870955395,2.5752963648463814,3.4931899551696546
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975535982034776,1.096291707648458,1.5126058246221026,2.5346972916633335,2.733717423837361,2.532069216756243,2.731197287704939,3.821806660142849,4.68809383575195,3.818404171494577,4.683522873749409,4.326791566217455,5.413775273127148,2.513168665502964,3.381134910693568,3.003093123023718,3.8269080792435006
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764779674779731,2.1514983882544754,2.6505115065160543,2.4218128466037956,3.4038265742446403,3.743691454714778,4.033147827772783,4.7172041806805804,4.563260168245437,5.511895107996893,4.817462935696976,5.884237862996075,2.716353073815193,3.2433506716693694,3.3756041623329565,4.00707388303074
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155130844722481,3.3545812623904814,3.658288760089947,2.719518289137829,2.553041344940582,4.529234027032121,5.459166574756879,4.0786775534474575,4.784979996056746,4.821267683533515,5.887760103139943,2.6897028088183546,3.7011846037893745,2.650753955983704,3.460606472095373
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4007192487269695,2.1544408541165248,1.401899630317208,2.157207342419505,2.432818839235891,3.413914835892431,2.43204408309174,3.413107508079086,2.8142214536859753,3.9012050047879163,3.8813562403124067,4.730748104162321,4.3756016188706655,5.263665274470417
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08782000762956,2.4089998969036306,3.3970216911124322,1.3966148783488985,2.154399659275759,2.7859453922141912,3.8729622650562763,2.4192213121478265,3.405512113591141,4.773233851196374,5.382320681945425,5.497746148909527,6.320691834119818
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395954952196561,4.297341837812043,2.154432903340424,2.476551206040392,3.873751332572003,4.960769182468483,3.403017329575741,4.301631168915936,4.687039914329717,5.066694240094475,5.57024983230775,6.2870017000292915
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882700322818482,2.786627521028913,3.8738447688723627,1.3947825825633573,2.152342304324521,2.419287557702496,3.4049199900006526,4.657697553954055,5.676406510039799,4.870519183576266,5.822082968487534
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8748837637888305,4.9621055229010365,2.1520244695553665,2.4727194960089895,3.402879225847068,4.300282513569686,4.4754720116013305,5.610457311696225,4.408838827940467,5.360986378311105
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087240562923043,2.4140385707080356,3.4011699849946093,1.395876979414069,2.1580473445483133,6.074648843856214,6.716459423886807,6.754764703817543,7.619910079381468
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401712536530677,4.30313558919641,2.1574562161021964,2.488814898336345,6.855280749736327,7.3679819416583126,7.637476541165555,8.463809912709685
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870353055057584,1.3971491996913805,2.158783895996554,5.982184503506475,6.952953585208228,6.251919229282289,7.208948134784339
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1581915972135937,2.488981494468991,6.708856604615141,7.749215327555193,6.832052150754298,7.796101913219894
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869850758839101,6.59206416094026,7.406604228199111,7.0790004407636244,8.008424666076026
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.659418118684586,8.464667382367534,8.143382436329214,9.080031907811746
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2129914854950175,1.35017480641931,1.878439113651068
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2550295760174066,2.293000632098675
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768157907135919
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
