 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,S33,H34,C35,O36,O37,H38
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030811372407113513,0.09805327499206995,0.004863929310657156,0.02758495587729537,0.0029907333038567963,6.210786369797994e-05,0.0026573752051775035,4.584426339260261e-05,0.0009695954489090663,0.00011544779631056379,0.0009325366191528239,0.00010864376848873647,0.00010364721439715119,3.687639272431653e-05,3.3395623552756604e-05,0.00010807436366833123,3.3289308014605723e-06,4.374224582548436e-08,1.6468837251704116e-06,3.2486299428313714e-07,3.4642010704466486e-07,1.989895149767662e-07,1.7057240286888486e-08,5.643129339372166e-06,1.9532667116073377e-05,1.6744381444722123e-06,1.8911530852427916e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38828540136988554,0.031084671651284923,3.3542474141816814,3.3324306139465154,0.12792117433481587,0.2918546900432466,0.026816621264752483,0.33316512547434907,0.02749056153946139,0.23067896774126004,0.003948774511993713,0.007497068146096214,0.0012249446771778888,0.009465010885424424,0.0016959063232758753,0.0030579618821385823,0.001116426906443868,0.0005461498441284574,4.9788137665318644e-05,2.8944404270481172e-05,0.0002421346271806457,5.040259901223365e-06,0.001745999780534191,0.0016386676910012665,0.00021045452714078816,1.6052076108330482e-05
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.808467036832255,3.213904096108987,0.04829356102215458,0.004078221578889929,0.2561641431552889,0.007182467924325309,0.05083276476021771,0.00044681471027896436,0.06604988421079351,0.003064819286100251,0.0016192415854228426,0.00023805436229959454,0.001416331994956943,0.0008219548618868533,0.0002017101099052454,0.00010801013973593676,5.1900942417290596e-05,1.2916920660743791e-05,5.933666700874696e-06,1.896732863200523e-05,1.6189941853816947e-06,0.0007117678070021061,0.0015132443370634713,0.00016228898443672313,1.0151592813034682e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11616014750518844,0.00341510737943429,0.0013891544931516897,0.00705872005638386,0.003343792837503301,0.0006399321935732782,4.028004166367616e-05,0.000619023645158423,7.160327799260457e-05,1.4540147797448277e-05,7.0853013335314685e-06,4.484849320807172e-06,8.554243164926589e-07,4.3459421128488884e-06,1.5303391704968305e-06,3.358199347491819e-07,8.560397279921972e-09,1.36317857224455e-07,2.75437418206792e-07,4.0722067273790685e-08,3.755484856560187e-05,0.00018960131921497148,1.052883116048342e-05,5.983706286016854e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30201695671369166,0.027258815581109985,3.3517334710275897,0.1293928412624168,0.22721470274216338,0.004017427210986968,0.34899333518470327,0.027874066105786133,0.0006699722557665655,0.00024061128327430847,0.0013452774828279779,0.0005391151079124912,0.0005117355450938166,0.00015665302533041103,0.0001190476637417115,4.568114903902298e-06,4.468828527004476e-06,5.769052972233457e-05,6.367297936016314e-06,0.003497645587327264,0.006422043785816511,0.0005748852643505664,4.231942045118675e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035847774908098,0.30181485815669706,0.003466231604678738,3.640181818691632,0.12471116621799316,0.3270460970693954,0.025690297649206384,0.0064349462969904014,0.00604015192511656,0.0024145358896439095,0.00048230989530573254,0.005149386630646069,0.009503030960827719,0.0005860662563576535,1.5536341575694834e-05,1.7114213983204785e-05,0.00046284699684034925,2.7171779872769974e-06,0.0006201156025281152,0.000313796820345838,0.00010533753635025289,3.739468481755992e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003388344238762331,0.0007694398605315733,0.12545190713640686,0.008472121241609898,0.02722868550615898,0.0011210362338123225,0.004056307658657943,0.009663076065156151,0.0011346578420752262,1.1219516727001277e-05,0.00028305237139636397,0.0006066869989231893,8.223311934596467e-05,1.262326321693763e-06,3.7254564497768428e-06,4.481346495655014e-05,1.0419061173827515e-06,1.580041406179511e-05,1.629699204575008e-05,4.758076199595784e-06,3.583203844748084e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0420815661354554,0.32511921095227025,0.025911581985817556,3.630191338262052,0.12791613737170127,0.000432926505815473,0.0004124601202285666,0.00020248168421288515,0.00010715070656452941,0.0008014102307359328,0.0008250894270070974,0.00012992185891375074,1.431570551213568e-06,3.1034093906923133e-06,7.534588194060832e-05,3.2778175866887693e-06,0.0020006189748646708,0.0018838895847925058,0.00018348112481225698,0.00033868213293120064
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02732293196540536,0.001068777971148016,0.12257304155579152,0.00839636777867847,5.33198567276294e-06,3.6221720453033512e-06,4.689788791090166e-06,1.3321028724533335e-07,3.49782440323132e-06,1.1159610242561513e-06,8.995335969430585e-07,5.1945989509860624e-08,2.6824572119110712e-08,1.6386215473396248e-07,1.983997321985953e-08,2.0259147734291716e-05,4.3912614360541724e-05,3.095851682677342e-06,4.400168310381147e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8435544763190788,3.6721268881419267,0.12297914526736309,0.0006690211603674889,0.0013028090972786524,0.0004806512686729575,0.00013535749246129658,0.0024843202575209056,0.004783898616143145,0.00035501849225558213,1.9413350054175993e-06,5.9541621132419564e-06,0.00021474687977964674,9.79059561423412e-07,0.0005712652116786621,0.00019912224315152272,0.00013159857093994476,1.685797354966656e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12174981233136228,0.008089112547756239,1.576853858753502e-05,1.4485497428440297e-05,5.914219235014784e-06,7.575800484715955e-07,1.3162988126813602e-05,2.5556716554353542e-05,1.981740986645164e-06,2.9212605667794378e-08,7.9359021798453e-08,2.3769366498394007e-06,2.0247543641715993e-08,2.7437455192291793e-06,3.945672820693247e-07,3.8028708093662544e-07,2.6634316085960563e-08
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8067803124065172,0.0006284729445096837,0.00021795660378606113,0.0007143164060534057,0.00025152457021326846,0.0004939451459861632,0.0002424805174333633,5.530885180024536e-05,9.337206900994488e-07,1.1991316571924315e-06,2.818584806440344e-05,9.65732912305839e-07,0.0008282766483903581,0.00032456033093468395,0.0002385034211889181,0.0002289599872812298
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9376193049147616e-05,1.9568801767788635e-05,1.5713249355009395e-06,7.632506515697912e-07,6.517352784118913e-07,1.6748729592119815e-06,1.577056980561764e-07,1.1616110295875615e-09,6.043635347730003e-08,8.73431181824813e-08,1.2078068989396229e-08,2.670066769683288e-06,2.0734781618347853e-06,2.258457671988623e-06,1.8338684768526292e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3003306894014655,3.6453144842118066,0.1377805898906409,0.2851947318842294,0.026274415130548512,0.03258503143485014,0.0027684918667756353,0.005716126701973634,0.00509609779779685,0.00032466007308840084,0.0289803965040053,0.006337327117705613,0.005791229100315209,0.00126458348828562
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5309869332562,0.026455148114531202,0.07066127754975349,0.032687261947689894,0.020174760791191786,0.0009253427631134015,0.01850597993810832,0.003398311398840184,0.0003950401543399984,0.009066108390838962,0.004136894512384498,0.0013458112226242477,0.0002704890005890137
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6422881765190223,2.8336281101549146,0.09617010957888406,0.18130410468658947,0.025813112776137404,0.0076853498470766946,0.033969879995893223,0.0006374452404187547,0.19014108339249908,0.0533992236525178,0.02690515463881271,0.005244758203833522
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09702408100785831,0.01622067885126799,0.010098529220465391,0.0007054542626363514,0.00021739861201353072,0.0026068078052923216,1.113675139996495e-05,0.03381405790509495,0.07246323385234554,0.005480314164418187,0.00017888366617513363
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9276217959042827,2.5103353220481606,0.09408646174929713,0.09644216981109821,0.18107946333812922,0.004205497670900948,2.702571210330458,0.276873459126565,0.2215150435385601,0.05397640750882193
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08933477640969889,0.004794852690901408,0.005651041228832421,0.039450457130474015,6.1014603010889346e-05,0.1133294530574096,0.0313249328588483,0.010699988890616519,0.00047117796264095624
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9773944993184054,1.9964887258252835,2.823148103924134,0.052749315995340273,0.18627550768038267,0.04549528401199425,0.03112263358450776,0.002158165359112507
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028115555651251123,0.08698881557746574,0.006092662227136225,0.006247445730447332,0.0008868037254996519,0.01131050349202023,0.00031005377598880557
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08597407869838203,0.02523571093922805,0.025840706791411483,0.004276009624656574,0.0040039765955577344,0.000304913248912575
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9139381150021788,0.033139929954110484,0.007392972251219262,0.006997726615005528,0.00043191782036111626
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006588649776314792,0.001052954587854149,0.003998507767111414,0.00013429879368698217
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.004089770633665,3.458611042834131,0.16661331069931473
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121473108724218,0.06440656993667737
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7820065472058286
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
