,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33S,34H,35C,36O,37O,38H
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.432068988087569,4.317258390469579,2.164240896564955,2.487779491183547,6.351135318348873,6.9295080398794795,5.71853437272971,5.346894521419359,5.558228708673769,5.3965455109788,6.985343941052397,7.145291807679646,7.6679972136780945,7.880413692178087,7.380190248235005,4.627077332367397,4.169119612516918,4.885911728928129,4.545673701609057
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869088430032916,1.4115024389621682,2.1636535339754883,4.6792264516124975,4.669423982000002,4.6079148274798785,4.860691822315831,4.305897122194444,3.5258556276292508,5.633673361494807,5.722195373765653,5.9260253900657105,7.1494549110323256,7.098617294189673,4.305098951643761,4.648473826411109,4.540794994619241,4.867009762351824
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161914426551277,2.4768839978934096,5.197132379441606,4.935865317074034,5.225007366173696,5.632086538633796,4.751937993206909,3.8095656860985496,5.895428009720972,5.834461683079102,6.10186184716517,7.550440771371484,7.531048060111501,4.895294131416373,5.430787865972582,4.920607350216646,5.32096792925569
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870366866738597,5.504575037256737,5.7213047910198025,5.142159656067202,5.161779512521475,4.778087579413293,4.2143833506380535,6.157709278186385,6.198525783679554,6.6583583888361115,7.478749309405751,7.18925272150872,4.306546076148919,4.404245074784259,4.423141126728189,4.458353432530264
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462704478920147,6.599355607278411,6.037585066707353,6.084775082323667,5.488674278374411,4.88685921079788,6.754568635693821,6.635861204348542,7.309501642959622,8.092600573613517,7.682428271752425,4.899407020717013,5.062429448401283,4.7313734121759845,4.652918377132049
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231431561207932,1.3625122696375305,2.060931325086478,2.445945399098219,2.5819483744990412,3.275666403308508,4.179144736126279,3.00717200739642,4.244871715845803,5.008283572877868,3.6414636572495134,3.9787216816148945,4.737988307224298,5.474380572924825
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.274934140563659,3.166546762946945,2.7866785069596323,2.52785343549679,3.322647078746886,4.04830228280242,2.7646844535175927,4.615657075317717,5.4590977161915095,4.190031115097147,4.793663864878894,5.042133305274919,5.889319026600453
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01329436755676,1.4463438526767276,2.0790230526001685,2.499271025800816,3.4259822690608823,2.6910260795861576,3.299778886603767,3.8306278788522867,2.405955155376,2.7051833317167633,3.6069723430781195,4.279796906468686
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096434714565867,2.8382723163082826,3.1961783135669473,4.101646354124027,3.5604837625342682,3.5932628524736643,3.927342883673499,2.4312994999577584,2.2431761950348617,3.768757623309396,4.242508151940603
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990174318100034,1.5457792272161217,2.178224713364579,2.141823816644708,2.864493856357013,3.1163949933920985,1.5215769552765743,2.432365774014109,2.375481480323166,3.2098387595622517
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1350812474132796,2.42113403791585,2.448648314763744,3.790047426897669,4.035558408029617,2.132390603603859,3.1155980251629414,2.6209481944970086,3.4993116521119063
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0927123573089457,1.0925309276713793,1.838174797638919,2.406473548516208,2.544262353765655,3.5168095347787816,2.90502825865434,3.7949198430751307
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7705263390210333,2.43657344218586,2.6051488216877243,2.827559064112159,3.949168672458461,2.6527656302651255,3.555994766521886
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3778250247439217,3.3064957860400117,3.46166176942516,4.388293122073858,3.9005306575829017,4.824751816394849
33S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3518273296189351,3.3037450577843637,3.8466630795956656,3.7560746695871683,4.374106980304702
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.914817019202995,3.372015693560717,3.0655084063437292,3.4615162181204586
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2118322584153651,1.349956601619118,1.8770100970859604
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254046715053123,2.291342931486948
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763518224922666
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
