 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,C25,H26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,O37,H38
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07893843537774292,0.012380259578111286,0.028281690130530057,0.003729579363887181,0.0010939073179323522,0.019429300035102903,0.006379505929560603,0.0009552304514521825,0.00034882849375694747,0.00014492650712205624,1.831358326742638e-05,1.1854811481581962e-05,4.322826554004067e-05,9.984369846005592e-06,3.294604236092624e-07,4.1222372877181e-05,2.067636560787456e-05,1.1097251048086676e-05,8.80601480623966e-09,1.1125782310994481e-05,1.5309713519151558e-07,3.4968425275394566e-06,2.5373213530244243e-08,0.001434601454233908,0.0005827664714939118,0.007849443068632445,0.00016411222365708689
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.292214264689681,4.619850743286762,0.003613838120199997,0.0012169028129573878,0.021070229378810118,0.04794102997572669,0.00284664897405168,0.00044242653442672086,0.0008117121703031527,0.0010182494238637485,4.851909960135181e-05,0.0006172296674140099,0.00014576974450045133,2.480787683212249e-05,0.005154496054949914,0.009063597860517358,4.9741759709093225e-05,1.7216110324014267e-06,0.000612985509906322,4.673701661794816e-05,0.00015686579194135186,2.654677311131337e-05,0.00022761292307194037,6.605287496025403e-05,0.00020488115270461682,2.2866186646708364e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5774203602647163,0.01673982060317386,0.004468403382059796,0.18926418464454553,0.4300522767767738,0.016502104994106037,0.003174294233266428,0.004144729177034109,0.006582768967128283,0.0001513490471090062,0.0035263942536289256,0.0007215496004545491,8.971763078702288e-05,0.030257645420355445,0.08785244175534412,0.00022266137513998752,1.1605246948542813e-05,0.0033834842234643225,0.0001981264857033871,0.0007315821897322106,0.0001013111796435151,0.0012568696199271867,0.0004469208529414709,0.00020627956361839173,1.1744337861441245e-05
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001567301422735895,0.0003860581467180768,0.0075859497186353125,0.009569732322334046,0.0008934816633889564,0.00015214756366399573,0.0005817564681355192,0.0009193642555798132,3.7628036509085305e-05,0.0002479617152642971,5.27342191102842e-05,8.894407852233499e-06,0.0014826108087443585,0.0017749159195553643,3.291214128516018e-05,3.082987325431219e-07,0.00020729443154292315,2.40961562365527e-05,4.882948035177248e-05,7.2758780582660165e-06,0.0001804852503747567,5.5665453757305916e-05,0.00015820396983598495,3.1150411527902655e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.881615233613678,3.708819885669008,0.13309127666081777,0.2969823118016876,0.03041405225716587,0.034930003016596545,0.0012634934975999101,0.0043684644604138345,0.002766177001170683,0.0005407290844581525,2.489400899041705e-05,0.0034384394269939,0.0004666731660381007,0.0004813808271391662,1.557809668817356e-06,0.0006547548798882807,3.83245978707869e-06,0.00028512278790435164,4.667094294807939e-06,0.039190533658646026,0.007623752315535026,0.011360705244748942,0.0004487180843034677
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5409804454397309,0.018044029461872224,0.07545137654897088,0.05495056398790554,0.010182072333491513,0.0011574478531395371,0.0014937132972928646,0.0011036093168545758,0.00029930461821592313,9.163601815131983e-06,0.001953172745111212,0.0003791116094583602,0.00034344809676196963,1.916702634385814e-06,0.0004702281093181271,5.678229084704611e-07,9.76561492436745e-05,3.1916737943671336e-06,0.013700482925785379,0.0034031779860761308,0.0034276230435093535,0.0003636905376267485
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6272896265284154,2.9073626039881546,0.09904710707863762,0.1774802870516875,0.00811868216390721,0.024657066889307355,0.019402804032944088,0.003876641106861922,0.0001513440044165204,0.01756534935365306,0.0036056565935067564,0.0019249644562032153,6.529156136636516e-06,0.00294693331598829,2.3745166685573693e-05,0.0009676655362927528,1.6008513982646022e-05,0.20620495156079047,0.03743524923176654,0.03289924036901236,0.0029236208655690765
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09055019350149007,0.02012014058662448,0.011328611955967016,0.004321736748629901,0.0005125070598011039,0.0011211300300052462,0.00016492888109620463,3.352240819176622e-05,0.004592165839928497,0.006285917238971539,0.00019557275166270927,4.731861143802973e-06,0.0004136596173788254,1.7577287803050012e-06,0.00025143564861573875,2.3442783142257895e-05,0.004331918556877978,0.0008647710530566011,0.00034013683826750185,1.1798967136655847e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.759902346235158,2.355089140386946,0.0888038050692288,0.0900782139411005,0.17574733298754405,0.033861235723803146,0.0006393413074938792,0.035689341972111266,0.0007023220270252484,0.004203278489391893,0.00019131622176393748,0.004224383921996366,0.000138538257892451,0.01284466443133378,3.683391796593938e-05,2.720123922927248,0.26917244735557283,0.20306640138511672,0.05623930943408706
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0794394669203915,0.03151106349453037,0.0037723894205272668,0.009594158295187949,0.0030608966280044614,0.00040404677670236033,0.0008289632485730669,8.181580549049272e-05,0.00037912327853273364,4.230357490420111e-05,0.00033691135964186714,9.188215237987407e-06,0.0004108243056205607,3.5962649478360476e-06,0.12313377809263315,0.03125729394402432,0.012002375311974789,8.483445207696505e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.816325317121178,1.9129464732731618,2.8320466877941506,0.23999564141707458,0.015443082284800846,0.2295513442406995,0.012913004978363674,0.03570284144918838,0.002609625519841563,0.03479988652943526,0.0025104480368718374,0.020642100997919438,0.0005195839405993663,0.18476475766924516,0.05229908172434826,0.02738627839672393,0.0039720041426358765
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024984936859162366,0.09574557740540657,0.0270441373615824,0.0006617023060497829,0.015836538340066708,0.0036999911227355575,0.0029892042934065444,0.0006142295969020495,0.0017055392705930261,5.2872670983195036e-05,0.00361679588926489,1.7220198871958914e-05,0.008377559850437644,0.0022813837982817997,0.0007020562151180965,5.5706608864225515e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09677439703859148,0.01809801144592804,0.006810917997123189,0.02503362721364155,0.0006697271792923676,0.001714712563654519,5.4757486359413576e-05,0.0027498205467900716,0.0006771355780939015,0.002619387617668334,3.3879658660085354e-05,0.014975627050404228,0.025156603342177064,0.002427749937347623,7.255294816310709e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.684131875294557,0.12113358669241014,3.471523056490056,0.12578955389798285,0.33055328900173236,0.026367225317499354,0.33431033956372036,0.026369754307343563,0.3014594931441072,0.003977829466831118,0.027253246991710472,0.0065575160723171655,0.0050801477707450166,0.0013559370781573987
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7983867347453948,0.3262183476962846,0.02632715365451621,3.9205315911380154,0.12421084803396698,0.3106634925648324,0.0035350054473755055,0.33419987890491226,0.027381830521189476,0.004300359346763011,0.0008125611714698139,0.0012846715736003766,0.0004337325160485017
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028520558616430103,0.0014512288341501645,0.1233501543500597,0.008168886609089876,0.0038307112180282488,0.0005552560051327315,0.02706435756014902,0.0013066652194848594,0.0001976256814564259,7.102319433172077e-05,3.371385680961403e-05,8.953210284712299e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8715219051201923,0.3131485962267594,0.003571921657793631,3.9365408699707647,0.12597947187882963,0.333749968301034,0.02705587618846117,0.006544939681479733,0.0013426677838071638,0.0016623303588255423,0.0005287896443398887
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036345394479695425,0.00044276711653568057,0.12894669056244268,0.0084596161938717,0.025391383061047157,0.0011799428901779763,0.00023305149233343592,4.2480151730361904e-05,5.11170731918309e-05,5.92039827407298e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9266758851499923,0.331398748141422,0.027447902696665638,3.5724917169451533,0.1226581148972572,0.0008492732115703838,0.00018486548210647213,0.0002504289186676112,7.447221016310124e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027527435972899417,0.0014517928200969976,0.12148992146598458,0.007917494204246589,8.079412016770426e-05,1.4758596839303806e-05,1.6634445855867597e-05,5.093596571192904e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7994222165617229,3.7577453402793157,0.1226579832604755,0.0009677591892369719,0.00023541584888450706,0.00026827824743592965,6.625401106530315e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12385325504154143,0.007962833423603488,7.44053761427832e-05,3.114259510628159e-05,1.3260120621083615e-05,1.8877301937170188e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.101449352599918,0.0016621580418067217,0.0001678619042924101,0.0005840983547833745,0.0002690331819469316
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.244361410834287e-06,1.0342532335005927e-06,1.1444472183264054e-06,1.9089396663396485e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07775289854537,3.322710997927558,0.1732446868809593
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5173391324108642,0.07921598233535376
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7214623582146737
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
