 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,C13,H14,C15,H16,H17,C18,H19,H20,C21,H22,H23,C24,O25,O26,H27
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5386079574635898,0.08456221924379877,0.0257552035377574,0.01081855685192018,0.0011053318830925862,0.00027826811059994405,0.008163462423815063,0.00017631634270387497,0.0022100908030764366,0.055110571977029496,0.005903176475010152,0.010700967051686994,0.038910265068691,0.0074652148307757585,0.004224445445876343,0.00057964854975745
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7626915748759697,0.0920144318736309,0.20453431205952716,0.022246256973234457,0.0031379945484635297,0.20618080134876512,0.003027211462048651,0.022550163601619433,2.8099326711958237,0.08993873463780555,0.09569958446468174,0.1890481532111708,0.02994994010551491,0.02720057277194597,0.0046484826051300665
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741098022415419,2.3834858283271343,0.0792304365570482,0.09046151789448476,0.20271327457356633,0.004910619328421184,0.02610877664131417,0.216348908277019,0.0183504229589333,0.009474306169812152,2.7175213248001073,0.27413308641498674,0.22293769921442133,0.055520590230212497
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07862725611405397,0.0015836616385873636,0.009943765914466995,0.022436976159960098,0.0005476000015225413,0.0005600791141049388,0.018823825251352955,0.0008584719774769045,0.0002419170814997873,0.10680000981067095,0.024759689796223006,0.013491107479359443,0.0009689649613195961
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8489145235494386,2.1521765251606055,2.62163923660787,0.08415531701205747,0.0784429917008318,0.1975474780685868,0.022671080850616976,0.004199026325636179,0.19754874271781314,0.04174151180883501,0.02402149159603896,0.0019626697367738366
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026476397174649557,0.0765522867318178,0.007709963506142836,0.0010695711535717578,0.02694749539150121,0.0006557673300002786,5.74996311384357e-05,0.0162891214857368,0.002316191695615921,0.003958491025330302,0.00013637526219056895
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08180345016272361,0.031203308542878894,0.007583990285620734,0.005723738751735041,0.000297207633192631,0.0008625613720931735,0.024520205150694308,0.006084096621192581,0.001873109426908881,0.000606991710077498
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.073336147915585,1.8502035275237236,2.754062902081073,0.07992538744702316,0.07846288214846275,0.01616429261085009,0.010843225993873773,0.003869169020345148,0.00021697636826145672
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02620271930559226,0.08478174798404958,0.01040083314675777,0.025956415402708766,0.005673299462508163,0.012858246009525232,0.0011389767714889976,2.3106663873617705e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08473039770487811,0.001464055723015667,0.007985453535913623,0.0021380030205242484,0.0007352283907288149,0.0006694162419164096,1.1729092767476246e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8845072983443998,1.995341472643628,0.01617975617378331,0.003849658828293162,0.004262433202553539,0.0009849013281051366
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023911122261867757,0.0005425770184510625,0.0003662612498376294,0.00016082141683559925,3.992093416038678e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003192863689371883,0.00047455595467260636,0.0006844435320554343,9.518896167137747e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.962550888014061,3.4612732163462008,0.16877973087956055
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5154215477483876,0.0663414679547486
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7699961045438668
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
