,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13C,14H,15C,16H,17H,18C,19H,20H,21C,22H,23H,24C,25O,26O,27H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2602312404070974,2.7130843593350806,2.5981073415086993,4.187050187628506,4.918004800894231,4.557210363755694,4.563505110960619,4.840677564359053,5.54676274843716,3.651570916962499,3.983514847201471,4.122584223413443,3.0261448829595508,3.423687013469675,3.707242501303483,4.260863570587325
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.460239563672829,2.112626620230515,2.3561574288725726,3.3026967926563966,2.8123481706910627,2.362066512305985,2.835392960298764,3.30025880052054,1.4718207434848083,2.130400130807058,2.125095033600395,2.4607133052853243,2.8386105600649825,3.601847629305728,4.299739912600198
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0923188679248863,1.5466189432616686,2.2108179355776123,2.166880557997285,2.415005028935926,2.8027647234202115,3.390067593772361,2.444649521552275,3.2527160884017055,3.1113363565026577,1.529530368970067,2.4405129793152343,2.378388130892153,3.2131893158348714
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213341365440471,2.7602633600125084,2.399987784449133,3.3573344848209987,3.861191848903336,4.220553592233533,3.2704610264002283,4.144780868581347,3.6973257026498274,2.140132523762779,3.2359556522664397,2.4529219080843814,3.395962932344096
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939325644523832,1.0963107108844983,1.5381259324910501,2.1699833718047836,2.2105352567138548,2.414588217315641,3.3456610698248967,2.919171662923029,2.533111731678109,3.244787785731704,3.22551883860362,4.0043827067819215
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7699124344584114,2.2153478450386532,2.4621604885050816,2.720421064322034,3.3909376398970155,4.206901590271407,3.96344776983479,2.648825417333681,3.3573130468351486,2.998074192211457,3.668404402017729
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1829891058967212,3.0708847920078077,2.4727868745155654,2.812641615112752,3.8689390263160073,2.907085024971341,3.434089678879906,4.263713213851647,3.9561077536719926,4.82768233972208
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094727176397372,1.0941787438084116,1.5380154794735434,2.196457856581364,2.191131494248654,3.1680335996658617,3.350795017138003,4.22934964057624,4.833750197586274
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7752479019310743,2.165667023832248,2.383524580467588,3.0510797319339567,3.000862536538233,2.834953069960549,4.100388695041989,4.502331904414791
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2007765120076557,2.753368006863721,2.422795038910549,4.216920773043074,4.397339071547383,5.189849548753867,5.8000494033559455
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938062922000553,1.0996133312404692,3.3966835594126663,3.509756974735124,4.621195031336357,5.261982627790893
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7757287386966316,3.8617405145521007,3.628581155431159,5.184651133249413,5.681356526752331
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.312111367883368,4.562409497059737,5.442383937509154,6.170879450638903
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105791849076015,1.352222604836474,1.8766173350324156
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256372001599479,2.291595749308408
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764667477311333
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
