 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,H24,C25,O26,O27,H28
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.784885472468876,4.953377539736564,0.0036523418567842025,0.0013257048741567579,0.021221231121489048,0.0478422835920741,0.003042370625802815,0.0003416260583362085,0.0010723990961521435,0.00011795576074447034,9.747471581555978e-05,0.0010750862332327138,0.0003022310637408321,0.0005391910987081056,0.0001319924610199419,4.513476547762796e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5731001613021546,0.01720596755743882,0.004988790679126678,0.19646973690884778,0.45836425605947384,0.019227175632670734,0.002553222959520429,0.006352689872111274,0.00046767467253794326,0.0005020355342065796,0.00667362520019299,0.0011829881765124672,0.00017889972725935316,0.0006354718298008724,0.00033693955367231077
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017603278900654717,0.0004550373066763286,0.007935654405130624,0.010475873984154171,0.0010679459648209877,0.00012263571996662392,0.0008497778753585872,0.00011228606451574308,4.414815273290351e-05,0.0009660585844558645,0.00023809258781026799,0.00041913825133230165,0.00010268747398332889,6.281864887236477e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.718522600886514,3.645941893613373,0.13098046209918568,0.2985028995979482,0.023094228497410718,0.03336640692455148,0.004567161972879541,0.0010008269112509183,0.0010175202641578007,0.052791279954934794,0.010245628041272617,0.0073692220948791964,0.0008486205157112181
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549058459910075,0.019661999783951778,0.08148614033683138,0.02262921894130654,0.011367721715420276,0.001072936487227949,0.0006956047580656266,0.000606728819053326,0.05624574345024114,0.010848402528512734,0.005463992016650973,0.0006049528587079855
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5876233668505053,2.8712191776305875,0.1007741655958152,0.18384543131686978,0.025849519645180452,0.008728759409436071,0.00828246339501204,0.1950835595486335,0.026528227629167386,0.02912559600391998,0.005080703262779429
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09059839166765227,0.012452374256632037,0.015375755264371516,0.0009817535883269723,0.0012066178902696567,0.0035626744941679167,0.006068921562109253,0.0004044721138551921,0.0016634162615029036,0.0006630609356714778
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9747799242802964,2.6146508820208387,0.08848574368089612,0.09314245016782752,0.08677478014089068,2.6203832350358005,0.2547243913317234,0.21597621682169815,0.05550088042736334
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08314706722779719,0.0037881601148181954,0.005750757216397284,0.03414439650793599,0.11250668436320699,0.024288820295888303,0.0163438459515306,0.001188451487974751
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0400572877198804,2.0265371043478795,2.055298491188001,0.20778191294304932,0.0426028034191022,0.02642870714436467,0.002194160107227394
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024710757234641223,0.024210688858488316,0.009777967163183687,0.0014590659126429983,0.005151723710003386,0.00011273422975310865
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024506655303516034,0.0321888144191802,0.007128206242743462,0.0031623309185133675,0.000674612503968941
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009994349449509166,0.003822448549324564,0.0010551515147666501,5.945944067997644e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777597722834029,3.4550665058390195,0.16799741481681163
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5113656687961352,0.07726689573681755
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7359807094678195
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
