 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,N32,H33,C34,C35,H36,C37,H38,C39,H40,C41,H42,C43,O44,O45,H46
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7711262903783092,2.0565615586781085,2.013101842375778,0.03352157156957997,0.0008771670068357107,0.0009234698267688302,0.0027535360628473393,0.023736728731945683,0.01663312645750422,0.003415306176803745,0.00015167862400833343,0.000400781920897611,8.084598338031768e-05,0.00011655593458655134,8.04904394746675e-06,3.526028213107768e-05,1.974446480748626e-05,2.121846470622135e-05,1.8781182721916423e-05,3.2511586266908976e-06,3.55211803090838e-06,5.700614591486186e-08,1.0002746823056796e-06,5.648693526122406e-07,8.333555912010127e-08,2.5754863786087157e-07,1.8541026935992022e-08,2.679902641744558e-07,7.650059252739538e-09,2.1110574237315216e-07,2.7214914766204856e-09,4.276370873945723e-05,1.7854696470281928e-05,1.5795669103146892e-05,2.5627882177525763e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02427660579966906,0.023510375976522946,0.001188442918218735,0.00027166278218238027,4.395050727956651e-05,4.340978323047473e-05,0.002192507831271895,0.0013960446355918421,0.0007712487378943589,7.61511578772911e-06,9.114810876820201e-05,1.5374764899434012e-05,4.0531963164447404e-05,2.1321619518843704e-06,2.3418219992077383e-06,5.224071444320799e-06,5.404691266530648e-06,3.2725980854131365e-06,9.422094071620535e-07,1.1218382336419808e-06,2.3869814347321494e-08,1.8758637576610226e-07,1.3840384749386203e-07,1.596613730114882e-08,5.273083525381139e-08,1.2527852089050384e-09,1.1462018645325145e-07,3.488530131434686e-09,3.0494135216940776e-08,1.165518792589637e-10,1.299729885229084e-05,5.592528366848981e-06,3.94573366446771e-06,9.047414668561515e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02455485511367672,0.00423082258816132,6.272123270689711e-05,2.4639284282201857e-05,0.0008034558650666934,0.0006884647465645877,0.0005374437700784718,0.00021679822651377023,7.1343893048858575e-06,2.3673073213270612e-05,5.699244768342382e-06,3.962338669838417e-06,3.65456631623573e-07,4.520048337841587e-07,6.487238584096389e-07,6.56388748243586e-07,2.5740489739689565e-08,1.274139111995254e-07,8.963729181132862e-08,1.7037979915812684e-09,4.220280791500386e-08,4.186032320774302e-08,3.0477880219592635e-09,7.903489862570723e-09,3.4878033794427665e-10,1.3019518130263918e-08,3.942295379033567e-10,1.6626709009592844e-08,5.5166315959809253e-11,1.8137363151371488e-06,6.673198007511871e-07,6.532581730001041e-07,2.585173202174218e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009101991196602821,1.5039300056418625e-05,0.00035171972130232376,4.604413857278722e-05,0.011428150001745019,0.012867794795186738,0.000915659750014397,1.9531714063436567e-05,0.00011373161588257297,0.00013469908448238144,5.172787437990323e-05,1.2716510617849508e-06,1.403742779015893e-05,8.337335433594717e-06,1.5097884444204013e-05,3.5339671800027617e-06,9.704665335785734e-07,3.2712886124386387e-06,2.177033597838829e-08,6.543938066982946e-07,2.576609243742922e-07,2.6440172051778177e-08,2.2790081133372553e-07,1.7500709770246203e-09,2.0333070405165188e-07,2.763608009104246e-09,1.8060848239187521e-07,2.1076824729959753e-09,8.819430296513886e-06,5.2714686882282535e-06,1.7348355501045631e-06,1.769078268321067e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8591709284121445,2.0098863799669626,2.1356092185108233,0.002432503683032994,0.0007682022442626335,0.005303683789163974,0.011940763729894943,0.0007129174190730891,0.0001024446616002539,0.00015283986777056557,3.4713493690663455e-05,4.0766290044791376e-06,1.3868111092329993e-05,8.865041250694095e-06,1.9334008978244555e-06,2.2379724466670137e-06,1.965982605323102e-06,5.0045197541592756e-08,1.03483243879543e-06,9.368574863943824e-07,3.67799495082366e-07,1.974766118961746e-07,1.080147526977271e-09,4.3789390108406323e-07,6.262400820133962e-09,4.5686028325719885e-07,7.189782103012021e-09,0.00031119517222039095,0.001057288853240801,0.00010115626665725685,7.173628899681539e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02286637009074388,0.02388139965161673,0.001226738238246483,0.00025793912970573096,0.0032184061241393724,0.011490945280342002,0.0006374502396044868,7.418628249755699e-05,0.00010726758289125726,3.9638654584006616e-05,5.250545298540743e-07,9.123740237093614e-06,4.0332271318277435e-06,4.028545024237218e-07,1.1934750137054806e-06,1.916444378746718e-06,6.803351526585288e-08,2.1661884863632963e-07,4.595867415524424e-07,2.895699222627002e-07,9.006692636148728e-08,1.7476775582281334e-09,3.503983618813322e-07,6.519995432441306e-09,5.079245313233116e-08,3.829674355415591e-09,0.0001275181445303808,0.0005405958203057448,6.189154716129686e-05,4.917298429329975e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234242270243068,0.00032056544197356374,7.187673469144507e-05,0.00037431934626774854,0.0007311681005239823,6.754682194443085e-05,1.9779703840150376e-05,9.808816833434264e-06,3.0030794895274937e-07,7.514380493400807e-07,1.5660182082211094e-06,2.315730367685731e-06,8.202939372203844e-07,3.4439660945295714e-07,3.3774678032116867e-07,2.712498670121022e-09,2.4397745579385344e-07,2.1414979634037934e-07,1.0563697694365715e-08,4.4806725219004306e-08,2.6273383468833345e-10,5.3709133807089415e-08,4.154059318750569e-10,1.289757123323909e-07,1.7160206589039717e-10,6.527644681830758e-05,0.00013008404029313247,1.60432961249235e-05,7.478284251849487e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022863488060775872,0.00011727083467194532,0.00013246260383570352,0.0005047972225853403,1.6134487612839976e-05,6.661563514143154e-07,3.577938484600196e-06,7.908826149538584e-07,1.044409698502946e-06,3.3057853943141424e-07,1.2046583464098148e-07,3.7174625822089524e-08,9.486002650049841e-08,3.216380051185297e-08,8.568614706661037e-10,5.4203801447272326e-08,5.868420482890713e-08,9.324098382279544e-09,6.669158558736399e-09,5.645115486174745e-10,7.181697903035911e-09,1.5205903203252547e-10,3.25750304508432e-08,2.653892661186319e-10,1.922023734368672e-05,9.857512260535994e-05,6.388302879356544e-06,2.085331616274999e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.822101554324995,3.6094995022568086,0.13553164711248677,0.269141774270805,0.024796947748103815,0.032112243058684375,0.0029465243053019563,0.00588082604940543,0.002872506105782213,0.0023345118134585063,0.0009930369237931558,0.0004436843048395145,0.0003768660279695746,9.336339763077461e-06,0.00023160715956618838,0.00016770436159002644,3.009542746168492e-05,3.792873963140431e-05,1.889873592064717e-06,4.8292243602754414e-05,4.4982553104588874e-07,8.657674277182115e-05,1.2729122980115193e-06,0.0293106114461818,0.006453670121153471,0.005710624314338053,0.001233956254921953
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5458006952427584,0.02655142242268793,0.0688727188331616,0.03555503745065103,0.018930087691774636,0.0010118381355176398,0.016655312708828918,0.0024706603547550443,0.0015599817785071773,0.00010885529246484893,0.0004296555765597593,0.00026128514715671736,2.282949263188172e-06,0.00014099131454574365,9.401364109362653e-05,1.809981131795091e-05,2.7539773697626835e-05,2.329974953418912e-06,3.0628877777244545e-05,6.479633323230871e-07,5.0514626958701736e-05,2.539585449712334e-07,0.009105089603783173,0.004220813144046369,0.0013318036239662948,0.00026050966227086914
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7632886354984456,2.7709749168537776,0.096655237159049,0.17267596150977396,0.02558451893096958,0.007997916050463516,0.01867370275940769,0.017643037350772384,0.003483422307337891,0.001780750153231564,0.0022462992748301935,4.184579877752892e-05,0.0010718812359237773,0.0007132959128839655,0.00011654076931022495,0.00018637741219743043,2.511324540765969e-06,0.00015847455754824935,2.6109885522540566e-06,0.0003803846596744376,2.773813372769496e-06,0.1920207805229683,0.05699233587562694,0.026679285717600323,0.005143404555297715
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09634880111907917,0.020182964440800033,0.007573578072907261,0.0004705011472756482,0.0001733595362658491,0.0021086658520572676,0.0019717564115111497,0.00011249106630195627,0.00013502761002048835,0.00015469468868400948,2.89004239828472e-06,0.00024159545569224505,0.00010704325516930346,6.832598756778552e-06,2.5048385250747707e-05,2.380789854150578e-08,1.8342532367099373e-05,2.1341778433381364e-07,9.869399173145776e-05,9.112738141858756e-08,0.032813049065339994,0.0720285905074084,0.005105889168307787,0.00015760790544705472
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9504958750217716,2.443874264203321,0.0908497303489113,0.09999272714031893,0.1708455394877179,0.05295490282769691,0.000435534159656914,0.0208450595339299,0.013666003429159995,0.00018488729699217554,0.004450465349157301,0.00190574737406482,0.00042978656103032087,0.0007996769477707777,6.0441057134763554e-05,0.0015923201352069372,3.829403278032828e-06,0.0007884488706802889,4.886533448544839e-06,2.7054576084201094,0.2797619404739025,0.21465007711891487,0.05305423649654373
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08710022372930637,0.005266876915877905,0.0061974604226573415,0.02276814112772907,0.0058422304534594405,0.00010719094659572548,0.00199579726571375,0.0016826877377299487,3.871586463688459e-05,0.0005164912232105134,0.00012849105032353147,1.9561670781653717e-05,0.00011234319383646163,1.7090301631217386e-05,0.0001646964965742459,2.257359725810204e-07,5.973555762306404e-05,7.757431899069189e-07,0.11338726234810448,0.031728100390262415,0.010479692183334,0.000607889067827605
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9587688991739007,1.955046657896971,2.874840900167434,0.2529056717528494,0.0060708629555117355,0.19213100206865133,0.04906088242416329,0.0025488178227420777,0.033647752240310747,0.0151718844138852,0.0034916235206217117,0.005101216004212178,0.0010800022533241638,0.004045222439183871,0.0001541024110627287,0.0022086677604504085,6.802341162637227e-05,0.18376326024999542,0.04547518932471099,0.02772360664656573,0.00180946927648451
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02581377064051149,0.10455782237829525,0.02848998865435881,0.00021104032514185356,0.011604651052691706,0.004536139580418208,0.0007316620624233661,0.0014425042226304807,0.004219582507396957,0.0044786138518944085,0.0004339064308642726,5.578807373152195e-05,0.0008530268089577131,5.4050066663036134e-05,0.0005497250333951209,3.053254158702501e-05,0.005856705554899255,0.0008258853607395755,0.009041260945619078,0.00023708282218515286
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10392876137500151,0.017890636963418638,0.0018078148143705342,0.02285473833316165,0.003385282276467727,7.272239673250525e-05,0.0030794568788783394,0.001221619395162632,0.00013755234923551463,0.0006358618382460435,9.436180502198077e-05,0.0006670275911504486,1.5302629108981947e-05,0.0002225874847677778,2.955774948354417e-06,0.026366802483113405,0.004617565036686977,0.003979511591716722,0.0002538195066732474
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83166584498617,0.11608928354778736,3.2394691668299105,0.48835947204965685,0.025546221041889527,0.3432134916734333,0.22783947059351511,0.008007937505534635,0.04025745784764481,0.003785521220848853,0.07264873600930472,0.0028727458210351386,0.026304074094305158,0.0003637680046602032,0.02114979755741589,0.0034749106446554656,0.0024756289461739384,0.00024174941246568604
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113918299259252,0.39990481315718884,3.332509880223529,0.10962578811441981,0.46108980836824265,0.11126606319109478,0.0007948298825337652,0.07624690567892584,0.0006794030488295189,0.03207347638665148,0.0009463747512030718,0.07938050928245546,0.000902587780633457,0.004187934105461144,0.0007365990268864281,0.0007354170280329669,5.23076695803093e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076531375056879,0.10001878519072815,0.004845267867213288,0.027832818780737956,0.002987235964467594,6.509886049066438e-05,0.0027536917389670013,4.6098722240817125e-05,0.0009792463236923954,0.00011294161534824987,0.0009409641548949743,0.00010981542670140954,0.000173557676559577,1.8576995626684578e-05,3.1515697845763135e-05,2.802330028917055e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38695263674083646,0.030896369833614767,3.3829225835228254,3.4597111923626387,0.1278791734402902,0.28792082877206654,0.026837355378312333,0.3371491217151664,0.02772882322197212,0.23139987312494242,0.003930681138742287,0.006959498830495792,0.001295206717102107,0.0019666122020197824,0.0004885914397830815
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7890850842938266,3.3327923700081343,0.046356702430411345,0.004021797038690433,0.25488836006863436,0.0071194496132738205,0.04998936750270616,0.0004467582312455143,0.06582663301120202,0.0030688708061530345,0.001824581258998842,0.0002326122367075356,0.0001592960655013298,1.6530441454221112e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115918842370629,0.0034100914748161903,0.0014046445457331913,0.007071018132959073,0.0034233419457945224,0.000537572985606749,4.1320869989203146e-05,0.0005760068024275311,7.045302225283656e-05,6.9987305632013275e-06,2.3256035730501168e-06,9.02575023842278e-06,4.8487852406520204e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29869070358164074,0.027351978878473737,3.546001239393273,0.1310912116875773,0.23001470014258885,0.004055390820974392,0.3534496531799831,0.02823558876362231,0.0007252211492306537,0.00036664936357891365,0.0004289903977734988,6.091699719035226e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031883187888785,0.3081582645946779,0.0035475375275972887,3.891413687861382,0.12859411135561105,0.3252893599074608,0.025958534630637464,0.0039085041902737205,0.0011711623112042602,0.012194820578744492,0.002309745343530567
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003482144828616862,0.0007659571539557763,0.12773357516618278,0.008520235282375888,0.027313511081589414,0.0011180934994234892,0.0018727016697173138,0.0010043668364123626,0.017581074029610955,0.0011571381094028776
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0417588482893567,0.3203993024469858,0.025939984602398658,3.8391650106124446,0.13109121315204386,0.00029276302401556875,7.412472023002326e-05,0.00034737895349834513,0.00028177880392510346
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027329243790955138,0.0010596920910919128,0.12336854665709307,0.00840181594512468,1.71674116107301e-05,8.785686583800967e-06,7.962559647078926e-06,9.365790034632226e-07
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.883152922698596,3.7090931164746817,0.12378021782186899,0.0004268051864688427,0.00018485571348604568,0.0016812612747310607,0.00055889531489417
