,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32N,33H,34C,35C,36H,37C,38H,39C,40H,41C,42H,43C,44O,45O,46H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096585006634031,1.094910270334974,1.0959558134253315,3.9315327549570864,4.3868613458438634,4.198708838748368,4.7014376347803,3.0771320974136107,3.2618217528757962,4.046322909556745,4.3119551002085155,5.006641141283388,4.693483206520102,6.18691917451942,6.894814963766588,5.912014168074004,7.067878798184414,7.132393144178051,6.59765320204923,8.303283166107647,8.319570319837789,8.783173502276837,8.984747692136608,9.09430985540157,8.85743372501482,10.274834770504825,10.88965003031671,10.352412988626376,11.051306007689139,10.88544355960074,11.913605784413317,5.768919203877466,5.820304123455962,6.766776698913145,7.346855901409408
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667469374057907,1.773760085237355,4.136693237749465,4.819810079393709,4.29926150121953,4.756738433232821,4.097075615647061,4.314299223532342,4.930368488934673,5.078273621125937,5.843654114180811,5.495408156775176,7.125065628452346,7.789223929780337,6.922854398742482,8.006838293068366,8.103895714523214,7.604803418360365,9.182073157968944,9.248604186597975,9.707309728073797,9.871144637542447,9.909365463539041,9.640475030853652,11.12245465470358,11.736077305516325,11.138972468872936,11.79598073155942,11.692086040154662,12.697867490710507,6.425468143179876,6.369303647547273,7.381019358078143,7.87281871757792
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771135968628871,4.761587962982074,5.11867230274065,4.887934143734132,5.6282558544468735,3.397685108258643,3.3304180852169143,4.587785552083788,4.967149432077812,5.559828494977382,5.216607642539557,6.550827986016806,7.2758968314365084,6.0998287190992855,7.442225454039073,7.407254227188398,6.751807488013368,8.763701577980923,8.636968897612121,9.04777079535454,9.406337317829637,9.632572887279192,9.416557854129985,10.740393051998456,11.324804131701645,10.921097383379013,11.659708034030823,11.421382143330737,12.469949217592834,6.5149586077082144,6.66382887239393,7.499833127728228,8.157254626070818
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.321135280273399,4.677073093594798,4.819894481345197,4.976813650865515,2.7972160243690465,2.754277922652917,3.6648728861760875,4.098617927748588,4.3549958869647485,3.8619287383029826,5.566776755694898,6.152223436417239,5.32380024519035,6.611399805669297,6.872089597328033,6.449987686178938,7.824174908348903,8.111974196546392,8.684103409185077,8.650944222972429,8.500876705184165,8.158198004227327,9.944978203139977,10.646771535392055,9.794991433485293,10.43101139643748,10.446615429043582,11.484609094736635,5.1364442989433385,5.359786065689563,5.99690836470109,6.621077710589248
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097289614065025,1.0974118836700872,1.0957209436346824,3.936254172356631,5.064772616977054,3.7552830664286034,3.022243488585884,4.9244684730259065,5.361885198951341,6.161686235522101,7.024353106310744,6.424235007049471,6.306503649536768,6.149447036335723,5.8871219131165615,7.095333216618452,6.818188531064127,7.120952609006805,7.375854760463562,7.898410916800675,7.992657689399984,8.367345870621856,8.787424441847474,8.814675030333504,9.553887893935952,9.025553652371208,9.890228180684423,4.8675998535790965,4.108540739930008,6.128644521996756,6.296631267328831
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7668776461537379,1.7602921553420052,3.573273723497244,4.787439856421207,3.193031516617237,2.331850450746031,4.396514403221197,5.0217910262041165,5.461049899431266,6.380722832802008,5.756242267286082,5.418102056515983,5.157512690566148,4.921731974642336,6.178299618322334,5.757331488092617,6.032319750682997,6.357509770508675,7.067844818266098,7.266511894236552,7.349623403119563,7.736911799110544,7.9543150873144866,8.754008582318614,8.07899961515906,8.94904036683099,4.379224978506932,3.62092046067376,5.697858745620019,5.897159226003491
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7727694656780726,4.579021483878502,5.67937606140923,4.60376833454943,3.9114778614213677,5.875845336377957,6.307495739844184,7.033851847963072,7.951724068271342,7.201421681791094,7.1119660138474625,6.788411108916598,6.40477142467535,7.9354361764108825,7.40751461596077,7.583989078066234,8.089533496598419,8.822759552148913,8.978347903109663,9.065702846683433,9.388355909875358,9.710570072093724,10.490863575404335,9.819924946385619,10.66474784882497,5.922404040390843,5.169373105814132,7.203316286424323,7.382237561651164
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.745090656065974,5.85578567336941,4.340432810049065,3.526775118312135,5.302088201353229,5.74759703723917,6.603493496284949,7.374706747742386,7.014634149512609,6.709122195988995,6.672720601420481,6.562719884316794,7.319480758349782,7.226339526939982,7.564058994856678,7.616336251747647,7.973217735756379,8.04583152604197,8.4864619972472,8.91874014590863,8.791921343960833,9.449733968045035,9.025629722320563,9.825604818075888,4.9271907489198,3.9946339052700344,6.0881036787740825,6.088745878142242
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23129481127546,1.3639718837851418,2.0742576585085666,2.459121771567069,2.5907014801249475,3.295733251255771,4.186968578757029,3.0156072453167524,4.051268017384841,4.113789136581442,3.654023822783172,5.370875121808617,5.377696480968585,5.933774742645158,6.042497865465886,6.302099559676326,6.202021683058452,7.388813741535672,8.034457855836875,7.580151970787252,8.374755568541257,8.051618992573792,9.111941366337382,3.6403797877008293,3.968156398595303,4.736713202508749,5.474035952505475
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2698519559937465,3.174339385474488,2.788393809687585,2.508309956011765,3.362341240511848,4.069558887578889,2.790080167006586,4.413302883718263,4.621507570065233,4.1515641889169945,5.790237834457744,5.977230956953758,6.582676152664494,6.596978842425305,6.639084555938486,6.408472724742553,7.9744518925190055,8.678451092183641,7.986571067318439,8.730845491813474,8.570634251993825,9.651898004145158,4.17502829063624,4.7721863684720365,5.02517387534608,5.876972816361265
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0127087055463786,1.4509328253310183,2.0762382899335217,2.5101344810583055,3.420717372660803,2.6961628731373564,3.102693841112719,3.3768502834704854,3.252751673908553,4.263997628367044,4.534081113659209,5.204706355724046,4.995774115962119,5.123573039278282,5.0586884335761555,6.284117936322219,6.987517878970678,6.361182333362173,7.138983583612743,6.8571159858574475,7.90141739597051,2.3978157684770927,2.6870539010127583,3.6033191097099837,4.271000491142537
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1026210889628554,2.872972093485039,3.1541081792207684,4.0607812632471445,3.5217430424052534,3.366874550342273,3.483318357758073,3.42895040600356,4.3191241057957575,4.417590654137238,5.009914622064027,4.870496785273192,5.188511712175837,5.248796431479793,6.062591934862175,6.692850911446574,6.297079502185756,7.092083840520258,6.672218130857229,7.667848465038508,2.4402144556480465,2.24471653843644,3.7786880696281124,4.247040671976416
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968540889276768,1.560439194199974,2.1655337259424283,2.129635581461823,2.5825706861389737,3.428060395446021,3.661257963278298,3.5856639452047654,4.555680584158741,5.41579581859993,4.658422085002488,4.152554290340999,3.8637561532769897,5.895049970028472,6.761312526184843,5.4745888353025185,6.13409330550886,6.216293613978523,7.26752713078271,1.519470465765192,2.427894993002252,2.379492556229963,3.2109157081935917
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152463645573567,2.410143993481568,2.4109925575249695,3.4823024550544086,4.37227917636249,4.507577485683521,4.48115468272057,5.56380814581681,6.427931351154431,5.6470225749859075,4.882711125786919,4.3914497566658435,6.873662114548278,7.775700282908488,6.233134703929588,6.785448655301208,7.102517512381314,8.146179649102436,2.13789503735453,3.1304519735332543,2.6113023259268804,3.51080373673081
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957854698382652,1.0951017314117375,1.501656062825468,2.5680149900360574,2.97542224966101,2.6426743096243936,3.7142083889623216,4.633095878247108,3.7741758907694964,3.3438100929079795,3.169159789806146,5.05823311361435,5.946378185714944,4.7124194308201055,5.449587742307458,5.417254948510527,6.496944022869124,2.559663179583109,3.508049203288037,2.9678120560102164,3.8250814813256864
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7594686131269277,2.1454868886394123,3.4063903244503266,3.9458228664013837,2.8110926136733485,4.3732877452988035,5.34182951218579,4.134756710710048,3.060090516407661,2.588399637913309,5.265544017543272,6.245748561073764,4.435266807272385,5.005270104899212,5.363995420974843,6.40415107862655,2.8232618101412355,3.930627426381718,2.7006381063100484,3.575464639049678
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1515727462290473,2.7862559831962628,2.83568928362764,3.4610743415505527,4.083279013774308,4.88815552805145,4.41380156318002,4.279920982716704,4.129869105623144,5.754539652290077,6.560054797228119,5.623210555498921,6.385237017699325,6.241656475766646,7.3232111251410785,3.457473306242389,4.373112296831198,3.9277741578552763,4.833497378120099
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3746605212226213,2.223908325396297,1.4461071177488996,2.2598518739220883,3.225852160883707,2.310552403454071,2.628478500326564,2.966223967312798,3.6525393567604048,4.480191410872691,3.824694983311309,4.751001372022352,4.221200447502251,5.306222502661349,3.086026808246893,3.6686012205177936,3.5942552131917047,4.208061493073641
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0815705309964643,2.2561454052232572,1.3817908144848592,2.1293413900930287,2.2523497542075375,3.6504955703930575,4.2140617176658175,3.6252455394690632,4.1649555977968795,4.5962600573336445,5.630030659394534,4.586922497519781,5.614979175863486,4.044469765765543,4.349954747568959,4.803157504438771,5.359381714226928
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3199162517658714,2.143757018711368,2.5150580589472313,3.2692057462973834,4.697507925640784,5.178209968723862,4.5966981094140245,5.004484710700406,5.67702075032936,6.706435981190595,5.636588994124927,6.644474045594514,4.537155756417257,4.811912576446215,5.443781541776908,6.0703133998707255
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255711640510974,3.2312291074785273,1.4233274362337855,1.4077417422394967,2.1701244436941844,2.474389593829151,3.4613759709730942,2.4123063012596835,3.399245896928112,2.8058530263181187,3.892496450847921,3.5227331058062403,3.9552725504094846,3.6990569100218393,4.045547721834579
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0080426247816057,1.3802444261179099,3.577059991057167,4.425792464656713,2.523381427141437,2.8617452846182103,4.1253215339713485,5.211277631678752,3.7200279070828017,4.6435854656575986,4.832099444271768,4.938991880907827,5.490344263579071,5.861359755407478
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1293674328995644,4.496469048521701,5.395379951276101,2.882072670627715,2.834519050467693,4.87497220094911,5.957407079630131,4.227276682787677,5.01283414296411,5.716596461790515,5.708846723782352,6.448583413669437,6.788540850307773
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4340400940359728,3.4269435973860483,1.3994319731974354,2.1730739540426316,2.7659864744158753,3.8528359838927955,2.385104441711717,3.3754928218065117,4.603099329120644,4.755201125726988,4.967925960794602,5.201965098579401
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866130143520196,2.848459237722652,3.935807131810655,1.3896095533770854,2.146217247947856,2.439459734039256,3.4147505846112636,3.732320143655181,4.2340560729274515,3.411385574174111,3.5621473847708387
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.935016211015062,5.022361784600186,2.154709277207106,2.4779270743569066,3.424713032342618,4.309887754332797,3.4041282264382455,4.119208901971974,2.744436012718682,2.9610653020110758
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873495737336423,2.4393755142815055,3.4131496478964936,1.39024794881497,2.144248702907296,5.605590804489922,5.637694922682304,5.8041779966140155,5.8482736699755185
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4301987768044184,4.315199759807979,2.1633909307865613,2.4868565843102095,6.510474801205409,6.431461276052644,6.811159595139182,6.834057891143751
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087034094745085,1.4108895711360459,2.163550499079916,4.884609760635475,5.17798990386933,4.509475137758761,4.4196940362876385
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160756897526297,2.476095620850823,5.412634474441537,5.729943178281145,4.797968951585272,4.577552352816951
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868264840261028,5.7023977068938105,5.802066017356965,5.590333641244909,5.493653257083257
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.668146582182214,6.695193290613547,6.493044503414488,6.294414251081256
43C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2129198256741227,1.3499243572538933,1.8759057932343446
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2540544517341705,2.2888714217256343
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766048090256125
46H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
