,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19C,20H,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2310941964323567,1.355470140327935,2.0258660277392626,2.475257775837363,2.5378362513173003,3.522903932821796,3.878442980607446,3.5617084129275787,3.0033702474630455,4.582398907798662,4.85621903422298,5.327120822696333,4.979866411821816,5.636974961849089,3.8840426607883365,3.222232770751012,4.448642697965428,4.7366115446083965,3.5243875623241916,4.0177536588038025,4.390142514494062,5.1386812638071895
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.291315022784854,3.1613235737490046,2.86736919419826,2.4348077643921964,3.864646216535118,4.497292875955461,3.6752218178800984,3.297553140886344,4.747194770845236,5.000142686077374,5.599360039344562,4.865524327452598,5.774487908871587,3.4839600159793265,2.575516318464373,3.986264140057025,4.28126975041577,4.0417049184065945,4.795454475015027,4.6014849925226,5.450419150157972
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0166177260404823,1.4532813112723888,2.063069076335391,2.506819967018838,2.690686231552781,3.021551238529676,2.657188012375692,3.966022732095241,3.8588262892129004,4.184991344459142,4.188534970906363,4.669339936540304,3.755731827535527,3.3652195200715633,4.516017282539689,4.470487023571659,2.397458593773152,2.7977418983827413,3.4943870996436734,4.187883345526105
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1441062328835003,2.9713648390372844,2.9572123715748417,2.746694578208774,3.5882131939231052,3.1122224753881422,4.371931082311312,4.319489161540117,4.4847037075326215,4.835817760499268,5.066097447949173,4.571546099985347,4.305128831078212,5.282523807189803,5.291271473971198,2.6190975902526126,2.5491154649304755,3.88892532776661,4.40199953995011
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0920480060498485,1.5607758949410426,2.140475244351212,2.5758435959863872,2.7841381037351183,3.4963824166197424,2.5665077847167415,2.876922166099364,2.80430525268455,3.5146373149213694,3.196604490138,2.9347941313450354,4.183166701596141,3.5943601656902664,1.5257349367436401,2.425163672371686,2.3967596546426857,3.225629029989318
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1922913549397545,3.0569597442340766,2.8332323621337174,3.1491982516615042,3.8450654788032455,2.859180883446825,3.3073641711399904,2.663815865292303,3.8270696962828645,2.8841537817663907,2.3436608935162035,3.8944609533310044,3.184887673154974,2.1514533732191694,3.2555644727756428,2.4600931938079715,3.4132611234055332
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999618832225326,1.5455532742914542,2.1635337778699397,2.142247070600866,1.5389210327095981,2.1971580063398983,2.1978060042893426,2.173189773217925,2.6149113539218125,2.928294257094826,3.5434313719887376,2.8918864910676194,2.5284186690927264,3.1906288635293096,3.3048091713195835,4.058713264635899
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143379191141713,2.4366574719736174,2.4052752960361246,2.146793225376811,2.448921406800598,3.0743554117796594,2.5346766835729504,3.518167119123486,3.8951190441321737,4.306704534492235,3.86705884424204,2.7233742066018376,2.9506919104625915,3.745830615070741,4.316649590809535
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096978350168744,1.099054081796419,2.5578641816596352,3.5109052075138596,2.921039150964231,2.718776751890332,1.5353292829780192,2.1873817362889345,2.170139901745102,2.19606612690079,3.9118753918595033,4.591753783030519,4.645557752675688,5.4877087518781975
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7539455473482302,3.4922192591238077,4.326028683294801,3.909531483662763,3.716903060586209,2.1600227307290703,2.509955312496493,2.4923536665804744,3.087539369373119,4.179375296267958,4.702979838705717,5.110819438330656,5.9320706727404575
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7696925359286917,3.7093259815865687,3.2899443350550266,2.4836529696682095,2.1638388928152845,3.083170768569318,2.4707399021491727,2.5495578820041764,4.663176605747696,5.222695405380973,5.390561981505132,6.164537121471916
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951816126108649,1.0957717180200084,1.096142201681813,3.142666964734682,3.5891315711489975,4.108050275436865,2.8397487201555944,2.9667501858821224,3.7218973414195946,3.1863328113741174,3.8411381256486297
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7662162241200219,1.7665480487820497,4.1959787203826036,4.530058861725299,5.186016083263527,3.895584206487606,2.6801943672765427,3.2475459620437364,2.767185023803935,3.1818394595320822
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7717619986683746,2.944355515039539,3.239949485553387,3.948891243510919,2.3810694479808756,3.2694487938853842,4.252429964593388,3.1126226837377304,3.8630478616261064
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3377522845706857,4.05577606964633,4.109536829999365,2.9236620581668493,3.9934762021668426,4.616723257202731,4.255067508666961,4.846679599107615
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949409948549285,1.0966146566062305,1.0962948805551531,4.596855274748736,5.525045155583614,4.994732414894882,5.9342669706181805
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7663059697954566,1.7796455972971772,4.355672060453391,5.358467129951825,4.680109898212468,5.652388075171429
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764800406608233,5.631332041886119,6.504348225265595,6.082416181307887,7.023273972623612
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.789110662634336,5.79548800044349,4.935200758785067,5.847447690081019
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212614806335271,1.350990634856063,1.8769330712988803
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2541613177319384,2.287990150316978
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774662734750296
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
