 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,C19,H20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.691859741581048,3.2779778299839895,0.13971123111413863,0.2677159715346715,0.024612335983362765,0.03610194667337693,0.0008073661302427926,0.006935955148087897,0.006941317530535507,0.0003093893612930998,0.006040321783080518,0.00012306130018746586,9.426257180877862e-05,0.001068676108157307,0.004195632278483102,0.006084745681439463,0.00014482519872882627,0.00022223935009746398,0.032940254770627286,0.006701708731825101,0.005407153994612002,0.001557852959285344
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350646055819699,0.022208537867755673,0.06175508460582109,0.03967875705796131,0.011708164212899344,0.0008730506221328316,0.0019497186644461123,0.0003577008570729845,0.0003410668450214427,0.0020685637422171582,2.1601170633323008e-05,0.00011611420122781269,0.0002728597109045161,0.016338944404435132,0.03783578915432573,0.00024901177677882913,0.000498008937690475,0.011155939228868372,0.003631254961534186,0.0017199709754390918,0.0005409784684730079
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7995256891057587,2.8169794430026656,0.10014289192045622,0.18099554176880267,0.008513563110404299,0.024872962066559798,0.015206204830056969,0.0017611058235909027,0.030775027585976,0.0004823665301170177,0.0009141756719897032,0.0036963055100089903,0.0022712016313617828,0.0010737825160573866,0.00016904792012639724,0.00031232514405643563,0.21561563560458583,0.04724129234191868,0.029623927048174292,0.005594629766431214
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09723976264494982,0.027924038482628477,0.004307561669908977,0.002446784749579045,0.0003760356899299433,0.00014075568797178306,1.5314718470493816e-05,0.00046763984971065486,2.0847512011146208e-05,0.00028985052187491256,8.46683197335274e-05,0.0002076238924001439,0.00010891985995686859,2.4383182667397918e-05,3.0129002178913566e-05,0.017531293290970584,0.03283819673658461,0.003019588559945663,0.00010122565098003022
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013075383699662,2.706387873266584,0.08590958557541906,0.15742722506216994,0.007383271065188879,0.029149222453029422,0.1626455796783676,0.005179519928595555,0.010408186371590578,0.030184307957129564,0.01784223952731824,0.005860239634081221,0.0018538870689639442,0.0004127844391856872,2.694371325297612,0.2756837365717403,0.2150000128654782,0.054336590636501314
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07649929190697069,0.03228724357829593,0.0075160266364139305,0.00014658808420553449,0.0008229601035096845,0.006312934772947809,7.091916726365e-05,0.003272980056884256,0.00019432275646846797,0.007970510100743788,0.008694871462354259,0.0005409277948820179,3.796896929353366e-05,0.10491062720437094,0.020301130682356727,0.01410182924370429,0.001541742059967044
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0429411152449823,2.7549851078888565,0.08879157060399878,0.09781558324030559,2.808765515503456,0.08694176311913782,0.08351665579808487,0.08953723856456275,0.14909474791162194,0.005957492253944929,0.02987280432907058,0.006914947994648868,0.19201759140211036,0.04013871945394963,0.024586822080795157,0.0028165642703601446
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09054145738849217,0.005034016759454252,0.005536714515011809,0.08700551832058045,0.006452894344740834,0.03355796435512426,0.0031101295854361055,0.027708846470343662,0.0002871050491788374,0.0007263791321616697,0.0005238408562757702,0.01046081159198331,0.006343262135141026,0.001524934255990762,3.416382452336997e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9857010027081805,2.0805029940132247,0.15992551564971863,0.030408563675434097,0.00510279603768149,0.012957857974685849,2.858432691709588,0.08399803959594387,0.09280130498532202,0.08367677110185823,0.03163680311819084,0.007536081864534694,0.003875157122395903,0.0011489303980203314
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022593489196796712,0.029940108785983743,0.0016423695369438551,0.00033564306418454315,0.0008650497382425293,0.08652369369296586,0.005289565078146818,0.004504106912212036,0.033519982120227665,0.0009868329499089779,0.0001260415125440284,0.0001456577701417494,3.0251370925604704e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009424868914863493,0.00039921238556428484,6.161582267494303e-05,0.0053447958628851655,0.08259463762094565,0.03278996053756056,0.005430754852308262,0.004185254075605327,0.004607785370828843,0.0013554812926932502,0.0008358043599125953,0.00011109844072243469
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0919971482117705,2.1518230555983155,2.1065632935845606,0.022211916730817724,0.0004088956350745132,0.0020707492467874067,0.009588566830666778,0.027947695351798307,0.005904313646015097,0.015891980566433137,0.0007962443934486085
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023662487299090262,0.024758341850952048,0.0027407548215039323,7.681961118266578e-05,1.4789716076268888e-06,0.000614989394144505,0.01509415816400006,0.0009735973207936066,0.007793158797071653,0.0004392088953013573
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02405416914995495,0.0075176538875125765,3.4420716262362205e-05,0.0004710086615562492,0.007896483494616247,0.0013820927464442967,0.00047589260904434827,0.0022364754534127673,8.010022138882356e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009351795107694905,0.00013158602582885592,0.00011925639577636815,0.00030909052034577833,0.002094810121023194,0.0004745677153721317,0.0017898394787596583,0.00017916845959109473
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0994411147671794,1.9610519607394872,1.990485217741909,0.0027870670809560516,0.0013193046961870458,0.0003545817218546937,5.9549588355301e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02506699559879655,0.02514507872437366,0.0006872851816590586,0.00042454745368569746,0.00013192295271069465,1.4088295517300509e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02335354986067628,0.0004321808843079644,0.00027995334630448454,4.431351215483659e-05,7.631891273840452e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.223016517454717e-05,3.0034016525126717e-05,1.362456816345059e-05,3.961249764872221e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.988142335918083,3.476509335867254,0.17258841676016945
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5256826665819736,0.06741999366265106
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.785529004302906
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
