,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31O,32C,33O,34O,35H
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.269796670541101,3.2117771461083184,2.7500505998801468,2.6431428863555877,4.263833336429778,4.703968051636175,4.853842594062833,4.923376671839827,5.987240293270607,4.8089683592314385,5.072287179290626,4.925224545806217,5.763074910704078,2.9981935400455324,3.3531924798080612,3.71261425441549,4.225694568682148
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0313826865274076,1.4454404117001547,2.092485737963568,2.4664961380349895,2.6868755832252424,3.3839605108073494,3.0634503240088153,4.094661311802078,3.3565107285112608,3.042474595095344,2.737211737461124,3.9864457038525085,2.445416771154447,2.8538455975482964,3.596622594949067,4.278498253987461
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105386188981397,2.8450691900792826,2.49382248115032,2.446260610182297,3.5595522780478186,2.788142822033468,3.741754939192423,3.312111632092716,2.3443848197544783,1.7698516809275389,3.3456317404008216,3.181787195690144,3.457815619651258,4.3749098100542945,5.047988322544061
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975581241531434,1.549155886999765,2.1629927136870424,2.1482856440043876,2.5908423371320004,3.5096268975815574,2.7967463424980834,3.299049169270923,3.3424590501296394,4.306603451882463,1.5285146746267348,2.456368119360867,2.3877728078649136,3.2093110611968134
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1759026463723856,3.0689742561850557,2.5008217052183777,2.8192219435259696,3.7474037367625073,2.58084372587117,3.674240935533172,4.015008618648928,4.448850616361841,2.120699703510459,3.223871637386538,2.4414530990252885,3.375407795572617
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960388660862783,1.097970325305802,1.5361714103975146,2.1553011650614344,2.185239318265661,2.6203920010950332,2.840872257456095,3.7225159651025286,2.510742079020887,3.300112460806438,3.126115037840817,3.9103590681453873
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773739696682634,2.1568290563245265,2.547799510954328,3.074907546074049,2.7795817107693517,2.5647355086508252,4.008839423300612,2.764593140758896,3.165007188445244,3.6125975661289944,4.212377318293404
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1707780587493772,2.4045835979543133,2.5828331257916632,3.5424965115612377,3.881527260587883,4.540557026960527,2.641803111110729,3.5314204047072955,2.7792672914356964,3.524269334818571
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.100115290130693,1.0976067365012532,1.5588212244034165,2.4178913754866485,2.383968333902918,3.907950236623734,4.731323663301686,4.452344013236167,5.3216028862272005
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7530001660572623,2.1546263715311165,3.006810719076208,2.7628350630333247,4.648480627100852,5.439885110850059,5.055291870868117,5.874549136889983
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1691215487920696,3.2178075571034257,2.542313851429457,4.182143917003621,5.171242353231074,4.513904162445844,5.458226214909097
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.265496222987448,1.258210290170927,4.691900538346739,5.282958993068868,5.537080669563088,6.366527372058553
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.262587648203708,4.521313575170771,4.827830551405391,5.595614370817321,6.306201675585229
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.780567257195315,6.44215853251386,6.5392670190420565,7.420473032449386
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210685589629476,1.3638794187400811,1.869753878666209
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2494494647133143,2.2521628495187587
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755381360424313
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
