 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,S29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028604835868215606,0.0015134842086967915,0.12638847999448322,0.00825672995173199,0.003816119687626296,0.0005350877047221037,0.02717719248384487,0.0012348940552877608,0.00013574635472490826,0.0001246500882453594,1.3170028103859366e-05,2.3334068499636373e-05,1.4467621780589468e-06,1.2412320751220562e-06,1.4052334149639023e-06,1.4646185597655403e-07,7.41007017523998e-07,2.41601127548563e-07,1.3075686466912373e-07,6.726901657927442e-07,7.795638842233998e-07,1.4381762525328412e-07,6.239961902743119e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8433917083097076,0.31222341875348025,0.0035763929664740512,3.751810037461356,0.12872058920996632,0.32711916872612723,0.02711027536859345,0.011700941493841766,0.004176213428029325,0.00345556542797662,0.0007326208600613171,0.001078383958123541,0.0013704257235853667,0.00015930743461256558,2.7745058016948043e-05,1.1694896514979902e-05,0.00013003581729328917,2.1504633918256744e-05,0.00014604076824331624,4.0625361287363604e-05,2.260807397153064e-05,1.7819691761067347e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003854462896545563,0.0005130333659912889,0.12455404632536426,0.008214162817498094,0.026677500384326036,0.0012416777046899696,0.0031295688176025127,0.005024942614878514,0.0006536232519728236,1.253598575856607e-05,0.0001566434112127979,0.000369644507476119,4.8535661000714825e-05,9.452937042020437e-07,2.817238634600372e-06,3.566603500548826e-05,2.7689468853342447e-06,5.201531346532562e-06,7.446410999478736e-06,2.136156331045136e-06,5.4771859048230453e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8510690771317533,0.3398811317813385,0.02750932854834809,3.920998290884847,0.12747711098912728,0.0017027398480934652,0.0007044429611109473,0.00036547079097212776,0.0003523606449226113,0.00020479596650008203,0.00019434052468259022,3.231021302166348e-05,2.0728855409934965e-06,1.5215339653762427e-06,1.4646374573719367e-05,3.388345767296741e-06,2.3770279179796683e-05,4.740941166227197e-05,4.344673073031213e-06,3.5196523151537207e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027236693741554907,0.0013583866026878333,0.12799955453036094,0.008023357598758052,4.440459578036737e-06,7.181499233288591e-06,2.020853106299292e-06,4.030435756696704e-06,4.6279378351776757e-07,2.1281079631840782e-07,7.171783766857232e-08,1.2595457343778094e-08,5.9435389720974285e-08,1.3506650242689489e-08,7.544903590783747e-09,8.261088102479164e-08,2.256729251248757e-07,1.8364904708079166e-08,9.083962471123641e-10
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0754609691978514,3.6465669273065107,0.12574121251548687,0.0012617938370060033,0.0009179351918490591,0.0006349499757304089,0.00015544668405886863,0.00044916265970629254,0.0005750729559754753,4.965482779416275e-05,4.254069071896183e-06,3.811686209553855e-06,3.3722193141724754e-05,3.75241154171313e-06,0.0001977131731377424,4.0322422706864924e-05,9.883123589612963e-06,6.837539180404306e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1268951069922024,0.00802824331756069,4.2266865384332775e-05,1.2243021653146613e-05,6.773438871121584e-06,2.0701557987834462e-06,3.4499038157331796e-06,3.6211035914224254e-06,7.570911750853782e-07,4.483043780645346e-08,1.6860042917343776e-08,9.154441293901527e-07,6.996613222121084e-08,2.2996749233783476e-06,2.553801410343226e-07,1.4965736383487638e-07,1.2414402839056038e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9129799088622295,0.0014150416861984094,0.00016755204967105336,0.0005497339915180588,0.0002503144446910355,0.00010705779396721904,4.17424722553017e-05,2.9256031530922044e-05,6.782714756070618e-06,1.0324492757396442e-06,7.414932912008787e-06,4.199606398191946e-06,8.551666356612642e-05,4.361042094763734e-05,5.017538252133358e-06,1.7920679584726429e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3311445410234555e-05,1.8541687635931225e-05,1.0228779396825871e-06,3.949858466967271e-07,4.5035883577959623e-07,2.736449540297059e-07,1.7543998220848067e-07,2.6996300750425917e-09,1.461329917074039e-07,6.982395994725721e-08,2.9995812500516195e-09,1.2343765032341025e-07,1.8927576217464548e-07,3.291098438218398e-08,1.1486405160354707e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.347969254854348,3.545951832188546,0.13570181353960964,0.27763139724617913,0.027150017728844844,0.0306722798615848,0.002602670363096138,0.00689283659663853,0.005283228174903426,0.0018185136458539475,0.02788909931932984,0.006980937056134076,0.005518362350248884,0.0011526549492719695
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536330433569183,0.026536362257255752,0.06685419148455156,0.02860132795403192,0.025694003296728718,0.0008468609703687902,0.027939289084469188,0.0036154650992095087,0.0008687509975928709,0.007514308150110144,0.004107989399984916,0.0011671339600541272,0.00023265903660640852
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6550307744442416,2.870461916597309,0.09535745991681233,0.17610098841121286,0.02576927050945843,0.006963941525648276,0.03182684052586077,0.013519685106571533,0.1889124375188942,0.058605980060962945,0.02613737835261483,0.00511735828725679
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09699442849499029,0.012510985474710079,0.01265862835278908,0.0007366455678032846,0.00022114691109953455,0.0014928586344822303,0.00027235737091091394,0.0375226047185776,0.08703492539909774,0.0060627819193244115,0.00020373865893685839
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999817580178737,2.7739402548509067,0.09601108475777931,0.09739335880627986,0.1851073397421229,0.005673557857657663,2.7918334722679123,0.27469054630228873,0.22043015867777432,0.05378169597060356
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08845982816518771,0.004855090331459033,0.005172814992227881,0.04090965767769639,0.0004801844690178747,0.11374862627840132,0.030758798107242802,0.010326371570999693,0.00044460004505331163
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.068862350712009,2.1252332331023047,2.8733448189416855,0.05243022768751837,0.1794629812605888,0.043655510100198316,0.03200094677900496,0.002324903899548647
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02818287506761874,0.08345187319571545,0.025939576145949772,0.007108359878617687,0.0011283686176948304,0.013558236176597904,0.00033824680061611545
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0895208418348401,0.004488824764605992,0.026095344568041634,0.004417421078527051,0.003911721924784395,0.0003058895988179433
S29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0201634768181043,0.04614256521790944,0.00875368536097174,0.00830132048038349,0.0005979625227254814
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006699534262806228,2.155944819959288e-05,0.0007683144109318363,6.113852730971203e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.908799848220247,3.5703388989251743,0.17212715981779503
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106400775031708,0.063811949337918
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8501934562900506
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
