,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29S,30H,31C,32O,33O,34H
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871993367333985,2.4138425613643846,3.401423518842787,1.3969424334118798,2.158655914852287,4.959307084498937,5.8019442050102805,4.808602669974403,4.236030485306563,5.545843909862762,5.488876325015078,7.052797109556379,7.663802441448856,7.367666869520489,7.859999835454812,7.344306815330315,5.362552404354884,4.750736129914477,6.355703671179564,6.46546208672831
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4011804813817967,4.302938901793351,2.15792552740031,2.488598786792601,5.830993278456806,6.759494246547196,5.568950565318576,4.8609322435495725,6.320572104357352,6.371498729042299,7.814233016729046,8.42890101169128,8.20454748811504,8.450820069185093,7.915042945604661,5.957334582126564,5.170840112041791,6.938980954601857,6.918271946719926
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874172511679783,1.3964206527397987,2.1589260243580717,4.459641250677023,4.844626010410582,4.459566996424992,4.359593620113626,4.741201616587973,4.221551230473919,6.2144087282548295,6.6085998007342885,6.419133541192497,7.506167239755863,7.2570213132903145,4.822494731891361,4.749022833513498,5.519435020241822,5.834029731621937
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1575745904727888,2.4892363825049277,5.061734170846257,5.247064998577954,5.026008748489085,5.053327613440152,5.021110063616642,4.32127229584426,6.423056360833887,6.6500622297984595,6.634947296547713,7.858175968931347,7.77171304042495,5.0699301200367834,5.1698700028279685,5.5198913855050895,5.834563535600384
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870042081436477,5.157116596611954,5.79172251851141,4.961617832212935,4.572021335920875,5.370503733488115,5.080942259410152,6.907280286469529,7.349125447976027,7.246922684120006,7.954695925426397,7.644985714765462,5.140928547081685,4.737105723269515,5.908552627150836,6.024049833507883
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.128099453118996,6.742872560621935,5.802105303077795,5.374978519741183,6.043688819826154,5.736034392142989,7.577955797463262,7.91274046987855,8.009507060218507,8.606043755155579,8.405830115295508,5.597392656700812,5.147540830115958,6.194079468903515,6.166760118452814
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2306839539950623,1.3650852688769401,2.0695837884453403,2.4526118213701347,2.6310503883179965,3.2112638499965374,4.150015521906481,2.951870355334141,4.192212749680903,3.504370539688104,3.6691701598542257,3.992367534101326,4.769953265554191,5.515597351892455
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.275509264673907,3.1702882549698277,2.787754047279122,2.6093291523371187,3.2024323373898977,3.9920411175567176,2.605961081257758,4.493529457210975,4.0013666766111955,4.225552083524304,4.816975000939114,5.088050813198442,5.949302447224746
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01461843084799,1.451904080354928,2.0885701500362632,2.500338305388607,3.424395711149317,2.728808737964286,3.319970522025218,2.8225153985591005,2.4020312935329162,2.682980715763989,3.6049435972907693,4.276107736859924
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0957769397945554,2.8032548406355144,3.2409821733456328,4.115310030353778,3.6434700762890295,3.697254754217993,3.1163263467567384,2.4059840373716117,2.1945118136646458,3.742458273067487,4.210911674381306
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000877565730707,1.5433438865610447,2.1666581983241393,2.150606091484638,2.853880375324632,2.997745172152828,1.5232578728164488,2.4276476015291935,2.3760171110184958,3.211333260658068
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132942343140102,2.4294343646612333,2.438039887017664,3.7814787129171297,3.9843357872732366,2.1381282273446294,3.1001086749176108,2.638377446266693,3.524016520698182
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929159154579053,1.0913355471439414,1.838116903667696,2.3978510783998894,2.547596262201761,3.532696768801733,2.899774248052107,3.781763859208841
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7732146064935372,2.373688971225279,3.3040761960359672,2.7957977082450634,3.928166760905721,2.608577417844857,3.4997652155113603
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.443051518116581,2.660147179907695,3.471188696760441,4.413671351129445,3.888972164283126,4.809554962040167
29S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3504605258628612,3.2544743592883725,3.8367771227475043,3.6614062370705427,4.250826360603348
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616286136893145,3.936133257182048,4.4181766834610965,5.0026767801786916
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2115080315800228,1.3468891184456422,1.8758461053325026
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255725986559502,2.2978084539701413
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763838877128787
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
