 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,H34,H35,C36,O37,O38,H39
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.690565956585475,1.9845062813098904,0.005080061178207057,0.001339865483841081,0.000703456769113403,4.1945540639409806e-05,0.00011740760731268618,2.312366760848228e-05,5.143690711013893e-05,6.409120649419897e-06,2.7062355536622285e-05,0.00030663616474248256,2.465679297403156e-06,0.0007628736515238321,8.527391848642263e-05,6.878427215695204e-06,2.1679547236308494e-05,0.0004795868068064174,4.960327755698657e-05,0.00010460810782331187,0.006126894538171404,0.00016620639723596842,0.009666193709862436,0.00013071213882454025,4.1037501410712274e-05,1.6996774841009088e-05,4.674646172542207e-06,4.2357853657915e-07
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038033630098877724,0.00015018510948727748,0.00022384004893349907,1.4681797454008105e-05,2.397794574005019e-06,8.734343407645895e-06,7.614096910746326e-07,2.9179570316673065e-06,7.412045743837581e-07,3.584684298285623e-07,9.066828987158715e-06,4.147961130129829e-08,1.05634408429367e-05,1.3802448667665779e-05,1.3427465177517917e-06,4.163413868996102e-06,8.340079882229734e-05,9.030505827789526e-06,2.7643711710378938e-05,0.0011715859637073667,3.678258107187027e-05,0.0006365196722641908,7.417930297570763e-06,2.3142863547764847e-07,2.5703445249991574e-07,1.0570846187274441e-07,1.3838353352113586e-08
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013877500662951014,0.00013191464346651305,8.010686715076432e-06,2.5459621211254557e-06,2.1250849934206784e-06,5.159559381961998e-07,1.9802945078195577e-06,1.0022099383721894e-06,4.678526808188366e-07,1.8245889455981157e-06,1.1939121025150712e-08,2.651870506520382e-06,3.451093139816841e-06,1.8974003057614652e-07,7.946789970514345e-07,2.2630294746583957e-05,3.6736376674006976e-06,1.0124558891266844e-05,0.00016059963143189027,8.037658581816487e-06,0.00012898309929720853,3.1323838616259536e-06,6.593611027172486e-07,1.6185099235288547e-06,2.0408172385355527e-07,2.496934903284398e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.599929388640442,3.670557518295942,0.1508332380424272,0.2559401805228778,0.022569924478536896,0.024843767974061265,0.006409162080683428,0.0026481375069755675,0.008318151319674366,0.0004966931573300304,0.0092053968307928,0.0010400741951849257,0.00018762181055653748,0.00011791442808295471,0.002338692134846998,0.00034194116076435854,0.00024908019530656134,0.020227594833763074,0.000750531036953106,0.002726640678947012,0.029990578889342645,0.04603513140757981,0.02498211197483717,0.009087823979818638,0.0014276845287396478
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5134272008479176,0.028439660683466594,0.037458744992656515,0.0019710650146630426,0.04801780534640557,0.03981300639607954,0.0047903106493598635,0.006112916617667011,0.0009643946812936122,0.001434993106882665,0.001265866024340201,0.000303755157143204,7.313702272659928e-05,0.00782522023144945,0.0006458871716261694,0.0005762222517093907,0.09080523105728659,0.0017067422088190565,0.00675319237487193,0.23120904332118108,0.012858740128127155,0.0044393762413028615,0.0024566686073197452,0.000692956755431573
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85223043174125,2.769702898916197,0.10795291714594502,0.1546227972872541,0.0042402811002850704,0.023947301701660928,0.028591986690630206,0.0005180100245540942,0.024897646855530198,0.003570826828938209,0.0003228295083375077,0.000363156501431372,0.001123999844425544,7.305907591781402e-05,4.581999870878484e-05,0.005596058214643651,0.00017510753164518,0.0004932014010301522,0.005009676308490252,0.1937123754586386,0.03966021966128021,0.029104761194281334,0.004839162183767232
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10157689329731534,0.008507841993166343,0.022076023507621834,0.0003339252890488531,0.0009204621055702855,0.0009147264261722965,6.900626489336759e-06,0.00018996883078781224,0.00010980361432122443,2.906586508499842e-05,8.522765943652644e-06,3.8051537285865855e-05,3.454932082203044e-06,2.7328247984570453e-06,2.3944671199482848e-05,2.6838214224333967e-06,6.013357471967851e-07,1.334527133511898e-05,0.005188687250632151,0.004905552795558044,0.0009311664304284539,0.000149508543713317
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8094284196762986,2.652574523166377,0.08763494874351108,0.10397819037873068,0.1608167256308754,0.003386268879756793,0.016216394742073703,0.029654573450502153,0.0021279712746213875,0.001791673751741607,0.0028590164892347836,0.00047099241472126074,0.00010375534571038791,0.0008761566258453923,4.008045744985367e-05,4.704194791782523e-05,0.0008047399635215946,2.746354752793261,0.2831601514931127,0.2257922070726327,0.05455713508731774
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08425578470717887,0.030812437137772708,0.006830950723810236,0.006110319815421983,0.001675469904704352,0.0003266775383869991,0.000771315086004476,0.00044185811771191297,3.061299363715797e-05,0.00010967986008514341,1.743772270934585e-05,9.308260036533511e-06,8.019108044454715e-05,6.757001820290043e-07,3.0535509254470128e-06,0.000302851649899738,0.10708810908641042,0.03086807108366252,0.00999649897877386,0.00017591650450410334
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7386322402398453,1.913498869556502,2.85995234628484,0.08588332503405083,0.08103816438037414,0.17536940786678845,0.027751261996533882,0.010539878307733175,0.017672838417204156,0.00208480805445177,0.00096515529017005,0.0022802365928154267,0.00012083464346746009,0.00013640056892028074,0.004317183789528833,0.17364367157509292,0.03936932776160931,0.03530200431208387,0.0024057386475352383
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026825921975828004,0.07865028239566874,0.028350834396129843,0.0018484861439442835,0.019015134053509075,0.009528969613562976,0.0005349106221617106,0.0011670964397554329,0.0002404570328260469,0.00022045763094769022,0.0009022852044414664,2.738583740247158e-05,0.00010092711080922356,0.004859268106909953,0.011428665022884532,0.001249140306572305,0.0014146082800978732,0.0002088340825507906
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08526907631726188,0.01065674600819344,0.028349270927868098,0.0026759403848488628,0.0006657186471086263,2.8828818673609646e-05,0.0008013314531749582,0.00021097078680742953,0.00018884464998203399,0.00015573142715052946,2.011444518768002e-05,4.301445835852569e-05,0.00011388055488636972,0.006171265144002458,0.001046705038785567,0.015152517243431363,0.0004795002415376448
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0304362320220393,2.0492208647704766,2.8010761883928708,0.07235888186836648,0.08271052257743772,0.16773933753115988,0.02951686280651744,0.008768454693289685,0.01630278949447364,0.001680042164716511,0.001151472643978857,0.004268635620668704,0.029644787199796047,0.008028894056780922,0.0060915770645485895,0.0003823912964006082
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026690295039714762,0.08258988894882358,0.008380653191793375,0.013753550301837336,0.011122284553030548,0.0005960072236506075,0.00032956425043795257,0.0011233203438719697,0.00021085269265008755,0.00012482112378497945,3.439725874709865e-05,0.0007606751226842956,0.00032182832942084794,0.00012035230067986014,2.0706767124289982e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07750506775681965,0.011432585177425514,0.0073944172555375776,0.024486286939694235,0.002463402193659814,0.0030294565682484897,0.004438869938109935,0.00027982262925418944,0.0012934593950388873,0.0016084945532690575,0.0021584340004432434,0.0007981007015405162,0.0005547608277784999,0.0002472734652436692
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954319371034655,1.8802764984773561,2.5865500962940424,0.08996357764446439,0.0819797428965876,0.155005093042767,0.011114885862125168,0.006962016867803622,0.017166586852699006,0.004899093304145508,0.0017875215474101591,0.0005961151467129139,4.62265871895573e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02671264716963284,0.09165623648309595,0.005567084436313374,0.03353258972468831,0.006791465500381122,0.0002465735747330111,0.0003565444107025417,0.0025817539524364275,0.0002578403961368547,0.00012475472293238532,6.565075041586876e-05,1.091412891618404e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12020897049253221,0.003932743412804474,0.004787936375731716,0.032792944258485224,0.0006972875898638708,0.00046511335676768795,0.0008961973736711926,0.00038525008926049154,0.00013438477651306346,6.22484343246743e-05,2.908678157442779e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1147919675566795,1.983015432886921,2.640655604839193,0.07681978793620814,0.07561991025374015,0.07354314015502472,0.0007446660847318931,0.00022059083742080599,0.0001263639183493731,9.146142377680633e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027186132328496093,0.0863009389652114,0.012999941233172718,0.006906148927671607,0.005911826986034763,0.00012331661298015106,3.819406206251319e-05,2.36779220408323e-05,1.0296441592672068e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08981106594132326,0.006432719031145728,0.014013961221668092,0.009536073129484457,2.3073369647352848e-05,7.597760090183314e-06,8.478127340616481e-06,4.956061256944366e-07
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8272079542076907,1.7719946281556536,1.7414823880441563,0.0003512288465601088,0.00010847212910983922,8.424090141892493e-05,2.4054771034731637e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033709381718098896,0.03409396611048776,1.1108247783497838e-05,5.018176066906577e-06,2.640189327607345e-06,2.7649716272115654e-07
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036769751353751934,1.8193186442916343e-05,3.0008406746606653e-05,5.26882739049217e-06,1.844143111551233e-07
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003265629124462599,0.0001012103292138411,9.712747310919312e-05,2.8085110660880375e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.021263317513551,3.4760778520705538,0.16850734065194406
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5144197770275485,0.05631425086231456
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8384341970189362
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
