 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,N27,C28,H29,C30,H31,N32,H33,C34,O35,O36,H37
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6883929215527291,1.9250695516844354,0.0011602418075910281,0.0006120291578667128,0.008938588852571643,0.016068630748490187,0.0008191481972782411,0.00022301994343798537,9.610835532052053e-05,1.0914076237211745e-05,8.785200589445097e-06,0.0003130197584487321,0.0025381692124457483,0.00022392187459858992,8.802077624103788e-06,0.0010852706068438939,0.00012652603960761066,0.00012402840305067442,6.782743124045254e-06,0.00649597732541253,0.043071483964611725,0.0024594728674717584,0.00024393323777927023
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040738862022854594,0.0007792841558653674,0.0007829198577578023,0.006335706998220836,0.0015378271168011715,0.0006364869848517474,0.0003517563853139283,9.678665762957728e-05,4.656225522703394e-06,5.697037621876788e-06,0.00016388888077012442,0.00092524166905672,5.385208160701982e-05,6.992463918997771e-07,0.00023190014049212504,2.693500011252681e-06,8.240010549909194e-05,4.3811082206524077e-07,0.01853766210635799,0.15116010959983428,0.005623411200990969,0.00013385400998178199
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.976363702567042e-05,7.762055349358477e-06,0.00010209004550609801,6.995331291159701e-05,2.9967647437456613e-05,2.8064678869732518e-06,1.0157946751965241e-05,7.265460182370731e-07,1.9271986135827035e-06,0.0001463643458021746,0.0015497071505614635,0.0004861359748187244,1.1075918236125304e-05,0.0012949421105408199,0.0001337101891616399,0.00011818287916942616,3.8664289103707006e-07,0.0002189089016259027,0.0010511227406064805,5.582982058116581e-05,1.741309073688413e-05
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65765947913806,3.1908900204275876,0.12979491175279523,0.27742533249480106,0.027672296618095338,0.032698520301881195,0.003698786403897758,0.0010883198751865386,0.0026620186584924432,0.0065527829233349155,0.0007830026773899545,2.4496150978325915e-05,0.0012556711983542912,1.5336304991064864e-05,0.0005890647600992338,5.865518474024167e-05,0.03528009893086831,0.004599315333406448,0.006367594632355783,0.0012428596207341158
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5306414563493639,0.021742668308739943,0.07683688770584801,0.05822208797219053,0.00932945922669881,0.0014757118114189227,0.00043996218012154475,0.002528889562651085,0.002871001869794221,0.0005561440067861356,1.5138949929105472e-05,0.0005454190120145058,1.4730673463136945e-05,0.0004323258869971258,5.760794208897746e-05,0.01217487181785426,0.0018122923284681833,0.002171731398514627,0.0005376452420069455
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737144771951413,2.850299081903816,0.10081568251097117,0.18045381918670222,0.02460396759056538,0.010379634685251271,0.016192341568004087,0.052097706615789344,0.003653539218016852,0.00018910179425302154,0.0077188142820610595,0.00014070949307587455,0.0034977467101788284,0.0003865490978381958,0.20345432939922609,0.030917519896462797,0.03155040286534809,0.005393877057468854
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10030364474832176,0.02628581109819228,0.00911466177428033,0.0005752352533292537,0.0008021919083065487,0.014656464494971821,0.14578819075130522,0.003423340656627749,6.460239887373653e-05,0.012749269082803494,0.00012113218842757512,0.005210688515978723,0.0004659411927352419,0.004558054986960158,0.0016288060823913542,0.0008561508855901012,0.00025235546601387604
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0238647259078473,2.6863720781737497,0.0889298365692226,0.0937145948531295,0.1741526307430791,0.019632862384432015,0.04402819750425166,0.0003026303536892705,0.005662608412339343,0.0001602238132591971,0.009558288815720378,0.0005261741246104235,2.588326923271181,0.26574929850347345,0.21734189404492055,0.05370844342392889
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08945810306185886,0.005133969566393004,0.005224904056520874,0.0235187015220919,0.002480245108141932,0.0032770224273458437,1.4688219073022424e-05,0.0005453344605872434,8.98707090968287e-06,0.0010408495751722535,5.141789555596077e-05,0.11401630194640644,0.029124531863416903,0.011518822146854069,0.0004899970923279984
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9427719397095238,1.889273857552687,2.8977910225261194,0.19030259361753077,0.24715158329091547,0.004202489218634531,0.04880859203729357,0.002403031941252909,0.04418034829427016,0.0023645507125549248,0.18543419882088613,0.04254397585740202,0.030280501749505265,0.0020519902881769303
