,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27N,28C,29H,30C,31H,32N,33H,34C,35O,36O,37H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1806197952787083,3.3000553780408595,2.514879226359044,2.243380043754596,3.522305485459573,2.727463095962874,3.169590725196917,3.065403692498112,3.314193760934907,3.8383202359085002,4.190925563620335,5.222940213864465,5.934812941225405,5.688375194547061,5.493920656078026,5.121533554950778,6.527684176425463,7.263839825070185,5.985556726017682,6.296852349358064,6.789012969821869,7.6206447071295935,3.5670235391056853,2.9078324126532955,4.728619680033637,4.8780325433159035
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226305508587585,1.3652353050787323,2.0910694952345232,2.036419298835964,3.6939553613536904,4.631188939525654,3.7028847021808295,3.3144477992450705,4.804679934734491,5.4824956957053645,5.786139442918846,6.696072210170348,6.165002320585685,5.548179795491037,4.675448230673298,6.484698710009402,7.407822648014908,5.234258739591133,5.173307774779843,6.304010851376541,7.031919496130316,4.7225392411125044,3.9310753962547693,6.033789858116204,6.194816556240249
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.276570148558051,3.1857222897355957,2.4965363125806803,4.49557378133027,5.4924122261478825,4.574998135167548,4.048563886138901,5.797136104398989,6.484951538406149,6.645155002614879,7.621504906333887,6.906206589497866,6.292051040861461,5.2321074496224105,7.2075206146476845,8.193718642757638,5.660323030846933,5.38354113739089,6.8518263475500385,7.523179829147454,5.8598559556316046,5.10691572667046,7.189042045797333,7.378672491223297
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0150737280975404,1.0108706537371799,3.9464702278816186,4.904128636535894,3.4904857910376106,2.992729592501832,4.294958987889242,5.144983546321855,5.1131366630601995,5.946685502250642,5.676454080543739,4.662977296309081,3.865257609393045,5.419959388667194,6.303937520994034,4.262559619713657,4.272535794034931,5.194609046050769,5.867925105792128,3.961262309371282,3.0563788503828397,5.2230865256794035,5.302403316073667
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7436083320182911,3.612316435011823,4.443213227719542,3.0142175947443897,2.7127469253406638,3.5487396965992613,4.3926815222262965,4.452325321112167,5.18488308109285,5.138593854451296,4.133058921854344,3.6164759032205,4.884348772829549,5.67723235754036,4.137273563082104,4.390962105084991,4.877791220224789,5.5981147212572475,3.0057232377254164,2.044567064210851,4.234584676840116,4.290080277321031
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.681744144409291,5.724721395801893,4.055128661095695,3.356216076931568,4.815019539314723,5.765665735791366,5.367773666936921,6.21391761759016,5.922661813616491,4.641322110607093,3.679363096437439,5.2310011280205515,6.1548672357310465,3.7799574923347974,3.58569401625542,4.756601313114468,5.322060719413907,4.520132117084791,3.658878377569883,5.7360998851573894,5.804166969634721
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.230499480194931,1.3674042098823151,2.0861882036637946,2.4533171282300477,2.508741987221226,3.66422713370665,4.489276176826794,3.657169007129144,4.400148290801607,4.2045307904191045,5.725527433245258,6.468769845524722,5.437840631667871,5.9617673305760865,6.257905249872541,7.244069023106346,3.3480172490177442,3.600130884870273,4.445173654163423,5.097236938675371
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279241389894774,3.190337378515501,2.7919454828696106,2.348851764368693,4.112840358990985,4.713787333646163,4.09247538718917,5.134137152712286,5.19372691051732,6.422010319013922,7.026083531578389,6.45371859030123,7.067521399752994,7.132484267581748,8.121813483817618,3.5850004110910643,4.00015351455571,4.414218266359303,5.072944672306246
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0164297922062904,1.4432460408868295,2.0502868560667946,2.4799812982969454,3.4039086078702914,2.678866288600416,3.049385633759109,2.9283150566741893,4.363302930853309,5.13185136217554,4.175130117660977,4.811132541825973,4.911551148528966,5.900982628362973,2.4619442077249247,2.826717803835654,3.6357340057698098,4.328602517531733
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1089967512334877,2.944293078595861,2.670930228970158,3.7124606987835507,2.8687767486782967,2.720118999199616,2.176537210623296,3.997710436208849,4.908740656047186,3.364732241789431,3.8854465870234383,4.286386710444776,5.256719928274955,2.9273818389732704,3.0552570808376944,4.165951195047462,4.782267623560263
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095108274345317,1.5519864772065453,2.1694337765234852,2.142389549192783,2.5591040821981683,3.1014288897391995,3.722607700602392,4.249004377027108,4.281494546176019,5.147801728466172,4.616707456010303,5.581527245147274,1.531123217742015,2.460348681969062,2.378212647647241,3.215765219450342
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1709188165970126,2.4608606414943877,2.455054084393581,3.4828505202701523,4.117381769277428,4.599955272766587,4.983074553617747,5.327138161111778,6.204212935116144,5.6093256623752,6.5668797031031145,2.122500919472018,3.1467507989246415,2.557981052442127,3.4545554746381035
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094446797456714,1.097117618195669,1.5020698709005351,2.518607074356886,2.5957870309623208,3.065990728966495,3.5895965029493415,4.5915254983554945,3.6708263894364275,4.621345375326544,2.5348182804566917,3.4785549529406006,2.9529354333914015,3.816901304453515
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666639762334981,2.136024140930901,3.408401760286594,2.734699257925465,2.7967801772913763,4.2865042289252475,5.346572363107691,4.03448550750369,4.873242873474055,2.7703268948896924,3.8550216911502098,2.6501908822013016,3.516690466673809
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142537590798801,2.8592937727859895,3.265438188079842,3.7597276632694414,3.9966494346694073,4.919499712807171,4.225943877355923,5.178934426152862,3.457418273883439,4.389266794612227,3.906146981050947,4.820599096303997
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3855251077674613,1.3746787761354238,2.247667862170301,2.1567966247779187,3.2109159069526005,2.1946161831564126,3.1754183215971628,3.0566667631994173,3.597836098730736,3.6275176047533972,4.2564617303612575
27N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2574180351203936,3.319998382513553,1.3156790903200648,2.1381205683538087,2.2135023850507274,3.1815067017788152,3.637183356827242,3.819756688759913,4.5512754521730105,5.097246517169617
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0798261949352863,2.211247338969584,3.245829973728914,1.3810628792394966,2.1391594755037113,3.832294892226332,4.2691285465638735,4.088768297860165,4.527972313264343
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.238919963885783,4.226026596417304,2.159073774451354,2.5548374290946123,4.214598858701629,4.7602414588647095,4.120238640743011,4.494618284648918
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819303612262545,1.363535349447659,2.124832898802033,4.5283253988463725,4.526834434250685,5.329721500255079,5.7194049770854525
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1501071793447997,2.5493772279168665,5.3665058919170825,5.1880553959529045,6.263795933663725,6.593033849213257
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010016247789356,4.666671198271364,4.796159363204097,5.143310710758025,5.462526638463344
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50819480939936,5.561170640312788,5.884705660932594,6.099635305478428
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2142854902076514,1.3506547455478086,1.8783344447431072
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2441804613280647,2.273467720807705
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766865710220392
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
