 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,N34,H35,C36,N37,H38,H39,N40,H41,H42,C43,O44,O45,H46
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104824419793295,1.9685171914164903,1.9779030103183308,0.020246743984390775,0.00843195813305786,0.0021484032779937046,0.00038486251899350066,0.03658979730832451,0.009070018172052274,0.009859600540048113,0.0014839272140517723,0.0009201151399189367,0.0002677765600280768,0.00028210727736893704,1.8111600010750628e-05,2.569816603048558e-05,0.00011591536162790239,0.0001506101343830002,7.506395212852901e-06,1.6334461185929516e-05,3.2256032711508453e-06,9.799517435293836e-06,1.896124531969301e-06,1.05332439659378e-07,4.7324199125564625e-06,4.5220994126932146e-05,4.3793729940899695e-05,2.7100081594344516e-06,2.3427583675100783e-06,2.0784133702989038e-07,8.372520843291653e-08,0.0001968459290715152,0.00018805673709949844,4.5418927096613215e-05,6.97629739621064e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022960556809720423,0.02526765528488184,0.0015041719577890689,0.0005393545210099493,6.604473485150031e-05,3.0223377143645536e-05,0.02051814920441486,0.004293184064037003,0.0026320361933989123,8.003191724381686e-05,0.00033614605521048446,0.0003059834638026171,7.758251138922923e-05,3.226982999682271e-05,1.7419513176575308e-05,6.990476023394088e-05,7.908748979423841e-05,1.4692393656146052e-05,3.7983688134790583e-06,1.5387596383753532e-06,9.623225827315451e-07,6.341833869161206e-07,9.383466337276047e-08,1.546798138907235e-06,1.4679294852437685e-05,6.561006314020901e-06,1.0372541687786452e-06,8.902303025859482e-07,6.859097068101505e-08,2.2393703780210217e-08,7.234469387196185e-05,3.9579538382295e-05,1.7039861697210057e-05,2.2611921779436273e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025071340619724936,0.000406531523908793,7.987368092754465e-05,5.5762570864148486e-05,0.00022244695945339288,0.001393811220369523,0.00046069497187706254,0.0013348525250638232,0.0012650170566235186,0.00011441477687013091,1.4992532331836728e-05,6.314618669756022e-05,1.156026829152168e-06,6.1110304752087785e-06,4.998813543544145e-06,2.239558800631869e-06,6.35311758978574e-07,9.837695937875424e-07,2.1647523462675622e-07,4.3862179954778924e-07,1.6027304705623635e-07,3.033333051405407e-08,5.574333070690329e-07,4.725075690381608e-06,4.1005595103893455e-06,3.342409917728162e-07,1.783969629798321e-07,3.459284259044182e-08,2.02666239346172e-08,9.036657947336657e-05,0.00027159265629528306,2.9727693293679636e-05,2.0181285653730896e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011326846549212677,0.01302682002279143,0.0007659159847983599,5.152420111098621e-05,0.0024672047276768083,0.00030199091820659607,0.0011709117648479594,0.000283767945350899,9.78420027546445e-05,4.221664557091387e-05,3.784199721801329e-05,1.8844362292824712e-06,1.2695053910771747e-05,7.289593201953437e-06,4.779380315067527e-06,5.172040884460216e-08,2.0263825988298123e-06,6.215185870406259e-07,9.679450552191327e-07,1.426798841297483e-07,1.088330714438257e-08,7.231403409413417e-08,6.432666003197696e-07,9.44385788681501e-07,4.3046265219004454e-08,3.071450549452237e-08,2.1280450734906253e-09,2.0240191744846925e-09,1.7419364408910454e-05,1.891820905386421e-05,1.3340356519453422e-06,1.42570710792711e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0420913900779984,2.090607586948549,1.8604570433685266,0.006982242535305633,0.0014482310459312114,0.0017368652957904657,4.716459526232786e-05,0.0002935125297361951,9.652127856862869e-06,3.669871427502969e-05,2.1690194677015384e-06,1.037309546925158e-06,9.330063989981818e-06,9.544514049664166e-06,1.5556564625374136e-07,5.265711730970124e-06,4.4393263087805224e-07,8.864259742891178e-06,7.562221099183253e-07,1.2885373190663074e-07,1.0949509821889247e-06,4.0633574522608296e-06,2.0066379925465228e-06,1.393011129779964e-07,3.980713546847259e-07,2.2187321979671992e-08,5.758343024631074e-09,6.70090289678349e-05,3.666221000064862e-06,2.4925467263070544e-05,7.86087222381937e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02400101869825977,0.02312485252836516,0.00014897514403600098,1.539622743751412e-05,4.052657008979388e-05,6.548157999608506e-06,3.1772492687931475e-06,4.5882883048520284e-07,1.1470307628158594e-06,2.1723170817722348e-08,1.459126346414763e-07,6.893083663861432e-07,1.706049068239679e-06,9.06022834534781e-09,8.200614032283227e-08,3.8946143643414644e-08,3.361574063553974e-08,1.2144924399493107e-08,6.302771637933802e-10,3.033803741558927e-08,9.967286718204349e-08,8.197024192746483e-07,6.597374424544e-09,1.0681739048834515e-08,2.7647617528714363e-10,8.842462317915079e-10,6.898070024075054e-07,4.4983163993705944e-07,2.065992035227282e-07,7.108114274956279e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023711722527207213,0.0013520518341685328,0.0002607711589525108,0.00035135919646100966,7.82875657390214e-06,7.693618579396322e-05,1.7300095920269598e-06,8.789550949295233e-06,5.189257294979654e-07,1.2535836169114134e-07,3.0841498712685933e-06,3.243903874627918e-06,4.6463609182367804e-08,3.2459127607964433e-07,3.743382870347034e-08,9.989301248403137e-07,1.06810458477824e-07,8.039393151193508e-09,3.1863704741397214e-07,1.6247914610412195e-06,7.110153574796385e-07,7.184390726777679e-08,1.4596268993471995e-07,9.74273817178073e-09,1.7821204512102895e-09,1.6583634020239657e-05,5.529825538586053e-07,5.98097828286015e-06,2.072420242082984e-06
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011141318639751319,4.894767274110645e-05,4.54069147521885e-05,6.559690282736952e-06,8.07636705468795e-06,5.991297427065945e-07,8.236515083304141e-07,7.14102634802316e-08,1.8491692399535964e-08,3.284475182940838e-07,3.734075271211168e-08,3.877710530453271e-08,2.8798843265676055e-07,3.480874166683634e-08,1.7253137296613374e-07,2.2752878470200244e-08,2.282004807341309e-09,1.9357796254837467e-08,2.4204882675959993e-07,1.9118057159595025e-07,4.942757803050313e-08,8.025675790612752e-09,2.427007705918527e-09,8.301268561439201e-10,1.2032391687455402e-06,1.0554112317429087e-07,4.6532921871289545e-07,1.693395939028619e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.493041580577313,3.716264156572816,0.1465189437805321,0.2757296071235156,0.023811846583757124,0.0332582459369401,0.0008099887002512851,0.00400547737903989,0.010895450398325679,0.012908288485898423,0.0006609202468439435,0.004478025782994388,0.0004905019579792835,0.004403939337547902,0.0005991823688380193,8.49661529995771e-05,0.0019584893853497043,0.016628480904296042,0.02609247304346296,0.0005069067014822348,0.0006739009005440472,0.00010518323379182792,2.720791317656346e-05,0.029348434609837742,0.007707976450385817,0.006151353203285109,0.0013419686944545761
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326606614748746,0.026244206916828605,0.060722650384173335,0.027058547264879218,0.010454359697565196,0.0006744172852386487,0.0015014508892018386,0.01822839896546463,0.012389968929323869,0.0022650240591121085,0.027819311874222916,0.0012897334823630535,0.04091526775491916,0.002814883602954288,0.00043686434396217333,0.011399211842261545,0.10183602016288668,0.285706752764588,0.0017390568711728172,0.003077521817105071,0.0004424681331733904,0.00013175260564735058,0.00834846452982102,0.00421058900100979,0.0014881208399426735,0.00031625503070320526
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7648601165096887,2.7700209355688843,0.09403082998797863,0.17056886608189217,0.008698862098537541,0.025938132768483113,0.013695477598748229,0.0034932209966700434,0.0010611177427921614,0.002677523538799506,0.0003362905572124042,0.0015758322185606133,0.0003235465385359876,4.263711228047473e-05,0.0005106974462572023,0.004005898190534679,0.0058662257836678,0.0001241627916681587,0.0001770685625116647,2.852653838747443e-05,7.801089666692462e-06,0.1906548188500725,0.06624005509712251,0.028482044192689446,0.0054110173992458765
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09871266033281578,0.019164688538619412,0.007182514681731922,0.0008841243437460733,0.00021278745169528435,0.00038713081212182754,2.4948003825020493e-05,3.3672172593979255e-05,0.00036909694990783226,6.235045613811607e-06,0.0002849102221904598,4.694833820484412e-05,5.4527376904811575e-06,4.3569898673934127e-05,0.00025423892003395565,0.0002222634584085892,6.034356198503232e-06,1.3646867965566578e-05,5.045225182076507e-06,7.045933172467045e-07,0.03930009234874876,0.09736536440106336,0.006328879365920637,0.00018674858782441461
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9585951484536712,2.734749296182839,0.08475908410165411,0.09354233023120817,0.1557632409128856,0.0074249474510688085,0.02762394203305374,0.01631748362928387,0.00039975540773840024,0.007096449290200146,0.0024778716244619192,0.0004923505664307104,0.0004058035845547481,0.00046702483901502057,0.00041718846254779063,1.866661291749505e-05,0.00013669395748698576,7.6044860202184594e-06,1.4435030280979255e-05,2.4570028680881664,0.2824955463022947,0.22606424135230488,0.05270307756748771
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07739117644121529,0.03221557157730448,0.0035790037139014075,0.00770655444765056,0.00010020431190427281,0.0005714784369539316,0.006204124729795146,2.4379630336079927e-05,0.010220219715437295,0.000728768088819165,0.0002416407537177978,0.00012869633333845165,0.00016733388122702753,0.00012752872511501145,6.20878841628425e-06,7.529223509827876e-05,2.6987957943980234e-06,3.2540485037646505e-06,0.10554912862826082,0.028050181611093183,0.010599481486242568,0.000665082980342957
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9966806445128018,2.0235940733484066,2.540143533673038,0.08468666525528712,0.09597334335974095,0.17168499381529626,0.008129092599399979,0.005842130501380716,0.033925258052426105,0.0005724604136222444,0.005928717931764332,0.0013653391696354794,0.00028276271075333703,1.2631698935061664e-05,0.0017960758301662494,8.578363659517141e-05,0.00033531787269336366,0.19109086356572644,0.04202913970990946,0.03456474448739899,0.0021420986902895844
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025289219148488362,0.09629014914048795,0.0034736389037928195,0.006393636364074418,0.027761881968794144,0.0003018699621446519,0.00048188362258505535,0.0034740113386332316,5.790945273731474e-05,0.0009634512064478074,0.00018883030526983813,4.116230906348051e-06,1.9091020180272977e-06,0.00025318441166477523,1.6347688083895306e-05,7.831423550608285e-05,0.009896904084600866,0.0017739115317874088,0.0009268943240886562,0.00016828096793708447
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08523773001862689,0.03316135471666959,0.0036431553668541117,0.010390144595722406,0.004483407464687117,0.0001464196464013856,0.0008657141141586999,1.1726297881597958e-05,0.00032668575935401734,7.950817690827172e-05,6.201243418324509e-05,4.365103641656987e-06,6.252466188294559e-05,8.043735431062515e-07,6.646661121711972e-06,0.01145260088389044,0.0019524483177105756,0.016441794553902378,0.00031141565130488047
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028692758199976,1.9923728463043178,2.773477954290294,0.08083421846905936,0.07980372783073808,0.1877840037405865,0.005360837358822312,0.03498793190422622,0.007662999655201216,0.0010644534270398687,0.0001518006659366744,0.009881308514541776,0.0003321423485550534,0.0009512325520899534,0.03102069096722876,0.007889471214047344,0.005677434420644653,0.0004271800125656977
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023816621518927272,0.0848527709170861,0.03358102410769992,0.005421249507172599,0.0073043471021099204,3.869376182596973e-05,0.0013342239446449966,0.0004972420786016896,0.0008435172381664469,1.0082962792479222e-05,0.0005850881010187603,1.0617544434543547e-05,2.4989257154661715e-05,0.0007146095175660783,0.00019780800882529537,0.00040046892775225107,0.00013280194543408008
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08618552265544488,0.005602898431261716,0.032555657365958224,0.007700608652350005,0.0027944953119736216,0.0005485362436064012,0.0005702983645263782,1.248829952960051e-05,6.459500993871714e-06,0.00016177268409323098,8.210861781376977e-06,1.576328576624597e-05,0.0034443414353493296,0.0013146582943907026,0.0003074962689181282,4.359523228814055e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0103973240727084,1.9546807306987195,2.6055429523880496,0.0947367981034104,0.26892479744218417,0.03485113011107706,0.010255661767375912,0.0019189815987086245,0.04561420010911532,0.001561227969103074,0.0043981657678312525,0.002158715117321519,0.001094947446422051,0.0003609650472748138,3.0337863633489448e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0300225553823934,0.10849049410257594,0.005770654790506091,0.025934931048460008,0.004717392252017505,0.0001380512909812115,5.250782416399424e-05,0.004767094588314702,4.9039261374561605e-05,0.00015580203120002523,4.076211920445161e-05,1.4933815284723373e-05,3.1836396317874716e-05,5.605737507519137e-07
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09643402290471736,0.02728036645814491,0.015891771299920476,0.016945275872414345,0.010652613527350363,0.00018788293188976013,0.0016327983262097723,0.00029904328818064485,0.00010491845414617451,0.0006256016468548786,0.0005188196776698684,0.0001232883647940275,7.888747050932565e-06
N34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.844575633266562,3.610137281623695,0.38981020007328665,0.0075282877647481206,0.03092174492255395,0.36834317400108707,0.013151840832381412,0.029656862310936005,0.0005700315411881207,0.00025394075893804546,0.00011568190929389655,7.268432245521872e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15742961241387143,0.029423929156396245,0.0007676345537626084,0.0016570233891470831,0.0166131465876872,0.0070511499122394294,0.0010094447321624678,7.414070986389021e-05,3.8268068407454336e-05,1.383994575487879e-05,1.3845085249375444e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5963923739711148,0.14611043391897593,0.15729956887973762,3.26819850397654,0.1424871261305325,0.14392773691159777,0.00014704961409722772,5.406776082145237e-05,2.460353645081237e-05,3.6142165116270775e-06
N37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5461641210105663,1.9093280606988214,0.37831824005125325,0.03175431744999335,0.012348847765559778,6.442632052594544e-05,4.0011410864099206e-05,1.6854197112566027e-05,3.3157893014612583e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04080446745013311,0.025898247847734757,0.0022463346110144222,0.0007760839139210329,1.0248298582649085e-05,1.768733429741154e-05,9.210373712598141e-06,1.4617031383057366e-06
