,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32H,33H,34N,35H,36C,37N,38H,39H,40N,41H,42H,43C,44O,45O,46H
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958445067145448,1.0955250246136528,1.0975209196877667,5.110532782703063,5.520753565415883,6.0331955334494705,5.959935959155775,7.251293415485238,7.162130345392265,8.455387443310029,8.713115250109412,9.336368444499337,8.507745774905594,7.746504845099138,9.467336873716054,8.692607338055314,9.581831056095837,7.88066508831117,9.128223834255598,10.063787564716371,8.571450591622062,7.293159160836063,6.558351091113525,7.127855061557637,9.495620558502544,10.47087813210361,9.324620034373876,7.797717438127875,7.521950498519024,8.894023285499937,9.330553836914008
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7642584244619637,1.7716496457126834,5.3754000298046645,5.790811773359957,6.171817687090364,6.061092649192505,7.274659767945402,7.115002309602073,8.601973502492251,8.909562374268203,9.401731221258839,8.796763176702063,8.139324517852298,9.805857800361013,8.915920748579044,9.724174707833216,8.034267207252011,9.4695459214502,10.435658649928572,8.979285173450016,7.701339793935201,6.929842977853692,7.560596313825395,9.963036702545631,10.911632592477703,9.850336622322537,7.661972379576173,7.36001365487104,8.677470865009392,9.04313410674741
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768318723573879,6.0124420873307205,6.489877406749587,6.895530122313571,6.732501918978763,8.175866174587991,8.160891572028609,9.346360788906845,9.523380116684375,10.260104576770525,9.397642028715685,8.585712050924986,10.31851152091884,9.662104247860986,10.57679007924559,8.89001455280958,10.062484264076142,10.974282112053134,9.482224450490412,8.212692258611222,7.50220011989592,8.022010049817503,10.361785838868329,11.350167853810584,10.141436054254559,8.677141982816098,8.306585110081283,9.816596825247574,10.213843680620972
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.236300097249484,5.403200286546493,6.320686994658849,6.4161303677143415,7.473716524100341,7.267080837774896,8.612270116956086,8.966608787028044,9.483682760150426,8.493721164169227,7.72196441939569,9.454119536728069,8.521604095884008,9.43003070857197,7.686346988078717,8.809157595131241,9.750596259083654,8.116552671496454,6.804586424054423,6.183935937224702,6.50499852485336,8.938946877751924,9.925611612246861,8.681754764493238,8.183480181401194,8.057967990226386,9.224265877744038,9.744730546216056
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.246122684587361,1.3501999122142623,2.04850404277276,2.479687068998218,2.621835625009306,3.3940334531155285,3.7698258160052203,4.338691864508654,3.454143267907742,2.843534038695801,4.444583390287254,3.914999717801804,4.786849366256789,3.3487114538711205,4.7110880969140965,5.565632325258475,4.75672730545711,3.9192228806867733,2.896304468864172,4.492183399800403,6.022009727845675,6.805873199352976,6.354806615166677,3.623911026914266,3.9124040411858654,4.714553191318548,5.451818518344097
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2669860046694366,3.165507881854782,2.828384880776722,2.5543055851773344,3.5231003340482054,4.1663720267213895,4.350767414117252,3.1796410284894154,2.6454953375219614,4.212043363089713,3.174487275687154,4.103641259073821,2.460240795979378,3.786593075754225,4.725236375664449,3.6730299922044445,2.7547071927780933,1.7232374105394663,3.3280195996162005,4.9371681766428255,5.737489496286182,5.264857382443001,4.192144130005973,4.75519159964479,5.038297555110879,5.88739548571586
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0164664863970545,1.4581197627682663,2.0849283783554395,2.5226937099712505,2.748797029991414,3.431498906098513,3.1459820424210814,2.828348531091612,4.074431701674662,3.905621011465165,4.577808819485341,3.5120280374837756,5.0031265222630115,5.749114027968846,5.386658736576551,4.801235014877196,3.8101996164860825,5.5229331045419485,6.705148452147761,7.36436648799053,7.191817688435059,2.395531218165565,2.661007388553115,3.590902676578596,4.272985945525579
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0931121236179506,2.8624206103717738,3.1322686769749235,3.059353453815175,3.9825591007798438,3.964756394279243,3.6358124310256126,4.783584609474038,4.863659190748028,5.4807360007874975,4.512400979427518,5.976813942257453,6.681689461580269,6.372595108553705,5.76658646580607,4.765922965369553,6.453411866105579,7.677846762703341,8.34282509614511,8.141794593287903,2.39809329566941,2.1702098928591553,3.7291814193844512,4.211972264136958
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954020317250066,1.5520010312456032,2.159964675133951,2.1581473478087596,2.6118982534065647,2.84220190763863,3.5246726596797853,3.2084654598976505,3.5809414932754384,2.907023802301402,4.563503288712077,5.236242876198073,5.233163996309396,4.910032059978923,4.031975306113989,5.741914280765878,6.570557098533703,7.071934787619502,7.2197378726511685,1.5300657229284589,2.424147644521123,2.3775771986462226,3.2225293015855807
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1834992077960806,3.070049428269434,2.5189370104492244,2.8612668499772407,3.169019848997639,3.871618862598597,2.890835386899274,3.2012181441554146,2.2914205845789204,4.239077893065137,5.014233793721494,4.813920498626488,4.430688843388017,3.598586006096304,5.1992419347880565,6.15172869178454,6.652114023347298,6.7920113167044445,2.140367544845605,3.140154152392411,2.583125190989039,3.4910955841062234
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964585062673018,1.0967981995323344,1.5380782238026567,2.174995523763012,2.1479823026363416,2.565315669312938,2.815266131304636,2.835815155031634,3.8771560179249933,4.300844021022435,4.834695524255762,4.8957287983188005,4.214695804388847,5.8574529516686775,6.076361162228157,6.423226820981581,6.84447857626086,2.5186165824050275,3.4204882851135285,2.9525926921464674,3.8064168862626664
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7604800783944274,2.1538924927962486,2.526107314882878,2.398639813739683,3.4898215778918913,3.7666371491646147,3.8519538441637065,4.650271384960402,4.957741540156383,5.59551853111777,5.663992578970004,4.964407788405094,6.623640456320536,6.78622451998512,7.133348231577778,7.525817990575364,2.737237036299234,3.3224031697145433,3.333461158626521,4.006858571591557
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171417110366055,3.0790249597490646,2.5144693372041425,2.778400593644763,2.581239948397585,3.1327624072225224,4.147991358916751,4.451384410169708,5.258244375896062,5.477766723597426,4.897759970328316,6.444447087086681,6.443650020702456,6.649716825436536,7.296267541361127,2.678338425995281,3.724736636096926,2.575845874958215,3.4103590494907574
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948199558553509,1.0980336884818804,1.5353099080904953,2.1787321719199837,2.178033445388987,2.506028756380496,2.902236881303833,3.4728858550093396,3.7377705774776895,3.2617424200814593,4.74101624361183,4.64441686059013,4.992558626146295,5.420487122398233,3.928760613466266,4.805903750339321,4.360869328095062,5.270827384270217
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760546444921021,2.161811534920871,3.075859057344009,2.523962750069079,2.7467006557324463,3.2526354016909225,3.342032248879048,3.3588022399469306,2.7903291080774077,4.307148296776144,4.50949495709625,5.03340527926507,5.1309636196468995,4.258481564422901,4.94842099506197,4.96080850539401,5.8453412843177315
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1587867454280856,2.5129417317488563,3.072424849400309,2.7385191741984976,2.737235232057917,3.8462155098599644,4.393653591519717,4.09716753944794,5.395367992303701,4.8088957629087865,4.989938627095533,5.637137470127672,4.66559019960627,5.503705758521833,4.986734197758558,5.8390234668471965
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958700060476656,1.09039930618868,1.4727744003032988,2.130620159265869,2.5146980540009514,2.936362904669603,2.708771901637574,3.9094839335633904,3.7084176321283566,3.9954746324679857,4.559768728400615,4.554262636008768,5.5978142457229545,4.724816020736083,5.6955878476535515
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7652367405811806,2.0748231980668295,2.3941109342454223,3.2513535717154447,3.838156998626004,3.700907993698769,4.753251362795344,4.269680031522236,4.329524166820674,5.201287447573639,4.684310902906804,5.825184987804188,4.541564842574134,5.479396738926833
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0808170357782125,2.9689335327657718,2.6296219624374904,2.581108752174627,2.1565305326157613,3.4604111955222057,3.9256517201396655,4.3766390905693715,4.644214801581356,4.275458555326997,5.301519320626801,4.508491401696368,5.482272386909467
34N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125662105667275,1.3397715552864842,2.3370706213991523,2.6355462978788475,3.2303296947629656,2.3106169921262474,2.556883200773752,3.2277054144354445,5.977968548147279,6.969774664088287,6.197528196891073,7.168190284790688
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0057034235897286,3.2083863356129627,3.595255993411466,4.026810517970082,2.4630539137975274,2.349107486007522,3.441398744726999,6.5835113680672,7.585767686268389,6.720903423950112,7.669403874262023
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.331463159602113,2.085656629604907,2.0286178216384547,1.3505916313003552,2.064560644121715,2.0613772583369667,6.721045322426254,7.635232106200251,7.07385442769873,8.050487047541706
37N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0319357281691313,1.0108340990509832,2.3175616192711677,3.22120858043123,2.5537283106068056,6.404336756047754,7.210512914274142,6.915939916196509,7.871322419141387
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7436226218596482,3.2665266277268787,4.121647908547916,3.557288333239893,5.5157106547617305,6.258111825352416,6.134168907334445,7.0668595199026605
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.526753120999436,3.4793523182212667,2.382723398318382,7.206189675679289,7.967572978351275,7.736322058612393,8.677136592451022
40N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100424414396647,1.0099365249653807,8.053733637787833,8.974221153476574,8.364004456746132,9.341610766713282
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7246728884957054,8.506672715349554,9.489428461645565,8.689726813433209,9.66128092384339
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.726566166007226,9.586654716071,9.121961130322157,10.09761305883041
43C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110589924220057,1.3421629132181399,1.8838852638347259
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260207339330061,2.323596062162756
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977818417500337
46H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
