,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28O,29H,30C,31H,32H,33H,34C,35O,36O,37H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396997148345895,4.294506175406557,2.1562346573852387,2.4783849241771287,3.8749028627781184,4.962126161173126,3.4056785314634928,4.304311567422619,4.537337771569271,5.368506113423002,4.937109697493352,4.686143632273758,6.338074294560549,6.889705117368449,6.760541326494076,7.841368534379298,6.414069113684796,5.482118960603164,6.667549946672584,7.275147322254973,7.243121815588484,5.683054622364106,7.074543100531717,6.749242947830389,8.38678499612942,8.872072615735195
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087417336950151,2.7877459574366457,3.8750511185993948,1.396667933295545,2.1538734814942835,2.421939050062611,3.4078498397594243,3.401614728903089,3.5963271697312846,3.93338519740885,4.383632493310647,4.897956366134791,5.220150342840916,4.810342888170299,5.8585205139539065,4.869591845701028,4.0566685320924,4.047971529683663,4.51672074561538,4.499602900696992,2.9528281383069084,6.188451713544021,6.473445621847869,7.239470171934098,8.009277798102806
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8751275464768637,4.962406656535911,2.156816367751284,2.479564259211597,3.406710330133736,4.305438999380924,3.1532459537107536,2.978500537575099,3.848424459221661,4.513560804026104,4.619768390326333,4.730749503361855,4.540536005829265,5.521472267146099,4.90619280087652,4.242483710559683,3.565672646422439,4.101718369316154,3.7850283166461343,2.5231571022402317,6.039733968530297,6.494789329773644,6.97986475032021,7.822032018993436
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873534710478225,2.413586078753543,3.4010374287508047,1.3964820626976768,2.158912669292017,5.164515490056591,5.852382409313977,5.30628145159277,5.221594170288291,6.466734893160773,7.124794866192439,6.375528368955797,7.432368205115469,5.818177966891815,4.84953202529061,6.063857893092941,6.367393046354522,6.810514248979727,5.067188711989722,7.353473651018601,7.233476923473046,8.546249602493635,9.108148644503032
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4012367335862312,4.302898486023847,2.157518113734611,2.4890486754256576,6.064951641617894,6.839670906831594,6.111938289804787,5.887029052520914,7.283593928248436,8.012619297104132,7.195772980830953,8.229373765025109,6.490067065933403,5.529012306708351,7.00071614891629,7.26001942043847,7.801137317623335,6.046395805013087,8.032546629806557,7.789378402121983,9.24134936377579,9.727433662763877
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087335876382108,1.3972575930907667,2.159530485427153,4.5511595276316825,4.801845389382978,4.776511050646904,5.13910488695616,5.592815761353022,6.058389511210512,5.1565202562935015,6.153685840672879,4.9297449310133885,4.096350800965072,4.354411764495404,4.503689198235805,4.99786263623171,3.3354019990392243,6.819289986581019,7.105450799642972,7.807244129004736,8.554518631712135
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1581204521931356,2.489567833702091,5.115654080324468,5.1803409489208105,5.276997744124007,5.757477746500971,5.854823736147501,6.257430294785066,5.170452517902215,6.063891486026453,5.011381720858997,4.309468629965804,4.155859774791443,4.074188636672941,4.765466583503818,3.259649087900465,7.144691184809061,7.577894282899571,7.9926487469625265,8.787392703470578
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870287124634361,5.3201775345700515,5.810807560775473,5.402138495587329,5.518630058387309,6.341490389336815,6.963631490788315,5.94567239179522,6.951968946646628,5.418893381387235,4.506321428929295,5.400682515633255,5.509921489191594,6.170260019211228,4.429658255945347,7.375942765628389,7.463747850769362,8.442579248255205,9.087890504337171
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.298356853805635,6.77440131518547,6.257721892483115,6.349574741841947,7.082318057748125,7.753729159371004,6.5045700542390374,7.441193798644494,5.839312966056269,4.982479268028695,5.952651239209809,5.8764230224305045,6.783592913794143,5.074244065415138,8.06682410945246,8.165128171174581,9.067478624414196,9.691155272591757
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2271326505925537,1.3700553616631947,2.0430830907378557,2.467279948964295,2.54786535329816,3.4625395487368316,4.3781991699386555,4.0594277346384775,3.631189767197997,3.532486417136025,4.573637699105631,3.6446021207111112,2.9982294218078924,3.5660165630497613,3.8442341296319373,4.676963999961467,5.388494786710476
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2817597770085887,3.1497219780391057,2.8253059818505877,2.4532511926715643,3.650884033049018,4.446197140370891,4.566735349107237,4.264901891759534,3.345701927785266,4.3948773689137886,3.105083059052274,2.9033764040450754,4.116447914736883,4.65594387585549,4.986284525165036,5.804771139250326
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0134558156037439,1.4537387969623254,2.083280896879243,2.5060619382524836,3.410586696950186,2.906274457060133,2.5961924180902085,3.1041601460466812,4.085371737621617,3.4855514025668044,2.8221425569055096,2.3972997790544754,2.6788683669695796,3.603727153386035,4.2715881676112755
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087681118802202,2.8699448085745267,3.111480273002937,3.953697249219968,3.121781484633378,2.750497376690191,3.9331471144889645,4.824156513965518,4.430009758053985,3.6367061058882655,2.408215217629838,2.2063384488389763,3.74447612103117,4.212368618136592
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096833695060988,1.5566191197943462,2.15273981836533,2.437491668659818,2.6449124034002303,2.5664387212580855,3.505583148014997,2.8194521667438868,2.836672650282522,1.5240180337066693,2.4307808682561878,2.382074796461738,3.215810972755709
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1742333576628563,2.5169339705301668,3.3712640994074876,3.606553151248779,2.750638388584955,3.7526942554254648,2.5552002077777196,3.106267913053452,2.1523947285298775,3.139131437694183,2.634821494993206,3.532364314184235
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094434079513349,1.4226060139744512,1.9395277974663216,1.527004616482081,2.1522040139128897,2.1817066288989064,2.171793562265285,2.5241308739021426,3.4685572749534495,2.9277545114347747,3.782815877531038
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008381755981266,2.809716521243773,2.158228982805287,2.476551456090683,2.525863642003409,3.07231653882384,2.663804188328843,3.744763605329405,2.522985230001593,3.365717892541203
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9725856886023586,2.4450315972103462,2.6794790781976294,3.3940789477856548,2.7430732148966355,2.9240573877860974,3.4831317821089507,3.4834943412256165,4.09967319788291
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5666273080605855,2.8935206275568635,3.5788588817803713,2.450702111197698,3.3236444227226114,3.6868087148838513,4.151016117195638,4.761212017831248
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095069991735789,1.0950557177140376,1.095152553497038,3.8931189896894836,4.824753032863232,4.293608034867732,5.210871517640836
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7835011791661628,1.7783684152931813,4.669625496285065,5.598592384748595,4.914156609961092,5.787774579997235
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767521666716372,4.185429230058996,5.224263357020731,4.431024840691833,5.39968281218468
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.261291106464509,5.0051286737444425,4.936553417764767,5.822204726031737
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2135988626088179,1.3470816962702494,1.8762318103114033
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2531379697774105,2.291932994404591
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976495512382938
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
