 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,O28,H29,C30,H31,H32,H33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028244213617423575,0.0014864165163568366,0.12562837161024476,0.008221783288864692,0.0037521718641155832,0.0005192142641452513,0.026657737117740776,0.0012453618322827431,0.0006557221361938037,0.00012873419792824858,8.91829977445191e-05,3.671843451535928e-05,1.0427992010120235e-05,2.3746568760252273e-06,2.4756457377428376e-06,5.590994149873296e-07,3.413662623685809e-07,2.3405704485668366e-07,1.4879328764427768e-05,9.851157334317406e-08,1.819827100124627e-07,1.8041996731277266e-05,5.25848355792391e-06,6.187374953503522e-07,1.2328113936366236e-06,2.3084694511510406e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9331289583751565,0.31046191329280165,0.003522259615988621,3.6036567174583056,0.12817693165123323,0.3303819941538201,0.026894425506959974,0.009953407772709144,0.006393222004524718,0.0019642521415812186,3.7655840843808797e-05,0.0003366221843947581,4.084997395348289e-05,0.000746914842543217,0.000290019323919144,0.0002555390494846793,0.0011740224662963872,0.006797382371169142,0.0002615196077544457,0.00019675947114583536,0.01601107901904042,5.7803204356055016e-05,8.809277695878692e-06,1.9961373062024612e-05,5.664425217544178e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037486474008430193,0.0005060419117992598,0.12594820067139945,0.008311140551154228,0.02678701397225125,0.0012395709873425087,0.004365570336950286,0.008321800233413001,0.001098298033113121,5.019955151119859e-06,0.00012998220188675802,9.030962128342424e-06,0.00044700203536041094,0.0001356371380623056,2.809881450716034e-05,1.0572436301536925e-05,0.0029934979700814157,0.0001489930541223039,3.159715192757595e-05,0.0060406203847194195,2.75385823331753e-05,5.845723078490295e-06,8.411273726416368e-06,9.272582603969681e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9355721670033113,0.3359028703414676,0.02730373097300509,3.829927107199832,0.12388919047524272,0.0012621303599568146,0.00048066788905663793,0.00027980978004732426,1.319517974895934e-05,4.797608618364868e-05,3.7345744025030214e-06,7.77652661924505e-05,4.697963548128126e-05,1.0576628079586592e-05,1.4156392375563875e-05,0.0010787560749218467,8.144997978631885e-06,1.1012047635206024e-05,0.0014751651805140487,8.483930683395036e-06,1.6445497254408137e-06,2.7043488011330163e-06,9.34494256199514e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027429366505689057,0.0013734147179307321,0.12321929861283598,0.00802315638108353,1.3500354394624381e-05,1.5174753254632023e-05,2.6868965563586755e-06,4.1320649168952173e-07,6.621736996503813e-07,2.562022454188906e-07,2.3081422195758705e-07,1.5222277660598138e-08,5.257038149242277e-08,4.196616099072514e-08,8.226196193117374e-07,2.3079822453198062e-07,1.8915674449004882e-07,7.803541575146511e-07,1.6064982766295088e-07,1.975817842669869e-08,4.620826343781914e-08,9.003247480876553e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0517253743976123,3.778734845383378,0.12379174050391017,0.0011781867620720143,0.0011583705734178884,0.0004953710079568518,9.878049692657598e-06,8.96281370879326e-05,7.230613301434374e-06,0.0002894795559103269,0.00013825125113853254,0.0001862375951408035,0.00100383051302666,0.002813837822281076,3.512140377748274e-05,9.44237271245374e-05,0.005218253920516336,1.6708717536811912e-05,2.7262464635802175e-06,6.527634437272778e-06,2.0548307433365665e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12490205882096173,0.008006562146450458,7.113938721614588e-05,2.3332822461918923e-05,2.139487892049985e-05,2.6048829537828055e-07,6.895500024972634e-06,2.9876374885162704e-07,5.725749505636202e-05,1.6421520866671813e-05,7.396256035518967e-06,1.0448917340033503e-05,0.0002701527644421997,1.7227962256560758e-05,2.561819991742098e-05,0.00019151870776346058,2.861780667329228e-06,6.516866352113126e-07,9.743640290160727e-07,1.133555160848232e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.807119263811519,0.0011348694396384473,0.00021390588997415028,0.00024722387194495155,9.515675046034566e-06,4.389789684292045e-05,2.6365192155042294e-06,6.45870824093342e-05,3.925210817867786e-05,4.07422446826039e-05,0.00019248354692713576,0.0003514292525124141,6.331294120975883e-06,2.6583099647981e-05,0.00031457932821798984,1.0557138303946001e-05,7.245252014870252e-07,2.9240118332718446e-06,6.921343134180802e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8685667028783826e-05,2.6204331492585275e-05,1.714435617916621e-06,9.319092550974517e-07,3.850360761337157e-07,1.6084864484788852e-07,8.676321918699159e-07,1.6922732504198734e-07,8.364371317792774e-08,2.478415337403561e-07,5.000445772118667e-06,4.1593413935281376e-07,1.419060058349686e-07,1.050645699551822e-06,1.0921003035235799e-07,5.694100224662435e-08,2.2233341168131915e-08,6.282359077403044e-10
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.776093052608807,3.409979224459081,0.13707683229840506,0.2671316300679467,0.028306358777671736,0.02894247024676927,0.0027943352012451683,0.004613452649951083,0.0037129178545299846,0.008157098852028921,0.0006215900214756598,0.0008077970544428936,0.006637823108807561,0.029598712774285746,0.006539483783263356,0.0056681555464353495,0.0012792151375324856
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277957738462052,0.02515675750294888,0.06729730629660871,0.043193197018948526,0.010400040680411879,0.0007441343664476019,0.002620174808571199,0.0041751383090301575,0.012923668560599774,0.002172174069201782,0.004729836903218709,0.0039022358301075144,0.010263541932975018,0.00434116592357392,0.0014900136364195682,0.0003172141507744586
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8480777637589496,2.7234706083924825,0.09737591044884775,0.18275870859325966,0.02396359670477677,0.03284134927357306,0.034456736496869866,0.017510879728303022,0.0013929209684462318,0.0006989039806928332,0.005202431726403667,0.19416667298563695,0.05957248940740695,0.027102757578036818,0.005114429006100485
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09470881300571099,0.019523565670558796,0.006823940608893575,0.00042877412882846855,0.0029136674020960873,0.0013276911169017858,0.0005381875122176805,4.619434100150421e-05,0.00012266049751863406,7.446467491933895e-05,0.0358071391226884,0.08547376567737175,0.005604994236084182,0.00019711755380980023
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069614003344994,2.417566602780523,0.09380682276674124,0.21049300819275632,0.009684172590871842,0.16413960858381735,0.030478148230979274,0.006838884273257628,0.007675735036995146,2.576193320087249,0.2781746487898394,0.21392934218845203,0.053260299509440334
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08591177144848494,0.0028232484170258587,0.025393854050514197,0.0005791990911925282,0.009027968561492572,0.00108955197202798,0.0031505535102536175,0.00010714176109227758,0.11006344388800438,0.029840978402927543,0.01024928588475893,0.0005913924221698785
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9268829630557152,3.1138459358271664,0.1095036330471778,2.718411217403647,0.09935291539247393,0.09748312029016515,0.08990470683160279,0.19653341029323612,0.04107570506676203,0.032888961096865454,0.0021720810580545535
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10166691723645871,0.0390700525802703,0.08540507464206204,0.005735908770918119,0.003250418023537538,0.03344324155297773,0.013306661924166185,0.0018485822634541904,0.01925677105414625,0.0003869692483475795
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7343976690246983,0.2053621236994838,0.009831761318626842,0.032667807470549426,0.009259628186112367,0.03646660318966799,0.005151043313150763,0.004430848435346593,0.0002897734526133844
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018351070454312057,0.0003314975725803304,0.0011753035622619201,0.009491040592445543,0.0009472290064386213,0.0002869467129636982,0.00037918715741624975,9.571780234685079e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.799608183301729,2.1506029766341603,1.9545672985346187,0.03053070679341116,0.007157737656884294,0.004793721342397528,0.0004311313353119184
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025385803097586868,0.024735054804857715,0.004698365046001296,0.0016598964872380773,0.00031781385612350554,8.53546400587657e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026075957410333084,0.0008009064676222089,0.0002940547842319452,0.00010912087017289629,5.24253726363888e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007823459072808792,0.0001760530697394458,0.00048673740022797674,0.00015409570187108201
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.283833349413746,3.3600439483431432,0.16806348002593163
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5090275873756777,0.06500423506446973
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6046241480355083
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
