 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,C20,H21,C22,H23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,H34
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.821194048698369,0.616348010169406,0.029531815754498814,3.361673495588839,0.10835734208253478,0.008149578721942052,0.0014597077075950426,0.0020687048854983042,0.00030949067782151674,2.4734900410217087e-05,0.00010296146812599494,1.9197835260387208e-05,9.701343666623785e-06,0.00018972161178726354,0.00011526443242426687,2.2982339271671037e-06,0.0009779300081274173,0.0020300125408149183,5.043838124829669e-05,0.0028924474731431005,0.01335201697616846,0.0008084391726414369,3.5423419193603145e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03056606318577182,0.0008644070051853081,0.09794653910168016,0.004638611655119584,0.00015218383898751853,0.0003029230834596941,4.125336518234768e-05,3.150025300158177e-05,8.607781225355993e-06,1.0856788849711307e-05,4.375779705245719e-07,1.0567110619863485e-06,3.10859878327463e-06,2.0855809634845457e-07,7.404075264005883e-08,4.004624484266195e-05,1.2049756755949659e-05,2.65750925776409e-06,0.00045843871506101586,0.0019395369997747824,0.0001259943405695907,5.6150622580464216e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.062980585093884,3.24370249135103,0.11666110725612178,0.002048610299485998,0.00032018029462958786,0.0008752083706162761,0.00016290859698453453,1.0193535681768395e-05,0.00021223710029685816,2.6813590086716133e-05,2.83563238479001e-05,0.0006561766271053759,0.0012255090220354425,2.718600640894131e-05,0.006689802342107476,0.011432607533788719,0.0003115750568496445,0.0004317075678712534,0.0009432589770053124,9.994250211536881e-05,8.287103574367016e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10139428063098288,0.004616363081630048,1.1542161641342474e-05,7.581058332761792e-06,8.46109169838627e-06,2.622128329576867e-06,2.8796056938951153e-07,4.474980640933879e-06,3.076136843027655e-07,1.6516481038397757e-06,2.5632558246835302e-05,4.690157217512869e-05,5.937462708160979e-07,3.421933876812666e-05,7.072039694988597e-05,2.657197776034792e-06,2.703460566744198e-06,1.624510943576407e-05,1.1483464983363945e-06,1.19690189759325e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9600138116348629,0.001342456356077354,0.0001515522202407693,0.00044149677775869034,8.783309568419218e-05,4.938279237975962e-06,9.857188313237841e-05,2.0484042793089685e-05,6.458706616641052e-06,0.00025865366967812997,0.00023712443626200397,5.646271631798427e-06,0.002200089020709589,0.0030750474353908874,6.481047520590089e-05,0.0005162387071896701,0.0024373343697107613,0.00015194632979034783,7.218957145505023e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5537880976412843e-05,1.2110555634992082e-06,2.119602942740606e-05,1.1371380213454074e-05,3.1288102939619478e-06,2.989266652098088e-06,5.776200042717505e-07,6.858133654308318e-07,6.169042715886697e-06,2.0203087256476238e-06,1.0232793834497045e-07,7.244445586274129e-05,5.498939568315819e-05,2.3734793788143804e-06,6.830950983127693e-05,0.0004502507933803468,1.497783147164089e-05,1.267326224851928e-06
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.659256224703912,3.5932907791475426,0.28205179629584154,0.02069321269536517,0.03024123673321205,0.003432148071621066,0.00028355434382842937,0.028821161319040195,0.00016585708551675182,0.00344307292929269,0.24034642422413072,0.014222746535115682,0.021481779918935295,0.045115786400692054,0.008501302519646758,0.006391449760760171,0.0006806426008378885
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5444007669487644,0.08730227663860836,0.024126871286749507,0.01140208440801907,0.0011983599174889559,0.00029306959033292834,0.008663869548651643,0.00017984203939458432,0.0024045938725065774,0.05583387759343571,0.004899949445492546,0.010883884534347299,0.04919967747886474,0.009088174882860199,0.005256506445717679,0.0005198860064212774
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.712394564948278,0.09118282110480935,0.19990762817529503,0.021127414434810587,0.0030578918256070065,0.21100521716834109,0.003162942852536821,0.023933935541453177,2.6871010242579314,0.08743665247051313,0.09561902150667922,0.18384729025742005,0.02753991052275888,0.027337642509214027,0.004504048415344575
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7764582854149984,2.7632974036738265,0.07922590359496984,0.08965409901997745,0.19428421831522844,0.0049081246978661675,0.02636084033156827,0.21884955081040938,0.018942733836593506,0.008663487303261386,2.619604066169809,0.26756128083615044,0.2283729341997891,0.05499868156650889
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07671827101104689,0.0018368742763379409,0.010389900834962162,0.021182001411143014,0.0005858469881210304,0.0005146857509064073,0.017054858846131005,0.0007234177048893731,0.0003576539759364561,0.10743784100379594,0.02265631541297264,0.015439051038158014,0.001202815892265674
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079568655208761,2.093675640637462,2.8714205406136912,0.08635195009326546,0.07886668703790223,0.20049377200107205,0.0233283831422868,0.005021101228867009,0.1940435287599227,0.04141091290116171,0.024822575442612113,0.002063701201438062
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02629652245069458,0.07726876245351133,0.0075291225805889095,0.0010879675950625778,0.026714273765915397,0.0008006329161769354,0.00010668581652772957,0.01764612664346621,0.002424629758576602,0.0027727764324675386,0.0001349906208691909
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08159637763441574,0.031385938916453915,0.007425784544439429,0.0061141160326696475,0.0003346769202328126,0.0012287173476557278,0.02343992662844885,0.006299045588023633,0.001713914560037999,0.0006085301441980384
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9677906606730684,1.9487929583840635,2.681785887221889,0.08220572418783334,0.08053408372765247,0.014499681066612369,0.010519921024554388,0.003921437940246117,0.0002272641286437116
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026107036147378526,0.08383475982691047,0.009821996824205703,0.02815259201132214,0.004844333969449055,0.013894167556609549,0.0011567035582793483,3.218650482317287e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0840626937065525,0.0012406224276400035,0.007416676601698313,0.002081270233031951,0.0008245395824025836,0.000646414927351513,2.318571450499185e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9959149821976303,2.0309270556043377,0.016978392115005653,0.0029168663477465995,0.004680524239158199,0.001114162993411827
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026213179125641917,0.00043587190158644873,0.0001976919034970548,0.00022017578688704464,6.275540317424166e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029638933127622558,0.0003674848232494421,0.000600296386249255,6.857975475815792e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.057890516645825,3.5690824328784734,0.1683142226749147
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5180669593775213,0.06754999673016227
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7282516003488981
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
