,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20C,21H,22C,23H,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0791476390543666,2.207565439605246,3.2417272265882806,1.3786677821011917,2.134215048479314,3.6180254803074057,3.9587299957796653,4.0035727040121305,4.750687262165508,5.512096583877023,5.628963210429349,6.107915249539082,6.5137335894157555,5.011725958796892,4.467349889052115,5.903210873777045,4.374028957809531,3.748462926179936,5.2935115504839985,4.213942164432572,3.3505744208930546,5.295169576974885,5.267289722713314
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2350633784767933,4.221685666118546,2.1565298334132668,2.5486164893841248,3.852786072911397,3.8492165774201403,4.380314794899595,4.907863838859852,5.5444292420388,5.962715727048822,6.351303850732426,6.86641507135132,5.5952880972027605,5.048731441273789,6.569396987068428,5.032727198402486,4.573476057976693,5.97005369574536,4.13021088240167,3.2932720860517186,4.997868288081649,4.839134792330433
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082334057546206,1.3645034163326202,2.127689212831872,4.549346209805288,5.347034476659951,4.427282003647462,5.313465053418511,6.283101594275751,5.629175943805922,6.120467586722928,6.475632935995683,4.492022013219194,3.853055848568362,5.054796905101221,4.026392567348526,3.082589717619525,4.864491752907002,5.100101047227047,4.205610243884456,6.380741326422679,6.458888931924201
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14909046043919,2.551636739933054,5.436724339064242,6.301328342487082,5.125184038778043,5.939228293302013,6.965500627958739,5.998814366464066,6.413020258862761,6.831127556255507,4.712364351495417,4.005126007427875,5.074584810848603,4.4706258539941155,3.5192567695263395,5.249229553197722,5.761448742373091,4.847394511639237,7.045745603623547,7.110416831184834
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0095062427704466,4.528191791770319,5.038379243035335,4.54632630150933,5.198341478232186,6.120705584510622,5.741084559793298,6.097092016777773,6.69607784306898,4.888566619281749,4.131121413339986,5.637607240955141,4.546753720877987,3.804402551265804,5.519767490627248,4.617239260248729,3.5678756505662976,5.764630505161051,5.670566708153149
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.287570275139474,5.6873686385871425,5.205455810632555,5.636199292369431,6.576162412376712,6.099251311032885,6.285177247727599,7.120811512791697,5.317241019823291,4.420746682831734,6.0450687285820415,5.227671520526571,4.5705805871995935,6.253171861909418,4.8366498953175086,3.67290005636918,5.869879507797722,5.6249495786470085
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2346115307767267,1.3634701880411624,2.4312702130525645,2.6990816192479437,3.6610793997295428,4.536577260337008,4.0682163505908395,3.6751643910088925,3.9800867315058976,4.610888069741321,2.554485643151283,2.808698726267352,3.021954146742121,3.050706828609148,3.369838424031512,4.00623261834033,4.622436841060897
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.258484682242849,2.7043614156138913,2.6293850821766376,4.188853584021493,4.90275450079496,4.599490939408801,4.545053546332903,4.773129945552238,5.5462083758148,3.656782755322072,3.980003615349722,4.139098028784505,2.9656117574748317,3.4291601139182504,3.564910889638773,4.122881121912058
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462024462707189,2.112888977339481,2.3615113588835537,3.300421185069889,2.8383821048916684,2.3535261901443154,2.7965341900801026,3.305032954433509,1.475392708291096,2.128057401297156,2.1263554985535573,2.4756106473743356,2.899658531851734,3.586475846787672,4.296095620602996
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092758130398011,1.5486983731625912,2.212671132433484,2.1688679875254704,2.4190875726953487,2.8002066494031768,3.3951664209216443,2.4491773571776,3.2796527786441816,3.072383511727634,1.5289559458145947,2.446730658011441,2.375284480557563,3.210116278889218
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2136438833146017,2.7748105353598946,2.389989776623991,3.3503437477362055,3.8578359789479126,4.21254646309857,3.248622686608654,4.143572395553681,3.613135574134765,2.133679492298119,3.251483563242171,2.4111697293638366,3.363323402537692
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942694205674983,1.0964439104541295,1.5376829999520965,2.1701652593417324,2.2096794386536933,2.409053598941728,3.3543798074457434,2.875676609782891,2.5304363490609196,3.199858747444145,3.274421646842761,4.036356331114524
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7688616781405069,2.216182610612088,2.468156982000153,2.7164521395291414,3.388376228682021,4.2245370069758135,3.925034359578062,2.627831383752658,3.249811569772987,3.07877739944563,3.7129702245111047
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1814641268841664,3.0714062916510287,2.4725715229745604,2.8014977000065935,3.8608626226336167,2.8463473141887636,3.4209829343944542,4.227955075096384,3.9666807537661306,4.82483312214425
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950106288536974,1.094428968451615,1.535079335018756,2.2012256376366652,2.1845501633960738,3.207400950687614,3.3651897699930817,4.312940370589534,4.918783377974169
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777583620028333,2.1618403548298812,2.401313826893203,3.0549657727406365,3.0462629334652687,2.8302012743495633,4.2177735801901255,4.624946655678174
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.199867926227885,2.7442250293129162,2.431544847674783,4.248647326902967,4.398292410094594,5.2724540721926685,5.882465611815429
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0920196253857488,1.1002925725497554,3.4574678492560613,3.6178817196320323,4.669528196537572,5.330650949396472
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7820676720501945,3.9762479889603837,3.8179698429539775,5.286706115431378,5.818031287465978
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.329544833099436,4.648370803583923,5.4268164254701174,6.181385208000658
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2116514003040642,1.3529307293324462,1.8763732206164057
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2540394153769316,2.2856285417136752
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761959808154507
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
