 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,H23,C24,O25,O26,H27
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026710772437678276,0.024848159815509696,0.0003864669474271665,3.446549808239219e-05,0.0003745303168443126,0.00013447128512900086,4.449265708506012e-05,1.4785531812888664e-05,3.3335544686874385e-06,1.0819850468912762e-06,9.621658061398364e-07,4.44340998662085e-07,5.202311578367258e-05,0.0002099198103935329,8.091624599471103e-06,5.296165887180848e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026200683553973203,0.008646226104677135,0.00048687007082715006,0.005867831013495861,0.001727833417209057,0.0005855932841674072,0.0001530236740745483,0.00015660916277804304,1.8547658422463087e-06,1.4250994929909666e-05,7.800312835870571e-06,0.006390581072266421,0.047354746160062744,0.002737203757804174,9.732465852474448e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017061970396472503,0.0001561691933431586,0.00012084067401207932,3.693416592120968e-05,1.9124658017233287e-05,1.2009032162030309e-06,2.0501689268481726e-06,1.7464424240110077e-07,1.1178726841976072e-06,2.2333916049888103e-07,9.281466292021534e-05,0.0002672429545237387,1.6291968792936373e-05,6.545030500682003e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.719611438865319,3.2998186191248773,0.13510631508720106,0.26898682930499856,0.019533954947318133,0.03330152818627208,0.004467413778615148,0.0009549914463047315,0.0009488565919479885,0.04223743534165941,0.01027563195744588,0.007274556647532016,0.0011082350278827091
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527102323232636,0.025362486501195214,0.07390886528813506,0.03200938598273051,0.009463363426725435,0.0012137486491464733,0.0006657327393020385,0.0009655247495261587,0.022361985981706356,0.004261155645910286,0.0029660987995775157,0.0007083381694200641
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8503159232353177,2.6684621017748147,0.1039271711192239,0.18009124382348152,0.02711347575723977,0.009525111048187984,0.007357050484334993,0.19227149923302028,0.029752756780002373,0.029254452874308765,0.005233270755270247
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09690638336040502,0.025790642412934828,0.012974073981969814,0.0005237706991723101,0.00037612975899170564,0.004774294668166368,0.004078527328097992,0.0032493798321623357,0.0009514389046577643,0.00024392118094773707
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097425862683453,2.5190891081144438,0.09306301361951141,0.09400412264445235,0.08689908744388153,2.5128682309263177,0.2648272204272189,0.21660943229323915,0.05408956572589685
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08547858446806778,0.004358228567195921,0.005516482575324888,0.033524415357133464,0.10882283762628187,0.028855609589446773,0.01189909782727916,0.0006065197611992978
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.780328224138024,1.8520392004487938,2.1954462448376155,0.19755556471378652,0.04141031130111514,0.028695358221284648,0.0019647923349080942
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02644600560184429,0.024599753529453983,0.008536431309384307,0.0014771317028794417,0.010375709528089638,0.0002064794314877716
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023930698622668833,0.030851328157866398,0.00581528709968715,0.004166578727772041,0.0004252255140055894
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009858847970250162,0.0021228050766096684,0.0008079697867089397,0.00015896784070656977
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.036039304372946,3.069837223374404,0.16379539400574727
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5047712109987159,0.06762488639428144
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5872286800729793
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
