 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,S23,H24,C25,O26,O27,H28
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241162626217839,0.025070449673983308,0.0009772022496628008,0.0003809334759705685,0.0007835569134662101,0.002325124937535339,0.00013127815060531844,3.650566680812872e-05,1.0358730058168675e-05,2.5779786565482965e-06,1.4950627396093097e-06,5.7438549054822374e-06,8.431628606420105e-07,5.621597090788022e-05,0.00023310714770241603,1.190768987391344e-05,4.155471008626677e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026959944621282483,0.001588460550899562,0.0005962135721334638,0.0011455556359900587,0.0010090964092159815,0.00014809912986679663,5.276872504689223e-05,1.9530906292031247e-05,2.50564052395319e-06,4.210129656456729e-06,7.236552228118143e-06,2.387388055247186e-06,9.203218947617664e-05,0.0002538614700894337,1.2895390898881587e-05,7.713668896736081e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005286464777401134,0.00045929339725558904,0.008097886902426632,0.0033930717423957812,0.000708379958423544,0.00015043326999708562,0.00018520106136077352,6.863280490376766e-06,4.255154272714279e-06,6.294913676507807e-05,6.017727290918984e-06,0.006023374662841974,0.04256113965404462,0.0024182013039064643,8.975212914230646e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.813201003025837,3.457125471985032,0.13881156134665984,0.2687314999444138,0.022779579899936286,0.034358281967450194,0.0008664795888588817,0.0038550932946668226,0.008329020825105407,0.0014174437886200764,0.03516811250999363,0.006649358582550335,0.006619441313859498,0.001099410227890285
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530325956386428,0.02732274819697811,0.07292668155122037,0.043777950325328385,0.00901088290299408,0.0011486535629969818,0.001196529249235967,0.004644382325641835,0.0012007258142960886,0.01367458952716577,0.002122317449708408,0.0023367656876666504,0.0005975032908361877
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.888228361179449,2.9136397135490273,0.10422746296049523,0.18053872403420523,0.006220431366426471,0.025010059233934623,0.06901954313374642,0.010415933136159072,0.19851305430715932,0.031906252170436966,0.02993246459760536,0.005091384832868084
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999832974861278,0.0317793980703549,0.01043845928675402,0.0036560303138164496,0.00025907972617922326,0.004054049423061978,2.257474379363522e-05,0.0046598685194650935,0.0046954925227611355,0.0008460710840264563,0.0001786392485487731
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9680751633474234,2.7780591786518807,0.08576583611475397,0.09769259072852066,0.17465645249699874,0.01936219361289071,2.7434091657959456,0.2752840280822165,0.2207669298409834,0.05435145335583691
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08439777569994644,0.032814806689656306,0.005634236201593312,0.014602433185602726,0.000515819707562315,0.10730655083453344,0.028092481264341607,0.010861011939129472,0.00048136482670479985
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016009646668185,2.0545588547012272,2.8400320161114885,0.05475006145245742,0.18936416491172028,0.040816987026856794,0.03197473491372317,0.00227566494612641
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02517806633837627,0.0914949922322913,0.0009094872071118143,0.01059306482829081,0.0019589810292920395,0.0009174622073904182,0.00018302516475388053
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08059539164900187,0.006918985152702284,0.00825555941513234,0.001452606110385557,0.013416392147140188,0.0003166366942406462
S23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9269506429952814,0.04425971292526898,0.010965273183326116,0.007634352655519962,0.0006906361304843678
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024832189279775374,0.0013426949501613716,0.00017276267659993572,6.296147209017278e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1327749214347484,3.499232145423833,0.17091354442473372
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172149982892432,0.06382982535184878
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.850252860317204
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
