,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20H,21C,22O,23O,24H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2260935596220266,1.3747410670978415,2.044142837144954,2.439202402892818,2.565769955951471,3.7284820747632703,4.567604015340501,3.889957118914406,4.118331946760306,3.1193596245653037,3.200653928228915,4.288783086028175,4.863365942381518
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.283056626297036,3.1523115787469194,2.7833119967034987,2.42551026502387,4.194301193475355,4.83158400667274,4.350963872936067,4.813406657175388,3.3510785965917385,3.5943726320151703,4.25978811246164,4.82978837443951
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017313494074396,1.4490130522431401,2.0598710425859816,2.4685498923319193,3.411038923443417,2.714147008678812,2.7547351014611006,2.4396941968114194,2.759268752784677,3.6316497463912625,4.312099719227426
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1092376942058433,2.9619783434236675,2.7113796424968553,3.7326718914203094,2.993086867468536,2.5802668856433795,2.8192247273315414,2.863434821120922,4.079629148339073,4.660316225530362
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938227309832613,1.536061459305768,2.1756946334466467,2.1637370893841625,2.185807224852251,1.5347795624552187,2.448288813041062,2.3884841006619957,3.224020758038415
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1678343039746197,2.5110089429924027,2.497989150886787,3.084885865099631,2.1273792496872477,3.123752700483398,2.597950252422601,3.4861179867658745
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0932401294471887,1.0939494789911295,1.096763416744738,2.535442182391385,3.4792524907952656,2.9511715194546864,3.8207227348102495
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7804740255881792,1.7746501439739146,2.7729091048608305,3.8567438879959455,2.6514545286699307,3.5198561053664674
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7753840667655496,3.479355450934906,4.398887289337298,3.929751593910491,4.843550905474159
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8135222260768846,3.470114878449931,3.362583165167671,4.063311322969035
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2126071311482645,1.3512337949071231,1.8786251692265568
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252220256018348,2.28742459981994
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765822206307282
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
