 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,H37,C38,H39,C40,H41,C42,O43,H44,C45,O46,O47,H48
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10307094595838517,0.008926273119632011,0.0014053133700882015,0.02483157830657068,0.00033336855790166986,0.0028421958828797056,0.0008039118710596593,0.0001227160148833395,2.944277935679196e-06,0.0011107721966397976,3.2973381884460196e-05,0.0002451901882185581,0.0010403388247843814,0.0006555205361916672,0.0003335466856477787,2.9426465387949463e-05,5.338138275390314e-05,7.809365944133617e-06,1.2495900788778158e-05,2.571929791361782e-07,4.172646773659139e-06,2.016884373090555e-05,9.97928178361196e-05,2.6930891425802628e-06,1.6789764359259607e-05,2.8033114940484438e-08,0.00011077104161039131,7.74300267147865e-06,1.1706688794799192e-05,1.2890825582534404e-06,2.4380107652710592e-05,6.911608507909062e-05,8.507644327027108e-06,1.6630803722161858e-05,1.21019364907049e-06,2.980785417050491e-06,7.516668101281709e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1335713436258885,1.8416219769616118,2.6759813757091706,0.08907623287338406,0.2762531327683287,0.04142200285640377,0.015020050882767033,0.002282430699295346,0.04731559581248988,0.0016140393894258365,0.0041417248408498475,0.002203795653030971,0.003895707765835685,0.0007005249363395416,4.622128874498532e-05,0.00011950798531595863,2.900289462515193e-05,3.260038739441584e-05,2.179501932486616e-06,5.265758859174241e-06,3.3480038007543955e-05,3.4826907988200206e-05,8.8101073569824e-07,3.804289860233345e-05,2.0073006703480445e-06,0.0001129010885074222,6.213725212145249e-06,0.00015993696206317853,3.0886412115460615e-05,0.0008033760410788848,0.003285128358552575,0.0001796798096337371,1.5066471759889177e-05,4.503028499455719e-06,2.698995886660227e-06,5.689249861218215e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02958966928653517,0.10246858770635814,0.01938928859637956,0.02005600785096573,0.023196864798058492,0.008231116841416197,0.00037326402312087836,0.0027902783528586106,0.00017969396636718926,0.00010564171220606156,0.00015601232184159208,5.9523251668580635e-05,5.274952436007396e-05,2.5080861054682657e-07,7.872621047066986e-06,5.630917452315032e-07,3.1422100725819746e-06,2.5877467502155582e-08,3.883202084331572e-07,1.3853645450812024e-06,1.9570590485962214e-06,9.188545391225489e-08,3.1465880669934165e-06,5.095310366964867e-07,1.4126187059870787e-05,7.615826416174087e-07,3.0271067987031053e-05,7.736443863093356e-06,0.0003042588091994869,0.000688757862384981,4.215144439889684e-05,2.0534606559596824e-06,4.721592203882352e-07,2.223015213020929e-07,4.890709570659624e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10780892688338128,0.008262546385018998,0.02338334237754669,0.004171656067712304,0.00018356449713552436,6.670247588225209e-05,0.003553723013846266,8.143723781417478e-05,0.00026289403476531525,0.00034711947897747564,0.0007209484516321751,7.424920692411519e-05,1.124961086884646e-05,2.041088069582031e-05,1.0535755517127043e-05,4.9137584472447315e-06,1.7340417302058597e-07,1.3623274965901544e-06,2.78868310710223e-06,2.4117471667528534e-06,1.64915226807949e-07,3.941749593394661e-06,5.342567610533422e-08,9.078623799618768e-06,2.529823583508062e-06,1.2838402252968173e-05,2.6358924913871817e-06,1.929421794333308e-05,0.0001872080430033174,2.045915089521344e-05,1.1728598514615385e-06,7.805592981968701e-07,1.1073437033992661e-07,2.0700608338586335e-08
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8105175670746227,3.8655051431127205,0.37828135002110475,0.009629022867703063,0.0271250574061771,0.38708472257801585,0.011191213890255569,0.029652066787037912,0.00029100871205781087,0.0003525355742086539,7.203309382376732e-05,7.828469294701712e-06,2.6220550254058006e-05,2.727667596458261e-06,2.7202741122056562e-05,1.073854271727015e-06,5.730563906625186e-06,0.0001979871810650624,0.0001765059832862792,4.321812310026374e-06,0.00025658042989337715,1.5319875704689068e-05,0.0008976390986174809,5.712362757215317e-05,0.001526933982860551,0.00034344034462696627,0.007947017517245497,0.03381106665231566,0.0008023458947971074,3.454395251206721e-06,1.2261144432812454e-06,6.554232555577855e-07,1.8106113119920053e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162204751174842,0.026442246140045866,0.0010414898260424632,0.001900184394603821,0.012262015199632548,0.009428060578625663,0.001055891748974691,3.0443309866012846e-05,1.8190587310118467e-05,3.897969246269284e-06,8.750664670653663e-07,4.182030029609152e-06,1.2278441485769065e-07,1.0304902483770917e-05,3.4970044793247723e-07,2.1369321547837217e-06,9.25816070995733e-05,8.081645471480492e-05,1.869747983129777e-05,0.0005248441430967254,4.733016954339142e-05,0.0010279781803287369,0.00020560032863281563,0.0014868962260016216,2.715466874469996e-05,0.01703133092760767,0.10443447598096389,0.0007659156020261015,4.815844092398436e-07,2.372144561890721e-07,4.833766920064875e-08,1.556107243061433e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6574331032574987,0.1504109055155639,0.15215021300319231,3.6889512931784507,0.1518910567856242,0.15292615843342094,0.00011086467290163937,0.0002062865299067851,3.053838423586197e-05,2.246288551721598e-06,1.4870746113476718e-05,9.79679268153788e-07,2.5762702461656906e-05,1.4956182954328767e-06,6.936558292425232e-06,0.00022324423232197854,0.00040342540474347377,6.702528130064778e-06,0.000512244043198995,7.254555814073527e-06,0.0005293156008903677,1.5708329614616545e-05,0.0029618757903620563,0.001015452196431399,0.0023470846969810832,0.007983335793672414,0.0005871659869588486,2.2094715101395046e-06,1.0830129484884488e-06,3.3323651423000644e-07,7.09175255186878e-08
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9271053140513332,1.980552775678627,0.359651857491046,0.026217916448676437,0.012593572085950577,3.9566316038464056e-05,4.9118587109389655e-05,1.0691488671846217e-05,4.240850338677049e-07,4.6126337483465285e-06,5.785661559842836e-07,7.384230148343995e-06,2.5576172013597187e-07,1.6631582228088249e-06,4.986767163671357e-05,3.5546203536948595e-05,2.1254514362967214e-06,8.520524253322059e-05,1.8487525133004112e-06,0.00020395891076846473,7.989554675957855e-06,0.0007237658581049633,0.0004726058294340918,0.0007794634968209674,0.001850139169924818,0.0001787661593085632,6.370045217973797e-07,3.7458539967061277e-07,1.1677280310762317e-07,1.3180125324474545e-08
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037396752618290785,0.02899122994001968,0.0025872139240290526,0.0006827825554736044,5.3791337942921125e-05,0.0001736583696243521,1.6183043463735558e-05,1.0556861074206836e-07,2.8167021757230515e-06,1.307140168549381e-06,9.485782352935956e-07,8.665835360410767e-08,9.43483979831683e-08,1.8208266941988072e-06,6.509992041769941e-06,5.484902481089904e-07,8.226702142621889e-06,2.0107215159548275e-07,1.2869259848224956e-05,4.329886327258947e-07,2.617695674600462e-05,1.4292199383092452e-05,2.9357926952133795e-05,0.0002430704593975319,2.842232502198172e-05,3.490274597117704e-07,1.410059573547784e-07,2.202267046502726e-08,7.375953181565365e-10
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012310875463652393,0.0010388865462243047,0.006502252063883551,1.9470177080593842e-06,3.3489582412782326e-06,3.685411734677402e-07,2.2804664823183884e-08,1.5291757549107388e-07,6.549360520580194e-08,1.888102166835992e-07,1.7469613977638687e-08,6.651595652051867e-08,1.0747755280204885e-06,1.7814654403869312e-06,1.7045760136724653e-07,1.9519924940869515e-06,1.557632371973483e-07,9.598000205945922e-06,7.058126758607841e-07,3.937054808722529e-06,1.4814727735679156e-06,2.6722279291568896e-05,0.00025172912407045445,1.3588342392401032e-05,2.2597203885865724e-08,3.4093441403371116e-09,2.1507526870578886e-09,1.0355387658478321e-09
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7545311525059324,1.9559977292367061,2.8763712964230415e-05,4.070572793445082e-05,1.1832329808281195e-05,8.749135842478495e-07,1.0364437522641934e-05,1.0220749206979463e-06,6.120815433077742e-05,8.348449395789714e-06,4.661547150730527e-06,0.00034840524065447853,0.0006287941301205136,5.9626213562036234e-05,0.0012451868375550762,2.3055653189385517e-05,0.0016200778819528,7.351249490739065e-05,0.008186310197984284,0.008748658733520931,0.004894038554659003,0.05830212997916027,0.0031683258329122665,2.0522030994563067e-06,1.0814512840101598e-06,4.4850691062470194e-07,8.196944878413603e-08
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03959399242690398,6.137138374162632e-07,3.148176634937272e-07,6.815235416013365e-07,3.2495000890087056e-07,2.8718540495686895e-06,2.442877415909095e-07,6.578201791929139e-05,1.6622946277466966e-05,3.635314087313546e-06,0.000328728405177503,0.0006187291508762405,0.00017539913486985803,0.0005112054097364815,3.997124443877453e-06,0.00411620674798896,8.491662528231636e-05,0.0036856428850469136,0.0036626313515970566,0.012003951318941497,0.17802113124421093,0.0023205961481476134,7.467830612783999e-07,4.5251799851708796e-07,2.505903411442745e-07,1.1817072431696829e-08
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1294269113857354e-06,8.773385833382719e-07,1.0237119919542792e-06,2.0757349394884272e-07,9.599057482212459e-07,3.575058715732382e-08,1.1109687944377278e-05,2.077661690025323e-06,3.0033883580138365e-07,5.032478348931946e-05,3.1858074580837226e-05,2.7401733033727282e-06,0.000143466938520187,1.0469555603798142e-05,7.59060692739899e-05,7.897500154063763e-06,0.0006963110635846981,0.0006680628819157874,0.00027529108627233345,0.001362996720459475,0.00021437097969889685,2.4612563487291794e-07,1.22641520938771e-07,7.164933835124287e-08,1.1914187414419075e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.861031868667587,3.7017485468073343,0.14513709796034258,0.2803571457936922,0.02698550859522042,0.036807334300988565,0.0006956017021724215,0.0037823009068005398,0.0064053097251237645,0.0034633335537972154,0.00018845139995371518,0.0031123869949808425,9.218917376996316e-05,0.0004260179903344541,1.0956352811231085e-05,0.000531927364474355,7.478559000073659e-06,0.0004012563236721889,5.846163816401739e-05,4.452162679191574e-06,0.03265837865708804,0.00465782961383443,0.006374038926655695,0.0014186997166314441
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519533755885901,0.02206320403566553,0.06542634023552649,0.0490691176887772,0.011299235548438105,0.0008833560665145734,0.0016962283976890147,0.0020263624070015612,0.0018203475293917665,0.0001369426164922194,0.005042779549688292,0.0003217787356954993,0.0005632050444879938,2.3319253276143925e-06,0.0010700417146012747,2.8753450835861116e-06,0.00014941366496783182,1.391339391234453e-05,6.341459836134433e-07,0.010704479557667873,0.0029382451536850013,0.0017922393192267155,0.0003861803786268103
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8728869518171272,2.768956404152246,0.1008689978793601,0.1798508322695077,0.005447029947060367,0.024722326539310613,0.025038275595952342,0.01246504568051865,0.0011685745702705308,0.00457288634949618,0.0001652285923672281,0.0020994765238690205,2.3227061127784054e-05,0.0013836596052604344,5.08683103128682e-06,0.0010715539377048333,0.0002215886513911025,1.4130265540535092e-05,0.19264056926763662,0.04103078295093167,0.02888789795150029,0.004956904863540834
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09856864306527569,0.029639745036979415,0.004456498519226804,0.0018606564268845993,7.082824584836445e-05,0.000572428090292898,0.0008397357813274553,0.00041259510118329956,0.0001998819761205306,5.807696984616584e-05,0.0001228797912359303,7.014842147157196e-07,0.00015409490604911813,4.02936666255016e-06,6.773592686803998e-05,1.0721804230007237e-05,8.590400366603745e-07,0.01298859236155614,0.02813091077826191,0.002205136400845409,8.464037951672054e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9580182059920634,2.675761327722195,0.0804750063145816,0.09095142192762107,0.17341037222644262,0.03840326062947194,0.0007669740043232398,0.034767208651609566,0.0015373321075937696,0.0050795487777731685,0.00024247530400778317,0.004015647669360439,0.00010892006635598861,0.01156024700674324,0.002034475518847001,0.00014988009273930736,2.4670889256375217,0.2750982798383135,0.22546393269454346,0.053358227024238425
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905533504942885,0.03007045313932344,0.0058088944664222986,0.006977404749605398,0.000739694300401994,0.00024796826840445263,0.003906774452649198,0.0019154394373566141,0.00035438057781511656,1.1036171313483223e-05,0.00044849026282023363,1.9130628059471633e-05,0.000245420233052851,4.8248298423869684e-05,4.029750803269394e-06,0.10371330071057283,0.02686729058488324,0.010514568947788128,0.0007138336598087047
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0240639748372593,1.8727250428816449,2.6372925733796864,0.24347620880585655,0.015491008352800484,0.23101256639450196,0.013218052080390175,0.03456154703792472,0.0022125502825720567,0.03714661432676958,0.002281602419292428,0.020212376426296003,0.004776249136284091,0.00036926392716241097,0.19150888732447205,0.04253429973489231,0.0320076078066204,0.001869219935023314
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025494328610658368,0.09860200910888794,0.018893799917779397,0.007831836425910454,0.02378128379279898,0.0008226697347459844,0.0015309490592269048,5.7730471488603996e-05,0.0028701376286555114,0.0007309385686178338,0.00110138572880647,0.00022539546129018984,4.683635171476297e-06,0.013394670630000771,0.0027567068177299925,0.0010836008402631547,0.00015567478843436788
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09818835097406953,0.027227912046565717,0.00047375952701900204,0.015858804356067235,0.003018137716178426,0.002789023731879503,0.0004424812132985956,0.0016992437883147637,3.7494067235632755e-05,0.0046208420218369906,0.0007634974341285128,7.026010938604443e-05,0.007264454587350144,0.0013230797015464368,0.011656869758163269,0.00024679444497510694
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6776779313338888,0.12466161147000632,3.790898174416586,0.12754669683085718,0.3224800327671538,0.025408333537392247,0.3295354143566221,0.025693600813662787,0.27506400685697663,0.04054382787080062,0.0030812953181543756,0.0268916102295087,0.00740156864652626,0.0054515304264118325,0.00039727917756937625
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0448764092584315,0.34428496132679043,0.028656131290392794,3.6693973167839853,0.12834163977938506,0.30816544856737305,0.003964098140718297,0.3541785846260771,0.04274394197397337,0.0026572029558250554,0.00628140030291327,0.002082720986448655,0.0012783004298284606,0.0002291720460003699
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028884794314087414,0.0016113185468367153,0.13244216941805198,0.008483912412519778,0.0035200629885909773,0.00038322124103618016,0.02663414657833485,0.003228251166806362,0.0002081239220599329,0.00017652423082537005,8.25198877059119e-05,4.187309402725603e-05,1.7153666078684182e-06
