,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34C,35H,36C,37H,38C,39H,40C,41H,42C,43O,44H,45C,46O,47O,48H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1468960274559623,2.3479895576825895,2.6576464156259436,3.4087464722430383,4.079326781167806,4.129239411699164,3.958093614404975,3.1692573405086817,4.8632442366130055,5.435984968894991,5.8408568427997976,6.0793746985073405,3.7763271500412494,3.7313732287881245,5.033148813324985,5.303159427580089,6.207282448447975,6.055485146828332,7.013776039779665,7.48422071264828,7.894737326435037,6.421969746061184,6.2503832712121685,6.595244174369269,6.414286630730671,6.872689394415766,6.035545737496266,6.229119606057608,6.217968687507554,6.559833562027812,5.99567652978303,6.138647126712181,6.692415429112757,7.283317405126247,7.433984836581238,8.31912086706574,9.02371870544624
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954776528663972,1.0947088170646868,1.4741613890306373,2.1645548251843523,2.487523267836811,2.8630163612132917,2.602230469847164,3.8677013287507616,3.6972275070495666,3.976342984705048,4.523389583597648,4.476867414208375,4.297175067562323,5.5697379788619585,5.923006044634932,6.5539100707569045,6.384706367861249,6.91897685656862,7.4330053250167305,7.758351423703295,5.913371775489449,5.550031031213222,6.088387789391359,5.686069260571952,6.310166099929284,4.89049026053359,4.985806391199361,5.057009040162812,5.287666461672316,4.595788666370941,4.355919472442775,4.861464044727711,7.898749720672731,8.263110162788271,8.841519515490623,9.671882534132337
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7515550697081208,2.0803657421074093,2.9429879698790047,2.641556450850459,2.5980949455494793,2.2586220251515083,3.519943286722297,3.900641359553135,4.372684097136412,4.629266160365659,5.297195980499707,4.981880424539767,6.4804452837291295,6.867482452285024,7.448402459326802,7.185798673426979,7.895501051802096,8.458242900450907,8.695325180583756,6.907027137603973,6.61312988905006,7.178034662751552,6.567034002560213,7.103451166456353,5.922701832548679,6.013756604325956,5.882538170201754,5.9591049834842895,5.505380148428416,5.113881727286574,5.629428317488571,8.766002398378376,9.131360701047251,9.674716024656002,10.499963846910315
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0697860708581697,2.347899230717273,3.278579954993285,3.8437418742753886,3.6655574648927916,4.829212791152977,4.315333579186713,4.389683916939259,5.238326092765682,4.956329995728637,5.011556547962481,5.914295726602547,6.10315371144673,6.988844810567175,6.973889012195053,7.237513941343012,7.612481941926714,8.146319794795229,6.194674734269401,5.587825373449441,5.993810959101833,6.1392136067452245,6.891926312659829,4.829410539992759,4.684300627238541,5.473325002769479,5.819532389748042,4.74726274343371,4.418931737819168,4.7145930521838535,8.311462802371473,8.583873905389078,9.334830096960129,10.141892187411365
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0158100595341426,1.3333495368787498,2.327922684930908,2.5816765723898043,3.241204741680833,2.3158752201774613,2.5085814387054532,3.2157207619473884,4.690215739336783,4.329377717836026,5.634567653960801,6.125984667354078,6.351863990557467,6.0966230677806035,6.463793170765075,7.074197564335435,7.184822865865784,5.263873583941364,4.977341884950282,5.716741061495685,4.784457051007882,5.415536785382858,4.1361539160481335,4.368139777413771,3.910922355543554,3.9946557867932837,3.498228106567958,3.0889170462146316,3.724857445723006,7.815383384373959,8.367113547193048,8.608674359626287,9.509715617301449
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9960877246612962,3.21433125014018,3.5588601798108024,4.039485876857958,2.461799062468763,2.2212349965674885,3.429697193906305,4.798128833004628,4.593988592858774,5.536205475734355,5.9623195587512114,6.196054817201874,6.058779934666696,6.078711234352776,6.610229687044519,6.809608812677479,4.763056233701399,4.299784735828585,5.041208591834817,4.366694205768692,5.143742789040694,3.2913939500977016,3.442460171738787,3.388568971735387,3.61303517016138,2.6912699225621703,2.198664548368691,2.754366380639337,7.687996082268817,8.252379734583752,8.481524947566573,9.390557001240996
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3458262667568268,2.0517557595746965,2.0517145072211305,1.3443342491619052,2.0381133014210566,2.045386250651057,5.257999461587686,4.599855397055661,6.235211795775013,6.881948231971706,6.738782333374312,6.28102375955597,6.866557808582428,7.624310038660233,7.428863152940369,5.676604770923788,5.65818328063008,6.532937309720025,4.8861753493594335,5.304945156876845,4.858658479227962,5.266379142999959,3.9350058178268967,3.660753144200269,3.8991407938779887,3.411567540693455,4.198763932777983,8.208714839806428,8.89245821514456,8.83599230098917,9.76674990605991
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097807799562515,1.0101418214926865,2.323864325259512,3.2384214732942684,2.555508188124631,5.510620765370506,4.682612875774159,6.644757905868456,7.347887938754418,7.161594930844901,6.5728314197155004,7.534646656359594,8.358385902263917,8.059707141566076,6.514244662443176,6.660796801078665,7.512562279527132,5.689072630134471,5.9167357588294145,6.023058635018101,6.483430557778801,4.928314527423681,4.570763020958671,5.103155709908781,4.736930259465826,5.543006723736488,8.542719768757587,9.206929003514112,9.133498724486403,10.03325583870108
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7201926522647861,3.2262538769652576,4.060067346400938,3.5041969971523184,5.040860604432698,4.233966715360122,6.277165347143292,6.9495814883223,6.912867028553975,6.338777665601029,7.477773455041768,8.275183354376814,8.062666125896667,6.598381188529671,6.76165496053398,7.5280186087736025,5.91474462735878,6.12414022226279,6.265991090701346,6.72001459474146,5.34456468625346,5.1337312186241775,5.517802227323065,5.320726602144682,6.114802255564239,8.214731536246163,8.788505020106186,8.8751862335261,9.731321705999283
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.537471384315543,3.5495334792066773,2.374267553442307,6.241311241160656,5.295842354164058,7.347368997118373,8.116344741053503,7.725677500490565,7.034202535750623,8.085130341897074,8.974888265178238,8.502280031105546,7.085144794959317,7.35315860109754,8.262568999417649,6.115449484058683,6.204305725385129,6.726062731965034,7.248009056331538,5.342569713042865,4.798523134683617,5.6812563197313155,5.27598337106803,6.108818861067357,9.082923251992977,9.819079102800469,9.555004325312181,10.459830398211038
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0193482645816851,1.0105643398762234,6.061417485288811,5.375703217995734,6.859590274900997,7.545583141357647,7.143322441133394,6.659881116231186,7.0202126901442865,7.806736059732642,7.446132622833109,5.716959862298924,5.741185249343903,6.713084664662407,4.733075983468758,5.118588722821986,4.824458165049048,5.277710072705769,3.562120673866234,3.0134861468432126,3.6129986410991095,2.9055043846321977,3.707910919595945,8.645977078932447,9.444560618242589,9.135456092813408,10.098426422174802
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7326213267192376,6.156176887985641,5.619450796738022,6.795833209009651,7.416796666426096,7.045180409815664,6.678633489585408,6.7151993276679,7.423773924879733,7.148079291145128,5.310223494163191,5.188910985942074,6.156793258511884,4.392684572270708,4.926795227382804,4.139802420867852,4.531551346039458,3.07990162202936,2.6325855529432984,2.894152652744012,1.9838424541624078,2.7458322926241636,8.568603557939841,9.36681327807565,9.069135624878655,10.036248472456707
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.512826743640909,5.684584949897614,7.297144048631146,8.067009987972474,7.425611771682145,6.820899373168928,7.319745906642879,8.1893104141327,7.616119969536884,6.0872023688620125,6.306483618717962,7.329293319427752,4.942010956718117,5.127720458497514,5.496859953231605,6.059290777081738,3.8464993958156137,3.058541889902877,4.19940076924685,3.6165939328447823,4.445741279130649,8.892226752107952,9.7702653125159,9.248910985406226,10.215383248965109
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2325033904274487,1.3552869547021358,2.023072436289258,2.464042042388803,2.5119275549825653,3.5296592043854145,4.033503770056217,4.3844903559867605,3.53332132561017,3.887677367066469,4.140313953366404,3.939732269887091,4.229667050770342,4.5211857157712165,5.154185103282574,4.573287640901668,5.253403870885077,4.805938620585024,5.77583437853047,6.402175107895973,3.531793389342981,3.852437951913035,4.588190554937668,5.313690046704356
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2908975493281343,3.159474462830536,2.8539052855399385,2.393608286534391,3.8902903421810864,4.646425285800472,4.543330802467588,3.7388541989367625,4.33999392341219,4.8468805254439475,3.694310887864373,3.77368964899958,4.803558066171986,5.564222213532774,4.232147992262053,4.688676317199747,4.728404042156354,5.60179148079579,6.365443054036535,4.010801715051642,4.573386786244601,4.7942981562221485,5.59684988476839
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0160759645725368,1.4437958549652916,2.0501388002575567,2.5016115551297027,2.8193959720974457,3.413940017918365,2.943757349015464,3.377722758572143,3.4132746858424086,3.7401277337925,4.034491947219918,4.376018285844456,5.036372211993426,4.667404014559591,5.495782087159803,4.911035919714493,6.089112588949103,6.621596446146996,2.4260211288962603,2.7410235589837257,3.6041175418531077,4.298012913240937
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141366559807012,2.971102224880588,2.932074447723299,2.863232575346918,3.9099833116274434,3.4417372636868944,3.555294652601359,3.277567560921825,4.4624198174908685,4.8742021811664715,4.595998688076053,5.078801307665801,5.337673666003995,6.248346799135839,5.369647825605617,6.529066119247817,6.943201525704773,2.693672304671538,2.5946110250341436,4.003990865450673,4.543714533195228
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938227210298437,1.5620381217917734,2.177972132009682,2.1663662920666775,2.5462637456725514,3.482728151309021,3.6495787885709077,3.2546999869242335,3.2537464195991546,4.650786406202413,5.489803754559828,4.481807016887112,5.2461669056390505,5.040326939370231,6.345649393874931,6.922003753962678,1.5279525819875597,2.4302229196483514,2.3752843902491576,3.2169708929422907
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181796143094156,3.0733228395495025,2.4647935550089017,2.833181039074072,3.9693516317922883,4.380621635151148,3.045673588462808,2.7610906965949606,4.949847341122577,5.88605363804778,4.240448694949651,4.817000573621618,5.039107197554166,6.270603537545566,6.966209720944759,2.152941784981188,3.176819817333279,2.5711376758106295,3.489091476492348
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968656879590715,1.0954311435320578,1.5109342080205017,2.533294024817186,2.737682020606632,2.5331439926813384,2.738507527022485,3.822385161300537,4.691923583123409,3.8187650919449987,4.6914078285014185,4.308804664342375,5.7025626154037194,6.1612024929997355,2.5203732617328956,3.397366126076195,2.9809787335608022,3.8162593346468405
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7632330126740634,2.1474417161670125,2.6356990541038425,2.3964208410346055,3.4147090612494275,3.764486745671435,4.028497048619322,4.713275988463485,4.576525772450686,5.533829199205465,4.807924400322037,6.192091751431848,6.507838205929947,2.68542038363592,3.24204920694033,3.283235453047469,3.923537738552448
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1632566568142164,3.348276828297189,3.633798419624987,2.765137680755799,2.61473558644843,4.547816970488813,5.475019766400796,4.128162086165483,4.850998780079508,4.845447699023325,6.22814567949271,6.7149428491776755,2.7513824790715833,3.7863933516694,2.678342493700682,3.5105792741334167
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4006989466372939,2.1560201017396805,1.401412636709878,2.157607785343087,2.4389114253626643,3.423020793239541,2.435235726495384,3.420086136131122,2.800830889748968,4.198232163279717,4.663490722498703,3.871724441925502,4.695467080570875,4.386347796216939,5.274884044126584
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867719411303074,2.404641300503208,3.393682039863715,1.3967737726879077,2.1615127369689406,2.7866651127982514,3.8718943351125485,2.404029079304956,3.697367452348469,3.921843536365831,4.740294041206237,5.3120968176622485,5.472245250905456,6.284934589106767
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.393122183274888,4.297449841943099,2.1458154415650887,2.4740485043324987,3.87338835641824,4.958535215613991,3.3854912749687713,4.575293046059117,4.651941720993441,4.664636334160841,5.019235158591446,5.515566463961582,6.214901177117351
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870303738207485,2.790686435103673,3.878937355486481,1.3934911551303277,2.160155136684732,2.404467364722478,3.6675524754036966,4.334936481279278,4.651945311680003,5.631758664165633,4.93868677501151,5.896729008257987
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87766709229632,4.965920198100947,2.143730601342523,2.4766057219418887,3.385960893839944,4.531991591666863,5.266083300832454,4.504599196992131,5.609246908524775,4.528518374346652,5.494407673449262
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882533085270985,2.4246443192208478,3.4049085210660794,1.3934667729347257,2.4362448853133145,2.551973206289424,6.017369571807615,6.598422025144045,6.741801478960025,7.59502876346564
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.411973092277588,4.30428368399892,2.161407986490248,2.6902993808615174,2.4409364284400277,6.788727635726956,7.2346882439969535,7.606778027284336,8.415048269131512
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0855110947344948,1.3936493680355853,2.392607701443754,3.1549375739668455,5.94727024052385,6.861103257887763,6.310942150611104,7.272446939097353
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1527793315582278,2.6090252745791953,3.4612366934515078,6.689754997730717,7.668746395415127,6.929095963056068,7.902661252203098
42C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4018883586181887,1.9597331815521435,6.512946200536947,7.259624660207467,7.081968193165624,8.007322453846719
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971984469276842,7.84285775646719,8.563742441819922,8.430218546376565,9.36541208932665
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.380380577801997,9.038050887690005,9.007768932559191,9.917129061442303
45C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2097666317874625,1.3487012327521724,1.8839249459021892
