 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,H33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08996036098201254,0.009063720011340592,0.03142912073576909,0.0047247840561154275,0.0012391295787648193,0.00038459304792359816,0.0004823248485721354,4.778814240413709e-05,1.393274109706688e-05,0.0001444510073376204,4.256590084406042e-06,9.129971605403853e-07,0.0015930919665936294,0.002896127953060934,0.0005601412012647966,2.5897995563628484e-06,7.571582148657718e-05,9.717522702512582e-06,2.6759918746677158e-05,3.874929723757248e-07,2.8134503120558207e-06,2.62096222214403e-06,8.702796415960279e-06,3.123813000605047e-06,7.369177679183991e-07,1.208544360142838e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1078573084272274,1.8444443867242473,2.7038807295038687,0.09007395176268718,0.26667990044827283,0.03550428394870811,0.0139959075372178,0.0019651876516258993,0.045121042277624354,0.0016664289665917487,0.004476762578716986,0.008771959480301378,0.032120268593291104,0.002829455609419357,6.66435568186241e-05,0.00021374646381505658,0.00012404478207128644,0.00024430535082732574,5.195245125877435e-06,4.424483132670076e-05,0.00016153433497390068,2.3602197774696965e-05,1.642098429062433e-05,4.871330944636321e-06,1.4891181364662387e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030620479731153116,0.11219020434822313,0.007290043723335193,0.02358863093278707,0.0033371555670612674,0.00019719579548316268,3.438706982805684e-05,0.0033646236749849123,4.666974361944298e-05,0.0004976274538590619,0.0004441262120873368,0.0014037752660129854,0.0001542611732046062,9.616272444112894e-06,2.1024966535110323e-05,9.874822386457538e-06,7.2252892757695975e-06,2.7825221105004516e-07,2.522807103222391e-07,1.3664159409954024e-05,3.4848067520520942e-06,1.9168086564658182e-06,8.091550698363648e-07,4.0083124752676724e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09794171408012564,0.023841037810460985,0.015226155038317701,0.014633263293597043,0.011719768315864965,0.00024547900088034424,0.0021802251685895113,0.00028517651397619304,0.00010679737156982227,0.011625770544049674,0.04848411761408844,0.003497314171664212,1.3903779680024542e-05,0.000214358316535046,8.337760552734608e-05,0.0003735595610876441,1.0833545901478558e-05,0.00011117374201874419,0.0006834050767909883,1.6200719066494784e-05,2.100956843598123e-05,5.797175207100658e-06,2.515726575946786e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9098532158298993,3.786271793043582,0.40146545645423987,0.007092926336362382,0.029887271937462545,0.3594293813736673,0.012750299555361222,0.027394551010475277,0.0011063649039844692,0.003589417147839516,0.0003116682173035512,1.6004314076445425e-05,3.464870834792022e-05,1.2713431692845667e-05,2.546498292314847e-05,5.490119707740604e-07,3.78431247893829e-06,4.5533618998727654e-05,2.5562333752504607e-06,2.0393397715395833e-06,6.236423548550141e-07,1.4804660020129035e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16367928689097988,0.02944921293816971,0.0009335817318576467,0.0017920839137959277,0.01538747029078269,0.007289022940808909,0.0010444580243371693,0.0002296315905778723,0.0006105987385155442,5.93687460512804e-05,3.2745887754703773e-06,4.95863350902237e-06,4.054905414108134e-06,5.802429969836709e-06,1.0901580238531494e-07,1.049095462501981e-06,5.776741091034765e-06,4.0520212551964363e-07,3.046612057078235e-07,1.0534289629493543e-07,3.52546656312569e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7909935336496963,0.14636512428126214,0.16372545027522956,3.544204656042914,0.14774918962629346,0.14717387546411953,0.0020962062131515136,0.012110165661212341,0.0005746203732346633,7.729554963897822e-05,3.0808053181174966e-05,5.471339096452255e-06,7.072334348601217e-06,2.5383410062751466e-07,6.651054342832197e-07,4.7619123304532e-06,4.850325255267851e-06,8.860590046178007e-06,6.83314930416401e-07,2.5574460149613287e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666501843444474,1.9174456694437212,0.3833560515410971,0.030279699349507694,0.011720212660910279,0.014572020900634725,0.10517199864867618,0.0037778827553367478,0.0005887830581220443,0.00019006895377282618,3.808299090546363e-05,3.4568127655620895e-05,1.8051628405402198e-06,1.9612436071847483e-06,4.608089478019828e-05,2.9727616928071354e-05,7.844482340643721e-05,3.3769881561396264e-06,1.898758412166579e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04026937591614477,0.025081778225633067,0.0025100048714568057,0.0008483441975606354,0.026251467914277904,0.2985472332091149,0.0064791696667354515,0.0005274634094900588,0.00020990988883862194,4.993947295917067e-06,1.8121779094437684e-05,3.4469086174215846e-06,2.638393552523155e-07,1.2273704299348154e-05,4.106896196798271e-05,0.00010753003293528796,4.683549897133155e-06,1.1396055987766829e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0130156000163143,0.0009278055416941378,0.007131137508708196,0.00034704885599634583,0.0013345197584555546,8.74952253394623e-05,1.927507672716544e-05,1.0878053315788172e-05,3.408422913686593e-06,1.956245856749028e-06,5.600884467327205e-08,1.5192882196757296e-07,2.6025022981102097e-07,1.5421223669154216e-06,2.4990294844595695e-06,1.5813561538013943e-07,1.3625258121763295e-07
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7843029927488652,1.9484937314713664,0.0006245159699287406,0.003270943393108766,0.00018709559551395583,2.8238327979934752e-05,1.0483462995355963e-05,2.0003176803840006e-06,1.8202899131486427e-06,7.819053560176314e-08,8.936001238968316e-08,1.1809249303995628e-06,1.5973623376797086e-06,3.423186065817929e-06,2.4516970545396255e-07,9.255934396712462e-08
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03657519292702949,0.00011633733134475133,0.0005305776126398598,2.9209159200904722e-05,8.027808972022044e-06,1.4802423522475294e-06,3.1459476135253794e-07,2.1019120144405434e-07,1.06973061519966e-08,2.3619337152780417e-08,2.4974899259788685e-07,2.71599533641087e-07,8.84036378101527e-07,3.5250282803822586e-08,2.407890309363836e-08
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157672469478179e-05,0.0001773172829797609,1.0916607157684943e-05,2.193487785850934e-06,5.772864041242443e-07,2.219986356966075e-07,1.1859991144724802e-07,2.8975701837907764e-09,4.2832861701924685e-09,4.1581174725635606e-08,7.862564710414688e-08,2.738340177943499e-07,1.412854344629011e-08,6.905868543682914e-09
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.691303230850333,3.8229064323751674,0.14901511651449462,0.27757413128071595,0.024030701547025135,0.037299619029816045,0.0007739681271718979,0.0044178961498027025,0.004857503547347708,0.02883982618000927,0.008071266664718552,0.005866941416929589,0.0012459904858286297
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5402854710572346,0.02455227838983498,0.06078323001798289,0.025781401565106554,0.01908644976287889,0.0005353869852182669,0.001151887177037736,0.01494626538578614,0.006965956217505509,0.003914811155232151,0.0012196332841972884,0.0002338074227586917
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8405276939684256,2.505922169760085,0.09023388677886912,0.175422546085809,0.007742655987906133,0.02815031023242387,0.006322648194720726,0.19746322964518362,0.06915557257991958,0.027335817249646788,0.005481703804992577
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09422923683378137,0.016792564790308218,0.008231178085124524,0.0007384394250857795,0.0003781344502857831,0.00011702721986051046,0.03859036306488062,0.09754237048874437,0.006299292987791305,0.0001944629855892277
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8450068465990748,2.636704775701954,0.08569644945559673,0.09895433405911103,0.09459927022124726,2.750237562131158,0.28405422158093596,0.22235907040691802,0.053214090307749595
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07996004369916687,0.032451112345509125,0.0041532510427491065,0.006126207078142265,0.10857669154416372,0.030060329793124563,0.010236636808377941,0.0005169392208186352
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.922843797442774,1.6814210923881867,2.140807150512801,0.18690622452411687,0.04323073101007778,0.03019612590457664,0.0019193710037841427
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025854579610598893,0.024916806416916737,0.009574830711845506,0.0015097973362617756,0.000759380707606061,0.00015528548206367176
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026429293631099027,0.007826582059754728,0.001268219674999349,0.010865249958384005,0.00024489250943848795
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029250642088558987,0.005533034831562644,0.004536303650117257,0.0002709846693680351
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.271144747766089,3.2004740854141605,0.16923853812711553
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5184394153558834,0.057841663387170894
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7915757149784395
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
