,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31N,32H,33H,34C,35O,36O,37H
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260649583490718,3.175804490615488,2.4905917052032067,3.5932661203256187,4.829770787703908,3.069646848645651,2.109334858134585,4.212070073993047,5.046702261018514,4.901748876273175,4.3933167272821825,5.777818594002656,5.652371341130231,5.146592928832618,6.190897925934314,6.880685995540539,7.889229849965009,6.987064955151137,6.2657665537102645,7.8753060763180125,4.30237282194673,3.6505368417934787,5.624657524939206,5.881168210546052
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0088695438079793,1.0106889436678799,5.464639354350556,6.653833091037135,5.229347641566194,4.320856371482629,6.4312772822743405,7.1986415672320065,7.158564173724047,6.598969775017481,8.027003977590612,7.844756942298223,7.241483337886008,8.336129259832346,9.077718882332821,10.119368593081779,9.08980384085126,8.290900844514516,9.963067154029654,6.39026609013917,5.538797916905866,7.68958302872778,7.802513188539504
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.738946112405755,6.090505146966933,7.227419882549727,6.008779381014862,5.1533168687594735,7.256330801094061,7.953291767373132,8.064243226792403,7.553409171092998,8.945550220284769,8.705140578799632,8.04975681325709,9.23139016933372,9.8908363979349,10.965623225097412,9.809395861778706,8.961907992947282,10.656189847868317,7.214237669103249,6.335080248057038,8.515356776927508,8.606550477133535
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.984805905030144,7.206640433049781,5.559612745909431,4.587904387389675,6.650154912342083,7.519316435174014,7.212012993204808,6.523645264078396,8.031743979679971,7.96444576677196,7.437984674793851,8.348362305533476,9.284105773467253,10.262054677345038,9.439558696264562,8.711051346301721,10.345361939027645,6.532326504920357,5.663664766794854,7.782731417586515,7.851351010544199
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2367000853558923,1.3563174036831551,2.0373009283257644,2.4772736760460967,2.554151119733427,3.4797152598675973,3.8259552060892266,4.417447578928991,3.587822575190526,2.9162064553345,4.536701276160244,4.224398617160847,5.402842957892384,3.801891675209664,2.8962439359410843,4.58823769906031,3.563888005804866,3.853856539437589,4.6670919853980335,5.374065425772829
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.293501989704408,3.1736596597417797,2.8705503768109404,2.468399774162732,3.7619154549939036,4.3795960906509395,4.575755897287216,3.525604277527054,2.895523960530125,4.541676303314656,3.71906448765546,4.900154196787375,2.9515395814541714,1.95043904100291,3.611972635267876,4.102408928050726,4.634783554806581,4.957457915555275,5.7549315509927395
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021306259139073,1.4531946476289113,2.069607641148999,2.5030987868967833,2.6961156771474584,3.4240704884372253,3.1253719924345327,2.7602476567602237,4.010698513543468,4.019894865406332,5.074332746310351,4.007564768192209,3.3354959486655584,4.849000702413314,2.419238583601107,2.7249991855360407,3.616851926690134,4.291796773174097
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1301161053649516,2.9499426401540765,3.022412129540116,2.8556566035680935,3.914721636503722,3.83236895822631,3.467806842365604,4.56789584861243,4.902266053561764,5.906260578955933,5.001004316375334,4.343818026054731,5.858419384664716,2.5769098667071826,2.4470479826185505,3.8998588597440387,4.400465945149539
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953976094733073,1.5504490394329178,2.1604794481320537,2.173250922932674,2.5809831877078815,2.7554056853175832,3.49963372256128,3.229646340551842,4.080469643794427,3.465612155310158,3.1052166391026175,4.207549987456812,1.5261791753307505,2.4382121236827814,2.3792993624069427,3.2136825219419265
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167889928414227,3.0583730842925894,2.555811419462463,2.7518796504798813,2.9429473223957485,3.7918972753723157,2.8585096095687352,3.7180524459350903,2.7672892418090234,2.410147201512459,3.354946561681038,2.128927586605157,3.123048416478593,2.5969260916686316,3.488818865945729
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974603576350839,1.0949624968946923,1.5412486765249307,2.1791809775881514,2.1560141491588825,2.5441535728338334,3.1938218864234678,3.36083175756595,3.3605876810888478,4.180682421771053,2.5383769845681226,3.4865585786856372,2.938903726167074,3.8043310201200113
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76863456236585,2.1710119384309614,2.5865384231893973,2.402905628070318,3.4720686295114733,4.067571873715992,4.3366630667229655,4.261887992296473,5.210408416932961,2.8265202190734184,3.4766044866462034,3.4023494134747274,4.101300950475916
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161370335851843,3.0688535969664588,2.545784834824443,2.671508390152512,2.905902861318412,3.658057933192873,3.8929171310695434,4.293412593448454,2.6849124171597043,3.7534954426855363,2.548253656872746,3.3908578354266985
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954868270190914,1.094299972090744,1.532739629423687,2.410143144460652,2.4487044166107177,2.6128972321006287,3.3677604279410263,3.916865820571495,4.86615835328443,4.291587038166614,5.220566677784222
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7718385702847543,2.187856336323433,3.269508694775751,2.5768381777940634,2.3809147323793924,3.583884320771018,4.226381991102279,5.013962873581753,4.87296047940257,5.78347827205613
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1194681567688827,2.5678339686833587,3.252176236033667,3.5696162745297846,4.0905451253435015,4.690098205374027,5.597575303618623,4.975687584533733,5.855985252237844
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2258896568894362,1.364360704295099,2.0850069657103583,2.0314084522350475,4.491423365671977,5.599466392808174,4.538998334285825,5.508459670289432
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281070844095928,3.183583280161633,2.498764595705652,5.112803656658422,6.283100440430101,4.856260706852437,5.774872399102698
31N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0192267595844513,1.0116696234164608,4.789898562894846,5.834920062980731,4.957642913936672,5.920868343652677
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7474195211629173,4.489743255161002,5.405690232455152,4.901175654661726,5.838173774193374
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.387217879183063,6.4669739619926085,5.371634938966482,6.302957682070107
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2113299429311457,1.3514599637314944,1.8773895031795553
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253980511468816,2.289406930518324
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763636228387118
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
