 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,N31,H32,H33,C34,O35,O36,H37
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5446918278943624,0.032438601389961574,0.027742262467816303,0.005306004806765366,0.001122220961929623,0.039583776587128264,0.14524473223245882,0.0041283658099559445,0.0008428933048881815,0.00016707676439811636,7.184766073875526e-05,3.228432180890639e-05,1.6182958126345626e-05,1.6706179144510003e-06,5.228347795815935e-07,1.8057862516226986e-05,2.24469216375707e-06,2.0562255204137347e-05,7.555257132141335e-06,6.323206220848476e-07,0.0006943197385464728,0.001557603790603261,0.00015032609935602959,1.1253907413966147e-05
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.687281783481866,1.7420732171102515,0.0004395267008552445,0.00015831798527955743,0.001964676225654355,0.005033486223890105,0.0002673263678136528,5.115385775755765e-05,1.5278294182644037e-05,4.273732394644014e-06,2.5898987030537057e-06,1.1792731108017929e-06,5.671786116323574e-07,5.703040417692762e-08,1.2178707940874167e-06,2.514830294564341e-07,2.111837896327795e-06,2.037076205385624e-06,6.945758368459565e-08,5.1811821564329286e-05,8.824697121447705e-05,1.1490213697763763e-05,2.2794043039731093e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737053359419629,0.0001360017225384702,4.3949882104876714e-05,0.0003992998898888489,0.0005251157138210782,6.1023216179845186e-05,1.6031554716189333e-05,2.9561125848287517e-06,1.151901285911805e-06,6.793913873703872e-07,2.2215575823381073e-07,1.0159322205716137e-07,8.72073946389662e-09,3.746646203284243e-07,5.320101215122719e-08,5.586060052298336e-07,7.39607420641164e-07,7.631161036414369e-09,6.481522671686335e-06,1.0677533332170697e-05,1.4813435903482386e-06,1.74115703854838e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.587650478466877e-05,2.2584632299316176e-05,7.377697446675491e-05,3.4860737846198475e-05,1.5491166892589447e-05,2.8478430489364825e-06,1.262237562582591e-06,3.18164705470636e-07,3.8789491751956007e-07,9.506315334917304e-08,4.522688579200462e-08,2.1590049747999274e-09,8.22336087002995e-08,1.9471968593087752e-08,1.1387573384258332e-07,2.728039003585536e-07,2.0492176844300047e-09,1.4919799902202158e-06,1.4162265526973528e-06,3.953455338656653e-07,4.684096377438607e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.603324413431488,3.6793298070090974,0.14219538920678776,0.2727549772179675,0.023978457266377484,0.03523758513008701,0.0009148462259116474,0.0044409663791162846,0.007927236209754968,0.01069085425241556,0.0004860597380422771,0.001695749025907134,0.0008285031014439309,0.009923106615675734,0.022243021879488123,0.0004931062861470714,0.031256828365700956,0.004809910456832156,0.005932106290988476,0.0013183469989631602
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5417060304004158,0.022939804999978275,0.05881343811644024,0.033537670461419644,0.010585248339279499,0.0009302567215151436,0.0016989549473667154,0.005338179880534977,0.004327423164829147,0.0007659792330435566,0.0064176470412325715,0.0021764319145241816,0.06159034715814663,0.18853752440034965,0.0015250495995550173,0.010420099810558095,0.0031632808921621125,0.0016028958405004817,0.0003409077832984275
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7697996804886071,2.7661498673573823,0.09372635355585279,0.18169534303716653,0.01054351325016567,0.025714574102829624,0.0168906088869286,0.007060158615297407,0.0010344631422193329,0.0019751096941006685,0.0009869227334006886,0.0022895509180831802,0.0017117865529222565,8.746243945456644e-05,0.19598864781490113,0.043449991461929655,0.02831335870317117,0.005081182671908269
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0978531442483268,0.025118665248999417,0.004239327730968356,0.0016406259857213445,6.00812795341632e-05,0.0002690826192182083,4.061785553211017e-05,5.449881658847744e-06,0.0002212499816984792,4.884189675269379e-05,0.00023575087055371924,0.00010052129959992051,5.906525182286515e-06,0.01877185987301111,0.036144154757950964,0.0029119875395956507,8.116473939279167e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7900316393483335,2.7885872114431507,0.08678985017604535,0.09035089163500354,0.16052786430127772,0.010635469648600848,0.02747986559572979,0.013254670050934891,0.003457880242606501,0.012246740495862773,0.003200810702475243,0.00026749521677371657,2.699620640661349,0.2794700795824184,0.21917108010462436,0.053501488997359514
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08009510079533877,0.03188461217670291,0.00269738239667916,0.01071210057528782,0.0002889721185106442,0.0011458975492188994,0.006745119345081152,0.000929076460573719,0.02301434897130139,0.004966905823944545,0.00010981474746718511,0.11879118406157096,0.029910152232627607,0.010813994984639974,0.0005828236040203993
