,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21O,22N,23H,24H,25C,26O,27O,28H
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978567829136028,1.0969312345817914,1.532039763949545,2.4125102369601223,2.4485699628458746,2.6181299600173302,3.3738942758567756,2.5151073766848957,3.401340224161568,2.99164010262826,3.83674020747209
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768223585079687,2.1912674655178987,3.289604332642115,2.5533332286672406,2.3116110294509102,3.563279951701693,2.8274474460446886,3.3808193884850586,3.491874347525786,4.16705737537284
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1350013449857097,2.8375174362011095,3.005076493932823,3.1087327867056027,3.855134648161527,2.6568361283548754,3.666757685794306,2.6115370212193616,3.4293827393170857
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2200284450568588,1.3672291081969354,2.0904017464445146,2.0451454052989826,3.866277716378918,4.7823551601282155,4.28157611510789,5.203541978522
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272635766432027,3.1802946269212953,2.5059105863074596,4.289057758038472,5.3038447968693525,4.579340100392302,5.551434668806648
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0086425837246584,1.0110494101427387,4.920284102437748,5.68924415795048,5.402098517336249,6.263878032233263
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7345130248343053,5.0207378630525,5.659221275775027,5.531847389657295,6.302834540065274
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.829886584605907,6.636683909231339,6.26380756553315,7.157228635031102
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2125445000050417,1.3496974254452396,1.8786935294106035
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255347757228276,2.295161749410328
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767553622338311
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
