,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0795007903987845,2.2105540208400054,3.2445045020461603,1.381057064994137,2.137131744094697,4.045662871151495,5.225536003690384,3.4286396225593285,2.4843729017318967,4.402073918670807,5.260372082571734,5.114522850412718,4.553693340068316,5.818397287570967,5.227102580915408,6.443809688189246,6.341998086888865,6.997787548403986,7.017806561943756,6.235112149294826,6.904387103500128,7.550129163712364,7.632114207673994,6.635926984925671,4.1973020109318435,3.40440625977325,5.419391636533754,5.5405601207881485
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2381684152135595,4.224347317407423,2.1583206079788027,2.5508802848270773,4.248508006611961,5.322783981302361,3.5290234329451686,2.6991428802854913,4.2373535712979145,5.068065993644033,5.08988191600515,4.585829546539548,6.0350291157789835,5.614523366874412,6.699553978234277,6.13680497667715,6.749314497096677,6.9006408443793665,5.872238227208196,7.071080723554719,7.836934161085335,7.68019297712614,6.765802700409814,3.6766498881639103,2.7450059667891176,4.7736707504059,4.748283658620062
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823812748745274,1.3663226964843627,2.13104184904616,5.021272290183484,6.243580951712878,4.517174613621166,3.581708985138612,5.621327409275419,6.521045957883024,5.8765240193006525,5.153251241317569,6.141065563502701,5.316433404667076,6.524811696815147,7.240784728390034,8.01713046831457,7.657722410237231,7.327520261185093,7.357394758847443,7.739420490591415,8.223951004614994,7.27931052742194,5.829071816906057,5.151246567676432,7.157063543330818,7.402709286667751
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1500266869993236,2.553783877128933,5.921873042277591,7.1261591640009385,5.3990751310155485,4.488579721281496,6.4466460222729,7.370601962298928,6.499972387298297,5.69881286988505,6.6444627581103735,5.797889760651194,6.877725527957798,7.8366761109171055,8.673941222962206,8.127129584360807,7.950736463671084,7.9194211228168845,8.205646319996942,8.794849029999368,7.9495790589104205,6.7094580993044595,6.024323612009967,8.050896197114659,8.298233290962937
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009889478818132,5.032419185034987,6.249633124398214,4.296829594645161,3.2851400028568416,5.19608504647405,6.161382015243808,5.550901850304558,4.773143840099505,6.154871030982455,5.5143995329380715,6.575919942675851,6.766239862662151,7.56794156251041,7.265118382387311,6.661350872630878,7.418244117333861,7.973264002538502,8.163526857945927,7.326017908335893,5.060955695364442,4.188057509506915,6.342154650392235,6.442418388190832
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.847277391438349,7.042688887604842,4.965667475776169,3.957502985644496,5.663103428423125,6.6847454877652615,5.881796290462647,4.994551341860458,6.611036028393363,6.074972643575312,6.924701661446626,6.94758503850555,7.823775503034799,7.382699363351525,6.719870459016754,7.958443715906639,8.551212429657598,8.624689161461234,7.952857756018175,5.3451101867886806,4.343396422849381,6.578040283664114,6.564788961358523
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229479952089964,1.3683655311989105,2.05972662563823,2.4767835381748426,2.5129700959369794,3.5849154803320475,3.9728842373713102,3.651466209726666,3.154891900968668,4.696758305268805,4.884458638104083,4.97616379451242,5.690468862429643,5.338945701089322,3.87883782030646,4.470294592637627,4.695172120101503,3.1554519048990266,3.477475298312426,3.9758283201929387,4.326601922985222,5.064974056422412
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2789411665427854,3.1683036816681103,2.822233819696261,2.3452796075379028,3.927048160018453,4.58765214679105,3.8467687712403213,3.570581664148065,4.9351660676363815,4.997408080985639,4.819104661486298,5.823579134396627,5.545278324664408,3.5786874465043828,4.14992496829317,4.284751706577687,2.614757631739909,3.9028359267964596,4.667787789387001,4.417394340616649,5.247439751261181
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0145529871877246,1.4551017908451627,2.0579050354078325,2.5052421271214027,2.7140756654145934,2.9877262280374866,2.6325940299728625,3.9545493656511965,3.8602827312288004,4.179564501282428,4.668848927606398,4.199922413805842,3.6681575893689593,4.43292214715623,4.381810326255792,3.251455060339972,2.4123302168440266,2.8212080904971817,3.5097460055691165,4.206206758879698
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1205783708773613,2.9560545278578965,2.9052696673146463,2.7109613441064404,3.4954291827131003,3.007635966340655,4.302779824213541,4.287938133321392,4.804201921637814,5.02194258675666,4.480379677785028,4.447445702969351,5.1555589152604995,5.17657193767529,4.1667749669232235,2.629530539296952,2.576291077512063,3.9061089897453742,4.428597454496097
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0912099336600738,1.5598909432969514,2.144763043586578,2.5705838207591833,2.7909570400894084,3.494928450120442,2.566110419836389,2.80688824890544,3.514692819122414,2.8725769903487577,3.167868687709219,4.160820867983345,3.5523756050392925,2.9046135450171118,1.5260695199029788,2.432298941229621,2.396410682737899,3.226464925556873
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190249304717408,3.05938313796662,2.8406510119719246,3.1860345199196636,3.8429045064663874,2.8412359445008817,2.6451806364202057,3.8169186045437287,3.2747638751285373,2.864762404399971,3.885783917272627,3.128150112618974,2.3381130624389734,2.14587709223378,3.2538278370904745,2.456173444222571,3.408431799508476
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1005640820407996,1.545926728060224,2.1614981613211435,2.143361359763013,1.5387756465895317,2.195829302823801,2.1735591663092184,2.198596291963768,2.6145682386571902,3.5430689785094907,2.8893436500278673,2.9311628351261323,2.5314760597269235,3.2110867597684196,3.2959429103483093,4.05548651042544
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1432294277036994,2.4222293041554988,2.41865090246942,2.1469102488845175,3.0742251249230304,2.528186742235042,2.4576516976034783,3.517903965768032,4.306817204387532,3.873376687185326,3.889743485601919,2.7203858070303117,2.969439188483224,3.7249612296987578,4.299243803170838
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964082419784709,1.0990964967942574,2.5588495416567993,2.9117766388464683,2.7273749370756657,3.514291630072763,1.535376038879739,2.1700182685599523,2.1959682246656835,2.189994919387467,3.9105655212890613,4.598754561299408,4.6454955063293735,5.490022650545281
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.755697528717076,3.4898465414587747,3.9069701038496896,3.713359983562396,4.32482216339862,2.158905633251818,2.494058772262353,3.0865682594516426,2.509570742234281,4.174341413235824,4.692466376381269,5.11594220347407,5.93240692086683
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7558488503847562,3.25545626719768,2.4730999132838347,3.7078492091242192,2.1643735320767767,2.469802072570296,2.551847148957205,3.085397533357164,4.667100058919741,5.247090906648613,5.381517338565988,6.161779030224815
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095666694637652,1.0961748361767913,1.0952523629560003,3.1623230020165582,4.120648392124963,2.861509006179532,3.6212931921126867,2.987676521575615,3.7703156683041317,3.183302058203363,3.853243860218574
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7718020805029813,1.7654526359803595,2.952612576803987,3.946976303103551,2.3780021258508315,3.2770592467259436,3.3072369265575943,4.310640197661363,3.1423863950680064,3.909255156774906
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767092177516049,3.38281237463462,4.145643970076737,2.987399572023424,4.108239838491114,4.008020652812132,4.658136416151486,4.247771062680277,4.851972597391859
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.208769361996544,5.195569937390561,3.9092962477580167,4.549529147172914,2.6973067582451242,3.3073457334482215,2.738117304581233,3.174909662182827
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963600037498864,1.0964913818088426,1.095275708665528,4.586475597955413,5.518530650985915,5.000105464551234,5.943850717193206
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7654365272954295,1.7661681089498067,5.622076625321847,6.497067419364672,6.089115313476302,7.032985448362813
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7776914671165445,4.775080363486097,5.796729823546357,4.927293953618783,5.851310665359434
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.342999626663973,5.336853200076131,4.700619397557504,5.67180201064255
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215094668321176,1.3500432450719924,1.8777268067722512
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250781534836397,2.283125061170792
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774356862478809
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
