 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8359829860203738,2.842463621219877,0.09829035197881342,0.1817885059580461,0.007366761568163627,0.028394198951387103,0.01942584570296635,0.002076407687300774,0.030465746141222258,0.0008606538837978572,0.003671094855732804,0.00046976839288004335,0.001967545899899198,0.0001656000705263505,0.0002191161725928481,0.0011005926774054764,0.20903508191710424,0.04199362780939915,0.02871194090818334,0.005172590139499222
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09762630446868481,0.029254880091284186,0.004746211238090048,0.002760274802135587,0.0005075652278410114,0.00033718540194471736,3.181189562639908e-05,0.00047153229566421206,0.00033566365644754903,6.978774743937599e-05,1.891249866892153e-05,0.0002176746834314791,1.9769997075869128e-05,4.622427536227214e-05,0.00010708549499338638,0.0135586929248106,0.023376202887253617,0.002029969288043665,0.00010464292386580532
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9547373461881627,2.50872119957712,0.08593340480717315,0.1573695403285446,0.007199834880268874,0.029124695593934824,0.16362468377044076,0.010355871280973927,0.03013865535434901,0.005265282183060549,0.01919323741446896,0.0019188656993744946,0.0004888334913664139,0.006040302136577802,2.613910310651117,0.2698490899887004,0.21030996811437364,0.05452674296782023
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07807120082314578,0.03212959048380193,0.007074549271324337,0.00011562105127471689,0.0007807576093876722,0.006984849112405933,0.0034450458653640936,0.00027111548840141886,8.033723910050306e-05,0.008160589409518026,0.0005349637436791177,6.510912870871799e-05,0.008432350822598966,0.10510643062325031,0.020831780281757473,0.014437376806336166,0.0015161675047570267
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9831274193382278,2.732147851548471,0.08965403984031695,0.09584565894494967,2.8429354047264392,0.08337631060100081,0.09118959093740053,0.08461877504892645,0.14890109189405615,0.029694427532889867,0.006982942541717607,0.005819837161168628,0.1972426704340491,0.039238260370192124,0.0244253151923753,0.002809239199254354
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896949699088625,0.0055069760605390705,0.005061198447801507,0.0841132455623057,0.033787425154378825,0.003262865498628864,0.0062032487550001125,0.02782154869167286,0.0007209738820688205,0.0005400268896713634,0.0002624730515670137,0.011013845953106394,0.00627308696245521,0.0015026407673716102,3.524110592434404e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0300148423362243,1.872490273035564,0.16079453344089414,0.005218065908892733,0.012772264236043496,0.030711465549350114,2.839313609121372,0.09498257141204092,0.08302002055648017,0.08494966285724281,0.0314298722499822,0.007371509851263849,0.0038470364843060656,0.001146258674487477
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022646717749984058,0.029622930697238314,0.0003836877271425898,0.0008429935339293593,0.001695218857366454,0.08618287948244685,0.004405904967027752,0.03349021690075005,0.005248251372679702,0.0010051852036221387,0.00013285076174629484,0.00015492828431640238,3.2480027939874034e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010092941228936447,6.772821285805364e-05,0.005631106912727724,0.0004543680896036406,0.08311073870846175,0.005480399734039354,0.004133728114747326,0.03267127231184386,0.004726077345600599,0.0013902389454760744,0.0008344391931922601,0.00010256118766904798
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03151694772241,1.8488106746311823,1.866386837121514,0.021192448423608942,0.0020282430035534205,0.009045736475786326,0.0003812888432480621,0.02650973199148693,0.005161342285159742,0.01591989369748075,0.0007972530066107097
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241293866862049,0.023661378847333436,0.00759409927935617,0.00047605238403325423,0.008250068151988588,3.716622455285368e-05,0.0013197027791720384,0.00045000151749285955,0.00183798031458704,7.112138649278954e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024611794047631363,0.0007819519694975963,0.00010929955093641475,0.0001705303128010094,0.0001397453818754446,0.0021285280405685114,0.000496008610705756,0.0016925955625165523,0.00019338829108539457
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002565197093038485,5.914400359463556e-06,0.0005798089433584064,7.251216055803589e-05,0.014156487640391235,0.0006900821940454271,0.009055824933407619,0.0004703214785908294
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0956636073057986,2.048097822296309,1.8958581555200849,0.0030152952026184787,0.0013697408405403955,0.00037640282828975413,6.235937374943212e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023331819238851192,0.025095930215181417,0.0004595130133511205,0.0002978909608384317,4.788247662579348e-05,6.4239166110979795e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02496866587583657,6.413441203290127e-05,2.956573398504858e-05,1.2379386496341738e-05,3.7004118655925566e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006950052416900832,0.00041822767475185874,0.0001376248159499216,1.3671601400977451e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.189322268122371,3.101142566580869,0.16783413687784343
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143501221204007,0.06839230351598913
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6408856914040357
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
