 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,C19,H20,H21,H22,C23,H24,H25,H26,C27,O28,O29,H30
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.029871739850282,3.232998891310811,0.13804374391013596,0.26551390085321125,0.027246578089214157,0.03128636309319874,0.0031731647241213246,0.008960267032615765,0.00668526408768555,0.0006122773375378809,0.0013840672834588563,0.003671198142671292,0.0011629042622007812,0.00013460363810180453,0.00014777949243205413,0.029507628954835663,0.006115017567276726,0.005434705944146495,0.0012462095200991286
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350472144176642,0.025785210902501854,0.06639339785492801,0.045021763679526594,0.010545583351283083,0.001098566136119583,0.010844207016016634,0.0017621690029021586,0.00171765070728358,0.007342908701170492,0.002646706803066806,0.0013600525439756428,9.061913814578659e-05,0.00019651187329516873,0.01041237053435251,0.004008581273460127,0.0015053853767146158,0.00035121355798772846
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9325658661659757,2.809810528370638,0.09235099325809204,0.17273228866552337,0.02524148564745987,0.01766215266289048,0.006657798839070805,0.0014300546040395545,0.0005891510837279235,0.022729214402227513,0.012985364254958887,0.0004290129717208213,0.00160645202149734,0.20168614022685238,0.055439999062818546,0.028590242003025443,0.005436256564598785
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0977869933903327,0.024251342377567653,0.005337363253895111,0.0002774713868660683,0.000448791208009669,6.247112697810309e-05,3.9120308671591886e-05,0.00011085567653545958,0.00217839881098314,0.0017270655261181211,3.943696836028465e-05,0.000213639828293255,0.030702213495530595,0.07168534572907537,0.004872384235329763,0.00016883012008173104
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.944644168724159,2.563414468251913,0.09797344631407201,0.16158141896935574,0.006717621302744448,0.029972472897645153,0.0100604788266494,0.15618427323027623,0.007988369500892656,0.007332189105046183,0.03170061011108416,2.709830033784913,0.2772311887811756,0.2158919472220202,0.053289711455301814
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08302976593938305,0.00434313570127598,0.011666402769238804,0.00019496638080451767,0.0009102875745163885,0.0048083088086317005,0.02583350142467966,0.0006716375838948796,0.0007315553944906572,0.001154302802582885,0.11354538040066564,0.02895900426422604,0.010694956297359615,0.0007194636791418851
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9046503385379623,2.7956309843224925,0.08559542600330183,0.08844567560289085,0.08710171638718855,2.7900798707316605,0.0843499826631875,0.08684168253773827,0.09141679829636096,0.18314102954113826,0.04286714342822606,0.03000544305046389,0.0019697881690105
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08364298471234499,0.03434830103884923,0.005217148955590556,0.003966045853548872,0.08117051501567007,0.034805459032640984,0.004478164745884694,0.004458691571117335,0.009978013956770226,0.001652481850273002,0.01498395026545496,0.0003134151228016968
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962111039484908,1.946678635282805,2.0420972351750786,0.17408755953383062,0.009114600052451016,0.03169055646148167,0.00999037172799655,0.031079980437361765,0.007238979192384261,0.004962324229007928,0.0004914518335998874
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023109945494363293,0.02423257262409706,0.009817543929690253,0.0043989508899318075,0.0005912771443532527,0.00018794250104492427,0.0008003008763504127,0.00014580483978665626,0.00046755482059457343,0.00015566272156664063
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024938590240042302,0.008810006186765973,0.0001577200129945222,0.0005641478567894875,0.0041774368428983966,0.0048708766916603086,0.0017577379127944326,0.0003909823615164676,8.92273200343574e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030944477761804978,0.0004648218055220976,0.0028678323467130618,0.0008275133632702492,0.0008636251037090759,0.000349507808299232,0.00013503502071499085,4.6425719930631715e-06
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9465609983585523,2.0497011111196537,1.9322102566628194,0.0267889246695297,0.00834690347505767,0.003895177303764069,0.000309173488852732
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024068760973542158,0.023388696303838774,0.000920198370180314,0.00013500763163110108,0.0003738521600589184,3.4274361764286e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02447964692393123,0.014603494391027372,0.004697222127208134,0.0006402199952215692,8.431842923473098e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002315663270507473,0.000293731697756372,0.0003487078185884229,1.5416223260400486e-05
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.158744441178355,3.417004989337013,0.17117116917240105
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168211129094149,0.0671630286556063
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742021535525208
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
