,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19C,20H,21H,22H,23C,24H,25H,26H,27C,28O,29O,30H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2283956382143324,1.36684342327687,2.0560538448287806,2.4680750041532415,2.5264725194878324,3.484421257080394,4.351578609454448,3.491474528125315,3.0212351391039833,4.554697079579591,3.4919711355632437,4.229733277472284,3.8525593531697835,4.735920670598218,5.130081188552585,3.5591466376595373,3.876481439034235,4.637263176438668,5.352860642868643
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2834598388455767,3.16469292665225,2.8258882584640874,2.413908970740585,3.6939950807569235,4.400181599170712,3.3613943587348283,3.0379336779549084,4.4074159022084745,2.9888396192082833,4.76562528094797,4.5668146537558565,5.380493833996927,5.547946141230938,4.083827577026626,4.664770089110448,4.9031811747211895,5.721180584480455
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0138691732914928,1.4550565475308244,2.067815458035422,2.5292587777886335,3.4181735748187276,3.0661130866183113,2.8089414403463735,4.085607013528051,3.369533726244795,3.071632429194315,2.788218704639671,3.428121645870436,4.076914002410678,2.404983617212703,2.702200419131429,3.6032649333002205,4.274546571589829
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.098548267897342,2.892134060504776,3.0983734979773514,3.9697824166012383,3.8503592295953997,3.5396079555352515,4.782707315781029,4.299867092564235,3.2010029090868493,2.7607476664110435,3.3173052968031493,4.259094368069546,2.4626801866705215,2.2808075917064206,3.7980065758936155,4.2758648441357066
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953099969923346,1.5605726340722927,2.1356691643141925,2.546556759621292,2.8468639791345067,3.500271336779528,2.764920113528786,2.570506483556222,2.8462620187938636,2.8379281785029,3.5200809518350185,1.5229588837761403,2.4307229047769114,2.3828201613491338,3.215940411969191
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1650239029910563,2.440867427631454,2.7223074359108947,3.1390917850178863,3.7105920344391485,2.485740010725858,3.4949325564497986,3.8286213078064737,3.8265345130540345,4.319484242912421,2.143465456706529,3.160320087502803,2.590782264645384,3.4969139189982323
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980875315196608,1.5346784880967805,2.182760283233391,2.1708240185242595,2.1905234810894076,1.535952114267215,2.182526321231391,2.2008371430755704,2.1738428685608335,2.53815752511574,3.447846903029686,2.984420137414435,3.831393057629335
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149416805991499,3.0711968707818786,2.4796920529433413,2.5127036977031905,2.1530241032124198,3.0733858961951426,2.506820362215444,2.5041240559843203,2.696649841928186,3.758964763992452,2.6043696045634745,3.451282436895005
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956396594532496,1.096402620056561,1.0948801222927094,2.5345394307306583,2.810821031859485,3.502745534563027,2.7571566246564254,3.8920546846513715,4.792423505801646,4.341290131020704,5.255230258317816
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7715953283978259,1.7673711568771286,2.7922477915016315,2.6229181289586063,3.8185615887301405,3.100583375997153,4.267250395058344,4.972633878678865,4.985276785156165,5.862076062598135
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7774497893875292,2.776609948220941,3.164053781996695,3.7757623953972472,2.5469852943429694,4.694779967552822,5.595305284587505,4.987996920413956,5.865922989541322
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4971830044345737,3.8145027893121135,4.3598165611390804,3.7727140512283195,4.16064370009584,5.175724684460697,4.459895684051765,5.427622513511823
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096726483527153,1.0966146059338886,1.0957458657404642,3.04049110553731,3.517416318812421,3.6472511063042248,4.24016518641755
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7736487512354215,1.7692443539208382,3.4511368585838724,3.6789291176023617,4.349968795496035,4.915202486972554
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7691917825215493,2.713901692484303,2.9774949929464607,3.2330931046782667,3.604456326353727
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.024849705669995,4.55067028177503,4.418191016375978,4.997538789288901
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213752796561941,1.3488107743234559,1.8770259651756878
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2536807973209547,2.2904595621747617
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768135606142017
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
