 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,N25,C26,H27,C28,H29,N30,H31,C32,O33,O34,H35
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5586979845720509,0.0008227960877621177,0.0002847999295751344,0.007611811973054383,0.01400916450514289,0.0009311185497552221,0.00013044335099265947,0.0004931224296234188,7.103785454187772e-05,5.7574980073527016e-05,0.00421522906836326,0.006794699098336424,0.020607550839896266,0.004383228852693266,0.014415436444792262,8.151450868831844e-05,0.11410256967800951,0.2991390176963319,0.00019000715322164963,0.00017567818816625197,4.6342471548055375e-05,1.2569109914539744e-05
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008283195847121366,0.0020542939364674856,0.07623060067455745,0.20992418648405897,0.00861003800097375,0.0015515059919748442,0.0012965918331968584,0.00018937974810684377,3.0070595469444683e-05,0.006995971816283406,0.0020715894863561624,0.016881045280901577,0.0013263160326426604,0.016635405834619865,0.00029471105400769027,0.017091952467689298,0.011383997924803269,0.0003747777785069739,0.00022280961382258047,0.00024329524793433033,0.00011398668848117133
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.458265844785436,3.668062219409711,0.14266094261049256,0.29515772086947967,0.02084210055627156,0.031664566732412025,0.004198946500413969,0.0003502491767479743,0.004919664240231603,0.0006200618604116914,0.0026868954404336565,0.00019904749304999747,0.0010686913861811254,6.909496865992182e-06,0.0004117724682406454,1.4895896219280225e-05,0.048184457351040905,0.010971657664636661,0.007335708924467804,0.0009067026364805164
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361587724585537,0.022181535930562934,0.07785875182681314,0.027177737194938212,0.00887916910173537,0.0010945740660026626,0.0003546733794017598,0.003022544364171001,0.0005204001899974456,0.0018838976015514847,0.00020769871050285715,0.0006311354855823015,1.180564237790449e-05,0.00026064290896314624,1.4159659878831832e-05,0.04244250031124558,0.008288640308190643,0.00422000402938285,0.0007224324702453933
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.604281490751947,2.9524381386168184,0.10086945393669355,0.16126731718214454,0.021899172968234293,0.0036499684747928196,0.03159556903394131,0.003557591057714915,0.019763845780357947,0.0012775220512375451,0.003759127162818149,5.6708929587090395e-05,0.002181533474894304,6.656968607232638e-05,0.20187616312309925,0.02525891776548571,0.029763460579895804,0.005130012223736102
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09839664422880601,0.01787615270787013,0.011769369281272701,0.0014474840660303467,0.00020434140905845055,0.02772534296962792,0.0018333937354598762,0.02430168099938801,0.000773054501233883,0.002040922021335767,5.295058994558843e-05,0.0015749055491577346,5.93889108391199e-05,0.006113751881799079,0.0003541174830912208,0.001554074681810902,0.0006144265890453138
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.095636129716352,2.7654122835452233,0.09235757745064532,0.0909692000865101,0.1648060607966503,0.02656754640917719,0.03276795684568348,0.001073323760133249,0.008481899446799057,0.0007626479550708609,0.006284472380770123,0.00015971892729027548,2.7773494029956995,0.25699705501220027,0.21698979124409581,0.05466305642110947
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08875236437881129,0.0022900716581502056,0.00991165172226971,0.021136044912327012,0.0016635243556061274,0.003490009455774379,0.0003698932117672804,0.0009363923956879905,0.00010407107610554966,0.0005202501528134285,2.3808944232150964e-05,0.12092144099944524,0.02832982488259239,0.015573208899448576,0.0010233469559703945
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1191180812381827,2.0908154238460153,2.884850540476631,0.20710904688327195,0.23734509176421242,0.003887160082648222,0.048517126221290494,0.0026674943759306124,0.045996253686181945,0.0021198934905095612,0.1946604628865686,0.039009063932915415,0.028293866282082955,0.0018772780997298177
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252544573620197,0.08737012147445111,0.015478501132277334,0.03250852997594178,0.00014170572254346148,0.004675920859009031,0.0002255424676340656,0.007549479996465047,0.0001984635648450972,0.015906095413639187,0.002326635166749358,0.012832226472816899,0.00020520013591096564
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11497870884195249,0.02832315579524114,0.027186175531763723,0.00030289461617960534,0.0037418664502046894,0.00023931685504674505,0.004097776303693235,0.0006615463594599191,0.02799816187741122,0.005389316993270166,0.002292349322197351,0.0004216041728051234
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.368801610815577,3.9134273636860946,0.11792034386399242,0.5648551753574319,0.03823955224435749,0.47151204459356383,0.028754895636007083,0.0108433466257849,0.002930359060856272,0.002726575975456502,0.00018130479404032673
N25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4242212552151061,0.02671433145587576,4.35528530093643,0.11158856000823136,0.5014637034932593,0.027663758548080897,0.0031619567309982555,0.000850364495982886,0.0007393767858139416,3.608443274172313e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0449545641077886,0.6120616309759535,0.031846591610829034,3.181694746716214,0.11359855317130074,0.009978499188469825,0.020624596920324312,0.001990830920995043,0.0001739496096703208
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308915153652376,0.0007830479025183745,0.09770796400393778,0.0062400461801011,0.01037687395683018,0.030174694852482253,0.002203832391944327,3.09440008168238e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7778158423980728,3.614903929330033,0.1174166429182506,0.0014276483731363865,0.0008775254675211369,0.00030038923107519877,3.66304107050075e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10157385591438839,0.003471774414992579,0.00012663602173978994,6.601496491176473e-05,3.566643338315245e-05,1.1480877131209155e-06
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5474705857929192,0.0016769204640092739,0.0022623610932426402,0.00024392267168799053,3.3393798633207794e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.001973909077531e-05,4.2556769274337825e-05,8.372616377982922e-06,4.2602722571949414e-07
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.937497093040336,3.4576274381840717,0.17291050087132498
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5044512150362571,0.07911031568324334
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8504470276685634
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
