,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31C,32H,33C,34H,35C,36H,37C,38H,39C,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3943074932910875,4.297736134111722,2.1453822670430753,2.469321190145616,3.873596221063911,4.958813929447564,3.3986133849422884,4.569804251434592,4.543277276114086,4.5389140171333615,5.62463695370002,4.718834338934395,4.07957357148285,6.116865778247139,6.721567360726395,6.736077071147778,7.80255029589203,6.713103162447031,6.430073367049984,5.68093993220989,5.276041618467565,7.250914551997171,8.001103887735152,5.860278896015427,5.6032122604280055,7.395757140857921,8.23156053803331,6.750167593849019,7.167106347170964,6.658935218812203,6.222835148339759,8.001648946666874,8.405150599971396
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866298019219538,2.7851831699428953,3.874617408566784,1.3947041759965304,2.164650663910224,2.4166666790382996,3.6494372846552463,4.331145001698611,3.839078993587953,4.890363535141015,3.4008441243602303,2.5961452545844073,4.288397903310644,5.186019056849947,4.976664656476048,5.848270894004806,5.499258119649835,4.445944689584333,4.275008604683858,4.522080158202642,4.744698279201911,5.290289947729537,4.4164972824118145,4.745550073947675,4.875451817488831,5.49508108016962,4.717735552199504,5.235221935703871,4.145750895483703,3.420601744148918,5.40292516581454,5.570926411173029
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.871736642426816,4.961187740961844,2.1459050130065918,2.4851550473632353,3.3965820594852185,4.513200616771067,5.281581393871963,3.6431873797849943,4.5165633788175406,3.2101782824825595,2.631555288746393,3.834379946054988,4.695708033134002,4.6985983222717405,5.4379620406792535,5.373869172049846,4.333434518207374,4.509067755626507,4.863187415803792,4.482652996113434,4.817867138101941,4.8097067653141785,5.338961374207606,4.787267343234911,5.3100736591039785,4.943123849645107,5.550411302798627,3.3645480056725754,2.4658536393233326,4.578050859495688,4.637165233663683
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894573277147312,2.418458533015595,3.3967440888988345,1.3997127851627844,2.429616242812612,2.4508942801483644,5.412262177862706,6.614280439807516,5.049557423078875,4.118077465817677,6.202600265798332,7.068168688354401,6.494389618592163,7.519111307137777,6.651416321118447,5.725211509898948,4.846893864173952,4.770565836759729,6.257114409897377,7.117718622382851,4.545742241451719,4.200588320985811,6.030420841507959,6.7603227723578865,5.205346825560618,5.393614109255995,6.547992042861596,6.068052939145208,7.8026800330955774,8.128622013564302
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407098417574519,4.296445433863691,2.161854470244781,2.6919260914761836,2.293686273037201,6.261944751508656,7.465237904314839,5.93238890966519,5.020077357734614,7.112557887797458,7.952387985043073,7.298816934806765,8.34085191272517,7.348937154644911,6.492902418476347,5.4609065163350525,5.2863989971578675,7.067944787762434,7.989281260898893,5.040748239713272,4.475355485854276,6.752222625090336,7.488071380994021,5.769405324829609,5.83525273567794,7.5616568436739495,7.133421172758493,8.80598980319719,9.167460562265157
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0853344101641031,1.3975505218473778,2.3690153700804744,3.1757661314913586,5.02389196297869,6.124180345209875,4.34138985489187,3.3997694432187537,5.078376345452806,6.087400121872621,5.402877204933786,6.24959349523168,5.939201148930885,4.493074725981632,4.108262293310278,4.529561071377411,4.579378283350455,5.272556110041636,3.800805246476251,4.013146133604411,4.308778818608256,4.849086581954161,3.909473592459672,4.193862358973152,4.936578065525602,4.300875443894866,6.061271228628794,6.204531369738648
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145688636145717,2.575552002253981,3.5216281934239335,5.659076570850006,6.683915348979739,4.831723864256622,3.945012595844889,5.291928976096442,6.346523445657666,5.485144688327917,6.195867789190808,6.160022987870442,4.432844569836037,4.232541239823537,4.879839532261913,4.184400799939201,4.803831982361726,3.7663533912359397,4.135727190421592,3.7148044016319326,4.059269128645007,3.4810310323270066,3.662507846709978,4.926909734693802,4.282283310179787,5.883164650401967,5.918153856430115
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3701254021420193,1.9167664364688375,5.7052399322690235,6.889708864240997,5.0827019280351715,4.084060042848482,5.987744341789288,6.97271879746087,6.1562688588808605,7.08740496800226,6.5016249370201376,5.165672693938835,4.411782466236339,4.652759649941516,5.4112672650453355,6.2560782544250175,3.871851214413039,3.691035114776055,4.984302673778626,5.589918505698946,4.20359969461541,4.288137388076903,6.103116708117761,5.576534977430983,7.254028733364825,7.487345923922785
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701561100489583,6.957894146905123,8.14309616049471,6.202451430367809,5.189814452893966,6.96138291251445,7.995159981888349,6.896070689788338,7.759061317844998,7.252228566898722,5.6948131526054375,4.853238573120258,5.221381090264234,5.743851264061233,6.639012461090908,3.9378274373068987,3.592961567564343,4.99764969816713,5.46288555047952,4.024535719279547,3.7598057247215833,7.038453310324402,6.560591613333605,8.070696252164703,8.272389284009083
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.451720638174478,8.662839462464554,6.766623806588189,5.755783314359102,7.623766008324756,8.625448299631417,7.527762783482942,8.434943144521291,7.772259220848822,6.351992115239491,5.363652999294347,5.5887544072158155,6.51741708464374,7.460614695118479,4.428694560702458,3.862425082846326,5.775761953212137,6.282795479814064,4.678169916108851,4.354631343264373,7.826428129942756,7.382143989351525,8.894026672957022,9.143981204495143
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2270107312591967,1.3736563730845002,2.0570286700156877,2.4441652909161973,2.513684917518694,3.713451287465661,4.514414278099561,3.773695633209867,4.440950097661024,4.66447585035288,4.320952343681471,5.416346093839257,5.672165038542966,5.754475742795321,6.223582394319206,6.380754499892727,7.234471778746232,6.52963666778879,7.461495307574646,3.225128880260633,3.3496978084494717,4.393759877795047,4.988850182674653
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277547066844438,3.154600689220979,2.7662549514063577,2.348074347839041,4.145788815036683,4.721247326993016,4.190441887983539,5.160621398282265,5.594011112886803,5.263793365968667,6.078603975714918,6.14670519586094,6.773775917021238,7.314595660199428,7.180364839853965,7.97974619944067,7.488001502728881,8.46309235071211,3.4122259130727763,3.665186742474592,4.339402348109737,4.917515355130574
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014388633073449,1.4471431638803538,2.045563700658848,2.491701991128973,3.4038728404292904,2.707574997328802,3.070281118062047,3.370444709070511,3.181023582297368,4.073880867820539,4.409891982303615,4.502358858771798,5.085830467412425,5.051776595654995,5.9383485769125715,5.2335669968189995,6.2073322039972,2.46052410662148,2.802106334498265,3.648317994371922,4.332329400812431
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1155688501000505,2.955573780269421,2.773295471081817,3.7820254059247254,3.0560489925043957,2.814296696404874,2.8244685453279432,2.7298788164196535,3.7587663037024517,4.290626147341702,3.758548946075375,4.277508486310657,4.504807206318884,5.415909126199352,4.507073037088765,5.413351999247154,2.8513321005225256,2.940193739489117,4.099790349048957,4.692399285054844
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949449685083308,1.5528019774099875,2.154192070140384,2.1416870429022627,2.584113668202966,3.4467935110728063,3.519990063251643,3.40526845131751,3.446366535575585,4.670195938253251,5.473615598176707,4.639617380944872,5.429743003646127,5.16500963414704,6.214134822457317,1.532858855161242,2.4525899120736265,2.385091303716507,3.21866642702268
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161007215743995,2.4456353307399823,2.4218282967978095,3.497648819460432,4.351142613530453,4.2668909310661265,4.334134469910558,4.235341658447225,5.648561095380481,6.41696455683935,5.635282909095277,6.3983002173592105,6.194569964192588,7.258079448949103,2.1115896177505973,3.0851553081268386,2.605303529799637,3.4741811544148886
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947714092234626,1.0954596569956585,1.5158370864257227,2.5377565724308,2.734370618227581,2.53951697262794,2.737010486648007,3.8255714582807547,4.690885610648935,3.825654069270262,4.69150020435838,4.333189337453218,5.4197249254918125,2.567048730962752,3.5598488191002025,2.922493198668127,3.8176523840571863
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7651010156142544,2.154421749647244,3.373991946061771,3.6864256834893068,2.701067963173959,2.5102740508031043,4.546598101914706,5.483341787691887,4.070106038513886,4.769106724350034,4.828157866059046,5.895895354845589,2.7672779645698724,3.8977782641928522,2.5772532108912056,3.479990850074318
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1516015586266306,2.667431971889484,2.450652784516054,3.394481541085467,3.723391845045261,4.0462503155780025,4.736300658465227,4.55774922665297,5.502117898885837,4.822006489018123,5.888866896416512,3.4764122457731275,4.449886476414688,3.8713170258656278,4.808830186285243
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4027273549021948,2.155819587556097,1.403434871987894,2.156182638462795,2.435117592028119,3.415901945181912,2.434193781791023,3.4152202227193444,2.8175022220007735,3.9040843446102476,3.152787178580743,3.803310803319838,3.623479161830611,4.307923448394164
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881086364834156,2.410258132469711,3.3969574853575955,1.396417595271034,2.154174179021524,2.785870310843698,3.87305968731272,2.4197593003641416,3.404978921113899,4.226657423589518,4.680964223890688,4.922299087935068,5.591420906355762
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397448948819141,4.2972843902465385,2.154511430396797,2.4768955083489694,3.8739230474949378,4.961089777752654,3.403643919847019,4.300871137583235,4.605546079075551,5.106537773208942,5.396185357325931,6.1547148701984655
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875987943115148,2.787535659028721,3.8742303754873983,1.395750385842077,2.1530018133854174,2.4209419384300004,3.406853662005236,3.3539578685364653,3.83999237237737,3.5297377882790704,3.9615193886139055
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875099165154089,4.961797719333197,2.154190481758033,2.475737100047897,3.4046994397618,4.303117383438952,3.067260414965785,3.645429497755927,2.851031794430493,3.1800355223508534
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086708437256542,2.413297212785873,3.400494764347999,1.3959227305694106,2.1569844609481335,5.188465911820749,5.428878498862002,5.871384200413198,6.397397252078366
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4000328050792152,4.301299619505665,2.1560842137330294,2.485689447354733,6.099707068676993,6.2764805859072235,6.872876259386773,7.412854934699927
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872276640962557,1.39698704141561,2.1596492802760476,4.505734908291994,4.723455504536035,4.763239045669927,5.033948692002227
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1577325965244176,2.490074274633373,5.0449184394250555,5.1661304145882125,5.1245915887479,5.2162421330440045
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865940947646842,5.307976295346499,5.44966427399522,5.808972490864989,6.1644957586480755
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.279055326405615,6.3072184468969805,6.776792258134274,7.051621826032219
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209928049635284,1.3564581202037143,1.878811548032558
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250623071849497,2.2786690727249064
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765569791428379
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
