,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31H,32H,33C,34O,35O,36H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2265745935659955,1.3579461576265994,2.0723881848212105,2.4755059775874844,2.7105716480726416,3.2412998178397343,4.215341968007084,3.093989776854443,3.7901668030742104,3.948209567252905,4.847330691928903,3.539955577227252,4.08312793382197,2.558896221236687,4.544531801976302,4.604252545547405,5.552688428707755,4.7079691693285,4.969767710513139,3.982813612030643,5.596352782420444,3.67797583094369,3.9842306627888266,4.775063776284001,5.525345088573218
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278411786990114,3.1824384600423263,2.8440848018679206,2.7783461017283404,3.2209642347848795,4.1239870007453305,2.6732154840032156,3.991268490280535,4.452239101165183,4.9285246555897935,3.647529927940944,3.859908966103331,2.73854370344444,4.873178617589668,5.182494814772919,5.779789264041838,5.000303818146367,5.017946772789189,4.402227160910953,5.970764184140859,4.288893672706301,4.857052317653327,5.167001258926208,6.032572684706984
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01476913112886,1.4594959099246398,2.0939135389244004,2.550043074160168,3.438471722191489,2.873534926751777,3.0667988275362315,2.964421904579069,4.1292530410347394,3.3152352894467714,4.077094386805121,2.6082092782467283,4.275436063257311,4.113203151509623,5.233773270643533,4.82167639361597,5.269489281410049,4.230760945145522,5.6567062445797145,2.3838310536446765,2.6465021106727984,3.582567717320756,4.260349831806157
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.106383236123726,2.837513153810688,3.243847290844947,4.058474093155869,3.7577946753300115,3.4557317598395376,3.0223499714155526,4.502049838094053,3.7445954076937142,4.662614303224908,3.1064966329921493,4.393468040737978,3.981560130203862,5.371349588690444,4.932548859681545,5.5461246680415215,4.291030938750565,5.637483513289263,2.3848048663695267,2.1486245640399373,3.7113281265117237,4.1860429892082465
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969986344368778,1.5547358351666505,2.1438223267918417,2.1518755669297147,2.609429814879214,2.669195132574036,3.473553833859757,3.4369388970714048,4.043505381836326,3.1040010419239494,4.623866394944135,4.547390809328482,5.386725420146186,5.503186912769808,5.871373848386086,5.1464977073664535,6.37751188611479,1.5268987878104854,2.425149750128818,2.3776448646929413,3.2222198589703797
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1486194247029218,2.4584986616346827,2.3739648725903724,3.513614703277964,3.7220648049876197,4.277282290438909,4.267968434806588,4.695045616887825,3.8550239172536176,5.5735623629101765,5.587514442625162,6.325933655850138,6.362723162185392,6.624977062671562,5.961639130435232,7.2837894760358495,2.1399836489609765,3.146397142932495,2.5823778181963184,3.4884558090173727
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942797306858083,1.0942174981172923,1.5443539447745054,2.178420027454133,2.1750458043015835,2.553764031369887,2.9014030224336476,2.6538094002746506,3.907124675857433,4.104195156980855,4.448094693419819,4.968384780625742,5.184416782639839,4.897656483172228,5.874467191553894,2.538521789068853,3.458766972346783,2.960565783451276,3.82689617141187
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7593176145261824,2.1802285975150504,2.7237212884447723,2.339959093247738,3.4359259833741733,3.6467357657373887,3.7047967412105383,4.711637793790077,4.884231003224432,5.0815004464061975,5.8981827995241325,6.093068502169563,5.918827390604471,6.768749874442801,2.680931671700962,3.7475743518646754,2.568170547593062,3.4202558829523455
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181502722717376,3.0439409574849767,2.7321156886879066,2.6037172520767715,2.597650084378509,2.5535597543118915,4.1151912463146925,4.544675285899371,4.658596193405344,4.947963375348153,4.958979348957455,4.864422309208769,5.92843677428412,3.4535120545055165,4.3874945949525115,3.859053561259723,4.7840007082842595
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099022614449607,1.0960646058256927,1.5406714424953223,2.172557173914086,2.154738364502296,2.561483210378695,2.7373055576667453,2.9982948680803996,3.857417439676574,4.20027427543356,4.005929607668451,4.653304811579847,3.1790504708304788,3.6815630126237826,3.779942982018888,4.422748856972655
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7563119759600143,2.1706222775225075,3.066060693995053,2.608167183001245,2.6794514213944054,2.3954339936815554,3.190524920282102,4.011815673938302,4.588997841641968,4.069723166773737,4.667313859495953,2.7569864186827577,2.9357268549946687,3.5091032348562723,3.9627766146805894
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1693000954242616,2.4335470879826713,3.0496786049628417,2.9237177583166885,3.19659627541605,2.955703275677099,4.339778905137923,4.5920895011551774,4.712723807916866,5.043310367367893,3.8586885062746954,4.407683886976636,4.156118618139305,4.724870654538132
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982740858469464,1.0919850565007136,1.5268091477998824,2.181971962063709,2.2052205483030796,2.4831466929026904,2.697267921379908,2.6861434761588003,3.3956846382596346,4.325751805654216,4.673199772031007,5.14132527705449,5.819394727435427
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7593243220413897,2.1635937872345083,3.0782804567941984,2.4708724070184718,2.844424088316452,2.6509791607822795,3.216335326618871,3.763486527400284,5.086491767212734,5.595997374557126,5.746132685987093,6.496253308335052
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1366965598419845,2.5883320800911274,3.0622013987856436,2.5557045130880103,2.7837337504403883,2.318134548544223,3.5394098315642992,4.180647013184717,4.485664644117917,5.163586331928056,5.8860761254811536
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0936099352092092,1.0931084892653098,1.5192855112134607,2.117281310750725,2.1120086290024833,2.1320960494570356,5.217891275572013,5.254905896594862,6.112320668550647,6.629115258741799
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7761609136873575,2.096035141224427,2.966657192062922,2.382016269413404,2.424707037484468,4.858194196199029,4.663417891704579,5.826825069795246,6.213438792164931
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125645802760521,2.470828063864363,2.9984371713025975,2.4274594561119534,5.897862151611207,5.981171310165974,6.637937213213521,7.115322280518175
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0259924174444353,1.0637999058944267,1.0256881652195333,6.268668087103534,6.234348433495993,7.294883778529383,7.852651441019792
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6948154207782058,1.6550121492070928,6.808997871583096,6.922936119714737,7.767586083738603,8.406537580030518
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7009853656408758,5.953185523720773,5.852291320879658,7.091744721639619,7.659408169233848
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.009877174923481,6.848200233509567,8.048956237189833,8.530286831998682
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2150458875927186,1.3396789692971094,1.8834259855475866
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257481906903097,2.3195791154052365
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774925792543607
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
