,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27C,28O,29N,30H,31H,32C,33O,34O,35H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1881234705166315,2.630439876253069,3.191075472652622,2.8818719038021623,3.71735852290104,2.685301672558445,2.3609344717415097,3.4922093862226085,4.421268907719114,4.168518902383058,3.6544244290538956,4.657148011738554,5.438354477597293,5.383766108107059,5.963235851262006,6.630070274557326,7.694938899002291,6.713770030892941,6.005866804564348,7.616275127887629,3.3988510706738424,2.755024255443596,4.761503020503622,4.994985440752082
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900282008091872,1.2399812422116137,3.7442652222313955,4.919078181108655,3.3295811134744957,2.3847534978763174,4.444883183520122,5.346944715462695,4.634944273296613,3.7849782071471134,5.35911630142782,5.511725745771931,5.225609918527558,5.75133239848616,6.948890819028659,7.818036759920853,7.437421497981345,6.970973819990274,8.39628408971056,4.97365177366663,4.6687991941785905,6.319285471827324,6.751698399370441
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2578465366850895,3.3813500307416504,4.597462431206241,2.618386840479401,1.541690646813697,3.6406220444389863,4.497132882994953,3.6118898850909567,2.7614448648599215,4.447207762965646,4.307165791905514,3.9882422669622826,4.51421827067797,5.77504001852184,6.589290073035473,6.384725118678156,6.031153026500169,7.345184815833784,4.480696762502499,4.48643742866906,5.7368867956584255,6.31407351453426
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91978921444969,6.088648159205521,4.558606957808479,3.58483155618332,5.6619208568334525,6.570645399073418,5.723888292412235,4.785940070496671,6.407163078606804,6.531175341105772,6.231159806125943,6.63303729009564,8.013995608620576,8.831302962514734,8.568340326438966,8.133782559620286,9.540624147300967,6.160596702741132,5.777369950502799,7.501469758653971,7.893491071620991
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2399460751417588,1.351992594207416,2.0803321239598955,2.4150335105979517,2.658002276510425,3.724386438365469,3.815904650060192,4.54165853069024,4.4438178689157946,4.020817131790127,5.322119659106443,5.281439307295415,6.159686278281385,5.444622794864511,4.900060100727075,6.166021626451063,3.061593110307484,3.296558685096543,4.161927241092085,4.762021177029513
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2864005842826765,3.2190723940909574,2.769971327025921,2.635045218400084,4.282257609353541,4.625463080529475,4.94805017312986,4.961779479211357,4.617148981541586,5.958583372973165,5.481518015214797,6.347326335956868,5.405172064761275,4.800451590093316,5.975701594862732,3.0741020388104983,3.3783986624661146,3.886649273110605,4.417957229458094
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816260625849148,1.4344541403634925,2.076012970836002,2.447033291502455,2.4686788442633576,3.3334680611905574,3.2768959543515157,3.0020078121535065,4.080016107494525,4.315259831195372,5.272292114137919,4.582899430496556,4.0802597330036114,5.430939469922754,2.478275958688247,2.9215526610747515,3.6330721722618518,4.339186489251315
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1992972400335593,3.0062181631409395,2.617996393370995,2.171820950572477,3.537846538022616,3.440059379315317,3.139832003377786,3.992898248385641,4.739395538259264,5.6513750427921146,5.185812593148659,4.754513009555404,6.104632555022008,3.170027106826213,3.4007172382812185,4.399619649123578,5.053024309714214
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986643344404328,1.5569086787551738,2.1519667831603373,2.199651117648223,2.5785272014752882,2.7377008673405183,3.507068977900671,3.3306116957395004,4.4411549055429225,3.30907349008125,2.6915490960201893,4.172286021950322,1.5293089716381398,2.4746768850628014,2.3776539634487643,3.2090075564419163
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1918996948610197,3.026357319695769,2.755962205550718,2.6444045487599777,2.6864018754823107,3.7181328492538666,2.930151389490106,3.9375406802577473,2.817309403494042,2.303892350005637,3.519073724297184,2.0998099320393124,3.1926271076629744,2.428079976828631,3.3566191472357496
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095599273604761,1.097132999840588,1.5335949581852564,2.16873907996967,2.1691513417756028,2.6323171352126957,3.7581739689244857,2.9003483629733418,2.5512987215410696,3.9041955338693914,2.5167447388939803,3.3716416031164256,3.045366478589392,3.8496639649565028
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.758731418791465,2.1596741101924577,2.5674854063022,2.4025955547005715,3.531964498918492,4.546974603409971,3.956188573388942,3.6274896375579737,4.9648648770233255,3.0091064989731886,3.537275858734938,3.825391628903659,4.508339601094524
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164494884533969,3.0699623480850957,2.57908099964459,2.825717224861044,4.00179651899576,2.69764710245491,2.2277270502722355,3.674670823521698,2.530326474297738,3.346897260442479,2.692670997545603,3.364661044689162
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967599471820235,1.0974398901120934,1.5322071717583505,2.4053249060504442,2.486710019342918,2.705162775031973,3.38594788627961,3.812984851403926,4.803141012266099,4.070864951009287,4.975653825535228
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7455862929617443,2.126378863511014,2.663762943996136,3.211940058461711,3.440755867660925,3.998184802480993,4.196421735338345,5.1446245199368,4.637073079153047,5.577335230897556
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1105953515272615,2.6545555792150632,3.158457797612623,3.4981268501765124,4.002714757757552,4.648985761164419,5.538813665660015,4.91755007255854,5.759184641821966
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226189976450355,1.3728639172590102,2.104397857523357,2.0224352878892944,4.332112954272385,5.477250327882942,4.107199809721425,5.015528214286273
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.266913111177291,3.1787516429587455,2.4507636347164894,5.521834460653582,6.675360751309401,5.26539995538962,6.170291259198541
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0126296791666727,1.0113551297915355,3.8515239531109193,5.0203970969032135,3.224029609343588,4.0459888978157545
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7258524704052283,2.9383898331745093,4.090468061800173,2.2144346403761745,3.0394221142684517
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.615597940480564,5.786612365317272,3.7946509239340553,4.532791305336596
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2053505966775826,1.3790520727694378,1.8904712034892628
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2522649271994997,2.265099220589507
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754517822975678
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
