 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,N34,H35,C36,N37,H38,H39,N40,H41,H42,C43,O44,O45,H46
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6889116580141463,2.080845427556761,1.9028039707607776,0.16770361129812567,0.009067842584943975,0.031826474727990384,0.009545357334133309,0.0032941954193846656,0.009068642269752292,0.0009592776983249757,5.7691147460126047e-05,0.00014721792279998036,3.598160428985864e-05,2.521367330471369e-05,2.6852348838923845e-06,6.072391098954633e-06,0.00010463970494982433,1.5156427134122019e-05,0.00018751790111670719,1.3689501620020583e-05,1.8439020043059529e-06,8.689141552942203e-07,2.7026955166514766e-06,1.6186788931449314e-07,5.955966590476258e-07,1.345931472801487e-07,6.393821805339428e-08,6.1847400534276176e-09,1.7724158486720487e-07,5.736832120462054e-09,1.92197838755348e-08,2.9029701868577007e-05,1.155658279745897e-05,5.722808120792178e-06,1.1348443634817684e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023346801859631894,0.02375047216859283,0.007161148057430067,0.003556759375399343,0.00033114123972399767,0.00012355271294484105,0.00029847726357057347,0.00026122443924148087,4.318559266835997e-05,4.517239048817956e-06,1.1672137124163484e-05,3.3456292758415884e-07,7.92298924556789e-06,1.2396935944458676e-07,1.4973242563609546e-06,5.822102492980541e-05,3.8570723099873305e-06,0.00013783122583865826,5.530034173251153e-06,1.2294048157279747e-06,8.228684733602165e-08,1.4936821182143234e-06,4.5278326865627605e-08,3.727852342372273e-07,4.250199814315181e-08,1.491203360792781e-08,1.9525003835951793e-10,1.0201454547775768e-07,3.4678440119506604e-09,1.0002535244524324e-08,2.380482855057764e-06,2.586761458367448e-07,7.339368736092311e-07,2.7723886497632577e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02508822468880756,0.012335286198644768,0.000197609975352675,0.0009735118065012927,0.0049939048288072385,0.00019904163247530526,0.00014537458347452237,9.104547165184051e-05,2.184056543619306e-06,2.542908421920842e-05,2.219411608272992e-06,1.089658406949745e-06,1.1982768688412193e-07,2.7467084984245105e-07,2.7041932650906375e-06,2.1474776430441267e-06,2.1653874469063084e-06,3.089812867784758e-07,4.8866647173184674e-08,2.763384077120179e-08,5.61545026034338e-08,1.1065969252044283e-08,2.3551862016191194e-08,1.1182041737001214e-08,7.3078756379629795e-09,2.241140606429326e-10,7.173316829423015e-09,2.93920221494659e-10,2.2124568843651105e-10,5.289866126911846e-06,2.4896257633244545e-07,1.6003824295784952e-06,4.2325284543842656e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030495398862854906,0.000540477656401972,0.0027799890948496664,0.0005931959111533658,0.0030236788118300773,0.016177453526043717,0.0011726754608762935,2.201597892392826e-05,0.00010493271169842444,2.339666854922484e-05,7.025495614487731e-06,2.499916432308069e-06,2.246479307688176e-06,2.997689179995433e-05,9.090106699360945e-06,1.5100770588860613e-05,4.574303349214048e-06,3.1701796388006187e-07,1.1171295384304614e-06,5.268841070105168e-07,1.6746716369198111e-07,1.1352545281617665e-07,1.0147832130158463e-07,6.240415140190692e-08,7.182733963162491e-09,2.3000786608662338e-08,9.93786164471544e-10,3.737873344178411e-09,1.798174013245557e-05,1.3082743864245572e-05,1.9478584375454133e-06,2.0449425974788937e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7117674022398945,2.0524550534967307,2.1031915774618506,0.0037085809914882417,0.002169732052834744,0.0006649474000139655,1.6423139710619594e-05,9.1209988921509e-05,2.789207017506179e-05,3.946399288617952e-05,1.1770170352809473e-06,3.7808943622597013e-06,0.00010649341002723356,2.6300039841831158e-05,0.00019532123569721005,1.3071885207965872e-05,2.187438679968068e-06,4.400613824451227e-07,2.5886801131580484e-06,1.488742891186945e-07,7.027542560933409e-07,1.6420118208182455e-07,6.595657664476562e-08,1.3967312861851156e-09,1.908649530923956e-07,4.258281616209558e-09,1.3399388265611378e-08,1.2852139499225368e-05,4.767490733151303e-06,2.4925075810394715e-06,4.294568872742488e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022901928541262606,0.02342737798095862,0.000822677985234499,0.0005307094620250474,5.334463251394084e-05,7.909339482026212e-06,1.7015121480890016e-05,1.1163730065488764e-05,6.032029115754511e-06,1.867660710530572e-07,6.072901326259483e-07,2.678727753790966e-05,7.3659559831629196e-06,3.687175987687752e-05,3.050691479655754e-06,7.454954118468748e-07,1.615731040072177e-07,6.10484596319516e-07,4.066194003726764e-08,1.7585157019439634e-07,3.3941713439844534e-08,1.5959546573185435e-08,1.137885341506717e-10,4.976969880665649e-08,1.567220353493326e-09,4.885309490276768e-09,1.7017750353343075e-06,6.942174446411542e-07,3.30966862360782e-07,4.749781945534437e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02373498371568683,7.13415360080738e-05,9.398699815776901e-05,1.9031872208419287e-05,4.1141977380476646e-07,1.960872445971873e-06,6.379927663946461e-07,1.5382691467280551e-06,1.2531289361739084e-07,4.132539466183971e-07,6.516791061006444e-06,1.5550507748152143e-06,1.0236694744314434e-05,7.158666910367373e-07,2.010067845503727e-08,4.503237360786727e-08,1.957686763809363e-07,7.426129933207903e-09,5.408825853869814e-08,7.511792077252721e-09,7.462650497558343e-10,6.467282265276708e-10,1.8301414606014532e-08,5.695557359075565e-10,2.0257375776822073e-09,2.3229756407339153e-07,1.386736205866157e-07,3.2579323128167914e-08,1.1687230072610078e-08
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002597624821538691,0.00014734599939025816,2.691360051954028e-05,2.454918870409273e-06,5.561999092629222e-06,1.6546544021611709e-06,3.2885255583092743e-06,1.079547269355885e-07,6.531121239383708e-07,1.8185233898737607e-06,1.543272740711643e-07,4.897689373617453e-06,3.0783066717887664e-07,3.154471128752334e-08,2.3056432540968785e-08,3.623335043112519e-08,6.471640334737572e-09,1.119672798921556e-08,2.9948206137220268e-09,6.303328969892164e-10,9.044320847806375e-11,1.9503993975433787e-09,1.307776109626957e-10,3.7550851317291745e-10,4.0828341973941917e-07,4.792769463524138e-07,1.443354249452966e-07,1.2155902506805205e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60651286467914,3.4627055276633882,0.13493002616032512,0.27186041558814145,0.03172444414747222,0.029507873410903468,0.0007666495828677622,0.0028890565277421842,0.012978740222099328,0.007844823302373127,0.005312385311176948,0.001657356509718072,0.0001262835486399716,0.00023198647289679464,0.0003017020857567776,9.202391560714229e-05,6.0410379253639235e-05,2.7039155993058284e-05,1.1120608027437306e-05,1.974326377607305e-06,1.4393582914440373e-05,4.871182177623723e-07,2.125111228656884e-06,0.029090577840746923,0.006320536503176488,0.005656205452761506,0.001212595105900438
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326342374557478,0.025982038068731672,0.0758037441730537,0.050840259233939755,0.010719503779639455,0.0010052728843613634,0.0013944551584831322,0.030108828558665687,0.042975376688247025,0.0012093268684902903,0.0042682035735016055,8.820100153617005e-05,0.0006058092830290018,0.0003437586317521085,0.0004191461066813673,4.555850369414305e-05,7.884823112675604e-05,5.682187035482844e-05,8.117161312104493e-06,6.2116022015862304e-06,5.38952299455886e-07,6.199767309533755e-07,0.010714057948713523,0.004652162736188889,0.0015399079974942678,0.00029892452280877446
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.825338495751148,2.719985140706793,0.09405614376475313,0.1786204754355301,0.006016088370652151,0.026422880459176845,0.02020381877078778,0.0010344005121943889,0.009318264128892584,0.002916450667731718,0.0002538513640680806,0.00020313276634309485,0.0011744247203255426,0.0003702716011412255,0.00022290377912528858,5.2947458324931196e-05,7.867836056552058e-06,4.509013797671102e-06,6.010095544799199e-05,1.564000752574124e-06,2.9535233849742326e-06,0.19109405733302187,0.05719170165005595,0.02698071296827849,0.005056716707902531
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09946159787885012,0.0175622036760521,0.007928831798316827,0.0005544194271209779,0.00035934704309781296,0.0004244096756803595,0.00012073427149505989,5.872127891803913e-05,0.00010578250699855296,7.588999698660004e-06,4.906936989623745e-06,4.7809795527431476e-05,6.244406481892284e-06,7.332138077353889e-06,2.7100822632686317e-06,1.0271514279125427e-06,3.8858469708635823e-07,2.262326483370991e-06,8.731991618660118e-08,5.3482123618664446e-08,0.03419736924456562,0.08040070482921569,0.005438968086265428,0.0001871649160960498
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.813938506601576,2.7242444491453126,0.08102471843946257,0.08957177745734257,0.16476346432423486,0.012304196545042778,0.004577597818746004,0.031812974739351324,0.003129005443930577,0.0011833973522066277,0.0022552591240055514,0.0005477980402209814,0.00036861781395444715,0.00020810184707099888,0.00018901343950472604,1.8605569636842567e-05,9.643872570337664e-05,5.804395469488632e-06,5.317487422829004e-06,2.6858997668662576,0.28445928096528705,0.21901865258247016,0.052447350067465814
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08354187331157792,0.03167553568104142,0.005726946009032341,0.008119221563471668,0.003917327602016352,0.00017838389434743362,0.0006055782224037021,3.406585779641702e-05,0.0003056873169657859,5.1999884044584554e-05,1.247969482687239e-05,1.5781318302821035e-05,1.3300005995864339e-05,9.635935647844818e-06,1.1626698706024285e-06,5.6949275407669475e-06,1.7444651279063805e-07,1.1912900332866627e-07,0.1140819481914408,0.030085697316557303,0.010503609906197475,0.000483866453150128
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815159397802358,1.910984837378702,2.7737482226348025,0.07878819502768353,0.08652338529510606,0.16804741751373808,0.02596428937065287,0.013200832084216185,0.017941029806963785,0.0027551313538605182,0.0029435194584467445,0.0011662969429285935,0.0006062990590225414,6.694628934489355e-05,0.0007675670084012626,2.610914918765861e-05,4.439878144746334e-05,0.19476411183817036,0.042933970292241094,0.036864147819591915,0.002354729322049942
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024142346230707323,0.08481311244683354,0.030820981857188956,0.008156622861236196,0.005996533313280539,0.00014481306964042595,0.00372287936844784,0.0006862731626005036,8.342187463661332e-05,0.0002613829728737027,9.0533412976046e-05,3.156900708622956e-06,1.6779823155399498e-06,6.627536181114113e-05,9.645397236468511e-07,2.9605876137317466e-06,0.011642775392309845,0.001606156991815877,0.0010842705808237207,0.00015755329685385178
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07952829173032283,0.002224835668826808,0.03223629161536423,0.011354359665487701,0.001499945662595703,0.000392199964995843,0.010886076858754201,0.0018651888303395925,0.0012998523119376326,0.000640367023224564,3.802367155270048e-05,1.9283426175409346e-05,0.0003472185290211982,2.7577209026796723e-05,1.4993520577988306e-05,0.007735126335577602,0.0011934056818536654,0.016155228669474275,0.00041441769462169376
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8320161584549646,2.0344323623934515,2.806916096878773,0.08917259287933543,0.08552788791197119,0.18822801955018947,0.023618015956295202,0.028831010766582954,0.006764811204562959,0.003442076749938461,0.0003133705359760208,0.005144821544129957,0.00015800337545424092,0.0006007473864297896,0.029302204826462286,0.0074554626449942485,0.0060794846739122,0.00038000161143481037
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02664806498499983,0.09292863488249536,0.003188357287420729,0.03249598447943369,0.012696320036248987,0.010221452998901093,0.0009550639008788497,0.0009353503355374881,0.000814917345832944,0.00012849523919222783,0.0002516285574599708,7.165848994405977e-06,3.5170049431432204e-05,0.0011931410503567275,0.00029669702528456465,0.00014287738048768261,1.898930377497443e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112470795382833,0.006531917278212562,0.002172286477533536,0.02947204894362876,0.0006261153448172685,0.004553184040575475,0.00024450971516354336,7.962038698039464e-05,1.7165663388052366e-05,0.0011928543098163047,4.676274357362509e-05,0.00017346201702350683,0.0005491631817469145,0.0001505127363901071,0.000456138560253061,0.0001343656365557777
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9898248455747054,1.8739744002647893,2.8451391300517392,0.08644768717664975,0.261543973627303,0.040144958310090365,0.023304315304134238,0.0020945539698244975,0.04515462375960211,0.0015977563164903952,0.004209131634706487,0.005852052796489066,0.0021086877924765546,0.0006198939749579996,9.921661298784024e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023138252022645966,0.09924919791438636,0.004563644798119437,0.025862716907062655,0.009384056605005187,0.004579900447886365,0.00010941013221810181,0.007245563928498955,0.0003252396963624449,0.0006443552248607265,0.0010753558193823398,0.00036155096246348606,0.0001244930885168083,9.991034973122481e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09688487941627666,0.02245192733616652,0.018133808620881098,0.01663388963849033,0.008642128328635312,0.0003449657655969496,0.0034829149023027917,0.00019740911428356434,8.244233091159181e-05,0.00016407602307633162,8.893331922110725e-05,2.5707368597194247e-05,5.242762513013588e-07
N34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8775816501784341,3.62203407915247,0.3919461546725891,0.008764839175477435,0.028936724193518226,0.3865403766123181,0.011938399374652797,0.029306103992618238,0.0003315952276832512,0.00011940321516551444,9.127860938091398e-05,1.003949110467417e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16459560717358557,0.03003988754777842,0.0013315232555723977,0.0018320222599725877,0.014133306381833632,0.00690338170831728,0.0008344699069688932,6.387418944353573e-05,3.056390766342787e-05,1.256517836178972e-05,3.221032421452108e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.695556245642727,0.14952130869635405,0.1515698489252696,3.801829457415053,0.15224343287499553,0.15010648898298473,4.16754654136986e-05,1.658012351613003e-05,1.8666619339982593e-05,2.6974791191847203e-06
N37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.938003531696678,1.7175199996085349,0.3668721608637602,0.029947240088918914,0.011634471861102225,3.767636966955923e-05,1.5701024416933662e-05,7.400290120362918e-06,1.5833423596678387e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037721981083663314,0.028920983825212243,0.0026660192532061977,0.0007905685407643137,5.9012017652571025e-05,2.5637150740220882e-05,7.213325104782342e-06,2.0366670330229653e-06
