,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24N,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37O,38H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2290046099945235,1.356400675267868,2.045328264705427,2.4472613238794687,2.598637475806446,3.2601501320660375,4.164579987761303,2.9925101164921326,3.989233818671326,5.2101588888595325,5.825037880696645,4.110193477577228,5.923245946477295,6.88167309366939,5.394771297610305,3.7571629435790106,3.029504166306534,6.212772104627469,7.226927259979375,4.8282563721230956,5.052099663732532,5.952039993094117,6.834160177702303,3.6516790307970735,3.999575021480519,4.751751737508453,5.486381921400874
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2786457074538937,3.1642990306302345,2.802479059781493,2.529332910606798,3.3773995567268584,4.099044362179221,2.8189546148455804,4.411089021534889,5.69907924190016,6.245586830912595,4.668107059708197,6.542885983074154,7.5288713489465655,6.051388493093846,4.270710674005631,3.3620205825964034,6.926009809540905,7.974616601879648,5.409930209894553,5.5548087576743574,6.632268420988597,7.526458332440119,4.196542438668523,4.801245563839739,5.053346586496934,5.895881960634113
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146752978345963,1.4452487574510782,2.0727924231934156,2.5092091047860565,3.41682954269251,2.7161741523409826,3.087806206940894,4.133674919983005,4.670743326286152,3.4591098840871197,4.90899097717641,5.817456599472532,4.605154088109326,3.564630415011735,3.1807834248245963,5.580983696018746,6.5171206771263765,4.727881763054039,5.223095627043689,5.610511366643015,6.572620510810591,2.4023529775576686,2.7082039898874335,3.608912732442874,4.273912497099423
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1363782006489385,2.912911257010172,3.1582940701400206,4.0718581608353235,3.528638574946558,3.336463646785314,4.177546862764541,4.742285227818053,3.524145974757393,4.7555901619075165,5.58765131220042,4.442606804534563,3.688414354466312,3.5330631800548216,5.309212890367088,6.168320051467526,4.666959517795247,5.203494652238493,5.384196771369894,6.292717859328744,2.516934155875019,2.3489983597341917,3.855139677075929,4.328450653170019
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975227476731866,1.5603834665440863,2.162179335620212,2.1396010016481846,2.5766663387797495,3.4749141989622165,3.7545605865031844,3.521357881489025,4.571677737214589,5.4443763471517475,4.621278918594121,4.037514557725094,3.7456345493591656,5.836233717689859,6.717077237251365,5.356522101748546,6.0025443357739,6.122873594102693,7.169392968329005,1.5197985556522304,2.434112382378349,2.380089969182389,3.208834461651618
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1543956296647107,2.4150796332809064,2.4203730475617427,3.480669047203176,4.386013108301261,4.5375681405211825,4.4590965228531285,5.5666622420182374,6.433741773891243,5.631390398449804,4.840899982133385,4.360021614520675,6.849067326630595,7.755285195693242,6.188423064910876,6.736179894450953,7.0657635577967834,8.106933826565445,2.1377846691125795,3.126817669102322,2.6237304489806097,3.506552506296943
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956635205933427,1.0950759356963915,1.502955081276223,2.5680203943560027,2.9742640230495847,2.6445597461450054,3.715522560727125,4.6340475504317205,3.7756904218405807,3.343446108724723,3.184420556996461,5.060562035265362,5.948744749681003,4.713232866417386,5.4486629252848156,5.41985908103673,6.499724892156456,2.5455134573882523,3.5110544545677156,2.924210906080535,3.799812896013705
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615022533481532,2.147034072124344,2.759735017806877,2.7909845583958504,3.4729145593880415,4.068360757319665,4.869064605614119,4.415674368105004,4.303951702658511,4.175167908631674,5.763570136849651,6.564416512402152,5.64883668931011,6.412763482262053,6.261555668205752,7.34448814557542,2.78895745950449,3.9055783510201003,2.626358716545478,3.519652005076849
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1504108440272565,3.397608411532285,3.92509274088593,2.836824277444407,4.374927377537528,5.340274076653348,4.151340976042009,3.0987297290796803,2.6489307281921737,5.289260079182205,6.265473053282511,4.47453433048394,5.044024432276719,5.397802811496084,6.438969528296677,3.454632638208752,4.3915246649696495,3.891650303698621,4.810948456063662
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3748732410077042,2.2242968629951227,1.4452182179418995,2.26055675659269,3.2265470473113442,2.3102571843039406,2.6262560319143318,2.9777292561097584,3.6528286043463183,4.480861892689003,3.8224790600240106,4.747578927413882,4.221142006756751,5.306308038354841,3.0695426728595665,3.672780507443129,3.5462390888677144,4.1885655278859515
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819369146089135,2.2553459708378853,1.3823275179533983,2.1297984375088688,2.251852751377595,3.649619516531359,4.225007960994424,3.625671167077981,4.165850899334158,4.594461088860796,5.627563280537968,4.5870220956956675,5.615222848108485,3.390585919128125,3.8307471161766142,3.5585403329470724,3.9436894501201802
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3194187577736334,2.1446339922306117,2.5158733347926785,3.269147132233324,4.696634584692348,5.189776639829643,4.597646041159357,5.0059934059250475,5.675575203091206,6.704140540969788,5.637161197935107,6.645206302619572,3.354441042358441,3.8566500332469626,3.124637519269537,3.369308948400868
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255565172189274,3.2312953312275843,1.4232849114569368,1.4081098076607617,2.1795885928790164,2.4749137915370576,3.46199182608249,2.4111355703099964,3.3974689421737443,2.8064991823432046,3.8932891910735297,4.1443474683775925,4.480352056252449,4.863192620921635,5.4486750034122355
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0079767875077248,1.3797658484183253,3.578123439662871,4.434986362083442,2.5236134056878217,2.8622877462260745,4.12410080703014,5.210175914424714,3.7200738256910855,4.643696925691312,4.481533276365982,4.647443327010506,4.809939061829582,5.071913388725641
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129398571329603,4.498193307565586,5.40421601981305,2.8828471166051246,2.835704877065297,4.874397554339951,5.957197496239518,4.227834328222186,5.013459997211125,5.163242515055174,5.225066492294552,5.3673775666933325,5.479912314926764
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436184735650731,3.4337513953211536,1.4002340057375762,2.1739473470969535,2.765274765796329,3.8525068159853513,2.3857431272490732,3.3762614126088883,4.877347643322492,5.009693982105498,5.486812647129057,5.88219305158878
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085921999361873,2.8519565310066706,3.939369362146806,1.3913053050798148,2.14541535623511,2.443612523370865,3.419027943011465,4.964146828248411,5.265422245417376,5.846562910313529,6.507824318912387
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9375908675708016,5.024981204899506,2.1484156274386748,2.4640580407322044,3.4228829331121964,4.306170076728806,4.9269187303252675,5.345316152320062,5.8341333439453,6.591838200434062
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874176335889802,2.4390833683444657,3.414056551994017,1.3900554046617393,2.1441259110318787,6.130140013345275,6.121279323059467,6.832971480871606,7.189680757586851
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.430164713459218,4.316684452275072,2.1630827969921116,2.4863639196440444,6.841059750584376,6.744122049335352,7.465938938229385,7.716046049715367
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876583420572807,1.411736482047343,2.165257752423295,6.174567182605602,6.309582905564899,7.102057494987714,7.68907201046691
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1629759494161944,2.480128428195188,6.946476998538101,7.079847086911336,7.931723779146305,8.55963552123238
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869738306553087,6.673108067319767,6.6803801560195115,7.525958163419037,7.984445625485211
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.705848160524789,7.64300442360987,8.584866704943723,9.014770746732367
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2112244561478371,1.3547448711776862,1.8746606891747024
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25228981532043,2.277501406616281
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976317585144175
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
