,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37O,38N,39H,40H,41C,42O,43O,44H
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.131297499217388,4.499677360805343,5.397743867560428,2.8878467931024985,2.843201446638486,4.880447183076029,5.962877092300395,4.232756594624968,5.019001642272639,5.7442696790325725,6.847784703508408,4.893214823350413,3.922396445106424,5.4542111842546275,6.524882171637925,5.256336568096645,5.462643935141717,4.332027918624572,6.468570116648247,6.644546986697042,7.383666738834203,6.639427912315658,5.857731958756102,7.976374518677421,8.691622582680784,8.354372089220666,5.414138322163641,4.700480528353867,6.619291347617888,6.760205032507397
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436590592483545,3.4298372866971465,1.3995025344779843,2.173584777919792,2.7684042768978707,3.8550828207402916,2.384997455331506,3.375096559708243,5.253346021981051,6.463279920484893,4.718585166212161,3.7323996262604027,5.750913418554657,6.681297453833521,5.757723317658368,5.624367460941605,5.110280513169648,7.196329416785507,7.590742112836789,7.910135136365409,7.522208705273489,6.8929037698070195,8.812573793474462,9.445516718009529,9.265959119600257,6.105182897353729,5.537963707185749,7.438335248152014,7.749122139082266
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874234010088342,2.8503036273224778,3.937590482659658,1.389914704221796,2.146672557076255,2.4388687603760855,3.414055680623236,4.979992784817069,6.110198312764081,5.004776639747172,4.288468833986757,6.370931507380402,7.031663633715574,6.710010487233566,6.344917174406293,6.419060951890908,8.236173295477832,8.74693908151646,8.690102024015218,8.801909350756576,8.417989864275354,10.000822891269479,10.476198863903711,10.56787115436106,6.991771942535643,6.5919927411396015,8.32672710904722,8.755130593711733
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9376722364232344,5.0249504587376395,2.1562325486678233,2.479935439545534,3.425465422707783,4.310633483462318,4.759336591485058,5.776336383352897,5.070780616107233,4.532564459161651,6.50444211993905,7.028862787478554,7.032402473102034,6.647167677475694,6.89066091736447,8.555121009476354,9.061777339269138,8.898935461576917,9.260578459954816,9.003578503130985,10.42316255874411,10.809623330316937,11.057269522002438,7.1613332863018995,6.823485821587025,8.457512168892697,8.90815235143983
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872880698201226,2.4415084748667057,3.414957295443126,1.3908095483458836,2.14401558826037,6.478806527886767,7.703118128119906,5.904437968662969,4.925144206453466,6.908857099403401,7.82534135601792,6.712810597511467,6.447676676293162,6.030862410218865,8.095728966345911,8.579205265743648,8.812648444664305,8.21574997310397,7.470582386679378,9.4450116707358,10.148655207776203,9.784939558858323,7.367849335654885,6.852983661298109,8.681131600898073,9.020502303018255
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.431769707939959,4.316255628252498,2.163884042696585,2.4862575685341115,7.267935411167097,8.487089002869038,6.550145300412488,5.5488856879153206,7.40000186405473,8.368964102234276,7.02715804525539,6.8101864001119194,6.2313653673508105,8.305184390239699,8.763829873061589,9.099117833646945,8.24651996251921,7.374007842437808,9.455264374911527,10.234136773129547,9.69455496273237,7.787612516949967,7.25255412722132,9.053580868199305,9.352744410798822
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868733622907643,1.4108743462917521,2.162908397324085,6.233096411334031,7.385709282485503,6.110863380564427,5.332158967493967,7.412316206774797,8.106684507223799,7.52713894916529,7.066009964428186,7.155374696094064,9.017172214539144,9.602225007092269,9.50361024449694,9.388264061045355,8.884353650905664,10.550636674595575,11.102415325974192,11.01537220106997,8.098190796202424,7.709525269875747,9.435948518334465,9.881142224649372
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1610525339899875,2.4756570735633243,6.906375392595023,8.003090848073494,6.902195913365791,6.20148373270714,8.241307516194674,8.856085223882205,8.379790542006692,7.838038785246402,8.083193845477222,9.86145237218976,10.49501010925605,10.276205979330628,10.237945267036157,9.772404179394018,11.350170263908531,11.873187324137136,11.812168868499382,9.005241620315218,8.666472768132811,10.32997235986446,10.808973137564813
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868985280871557,6.879886772189417,8.088130319901827,6.49452142867069,5.596112590409305,7.645379979214312,8.45726361598002,7.526402236574882,7.109750473871282,6.984301045572358,8.952011437671741,9.525199904711888,9.557267768093075,9.119438219938981,8.452589036199088,10.291845723597866,10.948653544282992,10.649188628226453,8.260141788404564,7.820165640241596,9.591287407635319,9.997301428245406
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.909425576161394,9.115725465236213,7.490207310345016,6.595488129747318,8.605089661051757,9.41205198938565,8.376753381038988,7.905225781191599,7.814421103710731,9.754743967853667,10.369184206891834,10.361137981580073,9.800276005180601,9.073553751311646,10.923178509789729,11.617814046700373,11.205346575211207,9.258155214974016,8.837298720535536,10.57634026926677,10.993196553623005
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2272266654620914,1.3729625717696572,2.0435321038133485,2.448221397613583,2.582042960863711,3.7218589799431827,3.7591057966652386,4.14719897439755,4.965568039191718,5.239681720739536,5.064122505302256,6.225642521927837,6.513239252240032,7.270272151668137,7.3392582415644965,8.160584287667337,3.1467243227976294,3.4116269065970357,4.155267823498859,4.769208220189429
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277836893440561,3.143095053233954,2.7735536542626114,2.4525579834128632,4.210631294485955,4.343623915097854,4.823518235011731,5.178631098346109,5.33618195551588,5.080629580165321,6.585569988070909,7.062850906796837,7.498484278891159,7.406601714850713,8.45139026219255,3.2956908125091657,3.758723307956228,3.9560609456548548,4.56858664444633
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0155468821104152,1.4503942034416177,2.0604036475248213,2.4509495987737893,2.5491384457828996,2.78930961966898,3.8311289153459023,4.186758464588408,4.1175293784844165,4.9747873333305215,5.171480383382772,6.100752310908224,6.288552830030015,6.94553348706416,2.450389913333326,2.8238243671091703,3.60196954328862,4.2921838815132975
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1177589053287074,2.9620297679557024,2.6664394161835623,2.7193726461764913,2.6122982971536217,4.172173729422925,4.5497810914366,4.653593066820914,5.086781856891911,5.039306522434716,6.315593107291316,6.652884682109098,7.068463770060743,2.865864093970112,2.8994365504987956,4.1534645957152225,4.733288569315493
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093173932336378,1.5455372115304438,2.13847839850181,2.181107546458669,2.5933132283442104,2.8028611654241202,2.8938708951082788,3.9286994885692574,4.337571578712207,4.997984976495008,5.104297939326747,5.902257790445908,1.5338551050788194,2.447008460957165,2.3957585924163847,3.2278809217632065
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185719644271279,2.5635152562203656,3.0854905766044087,2.7813582763625555,2.999795587222704,2.6553597880445428,4.24880405690111,4.90516569463838,5.088175707791325,4.981765277148727,6.060583940327405,2.1335010824109335,3.2118682128025675,2.4875403770123,3.4190883857011563
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0961622430298603,1.095925059788897,1.5328140500598741,2.174071769827586,2.1766058637060977,2.525853834351391,2.8544822479858305,3.6972458742041314,4.007868899333113,4.521854638619767,2.540292205268503,3.3320527939552114,3.1654480832865244,3.969305479268546
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7579085020435017,2.161215518231322,3.0720697391291334,2.4780287852058973,2.828652221978506,3.1160292000680396,3.8444549103014567,4.162574169194607,4.61081517476691,3.4531786407374154,4.20054414558802,4.140536491962364,4.992109926620737
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1501332276830047,2.5631411641817907,3.0648265619913935,2.656132899903963,2.5045421833671275,3.995074532792469,4.518913963904139,4.661749380050858,2.7289823091557732,3.1547367248506264,3.5275133135400867,4.139497772525262
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973797252306083,1.0977064618371923,1.5301397321587906,2.4200182686275897,2.446453801224219,2.6165332334439144,3.375201446007111,3.189400942791158,4.151461669532969,3.170994488862832,3.95494362371141
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7570635937069248,2.131775220744504,2.9001733144343618,2.935636848588169,3.014562983266472,3.8096455475285977,2.839852902380637,3.7709638840249284,2.4775275558525203,3.119491823248544
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1787273617797256,3.273303171525049,2.557109870994226,2.328086346418837,3.5635640914877222,3.6806651652979645,4.7885088670180656,3.477436679996048,4.352311655737567
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2234350512025274,1.367041406126295,2.0914713717802225,2.04874754644231,4.482984838378428,5.257880764388202,4.5139634414387375,5.164534054441271
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.269646779332112,3.1814392620867573,2.503352658107469,4.799457868895547,5.330834556543161,5.061572209589995,5.605112894515617
38N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0086298238852134,1.010751595051512,5.586087562536208,6.463321153758666,5.388125164608979,6.043840777100953
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7370963160833672,5.701571129164105,6.69599914882863,5.323836422113313,6.013965880774751
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.456055129963233,7.255423033589189,6.285867487338725,6.883009745775216
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2121436224679456,1.3539413637828621,1.8788857621660133
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249610773753075,2.2789157464627277
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772349767452718
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
